 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
      1,         0.0000,         0.6464,         0.6464,       155.2903,       350.0107,        98.3293,     86557.6250,       199.7332,       119.5686,    158027.6250,     10922.0000,       300.0355,         0.0000,         0.3411,         0.3053
      2,         0.0050,         0.5512,         0.5562,       154.8818,       350.0222,        98.2555,     86557.2500,       199.4551,       120.1433,    158027.2812,     10922.0000,       300.0728,         0.0000,         0.3533,         0.2029
      3,         0.0006,         0.4683,         0.4689,       154.4743,       350.0338,        98.1819,     86556.8750,       199.1774,       120.7175,    158026.9062,     10922.0000,       300.1103,         0.0000,         0.3497,         0.1191
      4,         0.0083,         0.4957,         0.5040,       154.0678,       350.0456,        98.1083,     86556.5000,       198.9001,       121.2893,    158026.5469,     10922.0000,       300.1471,         0.0000,         0.3510,         0.1530
      5,         0.0136,         0.6416,         0.6552,       153.6625,       350.0582,        98.0347,     86556.1250,       198.6233,       121.8574,    158026.1875,     10922.0000,       300.1836,         0.0000,         0.3555,         0.2997
      6,         0.0032,         0.5573,         0.5606,       153.2582,       350.0709,        97.9612,     86555.7500,       198.3468,       122.4244,    158025.8125,     10922.0000,       300.2203,         0.0000,         0.3535,         0.2071
      7,         0.0014,         0.6492,         0.6506,       152.8550,       350.0840,        97.8878,     86555.3750,       198.0708,       122.9884,    158025.4688,     10922.0000,       300.2569,         0.0000,         0.3562,         0.2944
      8,         0.0070,         0.5562,         0.5632,       152.4528,       350.0974,        97.8144,     86555.0000,       197.7952,       123.5510,    158025.0938,     10922.0000,       300.2935,         0.0000,         0.3545,         0.2087
      9,         0.0130,         0.5150,         0.5280,       152.0517,       350.1107,        97.7412,     86554.6250,       197.5201,       124.1128,    158024.7344,     10922.0000,       300.3305,         0.0000,         0.3525,         0.1755
     10,         0.0141,         0.6526,         0.6667,       151.6516,       350.1247,        97.6679,     86554.2500,       197.2453,       124.6714,    158024.3750,     10922.0000,       300.3671,         0.0000,         0.3552,         0.3116
     11,         0.0367,         0.7913,         0.8280,       151.2526,       350.1391,        97.5947,     86553.8750,       196.9710,       125.2269,    158024.0156,     10922.0000,       300.4037,         0.0000,         0.3581,         0.4699
     12,         0.0348,         0.7681,         0.8029,       150.8547,       350.1540,        97.5217,     86553.5000,       196.6972,       125.7805,    158023.6562,     10922.0000,       300.4402,         0.0000,         0.3582,         0.4447
     13,         0.0246,         0.7887,         0.8132,       150.4578,       350.1691,        97.4486,     86553.1250,       196.4238,       126.3319,    158023.2969,     10922.0000,       300.4769,         0.0000,         0.3587,         0.4545
     14,         0.0078,         0.7330,         0.7408,       150.0619,       350.1846,        97.3757,     86552.7500,       196.1508,       126.8816,    158022.9375,     10922.0000,       300.5135,         0.0000,         0.3581,         0.3827
     15,         0.0059,         0.5764,         0.5823,       149.6671,       350.2002,        97.3028,     86552.3750,       195.8782,       127.4301,    158022.5781,     10922.0000,       300.5501,         0.0000,         0.3561,         0.2262
     16,         0.0038,         0.5341,         0.5380,       149.2733,       350.2160,        97.2300,     86552.0000,       195.6060,       127.9774,    158022.2188,     10922.0000,       300.5866,         0.0000,         0.3548,         0.1831
     17,         0.0000,         0.7199,         0.7199,       148.8806,       350.2323,        97.1573,     86551.6250,       195.3343,       128.5211,    158021.8594,     10922.0000,       300.6225,         0.0000,         0.3585,         0.3615
     18,         0.0047,         0.5421,         0.5468,       148.4889,       350.2486,        97.0846,     86551.2500,       195.0630,       129.0639,    158021.5000,     10922.0000,       300.6584,         0.0000,         0.3563,         0.1905
     19,         0.0081,         0.5547,         0.5628,       148.0982,       350.2654,        97.0120,     86550.8750,       194.7922,       129.6049,    158021.1406,     10922.0000,       300.6943,         0.0000,         0.3557,         0.2071
