 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.3344,         0.0000,        14.0503,        13.7158,        13.8289,         0.2214,         0.1655,         0.0080,         0.0479,         3.6741,         0.2851,         6.2115,         3.3508,         0.3073,       136.0000,        14.5875,         0.0000,         0.0733,       143.8878,        81.7272,       173.1028,       284.2967,       260.0237,       456.4522,     82135.0781,     72474.4219,         0.9257,         0.9477,         0.9483,       -54.7955,       150.0000,         0.2120,         0.3738,         0.8151,         0.1495,         0.1259,         0.1169,         0.1310,         0.0086,         1.8515,         4.0230,         5.9618,         7.1775,         7.7269,         7.8322,         7.8928,         7.9567,         8.0223,         0.0000
      2,         3.2988,         0.0028,        13.7781,        10.4793,        13.7349,         0.0432,         0.0316,         0.0017,         0.0099,         3.7556,         0.2821,         6.1044,         3.2910,         0.3018,       136.0000,        14.5875,         0.0000,         0.0733,       132.9548,        79.9316,       166.1065,       293.8009,       260.8979,       456.7845,     82129.4531,     72474.4219,         0.9529,         0.9446,         0.9465,       -47.9686,       150.0000,         0.4940,         0.4341,         0.8105,         0.1073,         0.1771,         0.1227,         0.1343,         0.0091,         1.8813,         4.1017,         5.9229,         7.2589,         7.8452,         7.9442,         7.9988,         8.0568,         8.1166,         0.0000
      3,         8.2547,         0.0000,        13.8965,         5.6417,        13.8402,         0.0563,         0.0411,         0.0023,         0.0129,         3.8727,         0.2833,         6.0984,         3.2846,         0.3013,       136.0000,        14.5875,         0.0000,         0.0733,       122.8513,        78.1890,       159.4439,       301.9212,       261.7264,       457.2638,     82123.8281,     72474.4219,         0.8603,         0.9404,         0.9437,       -68.5632,       150.0000,         0.5330,         0.4643,         0.7623,         0.1421,         0.1046,         0.2234,         0.1364,         0.0061,         1.9352,         4.0999,         5.8704,         7.2675,         7.9080,         8.0143,         8.0706,         8.1282,         8.1870,         0.0000
      4,        24.9035,         0.9017,        19.4361,        -5.4673,        15.8048,         3.6313,         2.7622,         0.1930,         0.6761,         4.5436,         0.3252,         6.8901,         3.7059,         0.3399,       136.0000,        14.5875,         0.0000,         0.0733,       113.9593,        76.5506,       153.3192,       307.3299,       262.4306,       458.0289,     82116.8125,     72475.7656,         0.9525,         0.9362,         0.9408,        16.3974,       150.0000,         0.0000,         0.7321,         1.1477,         0.0466,         0.4623,         0.0850,         0.1847,         0.0571,         1.7142,         4.0265,         5.6732,         7.2169,         8.0059,         8.1303,         8.1928,         8.2540,         8.3157,         0.0000
      5,        60.7627,        50.5829,        62.9293,         2.1666,        35.2097,        27.7196,        21.4176,         1.8221,         4.4800,        10.2819,         0.7393,        15.2581,         8.1799,         0.7505,       129.0000,        14.5875,         0.0000,         0.0733,       145.6997,        76.6554,       154.2160,       299.8555,       262.1493,       459.9482,     82096.3672,     72483.9375,         0.9527,         0.9378,         0.9414,       -47.2714,       150.0000,         0.0000,         1.7750,         2.6387,         0.3782,         0.5063,         0.6006,         0.6681,         0.0224,         1.0735,         3.4489,         4.7660,         6.3852,         8.1315,         8.3982,         8.5309,         8.6321,         8.7107,         0.0000
      6,       100.3239,        50.7577,       103.0654,         2.7414,        53.6715,        49.3938,        37.5319,         3.4711,         8.3907,        15.1947,         1.1359,        23.5953,        12.5900,         1.1557,       129.0000,        14.5875,         0.0000,         0.0733,       164.4124,        78.8443,       163.3236,       283.4279,       260.9251,       461.9195,     82063.9609,     72498.9375,         0.9523,         0.9316,         0.9384,        41.4402,       150.0000,         0.0000,         2.6956,         4.6434,         0.5888,         0.8817,         0.8960,         0.9178,         0.1587,         1.4231,         3.6580,         4.7491,         6.2322,         8.2892,         8.6554,         8.8432,         8.9933,         9.1126,         0.0000
      7,       139.1656,        59.8620,       150.9134,        11.7478,        83.4150,        67.4985,        49.6986,         5.1854,        12.6144,        22.1937,         1.8006,        37.5964,        19.9882,         1.8361,       129.0000,        14.5875,         0.0000,         0.0733,       180.6972,        83.0227,       180.1427,       250.6656,       258.0962,       462.3305,     82011.9844,     72513.9453,         0.9526,         0.9329,         0.9386,         2.6038,       150.0000,         0.0000,         6.3530,         9.7717,         0.6342,         3.1103,         1.7017,         1.5410,         0.2787,         2.3512,         4.9921,         5.7751,         6.7700,         8.9925,         9.3592,         9.5440,         9.7012,         9.8330,         0.0000
      8,       138.3227,        54.7979,       150.2670,        11.9442,        79.0420,        71.2249,        53.9863,         5.4441,        11.7946,        19.0781,         1.7172,        36.8178,        19.6247,         1.8042,       129.0000,        14.5875,         0.0000,         0.0733,       193.2699,        86.6046,       194.2733,       227.2005,       255.5359,       459.2667,     81960.8516,     72528.3438,         0.8782,         0.9344,         0.9394,       -67.5718,       150.0000,         0.0000,         7.2769,         9.6538,         0.5495,         3.1291,         2.4135,         1.7343,         0.0151,         1.8563,         4.8719,         5.6445,         6.6127,         9.0698,         9.4452,         9.6240,         9.7829,         9.9226,         0.0000
      9,        90.2255,        26.5527,       112.0520,        21.8263,        48.8066,        63.2454,        50.4710,         4.6043,         8.1700,        11.0813,         1.0514,        23.1278,        12.4049,         1.1412,       129.0000,        14.5875,         0.0000,         0.0733,       191.2142,        87.5525,       197.7367,       224.5230,       254.5753,       456.4317,     81929.8203,     72540.4688,         0.7375,         0.8575,         0.9418,       -95.4566,       150.0000,         0.0000,         2.7853,         3.5673,         0.9863,         0.2204,         1.5528,         1.0121,         0.0108,         0.5355,         3.5759,         4.4873,         5.7214,         8.1814,         8.5883,         8.7858,         8.9628,         9.1204,         0.3763
     10,        50.1208,        15.7449,        81.6941,        31.5733,        31.7591,        49.9349,        40.9060,         3.2060,         5.8230,         7.2303,         0.6764,        15.0154,         8.0922,         0.7448,       129.0000,        14.5875,         0.0000,         0.0733,       184.1249,        87.3742,       196.6727,       230.6384,       254.5237,       454.7111,     81909.1875,     72547.7656,         0.8615,         0.9414,         0.9443,       -69.6085,       150.0000,         0.0000,         1.5301,         2.1063,         0.6636,         0.1881,         0.6961,         0.6459,         0.0055,         0.6634,         3.2738,         4.2400,         5.5533,         7.6028,         7.9863,         8.1744,         8.3422,         8.4902,         0.3834
