"","GLmax","GRmax","Gsmax","JV","Vcmx0","Entrpy","gddonset","Tau_Leaf","Tau_Root","Tau_F","Tau_C","Tau_Micro","Tau_SlowSOM","Tau_Passive","Q10","Rl0","Rs0","Rr0","Q10rh","f_F2M","f_C2M","f_M2S","f_M2P","r_me","Q10_pro","Omax","Tveg","f","bubprob","Vmaxfraction"
"1",26.86,20.45,19.42,1.25,20.91,657.65,151.11,0.91,0.68,0.25,8.09,0.32,98.61,1641.3,3.24,37.33,7.91,19.67,3.46,0.52,0.27,0.3,0.13,0.14,3.41,18.66,1.92,0.34,0.24,0.13
"2",29.77,18.13,19.41,1.44,19.1,654.84,142.99,0.45,0.51,0.18,7.37,0.27,291.89,1860.7,2.96,24.96,7.61,22.75,3.08,0.54,0.28,0.3,0.13,0.08,3.79,23.06,6.14,0.3,0.22,0.12
"3",27.51,20.62,20.06,1.28,20.43,655.61,134.21,0.39,0.81,0.3,9.03,0.35,25.12,2016.73,2.66,28.13,8,27.25,3.37,0.54,0.28,0.31,0.13,0.05,3.15,22.03,3.29,0.35,0.28,0.1
"4",29.79,17.93,20.7,1.18,15.82,644.01,137.5,0.56,0.5,0.24,9.15,0.34,50.23,1792,3.01,28.68,7.35,29.46,3.04,0.56,0.27,0.32,0.13,0.1,2.54,16.93,5.25,0.28,0.32,0.11
"5",35.1,19.63,20.68,1.25,17.49,645.5,140,0.32,0.92,0.33,6.57,0.38,26.13,1582.27,2.75,28.04,7.54,29.22,2.89,0.55,0.28,0.28,0.12,0.12,2.57,20.62,6.35,0.27,0.17,0.14
"6",30.2,18.19,18.81,1.7,15.54,649.34,122.33,0.32,0.49,0.29,10.62,0.32,39.19,1404.13,2.9,30.67,7.05,25.31,2.62,0.55,0.27,0.32,0.12,0.14,2.9,11.14,4.35,0.21,0.28,0.15
