         107,          15,        13.4597,        18.9710,        12.3104,        16.7781,         0.4346,         0.6653,         0.3491,         3.2973,         0.4453,        24.0663,      1144.7292,       119.8871,         2.5579,        38.8038,         9.0606,        14.7384,         0.1443,         1.4888,         2.6141,         1.9310,         0.3264,         0.0118,         0.1682,         2.7405,         1.3199,       660.7304,         0.5513,         0.2711,         0.2904,         0.1002,
         122,          16,        14.3682,        18.5880,        12.1937,        15.3706,         0.4753,         0.7041,         0.3469,         2.8538,         0.4470,        23.3071,      1190.1425,       120.9850,         2.5389,        38.5565,         8.9495,        14.2304,         0.1319,         1.4314,         2.5551,         1.5838,         0.3216,         0.0161,         0.1656,         2.7149,         1.3495,       661.0294,         0.5534,         0.2721,         0.2921,         0.0994,
         151,          17,        13.9093,        18.5137,        12.5384,        16.5126,         0.4394,         0.6872,         0.3472,         3.2059,         0.4456,        20.4832,      1097.6057,       120.0022,         2.4950,        38.7329,         8.9824,        14.4331,         0.1455,         1.3810,         2.5933,         1.4148,         0.3097,         0.0115,         0.1613,         2.6741,         1.3330,       660.8012,         0.5566,         0.2716,         0.2903,         0.1028,
         156,          18,        13.8545,        18.3314,        12.4348,        17.8866,         0.4148,         0.7005,         0.3487,         3.1996,         0.4439,        23.2889,      1169.8656,       121.1668,         2.4819,        39.0101,         9.0617,        14.2161,         0.1663,         1.3566,         3.6480,         1.4116,         0.3012,         0.0133,         0.1616,         2.7185,         1.3076,       660.8975,         0.5545,         0.2725,         0.2920,         0.1009,
         165,          19,        14.4657,        18.2200,        12.2258,        18.8077,         0.4127,         0.6774,         0.3454,         3.5798,         0.4452,        23.3446,      1175.3784,       121.8549,         2.4439,        39.0417,         9.1567,        13.4541,         0.1717,         1.2802,         4.5672,         1.3652,         0.3080,         0.0157,         0.1621,         2.7903,         1.3076,       660.5305,         0.5505,         0.2737,         0.2898,         0.1004,
         188,          20,        15.3594,        17.7686,        12.0748,        17.8213,         0.3908,         0.6374,         0.3388,         3.8112,         0.4375,        23.7595,      1173.4780,       122.4635,         2.5100,        38.5758,         9.2843,        13.3381,         0.1582,         1.2628,         4.8080,         1.4658,         0.3136,         0.0205,         0.1586,         2.7800,         1.3563,       660.4559,         0.5542,         0.2741,         0.2880,         0.1040,
         196,          21,        15.0398,        17.7587,        12.3674,        18.4070,         0.3580,         0.6433,         0.3419,         3.3868,         0.4304,        27.7426,      1262.1047,       123.4259,         2.5516,        37.7793,         9.3160,        12.4755,         0.1550,         1.3422,         4.4908,         1.8362,         0.3038,         0.0147,         0.1587,         2.7426,         1.3800,       659.8115,         0.5518,         0.2749,         0.2869,         0.1072,
         200,          22,        14.9346,        17.8691,        12.4436,        19.2345,         0.3554,         0.6364,         0.3357,         3.7272,         0.4195,        24.3579,      1356.5183,       123.1272,         2.4946,        38.5810,         9.4291,        12.8479,         0.1501,         1.3206,         4.1538,         1.8695,         0.3035,         0.0164,         0.1600,         2.7473,         1.3722,       660.5189,         0.5554,         0.2749,         0.2862,         0.1038,
         217,          23,        14.4463,        17.4698,        12.9417,        17.5882,         0.3883,         0.6279,         0.3348,         3.5097,         0.4100,        25.4463,      1394.4269,       122.5961,         2.4315,        37.9057,         9.5707,        13.0761,         0.1629,         1.3697,         4.6663,         1.7295,         0.2917,         0.0276,         0.1564,         2.8201,         1.3809,       660.8290,         0.5587,         0.2749,         0.2890,         0.1043,
         233,          24,        13.5541,        17.7597,        12.8512,        18.0602,         0.3805,         0.6074,         0.3396,         3.3948,         0.4199,        27.6920,      1359.3141,       121.9322,         2.4544,        38.5903,         9.4453,        12.4979,         0.1695,         1.3685,         4.3097,         1.8714,         0.2950,         0.0345,         0.1561,         2.8075,         1.3544,       660.4691,         0.5605,         0.2747,         0.2873,         0.1015,
