"","GLmax","GRmax","Gsmax","JV","Vcmx0","Entrpy","gddonset","Tau_Leaf","Tau_Root","Tau_F","Tau_C","Tau_Micro","Tau_SlowSOM","Tau_Passive","Q10","Rl0","Rs0","Rr0","Q10rh","f_F2M","f_C2M","f_M2S","f_M2P","r_me","Q10_pro","Omax","Tveg","f","bubprob","Vmaxfraction"
"1",14.93,25.83,12.83,1.2,18.97,658.37,154.2,0.66,0.6,0.15,8.02,0.32,57.53,3146.38,3.57,37.74,8.8,13.16,3.73,0.54,0.26,0.23,0.07,0.11,3.04,37.43,0.81,0.35,0.15,0.13
"2",39.45,13.54,16.28,1.1,21.5,655.03,154.83,0.42,0.54,0.16,10.85,0.3,132.32,2540.76,3.56,30.61,9.25,13.29,3.73,0.56,0.28,0.28,0.09,0.1,2.84,15.35,2.84,0.28,0.34,0.15
"3",27.86,22.42,19.35,1.16,18.35,658.38,141.62,0.35,0.65,0.42,6.2,0.39,23.97,2319.96,3.52,37.34,9.52,17.74,3.72,0.49,0.28,0.29,0.11,0.06,2.27,6.05,1.5,0.32,0.36,0.15
"4",32.94,20.17,19.54,1.16,15.08,641.59,147.84,0.46,0.44,0.16,12.92,0.27,48.35,1621.75,3.03,21.23,5.93,29.13,3.67,0.51,0.26,0.23,0.16,0.08,3.52,32,4.55,0.31,0.39,0.14
"5",17.51,16.39,20.27,1.11,15.48,643.34,138.66,0.31,0.55,0.41,14.64,0.4,23.91,2128.57,3.24,35.87,7.32,32.64,2.96,0.51,0.26,0.27,0.09,0.08,4.65,3.59,3.33,0.3,0.23,0.14
"6",18.71,22.44,20.12,1.14,17.79,645.08,114.65,0.31,0.48,0.36,14.28,0.43,30.03,2735.69,3.54,32.89,7.77,15.92,2.29,0.49,0.27,0.32,0.1,0.14,1.46,2.68,2.92,0.16,0.36,0.18
