"","GLmax","GRmax","Gsmax","JV","Vcmx0","Entrpy","gddonset","Tau_Leaf","Tau_Root","Tau_F","Tau_C","Tau_Micro","Tau_SlowSOM","Tau_Passive","Q10","Rl0","Rs0","Rr0","Q10rh","f_F2M","f_C2M","f_M2S","f_M2P","r_me","Q10_pro","Omax","Tveg","f","bubprob","Vmaxfraction"
"1",21.38,23.37,14.53,1.1,19.63,658.47,156.04,0.8,0.66,0.16,5.29,0.38,65.19,678.49,3.79,41.39,9.23,12.78,3.79,0.48,0.27,0.35,0.17,0.12,2.79,10.12,0.85,0.35,0.27,0.17
"2",29.05,14.28,16.61,1.19,15.77,657.94,151.6,0.42,0.51,0.13,4.79,0.27,203.06,1201.8,3.63,17.49,8.78,13.68,3.17,0.54,0.28,0.3,0.14,0.05,4.63,25.19,2.69,0.29,0.12,0.14
"3",22.17,22.83,24.03,1.18,19.33,658.54,142.72,0.33,0.61,0.22,5.06,0.44,23.74,1970.29,2.96,29.99,8.96,25.85,3.61,0.51,0.27,0.32,0.13,0.04,2.06,13.08,1.2,0.35,0.35,0.07
"4",35.08,14.55,19.44,1.09,14.78,641.72,140.68,0.5,0.48,0.17,3.35,0.42,43.36,1637.67,3.61,38.28,5.93,35.7,2.94,0.59,0.26,0.37,0.17,0.1,1.85,11.28,3.2,0.29,0.44,0.1
"5",43.86,14.49,23.08,1.13,15.99,642.5,144.07,0.31,0.53,0.4,3.52,0.46,24.68,689.97,3.59,28.18,7.77,39.53,2.8,0.57,0.29,0.24,0.08,0.11,1.52,3.04,4.27,0.26,0.06,0.17
"6",31.92,14.19,17.44,1.48,14.53,648.83,108.67,0.31,0.48,0.26,11.03,0.42,32.88,531.9,3.47,34.88,5.95,20.59,2.5,0.6,0.27,0.34,0.1,0.1,1.73,2.17,2.07,0.22,0.33,0.18
