"","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1"
"72",38.6477635725478,2.31942039572629,12.3713451520529,50,12.6297705029558,50,50,32.8061841830482,7.5670770612846,1.11532515144888,1.84536439732997,7.75514339709071,4.99489298106001,20.6609842759994,50,12.4664107259676,0.0823903046865808,0.869655684922719,-0.0229825701555202,0.25623182142733,0.450715422775049,0.92319617925888,0.83319002347858,0.709376768805464,0.621517480081528,0.557610547098175,39.6804951150745,21.9603848313403,43.7083671811766,50,50,40.717973490315,43.0515703167972,7.00920138326074,9.67610438129952,21.6189976036786,2.46519803554731,31.6662931135891,26.3176513164609,3.99453932499173,18.3215154706411,0.529188663251159,7.96962369190305,30.3269777943877,6.43538251006761,44.8986807125634,50,7.65543971903821,1.76974391206031,19.1565208833555,7.89012658025145,6.76567759054899,1.62277834379885,3.5988733257062,16.775965852429,24.8799223450621,3.91594507231475,8.28986699416696,4.43394987293358,5.74768478352171
"84",47.3304645169402,3.58474785786176,18.1070835184098,50,18.9156340342997,50,50,49.6546226902324,4.2104693343801,1.34817251552216,3.6008607143552,1.9360574013821,4.6435984810346,6.26458688156301,50,12.8065611565679,0.0757860356857929,0.30082502989354,-0.01861749055118,0.22923771286556,0.29369187369475,0.645075813480549,0.627979510247506,0.556987779563163,0.502805017042739,0.46225590200975,36.4266177262577,21.9110728825211,47.7460370663639,50,50,42.3054672465774,47.879545465561,7.61316105434757,10.8289925894575,18.4246129253774,2.4376312530132,31.2891714207185,26.6184973170173,3.9957455811318,13.8819309842331,0.987920853120511,7.8124935391478,24.8590282705981,6.01971015174209,47.6869865224225,50,7.50242670195376,1.65540424779047,16.6589223535581,12.2192402319835,12.8997636961835,2.45629869917904,6.85348721923074,10.5548945556131,18.3838483689022,4.96362922669975,4.04350432611738,3.839600117183,4.39704272532413
"96",50,4.24410649804853,22.555092000837,50,24.928054616322,50,50,50,0.260212147445401,1.22068329093099,5.5813407267784,2.0872210156847,4.7523474887646,2.89889806446101,50,12.0423462388114,0.0428595051493901,0.26646594686829,-0.43160094944184,-0.19006558572103,0.236760877151861,0.710275622722837,0.671464806653962,0.581321539770374,0.515086435691279,0.467217800968349,34.6556991118953,13.4733614501547,49.4704031717737,50,50,40.4991368012334,42.6799327661056,5.82859338905842,10.1770505443523,17.5219840064558,2.26000704863378,29.7422402184651,25.1787191546481,3.82569286172171,10.6531007212879,1.13791553578384,8.30022807440557,22.5019393358341,5.73888691276929,49.3173524471981,50,7.23568513459367,1.57824051328889,15.6867878011817,11.4021332033935,11.7360777423815,2.00209617466991,4.76215620282862,12.5555833925409,20.2813784435339,4.24391661368575,5.79129186036885,3.72105919391247,4.92584277182731
"721",16.7972042827106,2.2341320105232,13.2032079552408,50,20.8145110262074,50,50,50,1.2923155960421,0.70407462343625,2.09607671473941,14.0956470809209,7.4177420465491,1.742779896098,50,26.795928104817,0.0680210720903391,0.10059480061863,0.10696739849758,0.19650991978478,0.33107593305231,0.0425873882147398,-0.1335459862635,-0.24591276716975,-0.330452314225885,-0.387770909238559,41.1556495459638,16.8141305913862,50,50,50,43.1410705270839,43.6711560951058,4.3510445080332,6.1495114576207,25.8122304616418,3.92766324147454,32.7890149911918,38.0383392176625,1.37251141257335,8.59092079408571,0.886978868115461,8.24124600747858,48.9164670170834,10.2231227784289,50,50,2.37439706882143,2.81138853536617,30.0973097380002,8.04849157739373,6.69988446219054,2.23204424401363,1.93203336855115,14.0357427686056,23.2167488249623,3.79493892103528,5.16221396341504,4.26823684173351,6.28017900316048
"841",18.0005089293362,3.23689556706903,15.5487675778893,50,29.3027158545643,50,50,50,0.5479107187201,0.59651080172585,1.4305293788998,6.1363395552079,6.201362443275,-2.581925068597,50,25.0301961081746,0.0640358272533732,0.149102102886036,0.05850121965452,0.0545562749761399,0.24388658225717,-0.271650652054676,-0.438578460304489,-0.485514694149381,-0.514685861185247,-0.528407561852375,37.8887579735621,17.210652799041,45.4451654158379,50,50,41.915790802802,43.1206791064066,4.06257899233173,9.64047483060794,18.9056496068408,3.38735895752803,26.1933390684542,33.4502233421848,1.27005413667408,7.18181517231583,0.947692750183776,6.08597454601328,34.6397047781986,8.38393012306318,50,50,2.23391077170833,2.30557903304855,22.9335377264779,7.56009901091638,6.38541755539201,2.1138501430078,4.17291758856819,8.68575737200224,16.3409939853908,4.12582414124933,2.39992385599275,3.1086637827953,4.33489263578312
"961",17.0006035277705,4.76282322978947,16.9039492158752,50,36.5562092370335,50,50,50,-0.701973135563598,1.4799321681481,0.864592986261899,3.82314132437121,5.717378394321,-1.19726054426599,50,24.292392447497,0.0412963025625707,0.076833277970487,0.10486356396892,0.0897105631569599,0.40482629440551,-0.350576972498216,-0.586441018714403,-0.610256353569698,-0.611295073104532,-0.602789581862871,45.1657872833112,18.7262951109771,43.8250958055404,50,50,36.6213644166922,33.7722356186255,4.02067544044339,9.70821823263205,16.5472612400102,2.85080105547235,22.9693464119186,29.0245604131964,1.10469609990589,7.32713894350299,1.10889887779273,3.88572703477039,30.867907334406,7.01188430035386,50,50,1.94548745422401,1.92820193246947,20.1520540060517,6.46268714595588,7.77012346236563,4.14711157910827,3.006160282896,7.12890394863127,12.953761307379,2.96267862235189,2.22770142975238,2.24640189564002,3.58258702881381
"722",13.9521035036936,14.9898718613751,22.2492300755579,50,31.7585079880722,50,50,50,4.8491813229598,8.35148933443383,-1.2800597455958,6.0039589238955,12.0516228735231,9.830427340901,24.1319828680776,25.1311626326177,0.0384208440372807,-0.0579243556673479,0.0658727701770001,-0.3649446756044,-0.51174974964917,0.47077471369527,0.33364019945564,0.24437888450065,0.18902266999778,0.14983369638194,50,38.5462288261335,50,50,49.1412685907179,31.6596958627033,32.8630187966686,13.6840748525844,13.8965555814235,20.296286186964,6.57216793443049,36.9147444606898,11.3969547318897,9.95498630702582,13.6849698664141,1.23920236248124,17.4197195388603,30.9680815766879,15.646766246776,29.8247329040737,38.5676476141266,18.6694828082354,4.30286494578693,22.4436329107588,12.9377127175938,21.3421884218528,15.8646466461098,8.87112746144479,11.3198198548403,21.1857785834302,4.16337870741724,4.46416996672802,4.99425639096166,5.46350910206266
"842",16.5117187833503,23.7830878744283,23.5553759406048,50,39.4417446154818,50,50,50,4.5798522334854,6.6609681067348,0.118390112010498,21.6833353446555,4.6184300837791,1.760589130342,30.1302765229939,27.3621585723204,0.046259120376311,-0.027146867608173,-0.05562265031376,-0.71718447557274,-0.10013166233789,2.03639491804974,2.09897772268095,1.25760252716996,0.17827836482968,0.10767166016671,50,31.3162473486378,50,50,50,31.9122174366541,33.148629148236,14.1909877058904,12.2976247523988,23.1779547511474,2.77436066144323,44.5801525964662,25.5378338784123,7.2470049556527,12.9650163280488,4.84052854228653,18.2321684588621,50,6.05727555287963,50,50,13.2062949471171,1.66571790241577,31.6360159626832,12.1843806728605,17.4683990119207,14.0349741513757,6.15148074429064,8.29000056490788,15.8105737962204,7.59444680820118,2.35394145084741,4.01435563398749,4.34531090936738
"962",18.5772581776154,27.2603098675406,28.177253493625,50,49.5429889433689,50,50,50,5.7909287304516,4.489977686431,2.4527008105214,-0.258387167429007,7.7863537588547,1.3654684768,21.686151127066,22.9258685039814,0.0247315719406814,-0.063295377911942,0.00306803633407005,-0.75879255794092,-0.70644363140043,-0.0643037123825598,-1.53164308906121,-0.05190010152723,-0.0063076676590399,-0.0206821115934699,50,35.9504104784802,50,48.9333303617175,37.9458663005599,32.6205600497644,32.4037336329709,11.0835464496005,14.0513408079388,16.6756173514506,3.89623020083668,28.0025074408997,11.0537170578986,7.56700810470994,14.4053793583511,2.97138122491033,14.8341109408176,25.9814491810209,8.73937531918726,20.7908936573291,40.6942452864694,13.7899069030797,2.40332336483903,18.8465079100468,13.3787666103185,17.1906133886693,8.93886638333563,6.15803239602329,8.70046675106096,13.8284203142774,3.79363366490006,3.07180874184491,3.31828142827849,4.31544653002293
"723",31.6908174879587,2.78188895409017,19.0155375925437,50,16.9957649725813,50,50,50,5.5338182390666,0.85934927217944,2.5806048077904,4.2882449068013,6.20981570794953,30.96137310333,50,37.9107445402207,0.0785165251985083,0.612152063523877,0.52945988094782,0.64759033143125,0.46637655189024,0.39231428765765,0.16013525670365,-0.0458487005326398,-0.185619175998267,-0.265258648247881,50,23.5871492167725,50,50,50,46.0285053370338,44.8815546618138,3.67436190567075,8.95260944618513,34.7834100051819,4.02305168749129,36.945723740662,46.578320728446,11.1402533145382,13.1411460569076,0.55927917167208,12.6446583445932,48.8753114336469,8.71766571276494,50,50,22.4558131742608,2.39741005645779,27.7474304791105,9.80668352275445,7.87105390142516,1.96528169432404,6.57750609958741,18.2132088379274,27.4549991287114,6.82249425495396,7.04971073687272,7.89133735000112,6.22059588811371
