"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"64",34.535,14.4444,22.8176,-11.7174,11.0338,11.7839,9.4051,0.4582,1.9206,4.5127,0.0817,4.9305,0.5488,0.9601,155.7358,71.9107,154.9722,158.5095,274.2208,469.2534,81294.3828,72736.0781,0.2602,0.6111,0.1421,0.1081,0.0824,0.0698,0.0108,1.8714,4.5737,7.3028,8.5083,9.0454,9.1387,9.1997,9.2711,9.3352
"65",87.9134,56.759,65.9761,-21.9373,20.1605,45.8155,35.1426,2.481,8.192,8.5635,0.153,8.766,0.9741,1.704,189.991,72.4095,156.256,155.098,275.3532,470.6089,81297.6328,72733.5547,0.695,1.283,0.4128,5e-04,0.4432,0.2513,0.0011,1.2174,4.815,6.9218,8.1607,9.154,9.3309,9.4352,9.5233,9.6029
"66",120.4907,38.8779,113.2764,-7.2144,46.948,66.3283,52.374,4.2779,9.6764,18.4816,0.3729,21.5281,2.3882,4.1772,197.1965,74.3694,163.2414,125.7397,276.0872,469.7646,81302.6875,72729.7656,2.452,4.7153,0.9655,0.8554,0.8653,0.7313,0.0054,2.1978,4.9323,6.4586,7.7231,9.4692,9.8137,10.0028,10.1381,10.2591
"67",150.1403,59.2206,146.0798,-4.0605,63.3149,82.7648,63.6426,5.8511,13.2712,21.0484,0.5593,31.8645,3.5807,6.262,213.7701,78.2728,177.7086,89.8097,276.4222,457.9414,81310.3516,72724.9844,4.5353,7.1623,0.8559,1.9905,1.5456,0.9992,0.2181,2.8956,5.7068,6.8531,7.8279,9.7977,10.2196,10.4522,10.6319,10.7939
"68",144.6213,54.706,148.6088,3.9875,63.911,84.6979,66.9664,5.9162,11.8153,16.9469,0.6299,35.067,4.0993,7.1679,227.0465,81.621,189.5922,66.7654,276.6645,434.8741,81317.6875,72720.2266,5.6977,7.6653,0.7577,2.3521,2.1855,1.16,0.0037,2.551,5.8191,6.8244,7.6787,9.7842,10.2339,10.4835,10.6889,10.8747
"69",97.4783,38.8614,118.8383,21.36,46.5619,72.2765,58.7462,4.5082,9.022,10.8271,0.4891,26.3431,3.2393,5.6633,231.7913,83.3136,194.6491,62.0044,277.3156,414.8219,81322.7031,72715.4141,4.6021,5.5804,0.4297,1.8456,1.7711,0.9854,0.1131,1.9039,5.2492,6.2932,7.2485,9.2863,9.7325,9.9804,10.1942,10.3866
"70",45.2958,9.2474,72.9344,27.6386,27.2338,45.7005,39.6268,2.0407,4.033,6.4237,0.2852,15.1958,1.9392,3.3899,221.9291,82.0423,187.931,69.909,278.4973,404.1746,81324.7891,72710.3203,2.4454,2.7263,0.6389,0.3845,1.3822,0.6787,0.0014,1.2852,4.617,5.7962,6.8806,8.644,9.037,9.2556,9.4582,9.6387
"71",22.5875,3.2004,46.1833,23.5958,15.8496,30.3337,25.9499,1.0417,3.3421,4.2065,0.1606,8.4597,1.1,1.9228,209.7789,80.2861,179.5832,82.4784,279.8856,399.4552,81324.7891,72705.2969,1.041,1.2266,0.3602,-6e-04,0.6572,0.3844,0.0014,1.2877,4.5567,5.9824,7.0476,8.3039,8.6035,8.7731,8.9429,9.0923
"72",2.207,0,20.2769,18.0698,8.8206,11.4563,8.8478,0.2473,2.3612,2.6159,0.0847,4.4991,0.5899,1.031,194.761,78.2968,170.5887,99.7447,281.3741,397.5266,81326.7109,72705.1172,0.487,0.6915,0.1214,0.1596,0.2014,0.126,0.0015,2.0298,4.7821,6.807,7.7303,8.2883,8.4413,8.5395,8.6601,8.7659
"73",2.7172,0,7.9621,5.2449,7.4282,0.5339,0.4012,0.0111,0.1216,2.5368,0.0687,3.5423,0.4659,0.8144,182.7471,76.4752,162.5599,113.3236,282.7596,396.8122,81326.7109,72705.1172,0.1398,0.4123,0.0757,0.0358,0.0271,0.0769,0.0033,2.2578,4.7214,7.0809,8.0889,8.5051,8.5942,8.6564,8.7388,8.8092
