 sdoy, GPP_d, NEE_d, Reco_d, QC1, GL_yr, QC2, GW_yr, QC3, GR_yr, QC678, pheno, LAI,NPP_d,Rh_d, Ra_d
      1,         0.0000,         0.5498,         0.5498,       162.5783,       460.9958,       161.8565,     82102.7031,       181.9865,       280.9020,    155065.5938,       136.0000,       259.3046,         0.0000,         0.4722,         0.0776
      2,         0.0052,         0.5051,         0.5102,       162.1506,       460.9981,       161.7935,     82102.5156,       181.7334,       281.3042,    155065.4062,       136.0000,       259.3360,         0.0000,         0.4690,         0.0413
      3,         0.0006,         0.4828,         0.4834,       161.7240,       461.0006,       161.7305,     82102.3281,       181.4806,       281.7083,    155065.2188,       136.0000,       259.3675,         0.0000,         0.4639,         0.0195
      4,         0.0085,         0.4767,         0.4852,       161.2985,       461.0032,       161.6675,     82102.1406,       181.2282,       282.1096,    155065.0312,       136.0000,       259.3989,         0.0000,         0.4651,         0.0202
      5,         0.0141,         0.4881,         0.5022,       160.8741,       461.0058,       161.6045,     82101.9531,       180.9761,       282.5054,    155064.8594,       136.0000,       259.4302,         0.0000,         0.4708,         0.0314
      6,         0.0033,         0.4802,         0.4835,       160.4508,       461.0088,       161.5415,     82101.7656,       180.7246,       282.9012,    155064.6719,       136.0000,       259.4617,         0.0000,         0.4678,         0.0157
      7,         0.0015,         0.4847,         0.4862,       160.0287,       461.0118,       161.4785,     82101.5781,       180.4735,       283.2933,    155064.5000,       136.0000,       259.4932,         0.0000,         0.4706,         0.0156
      8,         0.0073,         0.4677,         0.4750,       159.6076,       461.0157,       161.4157,     82101.3906,       180.2229,       283.6851,    155064.3125,       136.0000,       259.5246,         0.0000,         0.4682,         0.0067
      9,         0.0135,         0.4541,         0.4675,       159.1877,       461.0195,       161.3531,     82101.2031,       179.9729,       284.0776,    155064.1250,       136.0000,       259.5560,         0.0000,         0.4657,         0.0019
     10,         0.0146,         0.4539,         0.4685,       158.7689,       461.0237,       161.2905,     82101.0156,       179.7233,       284.4658,    155063.9375,       136.0000,       259.5874,         0.0000,         0.4685,         0.0001
     11,         0.0379,         0.4333,         0.4712,       158.3512,       461.0278,       161.2279,     82100.8281,       179.4742,       284.8499,    155063.7500,       136.0000,       259.6188,         0.0000,         0.4712,         0.0000
     12,         0.0360,         0.4352,         0.4712,       157.9346,       461.0323,       161.1653,     82100.6406,       179.2257,       285.2321,    155063.5625,       136.0000,       259.6502,         0.0000,         0.4712,         0.0000
     13,         0.0254,         0.4463,         0.4717,       157.5191,       461.0371,       161.1026,     82100.4531,       178.9776,       285.6125,    155063.3906,       136.0000,       259.6816,         0.0000,         0.4717,         0.0000
     14,         0.0081,         0.4619,         0.4700,       157.1046,       461.0421,       161.0402,     82100.2656,       178.7299,       285.9914,    155063.2031,       136.0000,       259.7124,         0.0000,         0.4700,         0.0000
     15,         0.0061,         0.4613,         0.4674,       156.6913,       461.0476,       160.9779,     82100.0781,       178.4828,       286.3706,    155063.0312,       136.0000,       259.7431,         0.0000,         0.4674,         0.0000
     16,         0.0040,         0.4624,         0.4663,       156.2790,       461.0531,       160.9157,     82099.8906,       178.2361,       286.7497,    155062.8438,       136.0000,       259.7739,         0.0000,         0.4663,         0.0000
     17,         0.0000,         0.4696,         0.4696,       155.8678,       461.0589,       160.8534,     82099.7031,       177.9899,       287.1237,    155062.6562,       136.0000,       259.8047,         0.0000,         0.4696,         0.0000
     18,         0.0048,         0.4616,         0.4664,       155.4577,       461.0650,       160.7912,     82099.5156,       177.7443,       287.4980,    155062.4688,       136.0000,       259.8354,         0.0000,         0.4664,         0.0000
     19,         0.0084,         0.4581,         0.4665,       155.0487,       461.0713,       160.7289,     82099.3281,       177.4991,       287.8712,    155062.2969,       136.0000,       259.8661,         0.0000,         0.4665,         0.0000
     20,         0.0027,         0.4607,         0.4634,       154.6408,       461.0779,       160.6669,     82099.1406,       177.2545,       288.2439,    155062.1250,       136.0000,       259.8971,         0.0000,         0.4634,         0.0000
     21,         0.0000,         0.4563,         0.4563,       154.2339,       461.0845,       160.6050,     82098.9531,       177.0103,       288.6198,    155061.9375,       136.0000,       259.9283,         0.0000,         0.4563,         0.0000
     22,         0.0037,         0.4564,         0.4601,       153.8281,       461.0915,       160.5431,     82098.7656,       176.7666,       288.9918,    155061.7500,       136.0000,       259.9595,         0.0000,         0.4601,         0.0000
     23,         0.0000,         0.4588,         0.4588,       153.4234,       461.0982,       160.4812,     82098.5781,       176.5234,       289.3625,    155061.5781,       136.0000,       259.9907,         0.0000,         0.4588,         0.0000
     24,         0.0034,         0.4625,         0.4659,       153.0197,       461.1055,       160.4193,     82098.3906,       176.2808,       289.7259,    155061.4062,       136.0000,       260.0215,         0.0000,         0.4659,         0.0000
     25,         0.0226,         0.4441,         0.4667,       152.6171,       461.1130,       160.3575,     82098.2031,       176.0386,       290.0872,    155061.2188,       136.0000,       260.0522,         0.0000,         0.4667,         0.0000
     26,         0.0293,         0.4392,         0.4684,       152.2156,       461.1208,       160.2959,     82098.0156,       175.7968,       290.4457,    155061.0312,       136.0000,       260.0830,         0.0000,         0.4684,         0.0000
     27,         0.0514,         0.4170,         0.4684,       151.8151,       461.1287,       160.2343,     82097.8281,       175.5555,       290.8020,    155060.8438,       136.0000,       260.1136,         0.0000,         0.4684,         0.0000
     28,         0.0079,         0.4599,         0.4677,       151.4157,       461.1370,       160.1728,     82097.6406,       175.3147,       291.1571,    155060.6875,       136.0000,       260.1436,         0.0000,         0.4677,         0.0000
     29,         0.0155,         0.4519,         0.4674,       151.0173,       461.1453,       160.1113,     82097.4531,       175.0744,       291.5105,    155060.5000,       136.0000,       260.1736,         0.0000,         0.4674,         0.0000
     30,         0.0105,         0.4530,         0.4634,       150.6200,       461.1541,       160.0498,     82097.2656,       174.8344,       291.8647,    155060.3125,       136.0000,       260.2038,         0.0000,         0.4634,         0.0000
     31,         0.0038,         0.4579,         0.4617,       150.2237,       461.1631,       159.9882,     82097.0781,       174.5950,       292.2183,    155060.1406,       136.0000,       260.2339,         0.0000,         0.4617,         0.0000
     32,         0.0083,         0.4524,         0.4607,       149.8284,       461.1722,       159.9270,     82096.8906,       174.3561,       292.5712,    155059.9688,       136.0000,       260.2644,         0.0000,         0.4607,         0.0000
     33,         0.0154,         0.4429,         0.4582,       149.4342,       461.1813,       159.8658,     82096.7031,       174.1179,       292.9244,    155059.7812,       136.0000,       260.2950,         0.0000,         0.4582,         0.0000
     34,         0.0499,         0.4128,         0.4627,       149.0411,       461.1906,       159.8047,     82096.5156,       173.8802,       293.2717,    155059.5938,       136.0000,       260.3253,         0.0000,         0.4627,         0.0000
     35,         0.0841,         0.3812,         0.4654,       148.6490,       461.2003,       159.7435,     82096.3281,       173.6432,       293.6153,    155059.4375,       136.0000,       260.3554,         0.0000,         0.4654,         0.0000
     36,         0.1271,         0.3393,         0.4664,       148.2579,       461.2103,       159.6825,     82096.1406,       173.4066,       293.9561,    155059.2500,       136.0000,       260.3854,         0.0000,         0.4663,         0.0000
     37,         0.0623,         0.4027,         0.4650,       147.8678,       461.2206,       159.6217,     82095.9531,       173.1705,       294.2957,    155059.0625,       136.0000,       260.4155,         0.0000,         0.4650,         0.0000
     38,         0.0065,         0.4523,         0.4588,       147.4788,       461.2309,       159.5609,     82095.7656,       172.9352,       294.6376,    155058.9062,       136.0000,       260.4460,         0.0000,         0.4588,         0.0000
     39,         0.0216,         0.4347,         0.4563,       147.0907,       461.2409,       159.5002,     82095.5781,       172.7004,       294.9801,    155058.7188,       136.0000,       260.4759,         0.0000,         0.4563,         0.0000
     40,         0.0118,         0.4434,         0.4552,       146.7037,       461.2510,       159.4397,     82095.3906,       172.4662,       295.3218,    155058.5312,       136.0000,       260.5058,         0.0000,         0.4552,         0.0000
     41,         0.0180,         0.4332,         0.4511,       146.3177,       461.2613,       159.3792,     82095.2031,       172.2327,       295.6645,    155058.3594,       136.0000,       260.5361,         0.0000,         0.4511,         0.0000
     42,         0.0442,         0.4091,         0.4533,       145.9328,       461.2719,       159.3188,     82095.0156,       171.9998,       296.0034,    155058.1875,       136.0000,       260.5663,         0.0000,         0.4533,         0.0000
     43,         0.1051,         0.3512,         0.4563,       145.5488,       461.2827,       159.2584,     82094.8281,       171.7674,       296.3385,    155058.0000,       136.0000,       260.5963,         0.0000,         0.4563,         0.0000
     44,         0.4082,         0.0590,         0.4672,       145.1659,       461.2940,       159.1977,     82094.6406,       171.5334,       296.6677,    155057.8438,       136.0000,       260.6263,         0.0000,         0.4641,         0.0031
     45,         0.1767,         0.2870,         0.4638,       144.7839,       461.3058,       159.1358,     82094.4531,       171.2950,       296.9931,    155057.6562,       136.0000,       260.6568,         0.0000,         0.4633,         0.0004
     46,         0.3676,         0.0989,         0.4666,       144.4030,       461.3178,       159.0739,     82094.2656,       171.0568,       297.3159,    155057.4844,       136.0000,       260.6873,         0.0000,         0.4646,         0.0020
     47,         1.0024,        -0.5178,         0.4846,       144.0244,       461.3299,       159.0123,     82094.0781,       170.8200,       297.6371,    155057.3125,       136.0000,       260.7177,         0.0027,         0.4646,         0.0200
     48,         0.2728,         0.2086,         0.4814,       143.6455,       461.3423,       158.9504,     82093.8906,       170.5826,       297.9560,    155057.1250,       136.0000,       260.7477,         0.0000,         0.4657,         0.0157
     49,         0.0360,         0.4278,         0.4639,       143.2675,       461.3549,       158.8885,     82093.7031,       170.3455,       298.2770,    155056.9531,       136.0000,       260.7784,         0.0000,         0.4632,         0.0007
     50,         0.0142,         0.4507,         0.4649,       142.8906,       461.3676,       158.8267,     82093.5156,       170.1087,       298.5988,    155056.7812,       136.0000,       260.8091,         0.0000,         0.4649,         0.0000
     51,         0.0466,         0.4211,         0.4677,       142.5146,       461.3805,       158.7648,     82093.3281,       169.8722,       298.9171,    155056.6094,       136.0000,       260.8399,         0.0000,         0.4677,         0.0000
     52,         0.0926,         0.3766,         0.4692,       142.1397,       461.3936,       158.7029,     82093.1406,       169.6361,       299.2334,    155056.4375,       136.0000,       260.8705,         0.0000,         0.4692,         0.0000
     53,         0.0879,         0.3814,         0.4693,       141.7657,       461.4068,       158.6410,     82092.9531,       169.4003,       299.5494,    155056.2500,       136.0000,       260.9012,         0.0000,         0.4693,         0.0000
     54,         0.0292,         0.4425,         0.4717,       141.3927,       461.4202,       158.5791,     82092.7656,       169.1649,       299.8620,    155056.0938,       136.0000,       260.9319,         0.0000,         0.4717,         0.0000
     55,         0.0249,         0.4466,         0.4715,       141.0207,       461.4340,       158.5172,     82092.5781,       168.9297,       300.1740,    155055.9062,       136.0000,       260.9626,         0.0000,         0.4715,         0.0000
