 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.0000,         0.0000,         1.0184,         1.0184,         0.9562,        -0.0621,         0.0462,         0.0038,         0.0121,         0.2541,         0.0195,         0.4313,         0.2302,         0.0211,       136.0000,        15.2736,         0.0000,         0.0768,       150.6200,       160.0498,       174.8344,       291.8647,       260.2038,       461.1541,     82097.2656,     72501.8984,         0.9287,         0.9477,         0.9483,       -54.2317,       150.0000,         0.2120,         0.0174,         0.0534,         0.0094,         0.0081,         0.0002,         0.0090,         0.0088,         1.8768,         4.0559,         5.9643,         7.1782,         7.7314,         7.8387,         7.8999,         7.9639,         8.0295,         0.0000
      2,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000
      3,         0.0000,         0.0000,         0.5998,         0.5998,         0.5979,        -0.0019,         0.0014,         0.0001,         0.0004,         0.1661,         0.0121,         0.2652,         0.1415,         0.0130,       136.0000,        15.2736,         0.0000,         0.0768,       138.8091,       158.1475,       167.5256,       302.0384,       261.1479,       461.5175,     82091.4531,     72501.8984,         0.9529,         0.9448,         0.9465,       -48.2542,       150.0000,         0.4940,         0.0141,         0.0346,         0.0047,         0.0082,         0.0000,         0.0059,         0.0067,         1.9578,         4.0852,         5.8891,         7.2584,         7.8535,         7.9537,         8.0087,         8.0667,         8.1264,         0.0000
      4,         0.0000,         0.0000,         0.6072,         0.6072,         0.6039,        -0.0032,         0.0023,         0.0002,         0.0007,         0.1718,         0.0122,         0.2655,         0.1415,         0.0130,       136.0000,        15.2736,         0.0000,         0.0768,       127.9233,       156.2738,       160.5456,       310.6467,       262.0609,       462.0432,     82085.6406,     72501.8984,         0.9252,         0.9415,         0.9443,       -56.9460,       150.0000,         0.5318,         0.0115,         0.0342,         0.0071,         0.0056,         0.0000,         0.0059,         0.0085,         1.9610,         4.1302,         5.8351,         7.2649,         7.9177,         8.0256,         8.0823,         8.1403,         8.1992,         0.0000
      5,         0.0000,         0.0000,         0.8577,         0.8577,         0.7367,        -0.1211,         0.0877,         0.0096,         0.0238,         0.2164,         0.0151,         0.3196,         0.1700,         0.0156,       136.0000,        15.2736,         0.0000,         0.0768,       118.2680,       154.4780,       154.0837,       315.9017,       262.8281,       462.9142,     82077.8359,     72503.8047,         0.9526,         0.9349,         0.9402,        15.0128,       150.0000,         0.0099,         0.0339,         0.0558,         0.0013,         0.0240,         0.0000,         0.0100,         0.0457,         1.4949,         3.9524,         5.6111,         7.1410,         8.0219,         8.1577,         8.2255,         8.2881,         8.3482,         0.0000
      6,         0.0000,         1.9816,         2.7477,         2.7477,         1.6958,        -1.0519,         0.8465,         0.0861,         0.1193,         0.5020,         0.0353,         0.7338,         0.3889,         0.0357,       129.0000,        15.2736,         0.0000,         0.0768,       161.2211,       154.8993,       156.5661,       306.2293,       262.4644,       465.1204,     82054.8438,     72513.1484,         0.9527,         0.9361,         0.9406,       -41.1747,       150.0000,         0.0000,         0.0701,         0.1336,         0.0197,         0.0263,         0.0096,         0.0342,         0.0367,         1.0172,         3.2565,         4.4095,         6.1761,         8.1571,         8.4506,         8.5934,         8.7026,         8.7874,         0.0000
      7,         0.0000,         1.3699,         4.5464,         4.5464,         2.5467,        -1.9997,         1.5580,         0.1565,         0.2852,         0.7259,         0.0535,         1.1217,         0.5914,         0.0543,       129.0000,        15.2736,         0.0000,         0.0768,       176.8979,       157.6702,       168.2036,       285.9596,       261.0001,       467.2458,     82017.9844,     72529.1328,         0.9525,         0.9315,         0.9378,        13.7461,       150.0000,         0.0000,         0.1355,         0.2498,         0.0209,         0.0695,         0.0197,         0.0462,         0.2487,         1.6932,         3.6547,         4.6572,         6.2118,         8.4225,         8.8053,         8.9950,         9.1477,         9.2709,         0.0000
      8,         0.0000,         1.9496,         6.4654,         6.4654,         3.7340,        -2.7314,         2.0826,         0.2146,         0.4342,         0.9879,         0.0799,         1.6939,         0.8904,         0.0819,       129.0000,        15.2736,         0.0000,         0.0768,       193.5608,       162.1055,       186.0242,       251.0944,       257.9598,       466.9283,     81962.4297,     72545.5391,         0.9525,         0.9321,         0.9380,        32.6066,       150.0000,         0.0000,         0.2659,         0.4560,         0.0240,         0.1562,         0.0351,         0.0746,         0.2910,         2.2746,         4.9420,         5.7252,         6.7516,         9.1267,         9.5018,         9.6828,         9.8382,         9.9702,         0.0000
      9,         0.0000,         1.3051,         5.9981,         5.9981,         3.2695,        -2.7286,         2.1985,         0.1978,         0.3323,         0.7875,         0.0704,         1.5298,         0.8075,         0.0743,       129.0000,        15.2736,         0.0000,         0.0768,       204.4624,       165.5972,       199.5759,       230.1333,       255.5289,       463.3746,     81912.0859,     72559.2500,         0.8479,         0.9350,         0.9400,       -71.6160,       150.0000,         0.0000,         0.2307,         0.3748,         0.0294,         0.1050,         0.0541,         0.0716,         0.0112,         1.7484,         4.6432,         5.4291,         6.4717,         9.0201,         9.4092,         9.5883,         9.7472,         9.8881,         0.0000
     10,         0.0000,         0.0000,         3.9324,         3.9324,         1.7581,        -2.1743,         1.8512,         0.1370,         0.1861,         0.4016,         0.0372,         0.8349,         0.4436,         0.0409,       129.0000,        15.2736,         0.0000,         0.0768,       199.2123,       166.0803,       200.9469,       231.9377,       254.9380,       460.7262,     81885.4766,     72571.0938,         0.7356,         0.8803,         0.9404,       -93.2192,       150.0000,         0.0000,         0.0603,         0.1259,         0.0218,         0.0021,         0.0148,         0.0434,         0.0064,         0.6858,         3.4230,         4.3055,         5.5996,         8.0200,         8.4277,         8.6215,         8.7957,         8.9520,         0.0000
     11,         0.0000,         0.2531,         3.0106,         3.0106,         1.2917,        -1.7189,         1.4033,         0.1093,         0.2063,         0.2987,         0.0271,         0.6103,         0.3257,         0.0300,       129.0000,        15.2736,         0.0000,         0.0768,       188.0195,       165.0790,       196.3411,       239.8416,       255.0775,       459.0076,     81865.8359,     72578.8672,         0.9258,         0.9374,         0.9421,       -57.6920,       150.0000,         0.0004,         0.0428,         0.0990,         0.0175,         0.0088,         0.0042,         0.0298,         0.0107,         0.7120,         3.2926,         4.3475,         5.6610,         7.5462,         7.9097,         8.0855,         8.2440,         8.3865,         0.0000
