 year,LAI,gpp_yr,NPP_yr,Ra_yr,Rh_yr,    ET,rain_yr,transp_yr,evap_yr,runoff_yr,GL_yr,       GW_yr,GR_yr,Pool1,Pool2,Pool3,Pool4,Pool5,      Pool6,Pool7,Pool8,out1_yr,out2_yr,out3_yr,      out4_yr,out5_yr,out6_yr,out7_yr,out8_yr,        simuCH4_yr,Pro_sum_yr,Oxi_sum_yr,Fdifu1_yr,    Ebu_sum_unsat_yr,Ebu_sum_sat_yr,Pla_sum_yr
   2012,         1.1154,       702.7596,       281.6486,       421.3281,       413.1674,         0.0000,       660.5292,        65.5676,       376.6988,       400.9477,       165.3983,        23.2500,        93.0001,       172.3838,       162.1732,       181.5004,       269.6601,       265.2467,       463.9331,     83163.4219,     72160.9141,       165.7537,        22.4512,        89.5397,       250.9102,        20.9197,       331.8230,       355.4350,        17.4862,        24.8227,        36.8218,         4.6548,         8.4552,         0.5705,         8.6974,         7.6702,
   2013,         1.1215,       593.7814,       267.5512,       327.9367,       387.5817,         0.0000,       586.8200,        50.8358,       294.8362,       401.6519,       158.8812,        21.7341,        86.9363,       164.3282,       161.4289,       178.8807,       281.1251,       264.5262,       463.8658,     82936.4688,     72230.4062,       158.0080,        22.7988,        90.2233,       243.6956,        19.4314,       308.5800,       329.5534,        16.2744,        23.7036,        34.5037,         3.6392,         8.3880,         0.0000,         8.2415,         7.0741,
   2011,         1.1162,       650.2296,       269.2479,       379.0890,       434.9110,         0.0032,       647.3796,        56.7814,       367.3691,       393.4932,       159.2449,        22.0006,        88.0025,       166.4142,       160.9064,       177.9849,       274.7266,       263.0570,       464.8935,     82699.9219,     72305.8594,       160.0139,        22.3894,        88.3432,       267.8178,        21.9209,       351.1996,       373.0634,        18.4960,        28.0994,        40.4323,         3.9757,         9.8463,         0.0000,        10.0790,         8.1740,
   2012,         1.1140,       702.0212,       281.3807,       420.7721,       411.0040,         0.0000,       660.5292,        65.4866,       376.6501,       400.9819,       165.1882,        23.2385,        92.9540,       172.1246,       161.5578,       181.3473,       269.2674,       260.5913,       461.3387,     82453.3359,     72384.7891,       165.5045,        22.3660,        89.4652,       250.5431,        20.5535,       329.9704,       352.3899,        17.5413,        24.6500,        36.6267,         4.6843,         8.4672,         0.5597,         8.5769,         7.6060,
   2013,         1.1207,       593.4329,       267.4494,       327.7235,       385.6024,         0.0000,       586.8200,        50.8008,       294.8018,       401.6760,       158.8301,        21.7239,        86.8954,       164.1729,       160.8843,       178.7563,       280.7724,       260.1523,       461.3128,     82230.9688,     72455.8906,       157.8584,        22.7219,        90.1607,       243.3911,        19.1114,       306.8895,       326.7287,        16.3254,        23.4578,        34.3266,         3.6410,         8.3195,         0.0000,         8.1074,         7.0309,
   2011,         1.1153,       649.8704,       269.0824,       378.9008,       432.8335,         0.0032,       647.3796,        56.7449,       367.3504,       393.5008,       159.1132,        21.9939,        87.9755,       166.2845,       160.4281,       177.8816,       274.4608,       258.9587,       462.3952,     81990.6016,     72539.1875,       159.8892,        22.3228,        88.2918,       267.5607,        21.5804,       349.3233,       369.8654,        18.5537,        27.9647,        40.2295,         3.9974,         9.8115,         0.0000,         9.9581,         8.1951,
   2012,         1.1134,       701.7016,       281.2570,       420.6591,       409.0170,         0.0000,       660.5292,        65.4521,       376.6262,       400.9988,       165.1038,        23.2307,        92.9227,       172.0080,       161.1316,       181.2608,       269.0512,       256.7722,       458.9105,     81750.7656,     72614.0781,       165.3922,        22.3070,        89.4226,       250.3427,        20.2531,       328.2408,       349.3704,        17.5959,        24.5580,        36.4471,         4.6753,         8.4067,         0.5936,         8.5638,         7.5875,
   2013,         1.1194,       592.9717,       267.1688,       327.4186,       383.7126,         0.0000,       586.8200,        50.7547,       294.7761,       401.6923,       158.5886,        21.7160,        86.8642,       164.0118,       160.5056,       178.6805,       280.5714,       256.5633,       458.9408,     81523.5312,     72686.1406,       157.7034,        22.6685,        90.1225,       243.2149,        18.8485,       305.3131,       323.9293,        16.3759,        23.3682,        34.1626,         3.6216,         8.2749,         0.0000,         8.1414,         6.9520,
   2014,         1.1111,       631.8078,       264.8600,       366.4374,       457.2451,         0.0000,       661.7982,        50.3860,       334.8891,       424.1981,       156.9615,        21.5798,        86.3191,       164.5037,       159.8593,       176.9498,       271.5436,       255.3915,       458.9059,     81288.3984,     72759.9375,       158.1767,        22.3237,        88.2041,       279.7126,        22.6925,       374.9753,       396.2749,        20.1148,        34.0615,        47.4438,         4.4991,        10.7637,         0.0000,        14.1216,         9.1762,
   2015,         1.4050,       794.6422,       388.4760,       403.3924,       524.9275,         0.0512,       717.0987,       100.0996,       488.7574,       342.5491,       218.6774,        33.9596,       135.8386,       182.9650,       164.8736,       196.0944,       245.3794,       249.7182,       447.4447,     80996.7031,     72842.7969,       175.9232,        21.0693,        90.1153,       298.7868,        26.5731,       436.7256,       473.1882,        24.1418,        38.0461,        57.0289,         7.0577,        10.3332,         0.0000,        16.4962,        11.2167,
   2016,         1.6699,       902.7345,       478.3468,       413.1404,       613.6877,         0.0547,       697.7492,       170.8893,       704.0971,       159.9451,       267.3137,        42.2067,       168.8268,       237.9470,       181.1685,       248.0116,       228.8306,       239.7914,       430.6570,     80612.8281,     72969.3906,       228.7910,        23.5289,       115.1264,       340.1303,        30.6923,       505.5627,       564.9427,        29.0068,        41.5320,        65.8091,        11.0441,        11.2199,         2.7251,        17.5047,        12.8075,
   2017,         1.8050,       984.0738,       500.9240,       477.0598,       537.7479,         0.0004,       640.8001,       204.7595,       835.8710,         3.0698,       282.8209,        43.6206,       174.4824,       273.6962,       201.1772,       301.1980,       268.5405,       232.1092,       429.3833,     80236.7578,     73090.3750,       263.1672,        23.5969,       126.1366,       324.0855,        23.4750,       400.2420,       444.9392,        22.9848,         8.1729,        33.9084,        24.2385,         1.0960,        14.4897,         2.3293,         4.7476,
   2018,         1.7460,       847.1790,       444.3681,       402.0344,       575.4703,         0.0339,       634.2989,       199.2978,       716.2326,        19.5375,       257.6323,        37.3470,       149.3881,       276.8701,       218.3835,       335.5808,       316.2872,       228.7083,       451.2187,     79911.1016,     73181.7344,       266.2162,        25.1468,       138.2783,       384.7716,        23.7808,       431.8889,       451.9302,        23.4728,        14.9060,        43.0662,        20.5987,         2.1293,        10.8985,         6.3101,         6.4666,
