 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_sat_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10,ebu_sum_unsat_d,zwt
      1,         0.0088,         0.0292,         0.0049,         0.0045,         0.0000,         0.0043,         0.0095,         1.8027,         3.9832,         5.8138,         6.9776,         7.5784,         7.7316,         7.8168,         7.8970,         7.9716,         0.0000,       -48.5475
      2,         0.0264,         0.0288,         0.0053,         0.0050,         0.0171,         0.0043,         0.0106,         1.8049,         3.9814,         5.8238,         6.9888,         7.5844,         7.7349,         7.8187,         7.8982,         7.9726,         0.0000,       -48.8534
      3,         0.0083,         0.0266,         0.0044,         0.0040,         0.0000,         0.0043,         0.0087,         1.8061,         3.9796,         5.8332,         7.0002,         7.5907,         7.7386,         7.8212,         7.9000,         7.9740,         0.0000,       -49.0701
      4,         0.0106,         0.0281,         0.0050,         0.0045,         0.0017,         0.0043,         0.0095,         1.8072,         3.9780,         5.8420,         7.0110,         7.5970,         7.7424,         7.8238,         7.9018,         7.9756,         0.0000,       -49.2526
      5,         0.0132,         0.0289,         0.0053,         0.0049,         0.0040,         0.0044,         0.0105,         1.8088,         3.9773,         5.8503,         7.0207,         7.6028,         7.7459,         7.8261,         7.9034,         7.9768,         0.0000,       -49.4378
      6,         0.0093,         0.0286,         0.0054,         0.0049,         0.0000,         0.0044,         0.0104,         1.8103,         3.9817,         5.8582,         7.0302,         7.6087,         7.7495,         7.8285,         7.9051,         7.9782,         0.0000,       -49.5994
      7,         0.0091,         0.0288,         0.0052,         0.0046,         0.0001,         0.0044,         0.0098,         1.8119,         3.9816,         5.8656,         7.0391,         7.6144,         7.7530,         7.8310,         7.9068,         7.9796,         0.0000,       -49.7619
      8,         0.0168,         0.0285,         0.0056,         0.0051,         0.0073,         0.0044,         0.0112,         1.8133,         3.9828,         5.8727,         7.0478,         7.6201,         7.7566,         7.8335,         7.9087,         7.9811,         0.0000,       -50.0285
      9,         0.0176,         0.0267,         0.0055,         0.0050,         0.0082,         0.0044,         0.0114,         1.8141,         3.9978,         5.8801,         7.0567,         7.6260,         7.7606,         7.8365,         7.9110,         7.9830,         0.0000,       -50.2525
     10,         0.0097,         0.0284,         0.0059,         0.0053,         0.0000,         0.0044,         0.0116,         1.8154,         4.0153,         5.8874,         7.0648,         7.6317,         7.7644,         7.8393,         7.9131,         7.9848,         0.0000,       -50.4494
     11,         0.0092,         0.0286,         0.0052,         0.0046,         0.0002,         0.0044,         0.0097,         1.8174,         4.0298,         5.8946,         7.0722,         7.6371,         7.7679,         7.8418,         7.9150,         7.9863,         0.0000,       -50.6127
     12,         0.0130,         0.0286,         0.0055,         0.0049,         0.0038,         0.0044,         0.0107,         1.8196,         4.0397,         5.9014,         7.0793,         7.6423,         7.7713,         7.8444,         7.9169,         7.9879,         0.0000,       -50.8119
