"","GLmax","GRmax","Gsmax","JV","Vcmx0","Entrpy","gddonset","Tau_Leaf","Tau_Root","Tau_F","Tau_C","Tau_Micro","Tau_SlowSOM","Tau_Passive","Q10","Rl0","Rs0","Rr0","Q10rh","f_F2M","f_C2M","f_M2S","f_M2P","r_me","Q10_pro","Omax","Tveg","f","bubprob","Vmaxfraction"
"1",24.09,19.07,19.73,1.31,22.22,659.62,150.97,0.82,0.83,0.27,9.75,0.29,62.4,2148.63,3.37,32.7,7.85,22.46,3.39,0.54,0.27,0.29,0.13,0.17,3.2,15.5,1.71,0.31,0.24,0.11
"2",26.19,18.89,18.09,1.4,24.51,656.46,154.68,0.44,0.38,0.22,9.48,0.32,568.81,1897.37,3.28,27.57,7.58,19.16,3.34,0.51,0.28,0.3,0.11,0.1,3.33,12.67,3.86,0.3,0.24,0.12
"3",25.9,19.03,20.65,1.46,19.39,655.27,144.53,0.4,0.6,0.32,9.8,0.35,29.81,2258.62,2.97,28.5,7.92,27.14,3.41,0.55,0.28,0.28,0.12,0.07,2.6,20.48,4.27,0.31,0.26,0.1
"4",26.78,19.38,18.45,1.32,18.02,644.6,143.81,0.42,0.71,0.27,8,0.32,48.29,2230.47,3.08,26.93,7.83,23.6,3.15,0.56,0.28,0.33,0.14,0.12,2.53,19.75,5.82,0.26,0.25,0.13
"5",28.65,21.1,19.77,1.28,16.91,646.29,134.98,0.35,1.01,0.33,11.88,0.37,27.4,2101.95,2.9,25.95,7.2,27.65,2.87,0.56,0.28,0.28,0.12,0.13,2.21,21.18,5.25,0.26,0.22,0.13
"6",29.35,19.96,18.94,1.32,19.58,649.3,133.93,0.33,0.51,0.31,10.84,0.31,37.51,2095.11,2.84,29.13,7.74,25,2.51,0.55,0.27,0.31,0.12,0.17,1.91,17.79,4.5,0.19,0.29,0.14
