"","GLmax","GRmax","Gsmax","JV","Vcmx0","Entrpy","gddonset","Tau_Leaf","Tau_Root","Tau_F","Tau_C","Tau_Micro","Tau_SlowSOM","Tau_Passive","Q10","Rl0","Rs0","Rr0","Q10rh","f_F2M","f_C2M","f_M2S","f_M2P","r_me","Q10_pro","Omax","Tveg","f","bubprob","Vmaxfraction"
"1",14.33,19.65,25.43,1.07,16.58,659.05,155.31,0.77,0.63,0.16,15.32,0.35,72.5,926.43,3.61,34.94,7.83,13.65,3.8,0.5,0.28,0.23,0.07,0.11,2.9,9.66,0.67,0.34,0.14,0.16
"2",42.33,23.27,15.18,1.05,15.82,659.13,153.75,0.46,0.49,0.16,2.73,0.34,109.77,1295.04,3.67,36.26,9.6,15.02,3.34,0.49,0.27,0.33,0.14,0.08,1.74,34.92,2.27,0.3,0.27,0.09
"3",18.65,25.28,15.72,1.12,14.84,660.77,136.93,0.32,0.54,0.39,5.05,0.45,60.94,1182.11,3.15,39.01,8.5,17.4,3.76,0.49,0.27,0.25,0.09,0.06,2.18,32.99,1.34,0.34,0.42,0.16
"4",17.84,20.11,15.29,1.04,14.44,642.15,154.62,0.4,0.46,0.19,13.45,0.44,44.71,2669.74,3.48,19.76,6.1,30.2,3.07,0.6,0.28,0.37,0.18,0.1,1.97,26.83,3.13,0.28,0.11,0.14
"5",35.59,24.18,14.02,1.03,14.33,642.75,136.39,0.31,0.47,0.41,9.72,0.44,24.45,1509.33,3.51,37.32,8.03,16.48,2.64,0.61,0.29,0.31,0.15,0.09,1.56,2.54,3.01,0.32,0.37,0.15
"6",20.94,21.11,14.69,1.05,14.54,648.52,113.49,0.31,0.45,0.39,8.28,0.42,29.2,1065.6,2.55,32.79,8.13,14.98,2.08,0.5,0.27,0.25,0.12,0.13,1.59,0.31,1.45,0.17,0.32,0.18
