 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.6216,         0.6216,         0.0000,         0.2805,       136.2326,       207.7330,       199.7332,       119.6258,       300.0321,       350.0107,         0.3411,     86557.6250,     71120.0000
      2,         0.0045,         0.5355,         0.5400,         0.0000,         0.1867,       135.7668,       207.6631,       199.4551,       120.2570,       300.0657,       350.0222,         0.3533,     86557.2500,     71120.0000
      3,         0.0005,         0.4592,         0.4597,         0.0000,         0.1099,       135.3026,       207.5931,       199.1774,       120.8873,       300.0999,       350.0339,         0.3498,     86556.8750,     71120.0000
      4,         0.0075,         0.4857,         0.4932,         0.0000,         0.1421,       134.8400,       207.5232,       198.9001,       121.5145,       300.1337,       350.0459,         0.3511,     86556.5000,     71120.0000
      5,         0.0123,         0.6241,         0.6364,         0.0000,         0.2808,       134.3790,       207.4534,       198.6232,       122.1375,       300.1673,       350.0585,         0.3556,     86556.1250,     71120.0000
      6,         0.0029,         0.5315,         0.5344,         0.0000,         0.1807,       133.9196,       207.3838,       198.3467,       122.7587,       300.2011,       350.0715,         0.3537,     86555.7500,     71120.0000
      7,         0.0013,         0.5813,         0.5826,         0.0000,         0.2262,       133.4617,       207.3142,       198.0707,       123.3765,       300.2348,       350.0847,         0.3564,     86555.3750,     71120.0000
      8,         0.0063,         0.5020,         0.5083,         0.0000,         0.1537,       133.0054,       207.2446,       197.7951,       123.9924,       300.2685,       350.0984,         0.3547,     86555.0000,     71120.0000
      9,         0.0117,         0.4694,         0.4811,         0.0000,         0.1284,       132.5506,       207.1751,       197.5199,       124.6068,       300.3025,       350.1120,         0.3527,     86554.6250,     71120.0000
     10,         0.0127,         0.5702,         0.5829,         0.0000,         0.2274,       132.0974,       207.1055,       197.2451,       125.2175,       300.3362,       350.1262,         0.3555,     86554.2500,     71120.0000
     11,         0.0330,         0.6692,         0.7023,         0.0000,         0.3438,       131.6458,       207.0359,       196.9707,       125.8246,       300.3698,       350.1408,         0.3584,     86553.8750,     71120.0000
     12,         0.0313,         0.6536,         0.6849,         0.0000,         0.3263,       131.1957,       206.9663,       196.6967,       126.4291,       300.4035,       350.1559,         0.3586,     86553.5000,     71120.0000
     13,         0.0221,         0.6714,         0.6934,         0.0000,         0.3343,       130.7471,       206.8967,       196.4233,       127.0310,       300.4372,       350.1713,         0.3591,     86553.1250,     71120.0000
     14,         0.0070,         0.6337,         0.6407,         0.0000,         0.2821,       130.3001,       206.8272,       196.1502,       127.6306,       300.4709,       350.1871,         0.3585,     86552.7500,     71120.0000
     15,         0.0053,         0.5186,         0.5238,         0.0000,         0.1673,       129.8546,       206.7576,       195.8775,       128.2285,       300.5046,       350.2031,         0.3565,     86552.3750,     71120.0000
     16,         0.0034,         0.4869,         0.4904,         0.0000,         0.1350,       129.4106,       206.6881,       195.6052,       128.8244,       300.5384,       350.2193,         0.3553,     86552.0000,     71120.0000
     17,         0.0000,         0.6261,         0.6261,         0.0000,         0.2671,       128.9681,       206.6189,       195.3333,       129.4164,       300.5719,       350.2361,         0.3590,     86551.6250,     71120.0000
     18,         0.0042,         0.4939,         0.4980,         0.0000,         0.1412,       128.5272,       206.5497,       195.0619,       130.0069,       300.6049,       350.2531,         0.3568,     86551.2500,     71120.0000
     19,         0.0072,         0.5022,         0.5094,         0.0000,         0.1531,       128.0877,       206.4805,       194.7910,       130.5949,       300.6378,       350.2704,         0.3563,     86550.8750,     71120.0000
     20,         0.0023,         0.4611,         0.4634,         0.0000,         0.1082,       127.6498,       206.4113,       194.5205,       131.1812,       300.6711,       350.2877,         0.3552,     86550.5000,     71120.0000
     21,         0.0000,         0.4120,         0.4120,         0.0000,         0.0614,       127.2134,       206.3421,       194.2504,       131.7672,       300.7045,       350.3049,         0.3506,     86550.1250,     71120.0000
     22,         0.0032,         0.4340,         0.4372,         0.0000,         0.0833,       126.7784,       206.2728,       193.9807,       132.3497,       300.7379,       350.3224,         0.3539,     86549.7500,     71120.0000
     23,         0.0000,         0.4747,         0.4747,         0.0000,         0.1216,       126.3450,       206.2036,       193.7115,       132.9300,       300.7712,       350.3401,         0.3531,     86549.3750,     71120.0000
     24,         0.0029,         0.6439,         0.6468,         0.0000,         0.2881,       125.9130,       206.1344,       193.4427,       133.5052,       300.8042,       350.3592,         0.3587,     86549.0000,     71120.0000
     25,         0.0194,         0.6501,         0.6695,         0.0000,         0.3102,       125.4825,       206.0652,       193.1744,       134.0777,       300.8371,       350.3784,         0.3593,     86548.6250,     71120.0000
     26,         0.0250,         0.7336,         0.7586,         0.0000,         0.3979,       125.0534,       205.9961,       192.9064,       134.6473,       300.8701,       350.3983,         0.3607,     86548.2500,     71120.0000
     27,         0.0441,         0.7613,         0.8054,         0.0000,         0.4439,       124.6258,       205.9273,       192.6389,       135.2143,       300.9030,       350.4184,         0.3614,     86547.8750,     71120.0000
     28,         0.0067,         0.7363,         0.7431,         0.0000,         0.3819,       124.1997,       205.8584,       192.3717,       135.7789,       300.9360,       350.4387,         0.3612,     86547.5000,     71120.0000
     29,         0.0133,         0.6745,         0.6878,         0.0000,         0.3268,       123.7751,       205.7896,       192.1050,       136.3413,       300.9690,       350.4591,         0.3610,     86547.1250,     71120.0000
     30,         0.0089,         0.5332,         0.5422,         0.0000,         0.1838,       123.3519,       205.7207,       191.8386,       136.9025,       301.0021,       350.4798,         0.3584,     86546.7500,     71120.0000
     31,         0.0032,         0.4969,         0.5001,         0.0000,         0.1427,       122.9302,       205.6519,       191.5728,       137.4616,       301.0350,       350.5010,         0.3574,     86546.3750,     71120.0000
     32,         0.0071,         0.4723,         0.4795,         0.0000,         0.1224,       122.5098,       205.5831,       191.3074,       138.0189,       301.0684,       350.5217,         0.3570,     86546.0000,     71120.0000
     33,         0.0131,         0.4706,         0.4837,         0.0000,         0.1283,       122.0910,       205.5142,       191.0425,       138.5747,       301.1019,       350.5422,         0.3554,     86545.6250,     71120.0000
     34,         0.0427,         0.6341,         0.6768,         0.0000,         0.3178,       121.6735,       205.4456,       190.7783,       139.1260,       301.1349,       350.5639,         0.3590,     86545.2500,     71120.0000
     35,         0.0717,         0.7991,         0.8709,         0.0000,         0.5097,       121.2575,       205.3772,       190.5146,       139.6740,       301.1679,       350.5863,         0.3611,     86544.8750,     71120.0000
     36,         0.1087,         0.7889,         0.8976,         0.0000,         0.5354,       120.8430,       205.3087,       190.2514,       140.2191,       301.2008,       350.6091,         0.3622,     86544.5000,     71120.0000
