 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
      1,         0.0000,         0.6216,         0.6216,       136.2326,       350.0107,       207.7330,     86557.6250,       199.7332,       119.6258,    158027.6250,     10922.0000,       300.0321,         0.0000,         0.3411,         0.2805
      2,         0.0045,         0.5355,         0.5400,       135.7668,       350.0222,       207.6631,     86557.2500,       199.4551,       120.2570,    158027.2812,     10922.0000,       300.0657,         0.0000,         0.3533,         0.1867
      3,         0.0005,         0.4592,         0.4597,       135.3026,       350.0339,       207.5931,     86556.8750,       199.1774,       120.8873,    158026.9062,     10922.0000,       300.0999,         0.0000,         0.3498,         0.1099
      4,         0.0075,         0.4857,         0.4932,       134.8400,       350.0459,       207.5232,     86556.5000,       198.9001,       121.5145,    158026.5469,     10922.0000,       300.1337,         0.0000,         0.3511,         0.1421
      5,         0.0123,         0.6241,         0.6364,       134.3790,       350.0585,       207.4534,     86556.1250,       198.6232,       122.1375,    158026.1875,     10922.0000,       300.1673,         0.0000,         0.3556,         0.2808
      6,         0.0029,         0.5315,         0.5344,       133.9196,       350.0715,       207.3838,     86555.7500,       198.3467,       122.7587,    158025.8125,     10922.0000,       300.2011,         0.0000,         0.3537,         0.1807
      7,         0.0013,         0.5813,         0.5826,       133.4617,       350.0847,       207.3142,     86555.3750,       198.0707,       123.3765,    158025.4688,     10922.0000,       300.2348,         0.0000,         0.3564,         0.2262
      8,         0.0063,         0.5020,         0.5083,       133.0054,       350.0984,       207.2446,     86555.0000,       197.7951,       123.9924,    158025.0938,     10922.0000,       300.2685,         0.0000,         0.3547,         0.1537
      9,         0.0117,         0.4694,         0.4811,       132.5506,       350.1120,       207.1751,     86554.6250,       197.5199,       124.6068,    158024.7344,     10922.0000,       300.3025,         0.0000,         0.3527,         0.1284
     10,         0.0127,         0.5702,         0.5829,       132.0974,       350.1262,       207.1055,     86554.2500,       197.2451,       125.2175,    158024.3750,     10922.0000,       300.3362,         0.0000,         0.3555,         0.2274
     11,         0.0330,         0.6692,         0.7023,       131.6458,       350.1408,       207.0359,     86553.8750,       196.9707,       125.8246,    158024.0156,     10922.0000,       300.3698,         0.0000,         0.3584,         0.3438
     12,         0.0313,         0.6536,         0.6849,       131.1957,       350.1559,       206.9663,     86553.5000,       196.6967,       126.4291,    158023.6562,     10922.0000,       300.4035,         0.0000,         0.3586,         0.3263
     13,         0.0221,         0.6714,         0.6934,       130.7471,       350.1713,       206.8967,     86553.1250,       196.4233,       127.0310,    158023.2969,     10922.0000,       300.4372,         0.0000,         0.3591,         0.3343
     14,         0.0070,         0.6337,         0.6407,       130.3001,       350.1871,       206.8272,     86552.7500,       196.1502,       127.6306,    158022.9375,     10922.0000,       300.4709,         0.0000,         0.3585,         0.2821
     15,         0.0053,         0.5186,         0.5238,       129.8546,       350.2031,       206.7576,     86552.3750,       195.8775,       128.2285,    158022.5781,     10922.0000,       300.5046,         0.0000,         0.3565,         0.1673
     16,         0.0034,         0.4869,         0.4904,       129.4106,       350.2193,       206.6881,     86552.0000,       195.6052,       128.8244,    158022.2188,     10922.0000,       300.5384,         0.0000,         0.3553,         0.1350
     17,         0.0000,         0.6261,         0.6261,       128.9681,       350.2361,       206.6189,     86551.6250,       195.3333,       129.4164,    158021.8594,     10922.0000,       300.5719,         0.0000,         0.3590,         0.2671
     18,         0.0042,         0.4939,         0.4980,       128.5272,       350.2531,       206.5497,     86551.2500,       195.0619,       130.0069,    158021.5000,     10922.0000,       300.6049,         0.0000,         0.3568,         0.1412
     19,         0.0072,         0.5022,         0.5094,       128.0877,       350.2704,       206.4805,     86550.8750,       194.7910,       130.5949,    158021.1562,     10922.0000,       300.6378,         0.0000,         0.3563,         0.1531
     20,         0.0023,         0.4611,         0.4634,       127.6498,       350.2877,       206.4113,     86550.5000,       194.5205,       131.1812,    158020.7812,     10922.0000,       300.6711,         0.0000,         0.3552,         0.1082
     21,         0.0000,         0.4120,         0.4120,       127.2134,       350.3049,       206.3421,     86550.1250,       194.2504,       131.7672,    158020.4375,     10922.0000,       300.7045,         0.0000,         0.3506,         0.0614
     22,         0.0032,         0.4340,         0.4372,       126.7784,       350.3224,       206.2728,     86549.7500,       193.9807,       132.3497,    158020.0625,     10922.0000,       300.7379,         0.0000,         0.3539,         0.0833
     23,         0.0000,         0.4747,         0.4747,       126.3450,       350.3401,       206.2036,     86549.3750,       193.7115,       132.9300,    158019.7188,     10922.0000,       300.7712,         0.0000,         0.3531,         0.1216
     24,         0.0029,         0.6439,         0.6468,       125.9130,       350.3592,       206.1344,     86549.0000,       193.4427,       133.5052,    158019.3594,     10922.0000,       300.8042,         0.0000,         0.3587,         0.2881
     25,         0.0194,         0.6501,         0.6695,       125.4825,       350.3784,       206.0652,     86548.6250,       193.1744,       134.0777,    158019.0000,     10922.0000,       300.8371,         0.0000,         0.3593,         0.3102
     26,         0.0250,         0.7336,         0.7586,       125.0534,       350.3983,       205.9961,     86548.2500,       192.9064,       134.6473,    158018.6562,     10922.0000,       300.8701,         0.0000,         0.3607,         0.3979
     27,         0.0441,         0.7613,         0.8054,       124.6258,       350.4184,       205.9273,     86547.8750,       192.6389,       135.2143,    158018.2969,     10922.0000,       300.9030,         0.0000,         0.3614,         0.4439
     28,         0.0067,         0.7363,         0.7431,       124.1997,       350.4387,       205.8584,     86547.5000,       192.3717,       135.7789,    158017.9375,     10922.0000,       300.9360,         0.0000,         0.3612,         0.3819
