"","GLmax","GRmax","Gsmax","JV","Vcmx0","Entrpy","gddonset","Tau_Leaf","Tau_Root","Tau_F","Tau_C","Tau_Micro","Tau_SlowSOM","Tau_Passive","Q10","Rl0","Rs0","Rr0","Q10rh","f_F2M","f_C2M","f_M2S","f_M2P","r_me","Q10_pro","Omax","Tveg","f","bubprob","Vmaxfraction"
"1",14.89,21.98,17.02,1.09,16.68,658.68,155.13,0.76,0.64,0.24,12.96,0.38,67.11,2462.42,3.47,36.23,6.12,12.93,3.7,0.49,0.29,0.25,0.09,0.11,3.32,25.14,0.66,0.34,0.07,0.16
"2",14.53,14.27,13.67,1.13,19.49,657.34,151.23,0.46,0.52,0.12,14.47,0.24,87.73,1999.42,2.61,37.65,7.87,15.4,2.91,0.47,0.27,0.37,0.15,0.06,1.92,3.77,3,0.28,0.43,0.17
"3",42.26,14.27,13.56,1.08,13.34,658.97,118.51,0.36,0.58,0.36,16.68,0.44,25.87,853.14,3.38,33.94,6.76,15.3,3.66,0.51,0.26,0.23,0.07,0.06,2.98,24.49,1.62,0.35,0.14,0.15
"4",17.25,14.09,16.03,2.61,10.17,644.61,154.21,0.53,0.48,0.24,8.56,0.42,37.71,1642.26,1.53,27.04,5.94,23.67,2.76,0.6,0.29,0.37,0.17,0.11,1.57,16.98,3.22,0.28,0.29,0.14
"5",27.86,26.84,15.42,2.76,5.26,646.54,133.49,1.38,0.44,0.16,15.32,0.42,24.31,2365.84,3.47,29.14,8.5,16.18,2.38,0.57,0.26,0.3,0.1,0.12,1.82,26.5,2.76,0.3,0.39,0.11
"6",16.9,15.63,13.12,1.18,8.37,644.76,149.09,0.31,0.47,0.42,7.18,0.46,29.05,2958.82,3.22,35.4,9.64,16.74,2.16,0.54,0.29,0.37,0.1,0.13,1.79,0.74,1.18,0.14,0.17,0.18
