"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.385,0,14.363328,13.97837,14.178566,0.1848,0.1377,0.0139,0.0331,3.873719,0.309036,6.342623,3.346294,0.306895,113.5701,210.8233,175.8664,299.9287,282.2836,466.7962,82147.0547,72488.3984,12.2895,2.1165,7.4309,8.9433,0.7135,10.9826,11.5886,0.5797,0.1962,5.115,0.389727,0.8342,0.151841,0.126703,0.132644,0.130379,0.009105,1.854357,3.976095,5.91384,7.168468,7.734766,7.843729,7.9052,7.9693,8.0349
"2",3.593,0.0024,14.13509,10.542056,14.090374,0.0447,0.0323,0.0042,0.0083,3.955039,0.306076,6.238475,3.289113,0.301669,102.4817,208.737,168.7632,309.2768,283.3503,467.1667,82141.4297,72488.3984,11.0896,2.0876,7.1032,9.152,0.7083,10.8267,11.4163,0.5711,0.1948,5.2284,0.446074,0.8292,0.112945,0.18008,0.131437,0.134552,0.010155,1.894163,4.057775,5.875829,7.249611,7.852772,7.954347,8.0096,8.0679,8.1278
"3",8.9796,0,14.281711,5.302113,14.214103,0.0676,0.0482,0.0061,0.0133,4.074763,0.307956,6.242139,3.287687,0.301561,92.4749,206.683,161.9885,316.9937,284.3887,467.6812,82135.8047,72488.3984,10.0068,2.0541,6.7746,9.3718,0.7083,10.7676,11.3424,0.5675,0.1948,5.3493,0.458086,0.7835,0.150002,0.112139,0.209747,0.136198,0.006766,1.946184,4.137884,5.86109,7.266145,7.916413,8.024511,8.081272,8.1392,8.1982
"4",24.5753,0.403,18.365749,-6.209565,16.221738,2.144,1.5015,0.2939,0.3486,4.766402,0.353742,7.052279,3.70908,0.340238,83.6412,204.8225,155.3991,321.7211,285.3098,468.4731,82128.7891,72489.7422,9.0352,2.062,6.5894,11.2042,0.8315,12.4316,13.0765,0.6543,0.2287,6.391,0.76022,1.1786,0.046294,0.472386,0.091605,0.196225,0.055311,1.651286,4.020012,5.681764,7.210141,8.016191,8.14162,8.20453,8.2659,8.3278
"5",57.2533,51.7055,61.2805,4.027151,36.195701,25.0848,18.4115,4.0706,2.6027,10.778011,0.806494,15.652688,8.205609,0.752893,118.1846,207.302,151.9339,313.1025,285.1856,470.4281,82108.4375,72498.125,9.7953,2.0504,6.3011,25.0209,1.8722,27.2512,28.572,1.43,0.5148,14.2763,1.901629,2.735,0.380665,0.530893,0.631345,0.739401,0.027329,0.932423,3.218759,4.466347,6.22954,8.145837,8.421057,8.554055,8.6553,8.7342
"6",96.8623,53.3086,103.790304,6.928036,55.210681,48.5796,35.4403,4.3209,8.8185,15.931463,1.241211,24.232788,12.644487,1.160733,137.8755,209.2431,161.5119,295.9782,284.0089,472.3981,82076.0234,72513.2422,13.6508,2.0527,6.3958,37.476,2.9204,42.7659,44.6289,2.2346,0.8031,21.415,2.813962,4.8275,0.603396,0.924487,0.910357,0.979115,0.161161,1.318182,3.421707,4.446534,6.083773,8.314209,8.695002,8.882937,9.0326,9.1516
"7",135.511,65.4651,149.011252,13.500344,85.486644,63.5246,44.1828,5.6092,13.7325,23.208786,1.961754,38.472728,20.005599,1.837788,155.4942,213.6688,180.581,262.2135,281.0535,472.7108,82024.3984,72528.4141,15.114,2.1208,7.1167,56.3109,4.7605,70.0194,72.8196,3.6488,1.3091,32.2801,6.545016,10.0966,0.607616,3.231241,1.684638,1.629131,0.276028,2.212606,4.810033,5.582517,6.682986,9.044094,9.423215,9.6069,9.7625,9.8932
"8",134.7627,58.7488,145.500457,10.737749,80.9151,64.5853,46.7896,5.4205,12.3753,19.983467,1.869896,37.633257,19.62422,1.804261,168.1773,217.3815,196.2349,238.466,278.3438,469.4693,81973.7344,72542.8516,16.6913,2.1621,7.8451,48.6119,4.5473,68.6311,71.5746,3.5894,1.2505,27.9871,7.459504,9.9564,0.521156,3.230368,2.425622,1.803516,0.018126,1.813187,4.773451,5.543147,6.569352,9.131618,9.517241,9.6944,9.85103,9.9891
"9",88.5699,28.207,107.424938,18.854957,50.405883,57.0191,45.5206,4.316,7.1825,11.744773,1.155119,23.841758,12.513013,1.15123,164.975,218.2666,200.1812,236.3325,277.3259,466.4869,81942.875,72555.2656,17.3058,1.9354,7.3364,27.0661,2.6619,41.1977,43.2435,2.1701,0.732,15.6184,3.055477,3.7784,0.842146,0.146035,1.830111,1.079327,0.006394,0.725479,3.577484,4.445602,5.711335,8.242439,8.656856,8.853,9.0279,9.1836
"10",50.6069,16.632,78.370075,27.763174,33.078393,45.2917,36.7668,3.3838,5.141,7.744778,0.748995,15.599764,8.227557,0.757301,156.591,217.9309,199.2066,243.2404,277.3108,464.6909,81922.2891,72562.9844,16.7,1.9986,7.6274,17.7194,1.7136,26.7688,28.2368,1.4177,0.4712,10.2169,1.721162,2.2843,0.584438,0.160139,0.839591,0.721439,0.008538,0.660834,3.217718,4.145531,5.510121,7.65579,8.047462,8.235119,8.4018,8.5488
"11",11.7076,0.0185,40.521862,28.814272,17.936218,22.5856,18.4725,1.5612,2.5519,4.262277,0.396188,8.416662,4.451268,0.409822,141.3093,215.9195,191.6984,256.5659,278.113,463.8427,81913.25,72566.0938,15.291,2.0136,7.5157,9.7831,0.9093,14.4886,15.325,0.7696,0.2501,5.6308,0.995835,1.1395,0.172621,0.066044,0.552256,0.377523,0.004836,1.002686,3.663854,4.926694,6.130778,7.358316,7.637941,7.7764,7.9083,8.0332
"12",2.622,0,26.895374,24.273375,16.399345,10.496,7.9729,0.7492,1.7739,4.11185,0.361643,7.556181,4.001234,0.36842,125.3462,213.5295,183.0614,272.0275,279.3068,463.4547,81906.6875,72566.0938,15.9631,2.3894,8.6369,9.4983,0.8354,13.0915,13.8647,0.6964,0.2297,5.4538,0.459825,0.975,0.173544,0.095646,0.21092,0.153251,0.006271,1.80532,4.180793,5.954586,6.921882,7.483462,7.626019,7.7046,7.7888,7.8759
"13",1.9325,0,13.829118,11.896572,13.012847,0.8163,0.6077,0.0618,0.1468,3.413821,0.286623,5.89952,3.125101,0.287778,113.1068,211.5364,176.0858,283.711,280.3423,463.4077,81901.0625,72566.0938,12.2394,1.993,6.9756,7.8378,0.6581,10.1587,10.7626,0.5406,0.181,4.4918,0.295649,0.6835,0.118596,0.061458,0.100969,0.133221,0.004624,1.847604,4.145159,6.174985,7.17584,7.653494,7.745077,7.7973,7.8574,7.9225
"14",3.617,0,13.301814,9.684793,13.295855,0.006,0.0044,5e-04,0.0011,3.603922,0.29224,5.955222,3.15401,0.290462,102.0625,209.4996,169.1684,293.7172,281.4015,463.5576,81895.4375,72566.0938,11.0443,2.0364,6.9173,8.2611,0.6699,10.2383,10.8448,0.5448,0.1842,4.7278,0.274204,0.6443,0.090924,0.055078,0.084858,0.134263,0.005489,1.867018,4.161818,6.220116,7.297084,7.799818,7.878896,7.921527,7.9716,8.0268
"15",23.9637,0.9031,17.107278,-6.856454,13.87239,3.2349,2.3291,0.4916,0.4141,3.861336,0.304702,6.150861,3.255647,0.299838,92.5304,207.8532,162.2684,301.895,282.4699,463.9052,81889.8125,72566.0938,9.9836,2.0971,6.9002,9.0132,0.7112,10.767,11.3979,0.5726,0.1956,5.1529,0.481897,0.879,0.043327,0.29968,0.044609,0.137607,0.031167,1.895903,4.169504,6.193986,7.378311,7.928023,8.010504,8.052594,8.1018,8.1565
"16",31.9335,46.3251,24.930338,-7.003158,15.359641,9.5707,7.4683,0.8617,1.2406,4.391815,0.338713,6.738176,3.562786,0.32815,127.09,205.9927,156.1223,309.5598,283.443,464.4893,81883.1406,72567.1016,11.0654,2.0812,6.627,10.3361,0.7971,11.893,12.5767,0.6318,0.2192,5.9041,0.821467,1.1138,0.032993,0.475737,0.171556,0.174178,0.052374,1.816231,4.210055,6.072537,7.355543,8.02824,8.128171,8.176905,8.2299,8.2877
"17",78.4014,31.5831,77.562037,-0.839389,37.278956,40.2831,30.4392,3.5156,6.3282,10.953586,0.840536,16.173175,8.526156,0.785494,131.9031,206.6006,160.2711,304.2301,283.2255,466.3781,81861.4609,72575.3125,13.4392,2.0585,6.5153,25.5897,1.9638,28.3422,29.8825,1.5016,0.54,14.6144,2.09985,3.039,0.293904,0.774825,0.496045,0.828977,0.107956,0.89459,3.16079,4.470692,6.242585,8.194807,8.457245,8.5786,8.6719,8.7468
"18",117.5444,51.5969,117.011134,-0.5333,59.170054,57.8411,41.5752,5.1166,11.1493,16.815751,1.342478,26.070392,13.680446,1.260987,143.6178,209.6709,173.9763,285.2452,281.7817,468.2655,81827.0703,72590.2188,14.0836,2.0901,6.9335,40.3098,3.2186,46.8804,49.2006,2.4737,0.8851,23.0555,4.310315,6.2049,0.406503,1.980654,1.197943,1.131711,0.163528,1.524907,3.635715,4.615647,6.184485,8.455119,8.830507,9.012149,9.157314,9.2739
"19",145.1526,67.0892,151.448333,6.295682,82.121108,69.3272,49.3323,5.9929,14.0021,21.879721,1.891286,37.127588,19.430279,1.792237,161.4921,214.2561,193.1962,256.5194,279.0634,468.1273,81777.5547,72604.3438,15.6702,2.1233,7.6158,52.3292,4.523,66.5913,69.6995,3.5067,1.2438,30.0249,5.231126,8.8423,1.073955,2.04338,1.675041,1.512704,0.145589,2.031007,4.642966,5.428167,6.560822,8.969496,9.354711,9.538895,9.6955,9.8283
"20",131.8278,54.8952,140.886696,9.05886,72.35896,68.5277,51.2231,5.5663,11.7384,17.796861,1.668828,33.620895,17.643693,1.628685,171.7444,217.5822,206.8323,240.3168,276.9603,465.4464,81733.1484,72618.3438,17.1954,2.1638,8.322,42.0462,3.9423,59.5637,62.5154,3.1477,1.0841,24.2095,4.723534,7.2774,1.256259,1.06302,2.199249,1.461266,0.015252,1.515405,4.308525,5.117065,6.261843,8.798915,9.199928,9.387003,9.5512,9.6958
