"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00325062299563012,0.00325052512483358,0.00325149264320522,0,0,0,0,0.000877080486820189,7.34740557867184e-05,0.00145843052601021,0.000774383949344263,7.92173641417243e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00762502697127199,0,0.00214946816370319,0.00223563864708066,0.00829834078352528,0.00178336894938183,0.000563217923061505,0.0297069465443013,0.0659473613505362,0.0700567260205717,0.0150266792585414,0.00136683258031304,0.00012298410539718,2.41397069348219e-05,0,0
"2",0,0,0.00293033723530676,0.00293247623583676,0.00293083855393956,0,0,0,0,0.000814020428808183,6.68953659079538e-05,0.00130221399261612,0.000691790364066774,7.06712732141875e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00893943399776523,0,0.00222818387184125,0.00237732778025023,0.00971634775352008,0.00147511726377389,0.00153831159559117,0.0314308976431362,0.0576350730514962,0.103330996002699,0.0205702469133492,0.00176475649622887,0.00015509464432207,0,0,0
"3",0,0,0.00351412423489507,0.00351499924315195,0.00351372972112345,0,0,0,0,0.00100336356166334,7.77795559169527e-05,0.001544449185494,0.000819916805007843,8.00550912514185e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104592126500285,0,0.00281498876792201,0.0023783127934498,0.0111813888024298,0.00154717314139657,0.000810526412976323,0.0345676879084308,0.0614359800697789,0.0961825884815647,0.0233682869039571,0.00227926278381308,0.000202202699941515,3.61227033787993e-05,0,0
"4",0,0,0.00235629545187207,0.00235563643332582,0.00235630649972395,0,0,0,0,0.00068688941915587,5.84036125931192e-05,0.00102561211010829,0.000545319269980795,5.72373324365154e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813794989275025,0,0.00104621809610101,0.00288531351297156,0.00837491726756014,0.00190852008053245,0.00281112804435578,0.0230651871024742,0.0538772404088047,0.0711448209999169,0.0199144448636776,0.00233592093471208,0.000241754110823855,4.33561935490169e-05,0,0
"5",0,0,0.00881017841632376,0.00880749628564459,0.00880790403597912,0,0,0,0,0.00262014651795492,0.000189546447372197,0.0038068377253219,0.00200928605751437,0.000187254823001928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204814921595611,0,0.00621262910213715,0.00579369078099025,0.0229602897379301,0.00609273214658416,0.00141199959125043,0.023400620398401,0.0522343370488596,0.035458979885341,0.0093945730699342,0.00171406174197747,0.000226834185023024,3.89619823948578e-05,9.9598391951439e-06,0
"6",0,0,0.00962634316474583,0.00962913851063084,0.00962767574446089,0,0,0,0,0.00277989708723745,0.000209216498121354,0.0042181087376506,0.00221743388312981,0.00020610482380766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250536991824651,0,0.00694764681258805,0.00561172555346167,0.0283905378829385,0.00643037875259332,0.00150238942620612,0.0240356406205468,0.0472006892017717,0.0289058186208293,0.00586184459740861,0.000955327200554978,0.000163303079553078,4.18658033599475e-05,0,0
"7",0,0,0.00635320006470138,0.00635316491276731,0.00635387121042885,0,0,0,0,0.00172283733909909,0.000142254957544223,0.00285688258705759,0.00149401054045484,0.000140328272447498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397804730957217,0,0.00288158957468858,0.0104405011032313,0.0424576892299793,0.00502985251001906,0.00127032755784027,0.0121454061447463,0.0162788162578707,0.00939034854153257,0.00319132523468026,0.000547141927270398,0.000110948542839881,3.20545627013561e-05,0,0
"8",0,0,0.00552541912555349,0.00552635976974078,0.00552629428251849,0,0,0,0,0.00134703383785295,0.000124016127983406,0.00258250599892187,0.00135579301864959,0.000127397095885568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388668612492279,0,0.00229984830901713,0.0108458540050195,0.0421638523982109,0.0046261759551422,0.000676771778430632,0.0111839743635762,0.00671007238282609,0.00201444319920062,0.000746024869701032,0.0002651331574557,6.18680475738761e-05,0,0,0
"9",0,0,0.0184867963226879,0.018484947008087,0.0184868232508404,0,0,0,0,0.0042543136613864,0.000402253123232532,0.00876603530165266,0.00463455036807545,0.000426121060634891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373630151910728,0,0.01655498992276,0.00443987713545723,0.0394883147018962,0.00536803227831969,0.000730407523441949,0.0187699399501294,0.0174228883747396,0.0078836749820401,0.000835075242910861,0.000110015302269361,5.00036070842017e-05,1.46830236110865e-05,0,0
"10",0,0,0.0159343986746359,0.0159331482786089,0.0159313421432398,0,0,0,0,0.00369547632254639,0.000347906651382459,0.00752665085587292,0.00399367507958301,0.00036853449682587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260570756114119,0,0.012102306251008,0.00589330588621845,0.0277740505062378,0.00710463890905485,0.00142256663522779,0.0323100880131087,0.0345152568042674,0.0176212141447708,0.00271344607080338,0.000165377929964795,5.00464713899544e-05,0,8.91734478843235e-06,0
"11",0,0,0.0075077931455143,0.00751081383666102,0.00751372273234757,0,0,0,0,0.00176178870437907,0.000162041584014409,0.00353404591382766,0.00188251793818149,0.000177060840058336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165544095621651,0,0.00577866702147564,0.00272212412639818,0.0178467975537868,0.0042371736477329,0.000245283444072102,0.0245377851396396,0.0686557559341223,0.0285491168393106,0.00528174530879841,0.000362764878004264,3.22931214254124e-05,0,0,0
"12",0,0,0.00456288982631999,0.00456322803508661,0.00456267517686056,0,0,0,0,0.00113693502122372,9.98788845710906e-05,0.00210541642356881,0.00112285786258062,0.000106060632260182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107954070171222,0,0.00343734427011065,0.00231006804851666,0.0114539426226608,0.00207822449077768,0.000291615567620381,0.0417556449612776,0.171960118811553,0.0464281572122376,0.00885236426873028,0.000685471182095184,6.28271796996233e-05,0,0,0
"13",0,0,0.00434210039401015,0.00434166305880964,0.00434447835122801,0,0,0,0,0.00112702796063278,9.50348527988299e-05,0.00197353719451047,0.00105406292853636,0.000100355280701773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754355362163516,0,0.00246047439093702,0.00146826702479904,0.00707790036006541,0.00242438500351957,0.000657982432716503,0.0392538789699614,0.0978378558116419,0.0516102305900984,0.0118412841796,0.00102931716572458,8.28536629177956e-05,1.53202290725884e-05,0,0
"14",0,0,0.00338966371195731,0.00338838944131459,0.00339023766465504,0,0,0,0,0.000913594148699006,7.60431793802656e-05,0.00152093182860197,0.000809921914146062,7.96814801352992e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00695921028390083,0,0.00226295717820306,0.00147664206345584,0.0071309866485054,0.00172316988974909,0.000108791687469793,0.0284568748990123,0.060100971120434,0.0497531535843022,0.0117436982478721,0.00121775895551932,0.000159089972149352,3.0556626365247e-05,0,0
"15",0,0,0.00164884455809323,0.0016483704833868,0.00164776401602447,0,0,0,0,0.000456985153874494,4.56720030623472e-05,0.000733133828452094,0.000390638498965182,3.94445400972889e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00453823488945026,0,0.000756126613015188,0.00186446980541671,0.0047856477941465,0.00123486726181749,0.000528380290570084,0.019995636897831,0.0421322236510199,0.0633768768548889,0.0133524731461343,0.00131397782151406,0.000148199481012386,0,0,0
"16",0,0,0.00229429421214095,0.00229728785810703,0.00229535750857779,0,0,0,0,0.00065130727181926,5.75296386103419e-05,0.00100859097334005,0.00053631773551397,5.56870010340623e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00939781319380479,0,0.00171749461002675,0.00390165477457449,0.0105551214743686,0.0015466109954162,0.00203403957532492,0.0219811053093616,0.0501110393303265,0.0878817350697957,0.0180336864243588,0.00162503677775557,0.000161327657971194,6.318214912392e-06,0,0
"17",0,0,0.00779149311556778,0.00779042781437978,0.00779321013758104,0,0,0,0,0.00228636858853626,0.000170651938659751,0.0033780316985358,0.00179367068020252,0.000168248670813382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177260661061387,0,0.00449820994902317,0.00489676330055306,0.0208367970826932,0.0062505660857866,0.000995972068243604,0.00757630558865899,0.0607203570803724,0.05689788300826,0.013607188357261,0.00171508661127311,0.000184353498542593,3.08145919685077e-05,0,0
"18",0,0,0.00724967781469194,0.00724885708910006,0.00724870211587764,0,0,0,0,0.00205707548697624,0.000156952949819073,0.00319468611897903,0.00168642985365611,0.000160319695638566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291579564030679,0,0.00159719945285001,0.00971512127576417,0.0332853333766689,0.00683626323586652,0.00136864668468345,0.0170362966741231,0.0408154170172569,0.0322718067741013,0.00817525483537035,0.00128188067937399,0.000166366811088025,1.08994309571568e-05,0,0
