"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00344202709243404,0.00345044280572155,0.003447639508681,0,0,0,0,0.00093291061856011,8.09726228830963e-05,0.00154834548385489,0.000822213690919437,8.24131008512534e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00682211673659113,0,0.0021066942364901,0.00220977877223541,0.00732163109000869,0.00192093700831105,0.000513160143944688,0.0293156506620163,0.0640253270198598,0.0760886020214313,0.0162870060372239,0.00146207096789167,0.000123398836004391,2.72659924343655e-05,0,0
"2",0,0,0.0030060576887815,0.00301129188022004,0.00300582246429637,0,0,0,0,0.000837929145289301,6.6507385478846e-05,0.00133707807467544,0.000713319172898269,6.99494767166147e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00890942640060957,0,0.00239415850550772,0.00234923241278783,0.00970213321331391,0.00155591896909313,0.001292103445213,0.0316890094066021,0.062247955627458,0.114630795706226,0.0229192494412338,0.00193760343484089,0.000170572417157479,0,0,0
"3",0,0,0.00396827558406808,0.00397408829516631,0.00397064213823147,0,0,0,0,0.00113324910560455,8.21122660899417e-05,0.00173882899177181,0.000926452449623922,9.14750062458547e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107657674359448,0,0.00303828367286,0.00263825700036975,0.0123099107645142,0.00165469152424373,0.000691269509926147,0.0364831585748268,0.0689735294782489,0.105200395129265,0.0257975876054841,0.00252607792773103,0.00022665552557265,3.78593889719136e-05,0,0
"4",0,0,0.00243343939162819,0.00243661961567972,0.00243571303313789,0,0,0,0,0.000710790568538442,5.88097428882757e-05,0.00105858682242229,0.000558904953882806,5.56322702659959e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00848064052040668,0,0.00112982478305445,0.00286905890317696,0.00915926527643132,0.00206155281280883,0.00270074045215363,0.0236955068621573,0.0600313991914972,0.0786894639797104,0.021890224376016,0.00258437886955716,0.00027578904249375,4.81894409829999e-05,0,0
"5",0,0,0.00950520638833526,0.00950351019679603,0.00950137704001693,0,0,0,0,0.00282622548729761,0.000196237333117547,0.00411110481844986,0.00216665710953597,0.00019584316545275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019398338234566,0,0.00582434944561592,0.00598850211453228,0.0224649702398821,0.00651960555291933,0.00147623736833775,0.024602439950443,0.0551323745473776,0.0395998326060129,0.0108989323450798,0.00192852065562998,0.00025436790344519,4.26401432710227e-05,9.99999999997669e-06,0
"6",0,0,0.0106282039019684,0.0106333104872938,0.0106404383501258,0,0,0,0,0.00306523204256177,0.0002264437406438,0.00466039231885633,0.00244802022669397,0.000224775982756691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230306510519957,0,0.00680694832171844,0.00564656541714527,0.0273140236856269,0.00671888518891476,0.00145856266595064,0.0234930691692231,0.0429229215094813,0.031272005407748,0.00658310632520003,0.00110794878268382,0.000182806405298276,4.60566186470765e-05,0,0
"7",0,0,0.00582471224415915,0.0058263435178402,0.00583720079587107,0,0,0,0,0.00158490225298434,0.000128938948829545,0.0026169718023207,0.00136787492782856,0.000128707639888471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043069695643553,0,0.0028796218887594,0.0095800320532561,0.0426836898332112,0.00456527295697829,0.00135005387097903,0.0115315815800511,0.0154972529334991,0.00932481191079567,0.00328141060453517,0.000634588071272957,0.000125834587591438,4.02015126102748e-05,0,0
"8",0,0,0.00556355193208505,0.00556484310541442,0.00556620393649266,0,0,0,0,0.00135816126443164,0.000124604424585402,0.00259842590267971,0.00136680524057238,0.000130267789455772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379749049912032,0,0.00217325780683045,0.0102517583611276,0.0416552379962623,0.00451718100616128,0.000628233855962712,0.0110229100266012,0.00631356556163079,0.00183667766591882,0.000715944668027325,0.000289548586317472,7.36082999270909e-05,0,0,0
"9",0,0,0.0159760800997468,0.0159656718548821,0.0159697718243314,0,0,0,0,0.00367164661819308,0.00035129054997975,0.00757577818785085,0.00400512600843402,0.000369683184044969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323041339412925,0,0.0139050495515227,0.00427834705644055,0.0332158465741333,0.00504208340376328,0.000573575530238947,0.0159639078719922,0.0175755418612676,0.00812908085551837,0.000874405425695004,0.000117137577750046,4.98887651568696e-05,1.71446607997366e-05,0,0
"10",0,0,0.0154665692264429,0.015484133814973,0.0154816579646152,0,0,0,0,0.00359131092240901,0.000337816817254861,0.00731541964937523,0.00388226464681099,0.00035796281055072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242446975146269,0,0.0105376019352343,0.00608528768938875,0.0254344202476356,0.0070732459366834,0.00152893803509217,0.0331788979273991,0.0337590907173254,0.0182672267941107,0.00276689739819192,0.000168687745718403,4.97569851955083e-05,0,0,0
"11",0,0,0.00821620251931421,0.00821397405017653,0.00821351503882042,0,0,0,0,0.00193114923652665,0.00017705788587209,0.00386575368009285,0.00205328610728848,0.000190721649203091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177153780996094,0,0.00597078747154033,0.0027807934337545,0.0194308359276817,0.0041622763536849,0.000321612100882948,0.0258929320530339,0.0664540959815667,0.0293792334409146,0.00533919857414405,0.000368584516026603,2.77797979064892e-05,0,0,0
"12",0,0,0.00435103424370574,0.00434995646094538,0.0043496982363694,0,0,0,0,0.00108678889440873,9.5742710775626e-05,0.00201365314538008,0.0010742772999425,0.000101000050004987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112163255835394,0,0.00345158066556601,0.00231204575118131,0.0119163056101268,0.00193117015869089,0.000268950447916235,0.0417108049732339,0.177747344624926,0.0469013335620533,0.0088287258423852,0.00068372937525446,6.25630994607538e-05,0,0,0
"13",0,0,0.00422575974879608,0.00422025371442779,0.00422672784584339,0,0,0,0,0.00110120732641839,9.36142957226008e-05,0.00191992844984526,0.00102930544396194,9.60797227895418e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654553120746351,0,0.00234419463459169,0.00138325447018722,0.00658927809844036,0.00253126231135552,0.000657340832214894,0.0434844214993291,0.105141631938384,0.0543138494531942,0.0122363879845766,0.00104910688327037,9.08934329948682e-05,9.99999999997669e-06,0,0
"14",0,0,0.0036356478588465,0.00363846940291656,0.00363508312049793,0,0,0,0,0.000979808268195484,7.92388028606345e-05,0.00163451905013447,0.000870293112123778,8.08727645156441e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00694866275922311,0,0.00240147177094936,0.00157161533063111,0.00752044345081922,0.00189120745994871,9.03137069140982e-05,0.0305533165221887,0.062992208039863,0.0538788434613,0.0125442368352075,0.00128191578538064,0.000170237504918335,3.37997668988843e-05,0,0
"15",0,0,0.00177643696280732,0.00177426581771709,0.00177628485294108,0,0,0,0,0.000486275268097829,4.39926531974743e-05,0.00078612719046979,0.000421498049889479,4.45403006707178e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476209475594999,0,0.000775021016332832,0.00177311117314263,0.00477990913230903,0.00124999030299269,0.000563896974614865,0.019518968344985,0.0444025692563579,0.0737543748471296,0.0149652641240651,0.001414648830322,0.00015827351342065,0,0,0
"16",0,0,0.00225244446337913,0.00225466430120118,0.0022539919693689,0,0,0,0,0.000646678381649627,5.80055727033681e-05,0.000985906238498924,0.000528248487595025,5.12470743190482e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113003770384939,0,0.00141456314418583,0.0033730798503397,0.0120235502916635,0.00166590164260327,0.00206735667855444,0.0235550634501674,0.0504958384523923,0.102352640050233,0.0212343012956667,0.00185712360407384,0.00017200833900387,9.99999999997669e-06,0,0
"17",0,0,0.0077578878725086,0.00775494179360634,0.0077635293442341,0,0,0,0,0.00227411321378038,0.000170607944442998,0.00336099131600522,0.00178967295697547,0.000167042001613485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179516471487587,0,0.00418924790144937,0.00450742092935012,0.0207438885730548,0.00625486606530863,0.000865467702132403,0.00678531569574394,0.0651681518547336,0.0569435972580488,0.014159975032792,0.00191143713451218,0.000207106082221141,2.564323999802e-05,0,0
"18",0,0,0.0083422013421119,0.00834158379458121,0.00834779466431524,0,0,0,0,0.00236626629135791,0.000180557498047029,0.00367430829056864,0.00194655977290585,0.000179997194142064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280735710754669,0,0.00143220533486373,0.00999581346708145,0.0334922465775003,0.00781060991682002,0.00143037044011668,0.016261563531372,0.0395994135631508,0.032399468507924,0.0081180319926903,0.00131774026042285,0.000183619611196929,1.71446607997366e-05,0,0
"19",0,0,0.00704378936985427,0.00704234945586957,0.00703752388445312,0,0,0,0,0.00186501523269419,0.000155631655267194,0.00319138676674418,0.00167774349419779,0.000159050211244638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399341935835909,0,0.00339900445912202,0.0104066849144716,0.0419853341397717,0.00578647639681604,0.00137760552034934,0.0138963570184361,0.0155712172636152,0.0105349482843313,0.0032694329660037,0.000716739953969523,0.00012592686670315,4.68826172261058e-05,1.71446608000411e-05,0
"20",0,0,0.00923391837113917,0.00923724039424171,0.00924420648489419,0,0,0,0,0.00224135127892859,0.00021048045087854,0.00431060929860858,0.00227735891689554,0.000210665132330408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371749168584724,0,0.00610117218411364,0.00935632768113471,0.0405350462531804,0.00628714666055382,0.000780636880626287,0.0168216040744147,0.0111317670373457,0.00540862489292089,0.00112073028139525,0.000328504416279557,7.29950876995573e-05,0,4.87831731213426e-05,0
"21",0,0,0.0189272090767325,0.0189238675654942,0.0189227796824119,0,0,0,0,0.00437850304200981,0.00040419392285476,0.00894849324261538,0.00475473862519683,0.000438661877103826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266510698896428,0,0.0153330130071942,0.00973507762494149,0.027565922656773,0.00498330657740867,0.00918922837793349,0.00240822999673447,0.0220570581250382,0.0131360195299379,0.00178794617233057,0.000182272412403103,5.37859581388657e-05,0,0,0
"22",0,0,0.0139953172543712,0.013997914851935,0.0140024847722815,0,0,0,0,0.00329054353681529,0.000297294195005268,0.00658384923179982,0.00350289923210804,0.000330929209067663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133529968262718,0,0.0127075893970032,0.00892910664369877,0.00740205977339341,0.00250595573412903,0.000496544626047413,0.00879648064382408,0.0548258166995046,0.0280294025997881,0.0045094831614985,0.000291987269682363,4.3519413988823e-05,0,0,0
"23",0,0,0.00586752025470692,0.00587279776046747,0.00586938461489577,0,0,0,0,0.001411881758863,0.000121953791547165,0.00273812053065677,0.00146518485750659,0.000135214009195894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117815402604706,0,0.00355244388777044,0.00238765765781217,0.012682884354734,0.00392059815576525,0.000850727555529603,0.0280162010128411,0.145375930687416,0.0497663855966408,0.00866901483340632,0.000597045757344972,5.22136249101001e-05,0,0,0
"24",0,0,0.00400184439800698,0.00399742985611312,0.00399516108826806,0,0,0,0,0.0010137260004756,8.528028654224e-05,0.00182784826857408,0.000979391689166357,9.27906299693029e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870367918257167,0,0.00248895418384769,0.00239416884209206,0.00863919328444853,0.00232484256010873,0.000535611611132356,0.0262211444287147,0.0720319286388636,0.0690708503105779,0.0146317033329768,0.00117592817412762,9.10322398213228e-05,0,0,0
"25",0,0,0.00228711167151489,0.00228804005050768,0.00228758175876413,0,0,0,0,0.000606113634043784,5.19809599951768e-05,0.00103033582835501,0.000551871014061784,5.77350269189577e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00589082628698507,0,0.00150429519722827,0.00181815646446969,0.0062921015101587,0.00130533443216594,9.15412364991754e-05,0.0214018189305338,0.0512295887020954,0.104290971528816,0.0202822486948862,0.00167435921709735,0.000143983725230721,9.99999999997669e-06,0,0
"26",0,0,0.00305354835818227,0.00306092743587243,0.00305566719722586,0,0,0,0,0.000847224225862841,7.26065917924781e-05,0.00135793366494244,0.000729851237090685,7.03454678602947e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00770684884968683,0,0.00248260107161986,0.00215542538396916,0.00840896203013442,0.00134057842182041,0.000485565379093009,0.0279572910928889,0.061829262620232,0.131501017682431,0.0296472663839418,0.00251899130044492,0.000214756145477173,0,0,0
"27",0,0,0.00352389749217448,0.00352298928970178,0.0035177005517408,0,0,0,0,0.000995794693050258,8.0018937152593e-05,0.00155121848489465,0.000830209904089584,8.21122660899484e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00918727358684806,0,0.00290700998806455,0.00205772135424532,0.00979824535930858,0.00147143131032682,8.10225059143847e-05,0.0337172334918426,0.0698005740114165,0.100336520129598,0.0272803139885363,0.00297326470908714,0.000284301376583483,2.72659924343655e-05,0,0
"28",0,0,0.00157078890299675,0.00157313654393334,0.00157026794342295,0,0,0,0,0.000454689371156243,4.8783173121478e-05,0.000686019112140606,0.000363256872688629,4.79372485441316e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00611216703457832,0,0.000292497086232574,0.00262227039418173,0.00566538122675292,0.00138442819031592,0.000112505892101595,0.0283074476226503,0.053878859359294,0.0614402356486826,0.0194334944637013,0.00264461793845618,0.000303441539141898,3.37997668988843e-05,0,0
"29",0,0,0.0053830058067175,0.00537922716089255,0.00537455245963901,0,0,0,0,0.00162115559233086,0.000117941091270611,0.00229866540111059,0.00122272257894033,0.000119844174921543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165898738434448,0,0.00345777691763382,0.00574756900741083,0.0190970853982243,0.00397629389398132,0.00247992831437613,0.0328937296533101,0.0607808158530105,0.0478583798326064,0.0120844691629171,0.00192657622729956,0.000263716637030282,4.87831731213426e-05,1.00000000001543e-05,0
"30",0,0,0.00766724760644804,0.00767675646995456,0.0076767654173307,0,0,0,0,0.00228705182726707,0.000163580517967697,0.00330580389526357,0.00175388630524251,0.000168066845768212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235575912404156,0,0.00272233912344335,0.00792342034092538,0.0269247412600231,0.00671434248080145,0.00213073018261607,0.0243665588854724,0.054572904911733,0.0337148184157661,0.0073982768946627,0.00119475748775448,0.000192849446695587,4.16333199892256e-05,0,0
