"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt8_sd1.1","QCt9_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00413424721079895,0.00415174662039948,0.00411010948759311,0,0,0,0,0.00113578166916009,8.36660026533983e-05,0.00186010752377391,0.000973139250056259,8.36660026533983e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558453220959465,0,0.00133229125944743,0.00132740348048361,0.00532710052467568,0.00332971470249329,0.00053665631459995,0.0397802966303672,0.126228812083454,0.129174223434863,0.0279017562171271,0.0023763417262677,0.000194935886896112,0,0,0
"2",0,0,0.00338422812469864,0.00337001483676257,0.00337001483676281,0,0,0,0,0.000936482781475473,7.0710678118647e-05,0.00149733095873978,0.000789303490426839,8.36660026534183e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236791047128054,0,0.00128335497817245,0.00160405735558302,0.00475363019175872,0.00277812886670147,0.000130384048104053,0.0344815457890158,0.106755632169923,0.170076518073484,0.0353054103502563,0.00314769757124134,0.000291547594742347,0,0,0
"3",0,0,0.00357309389745073,0.00357309389745083,0.00354471437495279,0,0,0,0,0.00102078401241373,8.36660026533983e-05,0.00156044865343279,0.000857321409974186,7.07106781186666e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00758696250155489,0,0.0025495097567964,0.00213424459704131,0.0093854674896885,0.00208398656425612,0.000506951674225463,0.028254698724283,0.144695863797138,0.177830177416545,0.0420733526118372,0.0040257918475749,0.000364691650576455,5.4772255750389e-05,0,0
"4",0,0,0.00373523760957637,0.00372894086839684,0.00372894086839734,0,0,0,0,0.00110815161417564,8.94427191000066e-05,0.00163859696081737,0.000873498712076929,8.94427190999817e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155327074265886,0,0.000527257053058562,0.00307441051260238,0.0129868394923476,0.003483102065688,0.00289084762656215,0.0254978430460304,0.10098560293428,0.143326574646853,0.0393538181120967,0.00440772049930523,0.000472228758124393,4.47213595498916e-05,0,0
"5",0,0,0.011974013529309,0.0119059648915995,0.0119362892056107,0,0,0,0,0.00355358973433915,0.000244948974278347,0.00516942936889552,0.00270129598526343,0.000244948974278347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268504562344851,0,0.00503716189932387,0.00258166612868512,0.0260145536190803,0.00822605616319266,0.00146526448124562,0.0247663481361302,0.0293686397369712,0.0365126279525314,0.0153589387654226,0.00329044069996723,0.000433589667773692,8.36660026532126e-05,0,0
"6",0,0,0.00493021297714127,0.00488702363407423,0.004887023634074,0,0,0,0,0.00142933550994816,0.000109544511501021,0.00214126131053538,0.00109224539367251,0.000114017542509901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144174546990793,0,0.00169115345252877,0.00803162499124558,0.0135146957050464,0.00471306694202406,0.00194499357325416,0.0178362832451158,0.0389428684100184,0.0270711100622049,0.0049877850795717,0.00151657508881017,0.000277488738510354,7.0710678119118e-05,0,0
"7",0,0,0.00483559717098547,0.00489642726893775,0.00492310877393177,0,0,0,0,0.00133154046127,0.000130384048104039,0.00219043374700143,0.00114324100696139,0.000130384048104039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251429512985251,0,0.00415656107858408,0.00458933546387703,0.0245491955061668,0.00353935022285161,0.000852642949891686,0.00587094540938682,0.0068823687782622,0.00606901969019697,0.0021030929603801,0.000589915248150386,0.000151657508880678,4.4721359550686e-05,0,0
"8",0,0,0.00359304884464496,0.0035520416664222,0.00355204166642116,0,0,0,0,0.000879204185612756,7.0710678118647e-05,0.00164772570532942,0.000851469318295796,8.94427190999817e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442433949872746,0,0.000663324958071099,0.0106872353768409,0.0456608475611218,0.0037165844535003,0.000585662018573852,0.00644996124019364,0.00393484434253768,0.00129807549857467,0.000476445169983152,0.000234520787991572,5.4772255750389e-05,0,5.4772255750389e-05,0
"9",0,0,0.0201274191092633,0.0201186480659108,0.0200861146068622,0,0,0,0,0.0046451049503749,0.000439317652729839,0.0095338869303134,0.0050391467531713,0.000481663783151639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396588829898171,0,0.0158542423344668,0.00601888694029054,0.0437021395357253,0.00459184058956754,0.000541294744108975,0.0119026467644806,0.0103894176930182,0.0148881496499733,0.00142548237449652,8.36660026538495e-05,5.4772255750389e-05,0,4.47213595498916e-05,0
"10",0,0,0.0165581701887609,0.0165507401647193,0.0165905093351592,0,0,0,0,0.00384551687033099,0.000363318042491691,0.00782611014489363,0.00416136996672979,0.000363318042491691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244882012405975,0,0.0113941651734561,0.00508232230382923,0.0188474666732694,0.00765689231999507,0.00153883072493371,0.0423428034027035,0.0236845519273639,0.0289048784809763,0.00496588360717414,0.000303315017761941,0,5.4772255750389e-05,0,0
"11",0,0,0.00752462623656345,0.00752462623656459,0.00755790976394931,0,0,0,0,0.001748427865255,0.00016431676725155,0.00355780831411706,0.00190052624291249,0.000158113883008419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105440504551145,0,0.00653429414703684,0.00245397636500436,0.00859779041382147,0.00257584937447825,0.000364691650576209,0.00998934432282719,0.0538499489321949,0.0411079919237126,0.00848987632418761,0.0005856620185738,4.47213595498916e-05,0,0,0
"12",0,0,0.0077979484481503,0.0078020510123939,0.00782655735301302,0,0,0,0,0.00196137706726677,0.00017888543819999,0.00362049720342391,0.00190971202017479,0.000151657508881014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00977921264724313,0,0.00664266512779321,0.00338082830087539,0.0140530067957003,0.00142021125189178,0.000192353840616714,0.0279004480250766,0.199468187939832,0.0363615456217142,0.00885945822271324,0.00092357999112156,7.071067811849e-05,0,0,0
