"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt8_sd1.1","QCt9_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.0015662056059147,0.00158745078663827,0.00158745078663908,0,0,0,0,0.000449444101084845,4.47213595499909e-05,0.00069785385289477,0.000374165738677383,4.47213595499909e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00977072157007865,0,0.000944986772394198,0.00096332756630338,0.00945023809223874,0.000881476034841558,0.000676017751246223,0.0111091403807855,0.0234132441152441,0.0616136105093672,0.0135287841286642,0.0012461942063738,0.000114017542509648,0,0,0
"2",0,0,0.00236368356596219,0.00238495282972209,0.00236748812035036,0,0,0,0,0.000637965516309543,8.36660026534183e-05,0.00102859126964989,0.000554075807087778,8.36660026534249e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548251766983017,0,0.00226207869005479,0.00201816748561659,0.00740283729390293,0.0008294576541331,0.00134981480211176,0.026861496607598,0.0477471150960975,0.100470607642236,0.0221757750710097,0.00175584737377724,0.000164316767251626,0,0,0
"3",0,0,0.00170967833231874,0.00170967833231874,0.00170967833231874,0,0,0,0,0.000476445169983086,5.47722557505106e-05,0.000758287544404969,0.000376828873628341,5.47722557505106e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00992008064483348,0,0.00135203550249245,0.000965919251283459,0.0101459351466486,0.000664830805543788,0.000277488738510232,0.014938540758722,0.0763144285178106,0.0774985677287006,0.0219456601632304,0.00230152123605242,0.000228035085019725,4.47213595498916e-05,0,0
"4",0,0,0.00187803088366546,0.00187082869338694,0.00187082869338636,0,0,0,0,0.000550454357780972,4.47213595499909e-05,0.000814248119432957,0.000399999999999984,4.47213595499909e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944208663379023,0,0.000554075807087803,0.00429453140633527,0.0127402119291635,0.00154854770672394,0.00273441035691426,0.0147187975052312,0.0448532384561024,0.0554354850253881,0.0149104996562826,0.00207243817760622,0.000228035085020036,4.47213595498916e-05,0,0
"5",0,0,0.0102106317140512,0.0101662185693599,0.0102075952114093,0,0,0,0,0.00303397429125522,0.000234520787991146,0.0044234601840642,0.00231257432313009,0.000192353840616692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203534272298304,0,0.011173047927938,0.00878504410916643,0.0233472054002187,0.00696476848143567,0.00171610023017305,0.0146237820005633,0.0359945829257682,0.043220192040295,0.00940733756171225,0.00152741611881012,0.00019235384061705,4.47213595498916e-05,0,0
"6",0,0,0.00785206979082468,0.00785226082093565,0.0078862538635271,0,0,0,0,0.00225676759990932,0.000158113883008472,0.00343584050852115,0.00181162910111286,0.000192353840616692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761478824393686,0,0.00413485187159103,0.00184336648553672,0.0128472565164708,0.00510959881008282,0.00111669154201149,0.0327833341806474,0.0536042628901844,0.0426582582860576,0.00769239884561358,0.000941806774237389,0.000130384048103749,5.4772255750389e-05,0,0
"7",0,0,0.00746036192151026,0.00745305306569051,0.00747776704638305,0,0,0,0,0.00200174923504404,0.000167332005306797,0.00336110101008362,0.00175982953719926,0.000167332005306903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371660059732007,0,0.00152381101190403,0.00765486773236484,0.0417653205422872,0.00634523443223343,0.000661815684310971,0.0188510742399472,0.0194346340330861,0.0145421112634995,0.00550390770271438,0.00069641941385956,8.94427190997831e-05,0,0,0
"8",0,0,0.00533882009436136,0.00535051399400094,0.00529952828089084,0,0,0,0,0.001314534138012,0.000114017542509969,0.0024813302883731,0.00127867118525459,0.000130384048104039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235372683206864,0,0.00251694258973061,0.00916362373736506,0.0234577918824428,0.00614410286372228,0.000807465169527454,0.00716958855165344,0.0066040139309361,0.0024345430782796,0.00111220501707195,0.000376828873628518,5.4772255750389e-05,0,5.4772255750389e-05,0
"9",0,0,0.0160985092477536,0.016117164763072,0.016095092419742,0,0,0,0,0.00373991978523596,0.000371483512420093,0.00763072735720469,0.00401397558537699,0.000396232255123135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298615639242154,0,0.013594226715779,0.00320499609984162,0.03558950688054,0.00731012995780507,0.000674536878161602,0.034497492662511,0.0111243876235952,0.00549408773137077,0.000583095189484618,0.000151657508880678,5.4772255750389e-05,0,0,0
"10",0,0,0.00996804895654218,0.00994097580723291,0.00996804895653975,0,0,0,0,0.00236283727751209,0.000230217288664401,0.00467600256629501,0.00245091819528893,0.000230217288664401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140800213068021,0,0.0105331381838462,0.0075714595686697,0.0170144644347097,0.00568612345979226,0.00123166553901617,0.0292407763234836,0.0168338052739124,0.0130638049587402,0.00193054396479313,0.000151657508881087,5.4772255750389e-05,4.4721359550686e-05,0,0
"11",0,0,0.00670835300204222,0.00670835300204198,0.00669492344989889,0,0,0,0,0.0015706686474236,0.000130384048104039,0.00317064662174766,0.00165378354085428,0.000167332005306823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133430506257002,0,0.0071036610279489,0.00332189704837462,0.0117049989320803,0.00244601717083097,0.000194935886896179,0.0242140042124387,0.0404078333989834,0.0167789153403908,0.00373724497457681,0.000300000000000041,0,0,0,0
"12",0,0,0.00529688587757073,0.00529688587757073,0.00529688587757051,0,0,0,0,0.00133678719323609,0.000114017542509928,0.0024398770460825,0.00129305839001984,0.000114017542509901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00597143198906259,0,0.00359277051869445,0.00241080899284867,0.00827133604685482,0.00184472220130837,0.000228035085019828,0.0298318956823062,0.0983697260339787,0.0202149202323431,0.00420737447822252,0.000384707681233488,4.47213595502888e-05,0,0,0
