"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.461,0,14.273611,13.812604,14.002909,0.2707,0.222,0.006,0.0427,3.794765,0.284928,6.280949,3.336337,0.305937,148.9371,71.7151,180.3568,294.9485,261.0116,463.6118,82144.9844,72475.8828,12.2489,1.9067,7.5924,8.755,0.6574,10.8684,11.5462,0.5775,0.1808,4.996,0,0,0,0,0.383111,0.8187,0.151207,0.121774,0.129013,0.132326,0.008631,1.875859,4.049033,6.016054,7.18991,7.732253,7.837604,7.898405,7.9624,8.028
"2",4.3333,0.0035,14.028846,9.695524,13.941003,0.0878,0.0709,0.0022,0.0148,3.887568,0.282528,6.185943,3.283821,0.301138,137.6206,69.8639,173.0948,304.8271,261.9326,463.9562,82139.3594,72475.8828,11.3181,1.8516,7.2635,8.9836,0.6529,10.7208,11.3824,0.5694,0.1795,5.1205,0,0,0,0,0.426449,0.8106,0.119009,0.164421,0.126246,0.135782,0.009678,1.907233,4.114797,6.002211,7.274398,7.849802,7.948297,8.003025,8.0612,8.121
"3",10.9973,0,14.210387,3.213121,14.011743,0.1986,0.1603,0.0049,0.0334,3.997756,0.282965,6.162897,3.26839,0.299746,127.1624,68.0777,166.1914,313.2682,262.8003,464.4519,82133.7344,72475.8828,10.4581,1.7862,6.9034,9.1873,0.6503,10.6225,11.2669,0.5636,0.1788,5.2319,0,0,0,0,0.45323,0.765,0.148951,0.105607,0.210291,0.137328,0.006335,1.952454,4.18471,5.947599,7.286898,7.912628,8.017702,8.074076,8.1318,8.1907
"4",30.831,1.4483,23.190434,-7.6406,16.048803,7.1416,5.9761,0.2538,0.9118,4.703794,0.325829,6.982326,3.69771,0.339143,118.2123,66.4523,160.0284,318.8905,263.5389,465.247,82126.7188,72477.2266,9.6743,1.7703,6.7425,11.0576,0.7659,12.3086,13.0367,0.6522,0.2106,6.2923,0,0,0,0,0.73654,1.1609,0.046896,0.463463,0.085707,0.187371,0.056419,1.721195,4.073342,5.756818,7.240644,8.012641,8.135448,8.198008,8.2593,8.3211
"5",70.2384,54.0734,70.055262,-0.183172,35.793297,34.262,27.6849,1.8477,4.7294,10.655334,0.741475,15.477581,8.169445,0.749465,151.7099,66.7822,161.7188,311.2445,263.2932,467.2417,82106.4453,72485.5156,10.2478,1.7357,6.5726,24.7284,1.7207,26.9381,28.4375,1.423,0.4732,14.0738,0.0344,0.0275,0.0069,0.0633,1.819172,2.6558,0.380763,0.49678,0.63288,0.689514,0.022687,1.031192,3.43075,4.715982,6.363593,8.143092,8.409579,8.542145,8.6433,8.7222
"6",110.5754,52.7766,111.155405,0.580026,54.547057,56.6083,44.6531,3.3936,8.5616,15.750465,1.139067,23.932419,12.571263,1.15383,171.0382,69.0968,171.2408,294.3436,262.1074,469.3043,82074.2578,72500.4688,13.1044,1.7539,6.7537,37.0193,2.6779,42.2009,44.3338,2.2195,0.7364,21.097,0.0496,0.0396,0.0099,0,2.71443,4.6926,0.585469,0.873141,0.892225,0.949066,0.162658,1.40495,3.59985,4.643146,6.185459,8.306823,8.676443,8.86391,9.0137,9.1329
"7",152.0779,61.4944,161.682493,9.604595,84.910742,76.7717,58.8834,5.0708,12.8175,23.058112,1.809408,38.210411,19.996189,1.836633,187.6049,73.3662,188.3788,260.3866,259.3195,469.7726,82022.6094,72515.5703,14.1803,1.8802,7.4595,55.8817,4.3859,69.4655,72.7053,3.6425,1.2061,31.9411,0,0,0,0,6.447848,9.9407,0.640344,3.135155,1.716358,1.596343,0.276514,2.279749,4.904188,5.682317,6.72955,9.029482,9.400569,9.584052,9.740083,9.8711
"8",148.7757,56.1901,161.269358,12.493691,80.40074,80.8686,63.8168,5.2095,11.8423,19.822636,1.725905,37.41669,19.630914,1.804597,200.3198,76.9961,202.7168,236.028,256.8173,466.6299,81971.8906,72529.9922,15.3803,1.9891,8.1375,48.1748,4.1931,68.1708,71.5306,3.5866,1.1531,27.6492,0,0,0,0,7.375003,9.8346,0.546543,3.155885,2.430262,1.788857,0.016114,1.802334,4.79198,5.56166,6.574842,9.112757,9.493743,9.671,9.8283,9.9668
"9",97.3019,27.1025,121.736871,24.434954,49.691347,72.0455,60.6882,4.1535,7.2039,11.528629,1.05843,23.534837,12.426359,1.143073,197.9897,77.9055,206.0729,233.1793,255.9162,463.6983,81941.0156,72542.2578,15.8815,1.8008,7.485,26.4851,2.4315,40.537,42.8062,2.1478,0.6687,15.2355,0,0,0,0,2.904691,3.6539,0.948933,0.180405,1.685849,1.038438,0.009906,0.56531,3.533175,4.421067,5.688347,8.214331,8.62766,8.824477,9.0003,9.1568
"10",56.0028,15.9898,88.572197,32.569398,32.279578,56.2926,48.9156,2.8049,4.5721,7.508515,0.680024,15.253343,8.092912,0.744782,190.5018,77.6618,204.8026,239.5013,255.9337,461.9241,81920.5,72549.6719,15.4829,1.8427,7.6664,17.1041,1.549,26.06,27.6534,1.3881,0.426,9.8332,0,0,0,0,1.548932,2.1417,0.66588,0.18793,0.694976,0.666024,0.005851,0.670522,3.235366,4.181349,5.523356,7.622514,8.012103,8.2003,8.3676,8.5151
