"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"69",87.621108,50.166985,173.995944,86.374843,134.852584,39.143369,25.619805,4.821432,8.702115,15.334795,0.839255,61.963439,55.018054,1.697035,160.135565,142.697956,217.414565,190.337167,271.619542,691.520445,79269.35015,73383.623908,20.350388,2.709602,9.215054,39.713939,2.113,126.581876,208.995068,3.519405,0.581073,22.831535,0.000333,0.000201,0.000132,0,18.381292,28.303977,3.741135,4.439089,8.176278,5.765926,0.352352,2.071291,5.281028,5.92411,8.045316,16.52332,16.994347,16.644334,16.250683,15.929118
"70",50.518466,25.381255,115.646832,65.128367,90.829761,24.817073,17.451434,3.989305,3.376334,10.032541,0.54806,41.919953,37.182472,1.14674,152.620807,146.587623,214.505095,195.134019,272.603257,692.492153,79159.542342,73420.270153,20.205385,2.708112,9.002307,24.8172,1.317993,81.735649,134.81935,2.267462,0.362443,14.277235,0.000584,0.000253,0.000331,0,11.13432,13.375724,2.215569,0.979702,6.94868,3.205936,0.0125,0.976525,3.526235,4.11838,5.979627,13.606681,14.473603,14.413284,14.207827,14.043137
"71",27.740518,12.953653,76.71135,48.970843,59.321832,17.38953,12.804478,2.551775,2.033271,6.836095,0.350525,27.245604,24.146064,0.743529,140.213161,148.032891,209.692171,206.206474,273.81468,693.446634,79093.49922,73442.675707,18.884476,2.34555,7.498893,15.662574,0.782328,49.206869,81.104144,1.360613,0.215139,8.997016,0,0,0,0,3.983379,5.275898,3.10877,0.329161,1.931127,1.723091,0.050005,0.029147,2.234688,3.264577,4.789109,10.762464,11.694475,11.819312,11.792836,11.775238
"72",3.56641,0.071622,46.829695,43.263278,39.304793,7.524896,5.485003,0.472336,1.567561,4.719946,0.221746,17.965693,15.911278,0.486128,120.76275,145.254048,201.047244,223.996356,275.702759,694.330177,79050.271176,73457.474844,19.486235,2.801175,8.658423,10.774876,0.492937,32.313175,53.235333,0.886346,0.135554,6.180615,0,0,0,0,2.32151,2.939454,1.75104,0.257717,1.012673,1.051122,0.035372,0.031462,3.745767,4.534113,5.572476,8.687828,9.380178,9.541777,9.60829,9.664126
"73",4.325228,0.002066,22.042184,17.716949,21.616816,0.425365,0.247751,0.026315,0.151285,2.833227,0.120225,9.762422,8.638352,0.262593,106.234973,143.090493,194.552019,238.985159,277.279648,695.134644,79027.43734,73465.070154,14.528819,2.164392,6.495432,6.360117,0.262777,17.237936,28.380913,0.469262,0.072262,3.640315,0,0,0,0,0.6728,1.251659,1.314419,0.246281,0.176533,0.249986,0.017019,1.804307,4.723912,5.779039,6.515807,7.992145,8.394087,8.514565,8.591836,8.655456
"74",10.968145,16.391269,26.933446,15.965294,26.157726,0.775711,0.375221,0.067749,0.332738,3.662682,0.147117,11.697422,10.335421,0.31509,109.411386,140.663209,187.27971,251.326845,279.0753,696.429989,78999.207499,73474.663276,13.131384,2.501421,7.281639,8.446471,0.330519,21.272948,34.965234,0.578772,0.090893,4.825862,0,0,0,0.066446,1.153014,1.587707,0.697769,0.116807,0.530409,0.505794,0.014298,2.077528,5.104691,5.992561,6.703509,7.887323,8.144579,8.24207,8.320675,8.388227
"75",23.89097,32.75577,30.175484,6.284515,27.558943,2.616542,1.558835,0.247695,0.810004,4.104776,0.156707,12.210116,10.759075,0.328276,125.809841,138.606014,180.856158,264.759546,280.73762,698.07615,78969.97547,73484.62117,15.760599,2.367609,6.709869,9.393007,0.350131,22.066115,36.171352,0.599893,0.096287,5.357243,0.000139,8.8e-05,5.1e-05,0,1.09326,1.541494,0.766857,0.105029,0.441946,0.546289,0.02383,0.446759,4.550113,5.552411,6.4592,7.865158,8.06892,8.154251,8.234486,8.3064
"76",54.286637,16.89961,65.319087,11.032455,45.06887,20.250222,14.57368,3.089161,2.587386,7.181092,0.265915,19.760643,17.328839,0.532377,118.61559,141.024079,178.56519,270.495642,282.021313,701.247649,78922.760701,73500.994138,15.64407,2.207253,6.11544,16.354455,0.592409,35.613463,58.081815,0.973016,0.162914,9.305377,0.006652,0.002637,0.004014,0,1.180866,2.554397,1.341467,0.124029,0.087212,0.969614,0.027217,0.14377,2.328138,3.417571,4.829649,8.043962,8.393195,8.512786,8.616064,8.709335
"77",77.257003,42.450075,101.658029,24.401018,65.227784,36.430237,24.365488,6.968183,5.096565,10.529002,0.391613,28.612228,24.924937,0.770007,124.317054,150.493632,181.962159,268.20233,283.071591,705.757267,78854.294765,73524.410314,15.523564,2.273484,6.085045,24.24302,0.882233,52.17251,84.514141,1.424738,0.242611,13.783797,0.027114,0.014038,0.013076,0,1.153724,4.053681,1.973653,0.13154,0.062838,0.959346,0.038713,0.033246,0.424679,3.20957,4.746898,8.580499,9.058452,9.205272,9.322565,9.426175
"78",103.400755,55.639413,146.40533,43.004589,103.79536,42.609977,27.415622,7.113462,8.08089,16.290847,0.637314,45.966893,39.667069,1.233242,135.507477,160.089115,190.991739,253.656152,283.752289,711.646483,78743.205857,73562.090776,16.629278,2.522823,6.671803,38.225707,1.46368,85.533656,137.26265,2.328168,0.402508,21.743911,0.042773,0.026846,0.015927,0,1.567185,8.237479,3.090847,0.144996,0.201563,1.22062,0.035299,0.50025,2.943069,4.152306,5.779667,10.263055,10.702803,10.779024,10.846533,10.903947
"79",103.674365,58.201719,177.662144,73.987795,133.513081,44.149075,28.373544,5.230453,10.545073,19.481471,0.835189,60.145259,51.44414,1.607027,146.501383,165.850747,204.559957,233.58357,284.074672,716.183507,78599.586491,73610.657896,18.106947,2.633635,7.137369,45.711956,1.916176,111.774671,177.777794,3.028867,0.526949,26.059642,0.03935,0.028283,0.011073,0,2.281367,12.634401,5.926026,0.325279,0.130466,1.825622,0.097226,0.064536,2.508068,5.150646,7.016808,12.500102,12.823529,12.736692,12.674023,12.620084
"80",97.810045,54.511333,170.377723,72.567679,128.517374,41.860338,27.051041,5.097862,9.711428,17.081759,0.800097,58.914602,50.149301,1.57162,154.433838,171.444607,216.1118,221.056505,284.51349,717.618016,78461.312809,73657.648828,19.323201,2.652672,7.457263,39.705542,1.815929,108.267923,171.368299,2.926759,0.499378,22.701219,0.037293,0.026114,0.011172,0,2.143918,12.041213,7.084203,0.394458,0.018537,1.730927,0.098308,0.13226,1.230326,4.270387,6.826378,13.461154,13.860579,13.696091,13.527941,13.390607
"81",81.977545,46.851923,158.697444,76.719893,121.827263,36.870175,24.045513,5.26958,7.555085,15.435394,0.758521,56.291889,47.839746,1.501726,157.79013,177.260194,222.510567,213.18096,285.235387,717.743045,78326.426407,73703.502426,20.069667,2.918287,8.293303,36.676315,1.758652,105.777191,167.214413,2.860482,0.483638,21.007841,0.018792,0.008734,0.010059,0,3.907052,14.02383,5.832188,0.466434,1.120764,2.319854,0.100102,1.786366,3.897569,4.943437,6.926679,13.851856,14.422398,14.291689,14.099979,13.938632
"82",48.17839,25.528674,114.923112,66.744713,90.517781,24.405318,16.789251,4.617416,2.998649,11.005319,0.548018,42.078284,35.765317,1.120847,150.71454,181.565972,218.472451,215.715995,286.740013,717.164108,78222.503201,73738.993594,19.839946,3.310727,9.185951,26.987686,1.309375,81.446705,128.798107,2.200621,0.360075,15.478376,0,0,0,0,8.088631,12.378475,2.199037,0.583335,4.57415,2.931143,0.018039,0.896717,3.378798,3.96497,5.700811,12.45801,13.269163,13.290889,13.181009,13.089393
"83",6.00681,0.067314,50.913825,44.907018,43.110557,7.803273,5.754409,0.535551,1.513319,5.258616,0.245268,20.032991,17.042674,0.531009,132.614062,178.508502,210.229181,230.269013,288.800889,716.956131,78175.265083,73755.55031,18.134138,3.082002,8.252398,12.295894,0.558865,36.934353,58.459685,0.991379,0.153686,7.049835,0,0,0,0,3.95588,3.772709,0.947441,0.075586,2.297286,1.583038,0.017782,0.626343,2.832693,3.405101,4.798105,9.808215,10.630403,10.771875,10.794447,10.815295
"84",3.7756,0.099717,38.980503,35.204907,32.966782,6.013726,4.088596,0.457035,1.468095,4.289688,0.185152,15.182066,12.909765,0.400112,114.241493,175.481619,202.25975,247.541974,291.001863,717.179026,78141.034999,73767.138124,18.422432,3.064311,7.981803,9.590856,0.403806,26.766352,42.357781,0.714977,0.111045,5.489043,0,0,0,0,1.664819,2.15376,1.80687,0.25248,0.53849,0.873842,0.031374,0.030939,3.325941,4.45496,5.490121,8.20403,8.79799,8.944542,9.022136,9.08735
"85",3.19722,0.001322,15.711696,12.514474,15.526539,0.185154,0.093797,0.014382,0.076983,2.200983,0.086923,7.056126,5.996936,0.185578,100.505476,173.459322,197.121489,261.866631,292.534664,717.540644,78125.136327,73771.643906,13.736664,2.022914,5.138365,4.853693,0.186715,12.241549,19.367699,0.324685,0.051351,2.773022,0,0,0,0,0.525652,0.810824,1.092992,0.184775,0.137779,0.203099,0.023925,0.753265,4.217837,5.5626,6.391986,7.700635,8.024736,8.118271,8.188741,8.247746
"86",5.206721,0.019361,12.975995,7.769277,12.879994,0.096008,0.047627,0.009881,0.038492,1.924531,0.072166,5.801667,4.928867,0.152766,88.432875,171.757224,192.869863,274.194658,293.833291,717.977028,78111.74312,73774.796251,12.08228,1.711252,4.252186,4.26294,0.155803,10.111733,15.989752,0.267828,0.042848,2.432387,0,0,0,0,0.561202,0.623419,0.717012,0.097981,0.211717,0.251521,0.008518,0.812702,4.479414,5.806181,6.578375,7.535801,7.708484,7.760603,7.816533,7.864183
"87",17.378196,28.744266,27.444674,10.066478,26.691793,0.752874,0.358555,0.059994,0.334324,4.189156,0.152693,11.921838,10.115078,0.313044,105.455694,168.938825,185.941681,283.585956,295.920953,719.167644,78084.368828,73784.388516,11.676019,2.859866,6.932027,9.64581,0.343237,21.667586,34.208216,0.576085,0.094388,5.496123,0,0,0,0.069663,0.743255,1.455101,0.64654,0.099976,0.221348,0.421929,0.010113,0.385845,4.086852,5.369566,6.355915,7.708174,7.883366,7.949852,8.014292,8.07246
"88",40.862534,29.420988,39.008855,-1.853677,30.2056,8.803253,5.914001,1.639037,1.250218,4.996386,0.176209,13.368876,11.31334,0.350797,116.091501,168.75987,180.791831,293.893617,297.88003,720.816825,78053.731869,73795.056175,14.799251,2.769163,6.545484,11.452482,0.394699,24.235539,38.158906,0.644604,0.108544,6.516115,0.032952,0.010805,0.02215,0,0.81118,1.597817,0.71439,0.09222,0.187358,0.5316,0.0155,0.020814,3.164487,4.832096,6.001903,7.798918,8.022561,8.103114,8.178774,8.24783
"89",80.606221,43.790212,97.073443,16.46722,61.541887,35.531549,23.129548,7.723289,4.67871,10.913281,0.38389,26.898451,22.635823,0.710446,122.80291,179.315486,183.583912,290.550367,299.235895,724.959654,77992.566324,73816.393753,15.183698,2.602635,5.94473,24.86207,0.856392,48.549978,75.990022,1.300515,0.23551,14.112324,0.034219,0.016825,0.017391,0,0.839279,2.985468,1.819468,0.11384,0,0.725433,0.019243,0.033211,0.188893,3.018988,4.905023,8.44011,8.799123,8.915054,9.023901,9.124156
"90",97.035709,52.486385,160.539802,63.504091,120.458756,40.081039,25.593314,7.057433,7.43029,20.013567,0.75995,53.580999,44.692649,1.411593,132.737189,187.957026,190.868645,266.66019,300.150096,730.556572,77865.979604,73859.834058,16.30892,3.169823,7.147105,47.821756,1.780104,101.655107,157.700892,2.716038,0.489525,27.179315,0.039145,0.023877,0.015263,0,3.100561,12.122259,3.037616,0.256699,0.763399,2.080461,0.038129,1.772613,4.189278,4.825176,6.327849,10.827284,11.126906,11.146017,11.210025,11.26627
"91",98.233757,53.923407,207.238441,109.004676,166.453179,40.785247,26.025804,5.363762,9.395666,24.248853,1.075873,76.150756,62.978919,1.998787,142.08373,192.811342,200.80685,230.749967,300.554766,732.246019,77674.23234,73925.371012,17.615174,3.664192,8.504969,62.579921,2.709885,155.491868,239.247415,4.143613,0.745219,35.692999,0.040852,0.030958,0.009897,0,17.426785,34.354737,4.231595,6.632585,3.886448,6.907766,0.023492,2.708102,6.33588,6.672032,8.384119,14.694717,14.68892,14.373263,14.194742,14.049894
"92",90.809795,52.591214,185.151256,94.341471,145.133972,40.017267,25.620284,5.070156,9.326827,18.70931,0.948442,67.691651,55.99881,1.785778,149.63163,197.687717,211.559518,213.204847,301.028633,729.942683,77518.074773,73978.885542,18.747719,3.134543,7.532028,44.295142,2.19048,126.616221,194.825236,3.385121,0.602382,25.377076,0.029433,0.018326,0.011109,0,6.096903,16.624768,6.934329,0.521007,2.224147,3.351746,0.154869,0.170498,3.773597,5.850853,7.777232,15.154833,15.335298,14.965207,14.678895,14.455193
"93",73.136323,41.59994,156.677281,83.540969,123.615528,33.061782,21.47163,4.892512,6.697638,14.845899,0.799009,58.163944,48.265829,1.540849,151.004887,202.279355,216.438608,206.40663,301.993595,726.664123,77384.857968,74024.715233,19.426701,3.281965,8.047266,34.764474,1.824682,107.596079,166.107087,2.890065,0.501786,19.963738,0.001429,0.000552,0.000876,0,4.124281,13.686232,7.026756,0.435305,1.006754,2.68222,0.01926,0.81806,3.495517,4.754341,6.784607,14.415071,14.887596,14.621223,14.344191,14.128293
"94",25.277838,8.019648,82.507992,57.230153,66.956309,15.551685,11.821475,2.306141,1.42407,7.902573,0.413124,31.540015,26.266171,0.83443,136.612389,201.268654,208.696887,215.357745,304.220648,724.840521,77310.514369,74050.595934,18.402327,3.758128,9.004048,19.01917,0.967272,59.825021,92.698136,1.604327,0.265992,10.930304,0.004078,0.001222,0.002857,0,6.135275,7.552275,1.367879,0.348187,3.528736,2.258356,0.033376,0.79093,2.885437,3.410624,5.025085,11.494404,12.304497,12.318688,12.224492,12.156744
"95",7.653957,0.648835,53.878092,46.22413,44.128169,9.749914,7.201379,0.900673,1.647861,5.434773,0.265959,20.658804,17.223918,0.544726,120.473543,197.692868,199.927177,228.403738,306.852781,724.042692,77262.626405,74067.447343,16.46327,3.815894,8.853968,12.84385,0.611407,38.452198,59.643583,1.026426,0.168136,7.370599,0,0,0,0,3.908021,4.225587,0.988032,0.324165,2.06392,1.519936,0.013804,1.007398,3.287447,3.849328,5.126881,9.446349,10.21233,10.343216,10.374257,10.40647
"96",3.723247,0.113313,40.191113,36.467863,33.283621,6.907492,4.424788,0.587875,1.894844,4.377508,0.197355,15.432117,12.87067,0.405959,103.800411,193.781852,191.0801,244.490944,309.776737,723.884438,77227.872262,74079.555933,16.729772,3.959872,8.854835,10.091544,0.441914,28.001346,43.45631,0.743622,0.12153,5.781103,0,0,0,0,2.22066,2.176815,0.764559,0.098499,1.142515,0.979635,0.011642,1.295173,4.086619,4.841848,5.851481,8.261883,8.777181,8.911566,8.988828,9.056587
