"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4727,0,14.415999875,13.943331875,14.145207875,0.2708,0.2178,0.0128,0.0402,3.8696005,0.288462625,6.338059625,3.34234075,0.306743875,154.776,164.2445,179.9394,300.1427,263.655,466.7827,82108.6719,72504.6484,12.7291,1.9125,7.5959,8.932,0.6659,10.9726,11.5727,0.5793,0.1831,5.0957,0.38935425,0.8306,0.15188975,0.125426,0.132964875,0.1309645,0.00890725,1.861737375,3.998082875,5.9510305,7.17586725,7.734773375,7.843158,7.904547375,7.9686,8.0343
"2",4.4378,0.0033,14.1536295,9.7158675,14.0707865,0.0828,0.0654,0.0043,0.0131,3.961313375,0.285739625,6.235800125,3.286311625,0.301622375,143.0157,162.3609,172.6776,310.2885,264.596,467.142,82103.0469,72504.6484,11.7618,1.8838,7.263,9.164,0.661,10.819,11.4034,0.5709,0.1818,5.222,0.441523125,0.8261,0.114157375,0.17727875,0.129144125,0.135098875,0.010116125,1.9031955,4.08080075,5.9242655,7.260013375,7.8528375,7.953597625,8.0088,8.067,8.1269
"3",11.2603,0,14.43839525,3.178101,14.241525,0.1969,0.1551,0.0107,0.031,4.10273975,0.28815675,6.255169625,3.2931835,0.30227325,132.1477,160.5043,165.7308,318.9479,265.5104,467.6589,82097.4219,72504.6484,10.8681,1.8559,6.9467,9.4367,0.6628,10.7908,11.3621,0.5689,0.1823,5.3725,0.4580865,0.7869,0.15071825,0.1141135,0.207071,0.13690225,0.00705075,1.954972875,4.157532625,5.8921785,7.2762185,7.917920125,8.025080375,8.0817725,8.1397,8.1987
"4",31.5927,1.1591,21.895597125,-9.697110625,16.245570625,5.65,4.5109,0.3702,0.769,4.807312875,0.330457625,7.05722675,3.71000975,0.34055925,122.6755,158.7632,159.4419,324.7341,266.3126,468.4831,82090.4062,72505.9922,10.0516,1.8576,6.752,11.3018,0.7769,12.4417,13.0813,0.655,0.2136,6.4296,0.765663125,1.1825,0.04641925,0.475527,0.09347275,0.1966635,0.05575525,1.657426375,4.0385215,5.703771375,7.2172725,8.0179325,8.14266475,8.205516625,8.2669,8.3288
"5",72.0956,57.708,70.697223,-1.3984495,36.352435875,34.3448,26.8665,2.4954,4.9829,10.9256265,0.754604625,15.694630125,8.222600125,0.754973375,159.414,158.9814,161.0731,316.8997,266.1229,470.5529,82070,72514.4062,10.6866,1.838,6.5937,25.3968,1.754,27.3602,28.6688,1.4358,0.4824,14.4506,1.94327475,2.7983,0.38141525,0.573857875,0.62437325,0.7450415,0.03397925,0.935339375,3.227308625,4.479112375,6.23787575,8.152346,8.426986125,8.55991775,8.661125,8.7401
"6",113.8627,55.8771,113.954669,0.09189725,55.702951125,58.2517,45.0201,3.9606,9.271,16.23503775,1.165930625,24.408743875,12.72435925,1.168879625,180.2571,161.3779,171.2068,299.5745,264.9478,472.7074,82037.2109,72529.8438,13.8133,1.8471,6.8419,38.2608,2.7484,43.1556,44.9934,2.2545,0.7558,21.7992,2.94097875,4.9949,0.61493925,1.0268345,0.91667625,0.997466125,0.161609125,1.319854,3.434139125,4.458403375,6.091742125,8.329927125,8.71039875,8.898025625,9.04742575,9.1664
"7",156.2705,62.7699,164.12118375,7.8506635,85.600366,78.5208,59.7818,5.3707,13.3683,23.469288125,1.82864825,38.48212625,19.983275625,1.83702525,196.7341,165.7486,188.8203,265.1728,262.1184,473.2227,81985.5391,72545.0234,14.9079,1.906,7.4947,57.0894,4.4487,70.2127,72.9213,3.6565,1.2234,32.6226,6.797602125,10.2929,0.53045,3.441102875,1.70083675,1.6556615,0.27676825,2.21472575,4.818194,5.590998125,6.689967375,9.0592305,9.4384825,9.621792375,9.7770995,9.9076
"8",152.203,56.3627,163.92378375,11.720789625,80.949202375,82.9746,65.6639,5.3807,11.93,20.16741375,1.741978,37.64128,19.5956315,1.80290025,208.838,169.4317,203.1909,240.5473,259.532,470.0674,81934.8359,72559.4688,16.0775,1.9535,8.1745,49.1715,4.2458,68.8002,71.6312,3.5948,1.1676,28.2119,7.675323,10.1135,0.446411875,3.408400375,2.434998875,1.831919625,0.024156125,1.796625625,4.760879125,5.529506625,6.564650625,9.144065875,9.530248625,9.707111375,9.8635,10.0013
"9",99.2849,27.2149,126.110549375,26.825712,51.70229375,74.4082,62.7731,4.3455,7.2898,12.117543375,1.10420475,24.475544125,12.8243035,1.180700375,205.9139,170.3479,206.2692,237.1187,258.5123,466.9802,81903.5703,72572.1875,16.5315,1.8056,7.8077,28.0387,2.5549,42.468,44.5029,2.2349,0.7026,16.1239,3.262885875,4.0701,0.768855125,0.098365625,1.988921375,1.17559875,0.005658625,0.853219875,3.61614975,4.442799125,5.715254625,8.282907375,8.698863375,8.8936525,9.066995375,9.2207
"10",57.1184,16.0787,92.051992625,34.933540875,33.999783875,58.0522,50.1903,3.0933,4.7685,7.97902675,0.718166125,16.063294,8.460038125,0.779260375,197.866,170.0767,204.5609,243.2055,258.4517,465.0653,81882.4219,72580.3828,16.0873,1.8791,8.1398,18.4211,1.658,27.8128,29.2964,1.4719,0.4559,10.5875,2.052663625,2.5617,0.418355375,0.172435625,1.0588205,0.821409125,0.013834125,0.68606875,3.27540825,4.18489075,5.5399775,7.700791125,8.0936075,8.279796625,8.444600875,8.5908
