"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00321404996409779,0.00320943999017039,0.00321285989219407,0,0,0,0,0.000883941471621586,7.72245839330653e-05,0.00143399244887636,0.000756229348995953,7.57121075675642e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00784372431381363,0,0.00205873821315461,0.00220538619811322,0.00859814779208554,0.00165085193800417,0.000599894771917323,0.0271099901635295,0.0567448611565555,0.0867792520471258,0.0176241448248725,0.001512120726301,0.000123333333333232,0,0,0
"2",0,0,0.00287284394341777,0.00286977703001822,0.00286929477838238,0,0,0,0,0.000801248394631129,6.98049229834686e-05,0.00127440816131104,0.000674447772610893,6.30776337443793e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934395088716856,0,0.00229748984675876,0.00242095231283272,0.0101201334981413,0.00137175549253981,0.00150610709641067,0.0302414748150599,0.0618877125497983,0.115396135725613,0.025229615814384,0.00213778323777624,0.000200229666113529,0,0,0
"3",0,0,0.00303214745383831,0.00303313868839359,0.00303289890328967,0,0,0,0,0.000868954439646786,7.42912640839486e-05,0.0013266419214991,0.00069930051631699,7.23278171336142e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010598551644904,0,0.00243268899729821,0.00214583905559696,0.0113030831138583,0.00153839612137532,0.000710842436617968,0.0328601466272389,0.064700084648595,0.0829908519967804,0.0228613757241335,0.00249988504786224,0.000241165101249416,4.73115613605534e-05,0,0
"4",0,0,0.00209180676821633,0.00208943349337388,0.00208882452082221,0,0,0,0,0.00061051063244079,5.35223921797768e-05,0.000913124837958653,0.000483672817035843,5.27620922996593e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00914814105971726,0,0.000841813818519573,0.0033215859665728,0.0106078908593956,0.00176253805747292,0.00274398865474581,0.0260145880597635,0.0428426208065725,0.0518924052363361,0.0152412392123237,0.00213976752253729,0.000248632624203082,4.60566186470765e-05,0,0
"5",0,0,0.00867250386176495,0.00867253292139773,0.00867316184350553,0,0,0,0,0.00258749498608791,0.0001983874385075,0.00375018598865384,0.00196484738657364,0.000180490353417465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206719851172274,0,0.00575187935909787,0.00557134180381616,0.0247340863031672,0.00691637633563715,0.00143985794753889,0.0233573376743225,0.0520804371946304,0.0353627506328797,0.00793657942247748,0.00142840272452632,0.000208047682957378,4.99999999998835e-05,0,0
"6",0,0,0.0093295113386604,0.00932757961178259,0.00933037501817599,0,0,0,0,0.00270060430947668,0.000215038169033833,0.00408580395263809,0.00213270137420006,0.000202037600260905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224460420573518,0,0.00650635928235685,0.00494984246254771,0.0246360426401989,0.00642121444506371,0.00138920040950821,0.0206954754241187,0.0438869052856949,0.0298705463524513,0.0058965981461322,0.000845319257123956,0.000139247617537319,4.85236587092779e-05,0,0
"7",0,0,0.00529757863499357,0.00531200888401344,0.00530374976937662,0,0,0,0,0.00144334208129467,0.000125866692347184,0.00239055718115294,0.00123880807817237,0.000117447602759509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353276774203909,0,0.00324525200963818,0.00983465419993621,0.0371289502336727,0.00460010309502389,0.00142198325012511,0.0115002399623625,0.0163714154377177,0.010948926934184,0.00372135578638878,0.000525476214994789,9.3608900552273e-05,0,0,0
"8",0,0,0.00527418441203213,0.00527212021061285,0.00526244556583105,0,0,0,0,0.00128857097263403,0.000128644840353249,0.00246089640397808,0.00128574154211938,0.000124636846214673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375676707133711,0,0.00218388588890482,0.0105606940390232,0.0381319733281532,0.00450543375640274,0.00059858756310758,0.0112600451673924,0.00535056864720795,0.00196471166311805,0.000835993330406881,0.000276112991071379,6.37149586801837e-05,0,4.60566186470765e-05,0
"9",0,0,0.0162809349990854,0.0162797529018548,0.0162878467117373,0,0,0,0,0.00377441827747453,0.000371916956083206,0.00772176747443825,0.00405551513747677,0.000376453412412673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326995470113498,0,0.0151785030070608,0.00592366210441419,0.0344235381503395,0.00518801756575923,0.000570631406443951,0.0204868831896968,0.0135826145561824,0.00861565382946007,0.000947551336526698,0.000123005296756817,4.98887651568696e-05,0,0,0
"10",0,0,0.0153341526460946,0.0153332056648177,0.0153279981166041,0,0,0,0,0.00359043566755186,0.000343885992383477,0.00723122466121819,0.003816875209335,0.000353194655461353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300728334064303,0,0.0118230538364757,0.00599422103851583,0.0310387769694229,0.00699436851396114,0.00153239628811818,0.0298866046139995,0.0290440083356623,0.0193731809572935,0.00300266867834586,0.000189363633938976,4.87831731213426e-05,3.94277244409747e-05,0,0
