"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"27",8.4839,0.0012,13.70464,5.22074,13.48834,0.2163,0.1722,0.0074,0.0367,3.80734,0.27958,5.93928,3.1691,0.29308,127.1574,95.0266,168.5506,305.9117,266.0022,458.7807,81630.9453,72635.2969,10.4576,1.794,6.8924,8.7369,0.6415,10.2219,10.9085,0.5503,0.1764,4.9817,0.36338,0.6946,0.12234,0.07678,0.15466,0.13196,0.00938,1.86004,4.02206,5.81882,7.25056,7.89274,7.99124,8.0388,8.0884,8.1398
"28",20.6635,0.3834,15.18432,-5.47924,13.89282,1.2915,1.0539,0.0628,0.1749,4.00198,0.2871,6.06982,3.23474,0.29918,117.6851,93.2341,161.8211,313.3699,266.8841,459.3969,81625.3203,72635.2969,9.664,1.8309,6.8827,9.3633,0.6717,10.6506,11.3519,0.5727,0.1847,5.3346,0.52884,0.9118,0.04388,0.33468,0.0601,0.13408,0.03112,1.87152,3.99026,5.71156,7.28446,7.97978,8.08874,8.14046,8.1925,8.2455
"29",60.0166,40.9658,47.34864,-12.66802,21.1509,26.1977,20.5063,1.5703,4.1211,6.34664,0.44838,9.0806,4.82864,0.44662,140.4818,93.1423,161.9865,315.1241,267.3759,460.7705,81614.4922,72638.5703,9.6048,1.8047,6.6862,14.8007,1.0457,15.8844,16.8931,0.8523,0.2876,8.4279,1.16754,1.5306,0.15414,0.4795,0.35892,0.32916,0.06868,1.23944,3.84536,5.40638,6.99086,8.10396,8.2438,8.3067,8.3731,8.4462
"30",111.5786,64.7352,99.89422,-11.68442,47.70498,52.1892,40.412,3.2025,8.5748,14.21574,1.02362,20.57334,10.88516,1.00718,172.0811,95.4149,171.5027,301.1746,266.4944,463.6295,81586.5078,72649.8516,12.6527,1.8237,6.8695,33.7425,2.43,36.6264,38.7565,1.956,0.6682,19.2266,2.94112,4.5154,0.35702,1.38434,0.64958,0.9072,0.1965,1.49302,3.484,4.65966,6.34256,8.36104,8.66096,8.80276,8.9182,9.0155
"31",143.9895,54.9698,146.424,2.43452,73.8962,72.5277,56.3554,4.6806,11.4917,20.7067,1.59794,32.766,17.2303,1.59524,185.3493,99.0186,186.0105,273.0383,264.2342,465.47,81541.7812,72663.4141,14.2168,1.8931,7.4802,50.1191,3.8688,59.4983,62.5744,3.16,1.0639,28.6294,5.9201,8.4787,0.42424,2.93776,1.5355,1.44682,0.06674,1.669,4.35872,5.24048,6.48618,8.79338,9.16824,9.3542,9.50836,9.6343
"32",141.6698,51.5198,144.06566,2.39588,61.565,82.5007,65.8904,5.4145,11.1957,16.15166,1.33492,28.00636,14.70926,1.36282,196.1473,102.2872,198.9292,258.3055,262.7227,464.957,81504.9531,72678.6094,14.9615,1.8834,7.6897,37.6648,3.1129,48.9787,51.4484,2.6,0.856,21.5716,3.20492,5.1908,0.99716,0.37206,1.67586,1.15696,0.007,1.58636,4.00412,4.88012,6.16074,8.55312,8.95654,9.1539,9.3247,9.4728
"33",100.7251,43.8492,127.81176,27.0866,57.88722,69.9246,56.3088,4.1725,9.4432,14.4112,1.24844,26.81162,14.108,1.3079,202.2369,104.686,208.0813,249.1018,261.4885,463.1434,81469.5547,72692.3984,15.8351,1.986,8.3876,33.7243,2.9213,47.0463,49.5102,2.5036,0.8034,19.3518,3.33326,5.2174,0.99164,0.49904,1.66966,1.16456,0.01,1.01822,3.71478,4.60428,5.89378,8.28598,8.69978,8.9042,9.0797,9.2288
"34",41.1085,11.2392,76.50344,35.39494,33.9972,42.5063,37.5564,1.762,3.1878,8.23838,0.71796,15.8797,8.38354,0.77762,192.1614,103.7802,203.9576,254.2487,261.5178,461.7089,81448.0703,72701.0469,15.6952,2.0294,8.6194,19.4746,1.6972,28.1533,29.7268,1.504,0.4667,11.1777,2.76208,3.2361,0.21078,0.87418,1.02982,0.85808,0.02866,0.75262,3.21738,4.26068,5.6897,7.74788,8.14088,8.33758,8.5076,8.652
"35",6.4,0,37.14446,30.74442,17.9118,19.2326,17.2976,0.5597,1.3752,4.40184,0.36962,8.32644,4.40526,0.40872,177.5586,101.779,195.6225,267.2907,262.3627,461.0883,81438.1094,72705.3828,14.6028,2.0012,8.3352,10.204,0.8568,14.4759,15.3174,0.7752,0.2356,5.8478,1.08394,1.2922,0.1985,0.20842,0.55438,0.3211,0.00978,1.22482,3.51056,5.01992,6.31848,7.46034,7.7413,7.8871,8.0186,8.135
"36",0.5966,0,21.40374,20.80714,16.11396,5.2898,4.3546,0.15,0.7853,4.16812,0.33228,7.35684,3.8953,0.36144,161.9186,99.5028,186.3682,282.8919,263.5273,460.9061,81431.5469,72705.3828,15.6401,2.2759,9.2543,9.6277,0.7676,12.7456,13.497,0.6831,0.2111,5.5063,0.46576,0.9043,0.1303,0.11088,0.21696,0.1379,0.00376,1.73466,3.81726,5.79038,6.97082,7.57308,7.726,7.8117,7.893,7.9686
