"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00314099533641911,0.00313939766123232,0.00314078463066039,0,0,0,0,0.000835320753676709,7.28077051131755e-05,0.00141093303315505,0.000762720450079811,7.5401663255158e-05,0,0,0,0,0,0,0,0,0.00749937685053182,0,0.00195140054529467,0.00211645936424042,0.00787193360473491,0.00176170831648851,0.000531559923154302,0.0288136375770371,0.0634463539069676,0.0740973058567615,0.0156908140531746,0.00141303662550198,0.000122037479048659,4.79892272479251e-05,0,0
"2",0,0,0.0028688331159016,0.00286866514592394,0.00286842547216736,0,0,0,0,0.000784421949967748,6.61255258605932e-05,0.00127638398303344,0.000687160548371692,6.97478998900838e-05,0,0,0,0,0,0,0,0,0.00871422322486782,0,0.00213878937719449,0.00236595403950163,0.0092840879907312,0.00146216047906277,0.00145241523678323,0.031815689762602,0.0603147165559654,0.106485143065817,0.0214547715579824,0.00184539615637075,0.000167818013846948,0,0,0
"3",0,0,0.00338064717334144,0.00338113464727539,0.00338039909420059,0,0,0,0,0.000950777005310731,7.47675087235126e-05,0.00148761195836726,0.000800958744143321,7.84989437402524e-05,0,0,0,0,0,0,0,0,0.0095647774346688,0,0.00269496211505899,0.00236984681104405,0.0103560801364022,0.00161353513480882,0.000808973123799586,0.0358024536787472,0.0664394842027107,0.102088820755686,0.0245021804796331,0.00237526244937412,0.000216482630848007,3.50459189193404e-05,0,0
"4",0,0,0.00241193155534226,0.00241531141231041,0.00241452228727576,0,0,0,0,0.000692228372894734,5.95790174359812e-05,0.00105464125481261,0.000567876577801234,6.12295526378785e-05,0,0,0,0,0,0,0,0,0.0079976726975511,0,0.000996960088889057,0.00287500939094049,0.00831297962589354,0.00200538877234728,0.00286604039313303,0.0228690748437364,0.058289079211037,0.0757176344756039,0.0212913994613328,0.00247406588513887,0.000257672330800364,5.46352452179558e-05,0,0
"5",0,0,0.00886872076773831,0.00886676197356124,0.00886668704298505,0,0,0,0,0.00259101894983359,0.000188365397687848,0.00384213999217088,0.00206093548422567,0.00019240602942821,0,0,0,0,0,0,0,0,0.0209594240797669,0,0.0061337664956245,0.0055316588379073,0.023674180556252,0.00585340026217741,0.00138670677193943,0.0257264515940937,0.0531979169552413,0.0363433265209063,0.0100522931231669,0.00183166110533844,0.000241664568207801,5.2087101400057e-05,3.15682293803086e-05,0
"6",0,0,0.0101618320405746,0.0101603368571175,0.0101589107770643,0,0,0,0,0.00288406484324473,0.000216495220179896,0.00446377337972832,0.00238025393131806,0.000220574945570021,0,0,0,0,0,0,0,0,0.025282455122754,0,0.00767901810638289,0.00547595179819841,0.0278999369663347,0.0061291170777123,0.00141802572399369,0.0228531674953197,0.0450752779328252,0.0274147562411107,0.00581083300400218,0.0010131895707183,0.00017561800410735,4.37972190073369e-05,4.01894312071469e-05,0
"7",0,0,0.00641318489058933,0.00641465155008578,0.00641486016229558,0,0,0,0,0.00170999565211743,0.000141038092326043,0.00289018430738614,0.0015375722476794,0.000146283278590499,0,0,0,0,0,0,0,0,0.0403101909092761,0,0.00340080388940444,0.0100380390323624,0.0420392203225828,0.00499403289628116,0.00137881823292227,0.0114974119524007,0.0161774899537105,0.00888254971383994,0.00297450691422386,0.000546280958638959,9.19481861589755e-05,6.318214912392e-06,0,0
"8",0,0,0.0053130689250941,0.005315923446041,0.00531674459666942,0,0,0,0,0.00127162457435999,0.000119551600450757,0.00248410769131376,0.00132349019361125,0.00012388808059302,0,0,0,0,0,0,0,0,0.039543969619989,0,0.00251041438028096,0.010833812349309,0.0414994538168177,0.00428962151074088,0.000610311395928341,0.0108595758579988,0.00537690219312095,0.00206285187925637,0.000711904921484918,0.000254224743958857,5.04885947158455e-05,0,5.00400641088757e-05,0
"9",0,0,0.0164486883348147,0.0164497797026139,0.0164515733341933,0,0,0,0,0.00371619148569022,0.000352955798353303,0.00780283133186846,0.00418786415399843,0.000386022884470137,0,0,0,0,0,0,0,0,0.0346113451669902,0,0.0146249639418564,0.00800449497968232,0.0344824465559067,0.00422735108008651,0.000722270163011566,0.0143196227867045,0.0155741530339679,0.00719759437378484,0.000721987903684086,0.000100793644231122,2.74639497718488e-05,0,2.94886276098529e-05,0
"10",0,0,0.0157940938442419,0.0157940241597358,0.015792154865965,0,0,0,0,0.00359940152562692,0.000337201972622759,0.00746498331893005,0.00402362763170718,0.000372655476557658,0,0,0,0,0,0,0,0,0.0224776440224861,0,0.0125826960401688,0.00765145008588788,0.0225087393403848,0.00516304008563285,0.00130671464610016,0.0315545735204918,0.0312768819873994,0.016839977227599,0.00260557450036529,0.000155163757311965,0,0,0,0
"11",0,0,0.0077270053749255,0.00773013203266829,0.0077288193339341,0,0,0,0,0.00177601413632461,0.000161666670109975,0.00364080346898861,0.00196965174993753,0.000181419364930931,0,0,0,0,0,0,0,0,0.0159943658354107,0,0.00633372337124751,0.00235403528525987,0.0172318957594029,0.00378754154325517,0.000198799604036654,0.0215979099003614,0.0633114513409841,0.0277117338184107,0.0051184136875945,0.000351267729852949,1.48459018453639e-05,0,0,0
"12",0,0,0.00431856960658199,0.00431970485798742,0.00432084603067981,0,0,0,0,0.0010534185023447,9.56152946402236e-05,0.0019964424772906,0.00107894470820646,0.000101692885128577,0,0,0,0,0,0,0,0,0.009272493759558,0,0.0033415264832823,0.00185593565467896,0.0100511458065261,0.00194971119591979,0.000246043155704315,0.0415865679770791,0.167052121104076,0.0454396785002316,0.00855591928840727,0.00065681990284214,5.55085795606469e-05,0,0,0
"13",0,0,0.00428588378746784,0.00428151327825847,0.0042807514323599,0,0,0,0,0.00109164720823832,9.60333525897005e-05,0.00194913156757963,0.00105560088407168,0.000101269694885502,0,0,0,0,0,0,0,0,0.00676703743386,0,0.00252316641097549,0.00133053865265629,0.00663332465902764,0.00233638875721694,0.000522975148560641,0.0366246600104597,0.0918857643763715,0.0503192092210645,0.011487451158034,0.000998290241770219,8.51383407997551e-05,4.65378506495098e-05,0,0
"14",0,0,0.00330286970020207,0.0033028961542882,0.00330356642164258,0,0,0,0,0.000872954373766092,7.3803074377544e-05,0.00148447380743816,0.000804871415812475,7.69506517555899e-05,0,0,0,0,0,0,0,0,0.00620226319802337,0,0.00223428998643573,0.00133612000709019,0.0064296738183847,0.00161870255325425,6.07432257865674e-05,0.0278492226074567,0.055093305764313,0.0499838265028172,0.0116446119615671,0.00118976158336471,0.000137654413205496,4.93724140642294e-05,1.70758064621062e-05,0
"15",0,0,0.00149861124756985,0.00149994810865488,0.00150011360959205,0,0,0,0,0.000410047115920273,4.32261147223246e-05,0.000668792948539395,0.000361480145777827,3.98614836120177e-05,0,0,0,0,0,0,0,0,0.00397315708151449,0,0.000684556934369075,0.00139846378641846,0.00391838161349018,0.00111918971189984,0.000390694310283854,0.0160856418120326,0.0383948015435833,0.0658779867123042,0.0136752634219352,0.00131617463557942,0.000147440963356001,0,0,0
"16",0,0,0.00237936798836339,0.00237873717360328,0.00237732032841344,0,0,0,0,0.000661031682880272,5.69143081918226e-05,0.00104746685562227,0.000565801433830868,6.0192077322052e-05,0,0,0,0,0,0,0,0,0.00980338638477636,0,0.0017671632329198,0.00398797040810886,0.0111033329683484,0.00157489594401311,0.00190526614365456,0.0229696538772023,0.0499153407027834,0.0977796892317239,0.0196386009107437,0.00170261233918796,0.000159596058233353,3.66973212478414e-05,0,0
"17",0,0,0.00797159753716858,0.00797544582529557,0.0079732226683719,0,0,0,0,0.00229988780766706,0.000171574694379752,0.00346531265885887,0.00186790475569624,0.000176037889891239,0,0,0,0,0,0,0,0,0.0180117481145024,0,0.00434681130681723,0.00438714562483022,0.0200402280156149,0.00649829181809391,0.00100008528694423,0.00774063342703318,0.0641942684844411,0.0575192924536519,0.0144489730307481,0.00184703308645105,0.000190371327896137,4.91188897547144e-05,0,0
"18",0,0,0.0070331061505033,0.00703262130110314,0.00703337863833156,0,0,0,0,0.00196041429509601,0.000152792969022663,0.00310509403689423,0.00166377019522681,0.000155522907475052,0,0,0,0,0,0,0,0,0.0296008638665037,0,0.00171488875641943,0.00905131574044716,0.0326159659170997,0.00660353490992614,0.00140969935253197,0.0185388655281314,0.0387593713955988,0.0314725291870045,0.00816982824955667,0.00133120229834476,0.000179790570661269,0,0,0
"19",0,0,0.00719384323717464,0.00719202710421306,0.00719063428933506,0,0,0,0,0.0018703409717753,0.000158165332943362,0.00326307620699624,0.00174618535286871,0.000164633679716478,0,0,0,0,0,0,0,0,0.0385675213412116,0,0.00377408831975228,0.00979599669571836,0.0421131196437911,0.00540489536882036,0.00149813746757215,0.0133161239974939,0.0156016102388211,0.0097548245583572,0.00322985261208489,0.000739749700397668,0.000124989618807472,2.26244055712526e-05,0,0
"20",0,0,0.00882432851311743,0.00882557164549354,0.00882639297708706,0,0,0,0,0.00209875255439248,0.000193155320806608,0.0041216370271493,0.00221140635708421,0.000204522416467404,0,0,0,0,0,0,0,0,0.0361026580405818,0,0.00608747919634489,0.00842653192247445,0.0386709828526452,0.00528879510922997,0.000664967972769831,0.014574895560559,0.0114170933341372,0.00479746992438208,0.00102608120794144,0.000327442264947203,7.78817767020155e-05,4.47213595498916e-06,0,0
