 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
      1,         0.0000,         0.6339,         0.6339,       145.7156,       350.0107,        63.9457,     86557.6250,       199.7332,       119.5409,    158027.6250,     10922.0000,       300.0215,         0.0000,         0.3411,         0.2928
      2,         0.0047,         0.5426,         0.5473,       145.3322,       350.0222,        63.8890,     86557.2500,       199.4551,       120.0878,    158027.2812,     10922.0000,       300.0441,         0.0000,         0.3532,         0.1941
      3,         0.0005,         0.4630,         0.4636,       144.9498,       350.0337,        63.8324,     86556.8750,       199.1774,       120.6345,    158026.9062,     10922.0000,       300.0673,         0.0000,         0.3497,         0.1139
      4,         0.0079,         0.4893,         0.4972,       144.5685,       350.0455,        63.7758,     86556.5000,       198.9001,       121.1787,    158026.5469,     10922.0000,       300.0901,         0.0000,         0.3510,         0.1462
      5,         0.0130,         0.6287,         0.6417,       144.1881,       350.0581,        63.7193,     86556.1250,       198.6232,       121.7194,    158026.1875,     10922.0000,       300.1128,         0.0000,         0.3554,         0.2862
      6,         0.0031,         0.5483,         0.5514,       143.8087,       350.0706,        63.6628,     86555.7500,       198.3468,       122.2590,    158025.8125,     10922.0000,       300.1354,         0.0000,         0.3534,         0.1980
      7,         0.0013,         0.6365,         0.6379,       143.4304,       350.0835,        63.6064,     86555.3750,       198.0708,       122.7958,    158025.4688,     10922.0000,       300.1573,         0.0000,         0.3561,         0.2818
      8,         0.0067,         0.5474,         0.5541,       143.0530,       350.0969,        63.5501,     86555.0000,       197.7952,       123.3313,    158025.0938,     10922.0000,       300.1793,         0.0000,         0.3544,         0.1997
      9,         0.0124,         0.5081,         0.5204,       142.6766,       350.1102,        63.4939,     86554.6250,       197.5200,       123.8660,    158024.7344,     10922.0000,       300.2016,         0.0000,         0.3524,         0.1681
     10,         0.0135,         0.6407,         0.6541,       142.3013,       350.1241,        63.4376,     86554.2500,       197.2452,       124.3977,    158024.3750,     10922.0000,       300.2236,         0.0000,         0.3551,         0.2990
     11,         0.0350,         0.7777,         0.8126,       141.9268,       350.1383,        63.3815,     86553.8750,       196.9709,       124.9263,    158024.0156,     10922.0000,       300.2455,         0.0000,         0.3580,         0.4546
     12,         0.0331,         0.7595,         0.7926,       141.5534,       350.1528,        63.3254,     86553.5000,       196.6971,       125.4532,    158023.6562,     10922.0000,       300.2674,         0.0000,         0.3581,         0.4346
     13,         0.0234,         0.7839,         0.8073,       141.1810,       350.1677,        63.2694,     86553.1250,       196.4236,       125.9779,    158023.2812,     10922.0000,       300.2894,         0.0000,         0.3586,         0.4487
     14,         0.0074,         0.7321,         0.7395,       140.8096,       350.1829,        63.2134,     86552.7500,       196.1506,       126.5010,    158022.9375,     10922.0000,       300.3114,         0.0000,         0.3580,         0.3815
     15,         0.0056,         0.5773,         0.5829,       140.4391,       350.1982,        63.1574,     86552.3750,       195.8779,       127.0231,    158022.5625,     10922.0000,       300.3334,         0.0000,         0.3559,         0.2269
