 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1697,         4.9603,         0.1705,         5.1307,         2.2815,         2.9047,       196.3116,        75.0569,       203.0052,       230.8558,       276.6367,       459.0366,         2.2260,     85287.0938,     71474.7969
   1698,         2.7841,         2.4585,         5.2426,         2.4658,         2.9523,       197.0265,        75.2388,       203.7162,       230.4002,       276.5657,       458.9866,         2.2902,     85285.5859,     71475.1719
   1699,         4.9747,        -0.3032,         4.6715,         1.5539,         2.4671,       197.2841,        75.3298,       204.0639,       230.0061,       276.5005,       458.9282,         2.2044,     85284.1641,     71475.6328
   1700,         4.8015,        -0.3162,         4.4854,         1.3350,         2.3995,       197.4318,        75.3998,       204.3274,       229.6851,       276.4420,       458.8665,         2.0858,     85282.8359,     71476.1484
   1701,         4.9216,        -0.3473,         4.5744,         1.5561,         2.5407,       197.6897,        75.4926,       204.6822,       229.3918,       276.3859,       458.8059,         2.0337,     85281.5078,     71476.6719
   1702,         4.7048,         0.0150,         4.7198,         1.7597,         2.6461,       198.0486,        75.6064,       205.1213,       229.0668,       276.3261,       458.7503,         2.0736,     85280.1641,     71477.1797
   1703,         4.9378,        -0.0598,         4.8780,         2.0097,         2.7597,       198.5309,        75.7459,       205.6628,       228.7134,       276.2629,       458.6959,         2.1184,     85278.7969,     71477.6797
   1704,         4.6760,        -0.3713,         4.3048,         1.1762,         2.4116,       198.5961,        75.8028,       205.8743,       228.5039,       276.2137,       458.6309,         1.8931,     85277.5312,     71478.2422
   1705,         4.5468,        -0.1705,         4.3763,         1.4663,         2.5759,       198.8060,        75.8897,       206.2060,       228.3419,       276.1688,       458.5686,         1.8004,     85276.3203,     71478.8047
   1706,         3.5783,         1.3369,         4.9153,         2.4762,         3.0135,       199.5195,        76.0784,       206.9445,       228.1064,       276.1160,       458.5161,         1.9018,     85275.0312,     71479.3672
   1707,         4.6871,        -0.1652,         4.5219,         1.7222,         2.6141,       199.8546,        76.1919,       207.3825,       227.8705,       276.0627,       458.4623,         1.9078,     85273.7578,     71479.9297
   1708,         4.9093,        -0.5551,         4.3542,         1.3397,         2.4504,       199.9979,        76.2677,       207.6693,       227.6380,       276.0094,       458.4082,         1.9038,     85272.4922,     71480.4922
   1709,         3.6400,         0.6223,         4.2623,         1.2521,         2.4188,       200.0970,        76.3344,       207.9202,       227.4494,       275.9605,       458.3492,         1.8435,     85271.2500,     71481.0547
