 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.3337,         0.0000,        14.0229,        13.6892,        13.8029,         0.2200,         0.1652,         0.0068,         0.0480,         3.6655,         0.2794,         6.2011,         3.3497,         0.3072,       136.0000,        14.4646,         0.0000,         0.0727,       143.4662,        68.8880,       173.2539,       283.7015,       254.8439,       455.7938,     82129.0547,     72473.4141,         0.9258,         0.9477,         0.9483,       -54.7832,       150.0000,         0.2120,         0.3785,         0.8138,         0.1462,         0.1225,         0.1256,         0.1304,         0.0085,         1.8304,         4.0375,         6.1132,         7.2067,         7.7290,         7.8317,         7.8921,         7.9559,         8.0215,         0.0000
      2,         3.2918,         0.0027,        13.7576,        10.4659,        13.7154,         0.0422,         0.0310,         0.0015,         0.0097,         3.7486,         0.2765,         6.0970,         3.2915,         0.3019,       136.0000,        14.4646,         0.0000,         0.0727,       132.5651,        67.1029,       166.2512,       293.1977,       255.7218,       456.1311,     82123.4297,     72473.4141,         0.9529,         0.9446,         0.9465,       -47.9618,       150.0000,         0.4940,         0.4317,         0.8093,         0.1092,         0.1790,         0.1179,         0.1347,         0.0093,         1.8651,         4.1143,         6.1668,         7.3037,         7.8483,         7.9439,         7.9981,         8.0561,         8.1159,         0.0000
      3,         8.2374,         0.0000,        13.8855,         5.6481,        13.8264,         0.0590,         0.0434,         0.0020,         0.0137,         3.8673,         0.2778,         6.0935,         3.2864,         0.3014,       136.0000,        14.4646,         0.0000,         0.0727,       122.4912,        65.3776,       159.5826,       301.3109,       256.5509,       456.6155,     82117.8047,     72473.4141,         0.8604,         0.9404,         0.9437,       -68.5474,       150.0000,         0.5330,         0.4431,         0.7612,         0.1484,         0.1093,         0.1959,         0.1379,         0.0069,         1.9695,         4.2230,         6.1433,         7.3291,         7.9130,         8.0141,         8.0700,         8.1276,         8.1864,         0.0000
      4,        24.8494,         0.9430,        19.5665,        -5.2829,        15.7825,         3.7841,         2.9101,         0.1775,         0.6965,         4.5354,         0.3189,         6.8818,         3.7064,         0.3400,       136.0000,        14.4646,         0.0000,         0.0727,       113.6471,        63.7672,       153.4684,       306.7165,       257.2507,       457.3799,     82110.7891,     72474.7578,         0.9525,         0.9362,         0.9408,        16.4024,       150.0000,         0.0000,         0.7382,         1.1459,         0.0462,         0.4607,         0.0896,         0.1879,         0.0531,         1.7243,         4.1399,         5.9041,         7.2810,         8.0121,         8.1302,         8.1922,         8.2533,         8.3150,         0.0000
      5,        60.5984,        50.2522,        62.9587,         2.3603,        35.1617,        27.7970,        21.5434,         1.7668,         4.4868,        10.2640,         0.7249,        15.2406,         8.1815,         0.7507,       129.0000,        14.4646,         0.0000,         0.0727,       144.9837,        63.9201,       154.4441,       299.2496,       256.9822,       459.3004,     82090.3438,     72482.9219,         0.9527,         0.9378,         0.9414,       -47.2565,       150.0000,         0.0000,         1.8179,         2.6346,         0.3816,         0.5092,         0.6366,         0.6721,         0.0257,         1.0840,         3.5225,         4.8399,         6.4177,         8.1362,         8.3976,         8.5297,         8.6307,         8.7094,         0.0000
      6,        99.9487,        50.5757,       102.6738,         2.7251,        53.5775,        49.0962,        37.2794,         3.4421,         8.3747,        15.1616,         1.1134,        23.5595,        12.5876,         1.1555,       129.0000,        14.4646,         0.0000,         0.0727,       163.5444,        66.1357,       163.5729,       282.8331,       255.7926,       461.2736,     82057.9297,     72497.9219,         0.9523,         0.9316,         0.9384,        41.4448,       150.0000,         0.0000,         2.7094,         4.6362,         0.5798,         0.8763,         0.9159,         0.9172,         0.1629,         1.4616,         3.6495,         4.7459,         6.2383,         8.2900,         8.6537,         8.8411,         8.9912,         9.1105,         0.0000
      7,       138.7103,        59.8396,       150.3787,        11.6685,        83.2741,        67.1047,        49.3684,         5.1411,        12.5953,        22.1453,         1.7651,        37.5420,        19.9857,         1.8360,       129.0000,        14.4646,         0.0000,         0.0727,       179.8845,        70.3186,       180.3733,       250.1267,       253.0434,       461.6908,     82005.9453,     72512.9297,         0.9526,         0.9329,         0.9386,         2.6034,       150.0000,         0.0000,         6.3770,         9.7558,         0.6323,         3.1109,         1.7313,         1.5348,         0.2760,         2.3633,         4.9816,         5.7686,         6.7688,         8.9896,         9.3555,         9.5402,         9.6975,         9.8293,         0.0000
      8,       137.9487,        54.7826,       149.7477,        11.7990,        78.9192,        70.8285,        53.6577,         5.3968,        11.7739,        19.0379,         1.6838,        36.7690,        19.6242,         1.8043,       129.0000,        14.4646,         0.0000,         0.0727,       192.5115,        73.8897,       194.4886,       226.7104,       250.5738,       458.6390,     81954.7500,     72527.3125,         0.8782,         0.9344,         0.9394,       -67.5735,       150.0000,         0.0000,         7.2779,         9.6383,         0.5542,         3.1186,         2.4294,         1.7299,         0.0165,         1.8603,         4.8685,         5.6464,         6.6125,         9.0656,         9.4407,         9.6196,         9.7787,         9.9185,         0.0000
      9,        90.0078,        26.5496,       111.6680,        21.6603,        48.7536,        62.9144,        50.2041,         4.5606,         8.1496,        11.0628,         1.0315,        23.1075,        12.4100,         1.1418,       129.0000,        14.4646,         0.0000,         0.0727,       190.5121,        74.8206,       197.9427,       224.0409,       249.6740,       455.8139,     81923.7031,     72539.4219,         0.7375,         0.8575,         0.9418,       -95.4566,       150.0000,         0.0000,         2.7868,         3.5616,         1.0070,         0.2061,         1.5683,         1.0124,         0.0122,         0.5505,         3.5725,         4.4700,         5.7202,         8.1783,         8.5849,         8.7825,         8.9596,         9.1172,         0.3406
     10,        50.0037,        15.7491,        81.4452,        31.4414,        31.7466,        49.6985,        40.7515,         3.1776,         5.7694,         7.2233,         0.6642,        15.0125,         8.1009,         0.7457,       129.0000,        14.4646,         0.0000,         0.0727,       183.4783,        74.6245,       196.8727,       230.1489,       249.6680,       454.0988,     81903.0547,     72546.7031,         0.8616,         0.9414,         0.9443,       -69.5898,       150.0000,         0.0000,         1.5085,         2.1032,         0.6964,         0.1962,         0.6654,         0.6469,         0.0043,         0.6686,         3.2469,         4.1964,         5.5471,         7.6004,         7.9840,         8.1721,         8.3400,         8.4880,         0.3829
