 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_sat_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10,ebu_sum_unsat_d,zwt
      1,         0.0058,         0.0215,         0.0030,         0.0028,         0.0000,         0.0030,         0.0055,         0.5532,         5.9573,         6.9915,         7.0114,         8.4960,         8.4935,         8.4939,         8.4946,         8.4955,         0.0000,       -45.1278
      2,         0.0064,         0.0222,         0.0034,         0.0032,         0.0000,         0.0032,         0.0063,         0.6520,         5.8788,         6.9759,         7.0330,         8.4891,         8.4821,         8.4832,         8.4851,         8.4876,         0.0000,       -45.1719
      3,         0.0058,         0.0204,         0.0028,         0.0026,         0.0000,         0.0033,         0.0052,         0.7432,         5.8045,         6.9606,         7.0536,         8.4825,         8.4713,         8.4732,         8.4763,         8.4802,         0.0000,       -45.2140
      4,         0.0066,         0.0217,         0.0034,         0.0032,         0.0000,         0.0034,         0.0065,         0.8276,         5.7341,         6.9452,         7.0730,         8.4759,         8.4608,         8.4634,         8.4676,         8.4730,         0.0000,       -45.2501
      5,         0.0069,         0.0222,         0.0036,         0.0034,         0.0000,         0.0035,         0.0069,         0.9064,         5.6676,         6.9296,         7.0910,         8.4695,         8.4504,         8.4537,         8.4591,         8.4658,         0.0000,       -45.3231
      6,         0.0070,         0.0220,         0.0037,         0.0035,         0.0000,         0.0036,         0.0070,         0.9793,         5.6045,         6.9142,         7.1080,         8.4633,         8.4404,         8.4444,         8.4508,         8.4588,         0.0000,       -45.3769
      7,         0.0072,         0.0222,         0.0037,         0.0035,         0.0000,         0.0037,         0.0072,         1.0469,         5.5447,         6.8988,         7.1239,         8.4572,         8.4307,         8.4353,         8.4428,         8.4519,         0.0000,       -45.4283
      8,         0.0073,         0.0220,         0.0038,         0.0036,         0.0000,         0.0037,         0.0073,         1.1094,         5.4879,         6.8836,         7.1388,         8.4513,         8.4213,         8.4265,         8.4350,         8.4452,         0.0000,       -45.5886
      9,         0.0068,         0.0206,         0.0032,         0.0030,         0.0000,         0.0038,         0.0064,         1.1669,         5.4338,         6.8687,         7.1530,         8.4455,         8.4123,         8.4181,         8.4277,         8.4389,         0.0000,       -45.7168
     10,         0.0075,         0.0220,         0.0039,         0.0036,         0.0000,         0.0039,         0.0075,         1.2201,         5.3825,         6.8538,         7.1661,         8.4398,         8.4036,         8.4099,         8.4204,         8.4326,         0.0000,       -45.8138
     11,         0.0076,         0.0222,         0.0039,         0.0037,         0.0000,         0.0039,         0.0077,         1.2697,         5.3338,         6.8391,         7.1783,         8.4342,         8.3949,         8.4018,         8.4132,         8.4263,         0.0000,       -45.8760
     12,         0.0077,         0.0222,         0.0040,         0.0037,         0.0000,         0.0040,         0.0078,         1.3157,         5.2874,         6.8245,         7.1897,         8.4288,         8.3865,         8.3939,         8.4062,         8.4202,         0.0000,       -45.9885
     13,         0.0078,         0.0222,         0.0040,         0.0038,         0.0000,         0.0040,         0.0079,         1.3581,         5.2433,         6.8101,         7.2003,         8.4234,         8.3783,         8.3862,         8.3993,         8.4143,         0.0000,       -46.1360
     14,         0.0079,         0.0221,         0.0040,         0.0038,         0.0000,         0.0041,         0.0079,         1.3973,         5.2012,         6.7960,         7.2102,         8.4182,         8.3704,         8.3788,         8.3927,         8.4085,         0.0000,       -46.1866
     15,         0.0079,         0.0219,         0.0040,         0.0038,         0.0000,         0.0041,         0.0080,         1.4332,         5.1610,         6.7822,         7.2195,         8.4131,         8.3628,         8.3717,         8.3864,         8.4030,         0.0000,       -46.2316
     16,         0.0077,         0.0213,         0.0038,         0.0036,         0.0000,         0.0042,         0.0076,         1.4659,         5.1225,         6.7688,         7.2283,         8.4082,         8.3557,         8.3650,         8.3805,         8.3979,         0.0000,       -46.3591
     17,         0.0081,         0.0220,         0.0041,         0.0038,         0.0000,         0.0042,         0.0081,         1.4963,         5.0858,         6.7554,         7.2364,         8.4033,         8.3487,         8.3584,         8.3745,         8.3928,         0.0000,       -46.4727
     18,         0.0080,         0.0216,         0.0041,         0.0038,         0.0000,         0.0042,         0.0081,         1.5244,         5.0507,         6.7423,         7.2438,         8.3985,         8.3418,         8.3519,         8.3687,         8.3878,         0.0000,       -46.6322
     19,         0.0080,         0.0217,         0.0040,         0.0038,         0.0000,         0.0043,         0.0080,         1.5498,         5.0171,         6.7295,         7.2508,         8.3939,         8.3354,         8.3458,         8.3633,         8.3831,         0.0000,       -46.7947
     20,         0.0080,         0.0209,         0.0040,         0.0037,         0.0000,         0.0043,         0.0079,         1.5732,         4.9849,         6.7169,         7.2573,         8.3893,         8.3291,         8.3399,         8.3579,         8.3786,         0.0000,       -46.9535
     21,         0.0066,         0.0183,         0.0025,         0.0023,         0.0000,         0.0043,         0.0053,         1.5939,         4.9537,         6.7048,         7.2635,         8.3849,         8.3234,         8.3345,         8.3531,         8.3745,         0.0000,       -47.0704
     22,         0.0070,         0.0187,         0.0030,         0.0027,         0.0000,         0.0043,         0.0061,         1.6130,         4.9239,         6.6928,         7.2691,         8.3805,         8.3177,         8.3292,         8.3483,         8.3704,         0.0000,       -47.1691
