 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_sat_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10,ebu_sum_unsat_d,zwt
      1,         0.0058,         0.0215,         0.0030,         0.0028,         0.0000,         0.0030,         0.0055,         0.5532,         5.9573,         6.9915,         7.0114,         8.4960,         8.4935,         8.4939,         8.4946,         8.4955,         0.0000,       -45.1284
      2,         0.0064,         0.0222,         0.0034,         0.0032,         0.0000,         0.0032,         0.0063,         0.6520,         5.8788,         6.9759,         7.0330,         8.4891,         8.4821,         8.4832,         8.4851,         8.4876,         0.0000,       -45.1743
      3,         0.0058,         0.0204,         0.0028,         0.0026,         0.0000,         0.0033,         0.0052,         0.7432,         5.8045,         6.9606,         7.0536,         8.4825,         8.4713,         8.4732,         8.4763,         8.4802,         0.0000,       -45.2173
      4,         0.0066,         0.0217,         0.0034,         0.0032,         0.0000,         0.0034,         0.0065,         0.8277,         5.7341,         6.9452,         7.0730,         8.4759,         8.4608,         8.4634,         8.4676,         8.4730,         0.0000,       -45.2541
      5,         0.0069,         0.0223,         0.0036,         0.0034,         0.0000,         0.0035,         0.0069,         0.9064,         5.6676,         6.9296,         7.0910,         8.4695,         8.4504,         8.4537,         8.4591,         8.4658,         0.0000,       -45.3225
      6,         0.0070,         0.0220,         0.0037,         0.0035,         0.0000,         0.0036,         0.0070,         0.9793,         5.6045,         6.9142,         7.1080,         8.4633,         8.4405,         8.4444,         8.4509,         8.4588,         0.0000,       -45.3758
      7,         0.0072,         0.0222,         0.0037,         0.0035,         0.0000,         0.0037,         0.0072,         1.0469,         5.5447,         6.8988,         7.1239,         8.4572,         8.4307,         8.4353,         8.4428,         8.4519,         0.0000,       -45.4266
      8,         0.0073,         0.0220,         0.0038,         0.0036,         0.0000,         0.0037,         0.0073,         1.1095,         5.4879,         6.8836,         7.1388,         8.4513,         8.4213,         8.4265,         8.4350,         8.4452,         0.0000,       -45.5780
      9,         0.0068,         0.0207,         0.0032,         0.0030,         0.0000,         0.0038,         0.0064,         1.1669,         5.4339,         6.8687,         7.1530,         8.4455,         8.4124,         8.4182,         8.4277,         8.4389,         0.0000,       -45.6956
     10,         0.0075,         0.0220,         0.0039,         0.0036,         0.0000,         0.0039,         0.0076,         1.2202,         5.3825,         6.8539,         7.1662,         8.4398,         8.4036,         8.4100,         8.4205,         8.4326,         0.0000,       -45.7876
     11,         0.0076,         0.0223,         0.0039,         0.0037,         0.0000,         0.0039,         0.0077,         1.2699,         5.3338,         6.8391,         7.1783,         8.4343,         8.3949,         8.4018,         8.4132,         8.4264,         0.0000,       -45.8495
     12,         0.0077,         0.0222,         0.0040,         0.0037,         0.0000,         0.0040,         0.0078,         1.3159,         5.2875,         6.8245,         7.1897,         8.4288,         8.3865,         8.3939,         8.4062,         8.4203,         0.0000,       -45.9537
     13,         0.0078,         0.0222,         0.0040,         0.0038,         0.0000,         0.0040,         0.0079,         1.3583,         5.2434,         6.8102,         7.2003,         8.4235,         8.3783,         8.3863,         8.3994,         8.4143,         0.0000,       -46.0897
     14,         0.0079,         0.0221,         0.0040,         0.0038,         0.0000,         0.0041,         0.0080,         1.3975,         5.2013,         6.7961,         7.2103,         8.4183,         8.3705,         8.3789,         8.3928,         8.4086,         0.0000,       -46.1391
     15,         0.0079,         0.0219,         0.0040,         0.0038,         0.0000,         0.0041,         0.0080,         1.4335,         5.1611,         6.7823,         7.2196,         8.4132,         8.3629,         8.3718,         8.3865,         8.4031,         0.0000,       -46.1788
     16,         0.0078,         0.0213,         0.0038,         0.0036,         0.0000,         0.0042,         0.0076,         1.4662,         5.1226,         6.7688,         7.2284,         8.4083,         8.3558,         8.3651,         8.3806,         8.3980,         0.0000,       -46.2933
     17,         0.0081,         0.0221,         0.0041,         0.0039,         0.0000,         0.0042,         0.0081,         1.4967,         5.0859,         6.7555,         7.2365,         8.4034,         8.3488,         8.3585,         8.3746,         8.3929,         0.0000,       -46.4027
     18,         0.0081,         0.0216,         0.0041,         0.0038,         0.0000,         0.0042,         0.0081,         1.5247,         5.0509,         6.7424,         7.2439,         8.3987,         8.3420,         8.3521,         8.3688,         8.3879,         0.0000,       -46.5558
     19,         0.0080,         0.0218,         0.0041,         0.0038,         0.0000,         0.0043,         0.0080,         1.5502,         5.0173,         6.7296,         7.2509,         8.3940,         8.3355,         8.3460,         8.3634,         8.3832,         0.0000,       -46.7026
     20,         0.0080,         0.0209,         0.0040,         0.0037,         0.0000,         0.0043,         0.0079,         1.5737,         4.9851,         6.7171,         7.2574,         8.3895,         8.3292,         8.3401,         8.3581,         8.3787,         0.0000,       -46.8455
     21,         0.0066,         0.0183,         0.0025,         0.0023,         0.0000,         0.0043,         0.0053,         1.5944,         4.9540,         6.7049,         7.2636,         8.3851,         8.3236,         8.3347,         8.3533,         8.3747,         0.0000,       -46.9510
