"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00328960517281061,0.00329220381391869,0.0032917528525248,0,0,0,0,0.000900653306464875,7.24261788198639e-05,0.00147394743889717,0.000778099992929876,7.78594421495041e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00827704564739876,0,0.00216257753710937,0.00229394942127511,0.00862613391986867,0.00183213638871869,0.000556058227058731,0.0301811594494692,0.0697264817942833,0.0874202533752218,0.0184226207643502,0.00162399604614505,0.000136589087951362,4.99868403738329e-05,0,0
"2",0,0,0.00298603059206394,0.00298241242909884,0.0029823668923695,0,0,0,0,0.000840432517839838,6.58428104596255e-05,0.00132204358782921,0.000698732113485604,6.84481583093494e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083520614266891,0,0.00221795745578882,0.00237900927916978,0.00881464297430197,0.00158524556734026,0.00140258155736579,0.0325132592723149,0.0653054711209814,0.119581076991192,0.0252330638752278,0.00218067147231661,0.000194392569760203,0,0,0
"3",0,0,0.00339320763919733,0.00339412790870522,0.0033941139434546,0,0,0,0,0.00098168376146232,7.55725845716999e-05,0.00149344088070483,0.000785257289062047,7.74256859324126e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100207865882434,0,0.00259855324120335,0.00232959363758805,0.0107485441544938,0.0016863211839203,0.000975203339762899,0.0362909289293673,0.0681269428482934,0.0963279863660132,0.0247385325842815,0.00261467057064221,0.000249910259582325,5.04360683684736e-05,0,0
"4",0,0,0.00242424665972093,0.00242090721204328,0.00242242518914263,0,0,0,0,0.000715795603412497,5.76720483675288e-05,0.00105349255046476,0.00055377350988524,5.8809726745659e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00811846402238174,0,0.000984519239442318,0.00321676442577434,0.00897020548279184,0.00199488694788379,0.00295475895823215,0.0219889319262132,0.0557701336673419,0.0664889694579971,0.0193791960384776,0.00245933768617426,0.000270643783678975,4.31701186918139e-05,0,0
"5",0,0,0.00879544496132346,0.00879713896017971,0.00879759399781434,0,0,0,0,0.00264507823081238,0.000183116298967012,0.00379840547438916,0.00199038031151366,0.000185565416523437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203179182559543,0,0.0053564824989824,0.00564406800957801,0.0233786083473364,0.00644267630297085,0.00158612354729011,0.0228550763735346,0.0573875371710303,0.036653585845396,0.00910368565369009,0.00171287603119596,0.000243363543975489,4.59813626840871e-05,4.6706034236221e-05,0
"6",0,0,0.00905550192079903,0.00905631071944408,0.00905807763067893,0,0,0,0,0.00264291789031309,0.000191090886274147,0.00396715332622586,0.00206689844282014,0.000190743007045698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217432764072553,0,0.00578295303473969,0.00621189569457671,0.0245843653884717,0.00630198158257924,0.0015185120008554,0.0224844731945646,0.0486842336132168,0.0325224526019428,0.00642541786476506,0.000966490045224864,0.000166509198794271,4.66355517465662e-05,4.69889071321457e-05,0
"7",0,0,0.00611478342858064,0.00612097707382949,0.00612154316036096,0,0,0,0,0.00168152097279676,0.000133249111871458,0.00274846409603947,0.00142442003323379,0.000135038284741256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360129347098517,0,0.00231355810988606,0.0104565676619133,0.0400288313817925,0.00529509532716924,0.00138111318202162,0.0115540291228831,0.018276267145932,0.0113381629590386,0.00368511228715251,0.00057968268694512,0.000115812483473487,2.95157236885375e-05,8.63852187313775e-06,0
"8",0,0,0.0053854050422114,0.00538753992129141,0.00538881036899475,0,0,0,0,0.00133112263472284,0.000120474209222207,0.0025108601707368,0.00130742615772159,0.000124855806557301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042026077438892,0,0.00188213544533502,0.0118105508138408,0.0442911498759157,0.00454862889363708,0.000713352071522093,0.010610855175545,0.00665244613178798,0.00220567415912701,0.000870995994569668,0.000287718534139093,7.07124502940427e-05,3.49999999999184e-05,0,0
"9",0,0,0.0184681385035677,0.018472168152131,0.0184716548007398,0,0,0,0,0.00429762526954054,0.000394536306622242,0.00876309179925696,0.00459582015610583,0.000420926222409348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362968124838976,0,0.0164556968047794,0.00318559571354014,0.0379419184668139,0.00559307909580491,0.000790347628220382,0.0172834815002483,0.0160364882322958,0.00834193882114579,0.000923295829065596,0.00013022993931,4.83408947502243e-05,4.98594515850048e-05,1.90221477562727e-05,0
"10",0,0,0.0136538388755725,0.0136555058896681,0.0136528626171991,0,0,0,0,0.00320863448770488,0.000290535651706095,0.006449970157884,0.00339671487320099,0.00031399828791257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234083255209924,0,0.00968030309999482,0.00414487647614573,0.0256496549085914,0.00877222153600168,0.00178316205581356,0.0307227560496404,0.0316493728374277,0.0183651478728318,0.00285786422127925,0.00018385389753574,2.84422203729878e-05,2.18217890235484e-05,7.06220126565078e-06,0
"11",0,0,0.00714159800430819,0.00714347801374316,0.00714121135989665,0,0,0,0,0.00169364859146709,0.000150307746128949,0.00336025087826971,0.00177438313966172,0.000166034200963905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016049484848735,0,0.0051018255553766,0.00357012215203502,0.0182214732570295,0.00440699176065104,0.000421292616445718,0.0262601665609154,0.0641815970972395,0.0307054921450491,0.00563910762772735,0.000386725132776207,3.10942862371557e-05,2.28265773075273e-05,0,0
"12",0,0,0.00403101770765136,0.00402959719716858,0.00402887295570775,0,0,0,0,0.00101292091099445,8.71017611301903e-05,0.00185782216465643,0.000983144633778442,9.60315319978032e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104271643474303,0,0.00285530237086594,0.00284291890620682,0.0112639445629759,0.00211488600035232,0.000400364495582848,0.0412530785393337,0.163388990614645,0.0477478199688682,0.00928517971856306,0.000729489813822714,6.09017451012177e-05,0,0,0
