"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","QCt13_mean1","QCt14_mean1","QCt15_mean1","QCt16_mean1","QCt17_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4727,0,14.415767,13.943103,14.144975,0.2708,0.2178,0.0128,0.0402,3.869534,0.288462,6.337958,3.342285,0.306739,154.776,164.2445,179.9394,300.1427,263.655,466.7827,82108.6719,72504.6484,12.7291,1.9125,7.5959,8.932,0.6659,10.9726,11.5727,0.5793,0.1831,5.0957,6.047,4.389,11.7911,0.879,19.1766,10.1127,0.9281,0,0,0,0,0.388865,0.8306,0.151669,0.125172,0.132748,0.130947,0.008885,1.863545,4.001685,5.945295,7.174554,7.734647,7.84314,7.904542,7.9686,8.0343
"2",4.4378,0.0033,14.153399,9.715637,14.070559,0.0828,0.0654,0.0043,0.0131,3.961253,0.285741,6.235697,3.286261,0.301621,143.0157,162.3609,172.6776,310.2885,264.596,467.142,82103.0469,72504.6484,11.7618,1.8838,7.263,9.164,0.661,10.819,11.4034,0.5709,0.1818,5.222,5.9586,4.3276,12.1867,0.879,19.1196,10.0762,0.9248,0.0016,0.0013,3e-04,0,0.44317,0.8261,0.11401,0.177031,0.131119,0.135026,0.010055,1.900949,4.078546,5.915478,7.258211,7.852678,7.953582,8.0088,8.067,8.1269
"3",11.2603,0,14.438207,3.177915,14.241346,0.1969,0.1551,0.0107,0.031,4.102683,0.288153,6.255085,3.293144,0.302263,132.1477,160.5043,165.7308,318.9479,265.5104,467.6589,82097.4219,72504.6484,10.8681,1.8559,6.9467,9.4367,0.6628,10.7908,11.3621,0.5689,0.1823,5.3725,5.9371,4.3163,12.5166,0.8791,19.0728,10.0414,0.9217,0,0,0,0,0.458127,0.7869,0.150651,0.114028,0.207314,0.136783,0.007055,1.954327,4.152576,5.887992,7.274664,7.917723,8.025064,8.081767,8.1397,8.1987
"4",31.5927,1.1591,21.895533,-9.697182,16.245501,5.65,4.5109,0.3702,0.769,4.807295,0.330449,7.057196,3.70999,0.340552,122.6755,158.7632,159.4419,324.7341,266.3126,468.4831,82090.4062,72505.9922,10.0516,1.8576,6.752,11.3018,0.7769,12.4417,13.0813,0.655,0.2136,6.4296,6.8354,4.9767,12.9831,0.893,19.3341,10.1647,0.9331,0.5795,0.4636,0.1159,0,0.76601,1.1825,0.046466,0.475709,0.093742,0.196556,0.055822,1.655372,4.034383,5.700641,7.216229,8.017785,8.142646,8.205512,8.2669,8.3288
"5",72.0956,57.708,70.696912,-1.398764,36.352123,34.3448,26.8665,2.4954,4.9829,10.925536,0.754598,15.694493,8.222531,0.754971,159.414,158.9814,161.0731,316.8997,266.1229,470.5529,82070,72514.4062,10.6866,1.838,6.5937,25.3968,1.754,27.3602,28.6688,1.4358,0.4824,14.4506,14.9805,10.9441,12.909,0.8902,19.3036,10.1165,0.9288,10.2816,8.2253,2.0563,37.1449,1.944777,2.7983,0.381439,0.573385,0.626673,0.74471,0.033508,0.932169,3.226711,4.476257,6.237067,8.152227,8.42697,8.55991,8.661121,8.7401
"6",113.8627,55.8771,113.954613,0.091847,55.702897,58.2517,45.0201,3.9606,9.271,16.235022,1.165932,24.408727,12.724351,1.168876,180.2571,161.3779,171.2068,299.5745,264.9478,472.7074,82037.2109,72529.8438,13.8133,1.8471,6.8419,38.2608,2.7484,43.1556,44.9934,2.2545,0.7558,21.7992,23.5112,17.2623,12.3117,0.8836,19.3093,10.0667,0.9247,21.2201,16.9761,4.244,13.4368,2.934563,4.9949,0.614735,1.027801,0.90915,0.997621,0.161929,1.321152,3.439388,4.462131,6.091888,8.329869,8.710387,8.898023,9.047423,9.1664
"7",156.2705,62.7699,164.121847,7.851329,85.601034,78.5208,59.7818,5.3707,13.3683,23.469471,1.828662,38.482425,19.983435,1.837042,196.7341,165.7486,188.8203,265.1728,262.1184,473.2227,81985.5391,72545.0234,14.9079,1.906,7.4947,57.0894,4.4487,70.2127,72.9213,3.6565,1.2234,32.6226,38.106,28.0851,11.395,0.8862,19.5763,10.1662,0.9345,31.3849,25.108,6.277,0,6.796671,10.2929,0.530429,3.440258,1.700062,1.656343,0.276794,2.216714,4.821554,5.59248,6.690395,9.059245,9.438484,9.621788,9.7771,9.9076
"8",152.203,56.3627,163.923262,11.720262,80.948688,82.9746,65.6639,5.3807,11.93,20.167289,1.741962,37.64104,19.595508,1.802888,208.838,169.4317,203.1909,240.5473,259.532,470.0674,81934.8359,72559.4688,16.0775,1.9535,8.1745,49.1715,4.2458,68.8002,71.6312,3.5948,1.1676,28.2119,37.4333,27.5201,10.1308,0.8762,19.5075,10.1562,0.9344,28.1814,22.5451,5.6363,0,7.679328,10.1135,0.44608,3.407318,2.440283,1.831723,0.024036,1.796821,4.761355,5.529816,6.564774,9.144085,9.53025,9.707107,9.8635,10.0013
"9",99.2849,27.2149,126.108182,26.823335,51.699922,74.4082,62.7731,4.3455,7.2898,12.116987,1.104153,24.474413,12.823713,1.180649,205.9139,170.3479,206.2692,237.1187,258.5123,466.9802,81903.5703,72572.1875,16.5315,1.8056,7.8077,28.0387,2.5549,42.468,44.5029,2.2349,0.7026,16.1239,23.2571,16.9872,8.6868,0.7921,17.6343,9.2435,0.8511,13.6074,10.886,2.7215,0,3.268152,4.0701,0.766778,0.097969,1.994891,1.175298,0.00567,0.853042,3.614842,4.442731,5.715283,8.282917,8.698867,8.893651,9.066998,9.2207
"10",57.1184,16.0787,92.051434,34.932989,33.999226,58.0522,50.1903,3.0933,4.7685,7.978907,0.718157,16.063024,8.459891,0.779247,197.866,170.0767,204.5609,243.2055,258.4517,465.0653,81882.4219,72580.3828,16.0873,1.8791,8.1398,18.4211,1.658,27.8128,29.2964,1.4719,0.4559,10.5875,15.3106,11.1251,9.1335,0.8212,18.2183,9.5966,0.884,8.0393,6.4315,1.6079,0,2.052187,2.5617,0.416865,0.17164,1.058204,0.82234,0.013758,0.689467,3.272045,4.18512,5.540024,7.700796,8.093611,8.279798,8.4446,8.5908
