"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4624,0,14.2831264,13.8207052,14.0123158,0.2708,0.2208,0.0081,0.0419,3.7903492,0.2935456,6.2834084,3.338742,0.3062694,149.6352,97.8096,178.8429,294.3309,268.6111,463.3339,82122.8516,72483.6406,12.3063,1.9024,7.5369,8.7456,0.6773,10.8736,11.5556,0.5782,0.1863,4.9963,6.038,4.3494,0,0,0,0,0.3847938,0.8206,0.1514864,0.1232084,0.1292834,0.1322996,0.0087566,1.872071,4.051239,6.0184406,7.1905828,7.7328374,7.838375,7.8992922,7.9632,8.0288
"2",4.346,0.0033,14.0288988,9.6829068,13.9441004,0.0848,0.068,0.0028,0.014,3.881665,0.290892,6.1855272,3.2846882,0.3013342,138.2657,95.95,171.6355,304.2194,269.5205,463.6816,82117.2266,72483.6406,11.3712,1.86,7.2086,8.9729,0.6724,10.7236,11.3891,0.5699,0.1849,5.12,5.951,4.2895,0.0017,0.0013,3e-04,0,0.4319154,0.8136,0.1171268,0.168539,0.1276106,0.135768,0.009822,1.905408,4.1184,6.0061898,7.2756946,7.8504952,7.9490148,8.0038,8.062,8.1218
"3",11.0292,0,14.2465642,3.2174124,14.0481804,0.1984,0.159,0.0067,0.0327,4.0015296,0.2919884,6.1770666,3.2769472,0.3006436,127.7586,94.1391,164.7694,312.6644,270.3876,464.1797,82111.6016,72483.6406,10.5071,1.8107,6.8661,9.1981,0.6712,10.6494,11.299,0.5654,0.1846,5.2436,5.904,4.2597,0,0,0,0,0.4544692,0.7701,0.1493878,0.1083842,0.2086938,0.1373932,0.006491,1.954955,4.187869,5.9537372,7.2892402,7.9140986,8.0191348,8.0754936,8.1333,8.1922
"4",30.9225,1.3652,22.791896,-8.1306302,16.0703034,6.7216,5.5394,0.3004,0.8818,4.7023572,0.3357704,6.9896824,3.7027574,0.3397352,118.7221,92.4708,158.6185,318.29,271.1323,464.9778,82104.5859,72484.9844,9.7191,1.8047,6.6972,11.0548,0.7893,12.3222,13.0552,0.6534,0.2171,6.2972,6.8216,4.9289,0.6826,0.5461,0.1365,0,0.74489,1.1653,0.0464244,0.4670826,0.0876858,0.1901214,0.055849,1.7076168,4.0692786,5.7543958,7.2377406,8.0139714,8.136757,8.1992988,8.2606,8.3224
"5",70.4879,54.6154,70.0476726,-0.4402304,35.8811836,34.1665,27.4948,1.9425,4.7291,10.6639906,0.7649058,15.5110986,8.1895962,0.7515976,152.86,92.7296,160.2243,310.624,270.8635,466.9795,82084.2109,72493.2812,10.3056,1.7761,6.5326,24.7657,1.7763,27.0153,28.5274,1.428,0.4885,14.1096,14.9063,10.8061,10.1731,8.1385,2.0346,34.2691,1.84738,2.696,0.3829076,0.5194686,0.6303084,0.697601,0.0264254,1.0346974,3.407282,4.6944182,6.3546528,8.14577,8.4133922,8.5459842,8.6471992,8.726
"6",111.0942,53.0956,111.8529282,0.7587306,54.8054972,57.0474,45.0366,3.4303,8.5805,15.7961872,1.177696,24.0403526,12.63146,1.1598006,172.4248,95.0054,169.7462,293.6804,269.6111,469.049,82051.7734,72508.3594,13.214,1.7874,6.7317,37.159,2.7711,42.4279,44.5845,2.2329,0.762,21.1995,23.2971,16.9711,20.317,16.2536,4.0634,12.4616,2.7715332,4.7815,0.6032386,0.9203352,0.8961356,0.9550552,0.162544,1.4059526,3.597125,4.6452534,6.1875758,8.314331,8.6845598,8.8719248,9.0216,9.1407
"7",152.7026,61.5229,162.246436,9.5438608,84.9166254,77.3298,59.3438,5.1218,12.8642,23.0150892,1.8617546,38.2039422,19.9982984,1.8375372,188.9003,99.2744,186.9443,259.8144,266.6941,469.5122,82000.0312,72523.4766,14.2862,1.8833,7.4112,55.8502,4.5186,69.5422,72.8055,3.6489,1.2426,31.9602,38.0448,27.8169,30.7615,24.6092,6.1523,0,6.5671398,10.0355,0.6038278,3.2375722,1.7211086,1.6084574,0.2765116,2.2773094,4.905384,5.6828898,6.7312668,9.0356498,9.4071264,9.5905856,9.7465,9.8775
"8",149.2716,56.2078,161.7422662,12.4706924,80.3566794,81.3856,64.2607,5.2618,11.8632,19.7749828,1.7741784,37.3840412,19.619258,1.8042194,201.525,102.9325,201.3411,235.5636,264.048,466.3732,81949.2031,72537.9062,15.4791,1.9625,8.0863,48.1105,4.315,68.1838,71.5642,3.5897,1.1866,27.6474,37.3975,27.2735,28.1039,22.4831,5.6208,0,7.460356,9.9004,0.513662,3.234465,2.4278148,1.798075,0.018481,1.8084248,4.7925568,5.5615232,6.5760096,9.1169644,9.4983126,9.6756,9.8328,9.9713
"9",97.5866,27.1,122.5701936,24.9835306,50.1075778,72.4626,61.038,4.199,7.2257,11.6022074,1.0975524,23.7244596,12.5302746,1.1530824,199.102,103.8602,204.6568,232.5846,263.033,463.4081,81918.2031,72550.2656,15.9731,1.7824,7.5243,26.7436,2.5298,41.0045,43.313,2.1741,0.6957,15.4047,22.6349,16.4018,13.55,10.84,2.71,0,3.058682,3.7716,0.8258546,0.1253772,1.8453862,1.0879178,0.0059922,0.75082,3.5723184,4.4353694,5.6994984,8.2303068,8.64346,8.8397972,9.015,9.1709
"10",56.1615,15.9824,89.398521,33.237068,32.8335646,56.5649,49.1466,2.8369,4.5814,7.6194656,0.7110436,15.5117728,8.2332836,0.758002,191.5259,103.6132,203.2476,238.7785,262.9728,461.5907,81897.4922,72557.8984,15.5673,1.8452,7.8025,17.4522,1.6286,26.6479,28.2884,1.4206,0.4479,10.0466,14.7834,10.6592,7.9912,6.393,1.5982,0,1.7366714,2.2796,0.5549152,0.1551676,0.8661668,0.7153364,0.008574,0.686537,3.2724382,4.207327,5.5443956,7.6485044,8.0381506,8.2258,8.392699,8.5398
