"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4608,0,14.315957,13.855107,14.044564,0.2714,0.2226,0.006,0.0428,3.804052,0.286848,6.299334,3.347384,0.306946,148.8578,71.68,180.2411,294.6993,261.9012,463.4355,82145.3438,72476,12.2424,1.9058,7.5876,8.7476,0.6596,10.8644,11.5464,0.5775,0.1814,4.9926,0.33661,0.8185,0.198061,0.076414,0.12864,0.131562,0.00586,1.868169,4.037873,6.005769,7.187468,7.731896,7.837418,7.898296,7.962233,8.0278
"2",4.3319,0.0033,14.061569,9.729686,13.975719,0.0858,0.0693,0.0022,0.0144,3.895287,0.28429,6.201047,3.293108,0.301992,137.5473,69.8297,172.9836,304.5749,262.8194,463.7804,82139.7188,72476,11.3121,1.8507,7.2589,8.9761,0.6551,10.7168,11.3825,0.5694,0.1802,5.117,0.38651,0.8103,0.158873,0.125293,0.126105,0.135112,0.007056,1.900708,4.10685,5.987612,7.271386,7.849423,7.948126,8.0029,8.0611,8.1209
"3",10.9936,0,14.243652,3.250081,14.049125,0.1945,0.157,0.0048,0.0327,4.006456,0.284772,6.179045,3.27821,0.300647,127.0948,68.0444,166.0845,313.0133,263.6846,464.2766,82134.0938,72476,10.4525,1.7853,6.899,9.1799,0.6525,10.6185,11.267,0.5636,0.1794,5.2284,0.410505,0.7648,0.191523,0.063633,0.21029,0.13659,0.004049,1.954018,4.177733,5.940311,7.284225,7.912211,8.017534,8.073901,8.1317,8.1906
"4",30.8205,1.4499,23.213947,-7.606548,16.057586,7.1564,5.9883,0.2542,0.9138,4.704063,0.327211,6.985874,3.700993,0.339444,118.1505,66.4198,159.9262,318.6346,264.4199,465.0727,82127.0781,72477.3438,9.6691,1.7695,6.7382,11.0487,0.7685,12.304,13.0368,0.6522,0.2113,6.2882,0.720202,1.1606,0.060953,0.449017,0.083909,0.187272,0.055714,1.724326,4.072378,5.759475,7.240319,8.012331,8.135279,8.197851,8.259101,8.321
"5",70.2,53.9225,70.136383,-0.063658,35.879521,34.2568,27.6807,1.8478,4.7283,10.675972,0.745984,15.51419,8.191852,0.75152,151.5089,66.7504,161.6179,310.9951,264.168,467.0678,82106.7812,72485.6094,10.2389,1.7349,6.5685,24.7088,1.7264,26.9281,28.4377,1.423,0.4748,14.0646,1.72431,2.655,0.48509,0.404344,0.637217,0.682746,0.011459,1.032364,3.424293,4.716648,6.363968,8.142801,8.40931,8.541873,8.6431,8.7219
"6",110.4841,52.7032,111.233597,0.749444,54.661988,56.5716,44.6224,3.3928,8.5564,15.776288,1.145626,23.98161,12.60184,1.156638,170.7933,69.0641,171.1354,294.1,262.972,469.132,82074.5859,72500.5625,13.0852,1.7531,6.7495,36.9893,2.6868,42.1854,44.3341,2.2195,0.7389,21.083,2.575051,4.6912,0.729839,0.749574,0.888602,0.936875,0.162658,1.404115,3.597738,4.647774,6.186318,8.306412,8.675989,8.863472,9.0133,9.1324
"7",151.9648,61.468,161.809664,9.844861,85.095448,76.7143,58.8352,5.0687,12.8103,23.096902,1.819882,38.291461,20.045988,1.841204,187.3662,73.3316,188.2675,260.1664,260.1699,469.6029,82022.9297,72515.6641,14.1611,1.8793,7.455,55.8348,4.4003,69.4401,72.7055,3.6425,1.2101,31.9192,6.236748,9.9374,0.869686,2.940809,1.717676,1.578264,0.276543,2.280211,4.905717,5.683592,6.730057,9.028776,9.399777,9.583294,9.7393,9.8704
"8",148.6814,56.1607,161.367132,12.685793,80.573308,80.7939,63.7522,5.2057,11.8359,19.853949,1.735787,37.495265,19.679264,1.809039,200.0849,76.9594,202.5992,235.8247,257.6533,466.4659,81972.2031,72530.0859,15.3616,1.9882,8.1328,48.1337,4.2068,68.1465,71.5308,3.5866,1.1569,27.6304,7.168927,9.8315,0.761408,2.975808,2.422719,1.770396,0.004128,1.80418,4.793789,5.562879,6.575295,9.111954,9.492851,9.670177,9.8275,9.966
"9",97.2458,27.0896,121.802239,24.55643,49.820062,71.9822,60.6314,4.1507,7.2,11.551408,1.064893,23.594886,12.462481,1.146398,197.7662,77.8684,205.9541,232.977,256.7441,463.5384,81941.3203,72542.3516,15.8634,1.7999,7.4805,26.4617,2.4393,40.522,42.8054,2.1478,0.6708,15.2248,2.761313,3.6526,1.106488,0.059243,1.677464,1.024598,0.006857,0.565564,3.536469,4.422201,5.688915,8.213741,8.626999,8.8238,8.9996,9.1562
"10",55.9706,15.9809,88.630022,32.65938,32.396912,56.2331,48.8618,2.8023,4.5691,7.531499,0.684915,15.308039,8.124747,0.747716,190.291,77.6248,204.6845,239.2927,256.7559,461.7646,81920.7891,72549.75,15.4657,1.8418,7.6618,17.0888,1.5539,26.0504,27.6528,1.3881,0.4273,9.8262,1.41698,2.1409,0.808171,0.072371,0.693712,0.650896,0.003309,0.668107,3.241019,4.182818,5.523978,7.622138,8.011626,8.1998,8.3671,8.5146
"11",13.1995,0.0262,46.90792,33.70841,17.252535,29.6554,26.6907,0.8801,2.0846,4.066398,0.355876,8.114287,4.318447,0.397524,175.8428,75.8121,197.2236,252.1991,257.4857,460.9277,81912.4375,72552.3906,14.4614,1.8153,7.4716,9.2982,0.8137,13.9155,14.8118,0.7437,0.2238,5.3378,0.889325,1.046,0.196802,0.019973,0.519926,0.349434,0.001955,0.882268,3.722805,4.998367,6.159538,7.332516,7.607129,7.7458,7.8787,8.005
"12",3.0498,0,29.642628,26.592829,15.596752,14.0459,11.832,0.3069,1.907,3.878682,0.321223,7.204375,3.839046,0.353435,160.3538,73.7168,188.7256,267.5743,258.5282,460.5335,81905.875,72552.3906,15.4889,2.0953,8.498,8.9222,0.7389,12.4299,13.2472,0.6652,0.2032,5.1104,0.38148,0.8773,0.181134,0.031161,0.202891,0.147416,0.003028,1.768777,4.2316,5.978782,6.91843,7.460076,7.598725,7.6765,7.7602,7.8468
"13",2.2879,0,13.315111,11.027236,12.315212,0.9999,0.8213,0.0224,0.1562,3.207914,0.253222,5.596195,2.983217,0.274661,148.1682,72.004,181.8804,279.5321,259.405,460.4721,81899.3359,72552.3906,12.1857,1.7129,6.8451,7.337,0.5792,9.5996,10.2347,0.514,0.1593,4.1946,0.229707,0.6184,0.127093,0.020454,0.077916,0.131347,0.002514,1.803087,4.133351,6.178596,7.16345,7.629149,7.718088,7.7698,7.83,7.8956
"14",4.3839,0,12.558697,8.174774,12.54517,0.0135,0.011,3e-04,0.0022,3.381916,0.257195,5.629365,3.000418,0.27627,136.9086,70.2838,175.0984,290.1093,260.279,460.6073,81893.5391,72552.3906,11.2596,1.7204,6.7821,7.7271,0.5877,9.6467,10.2833,0.5165,0.1616,4.4115,0.232338,0.5918,0.106443,0.020247,0.080319,0.131773,0.002801,1.814297,4.130753,6.210098,7.279993,7.774622,7.852291,7.894404,7.943804,7.9983
"15",29.4999,1.4096,18.589238,-10.910663,13.673296,4.9159,4.079,0.1856,0.6514,3.793471,0.279834,6.069285,3.232997,0.297703,127.1879,68.6036,168.582,299.0642,261.1756,460.9472,81887.9141,72552.3906,10.4254,1.8212,7.0803,8.8275,0.6511,10.5912,11.2834,0.5667,0.1791,5.0342,0.413744,0.849,0.070228,0.251091,0.027406,0.135252,0.030409,1.857223,4.129071,6.192856,7.370089,7.912929,7.994045,8.0354,8.0842,8.1385
"16",37.9842,43.5942,32.605981,-5.378246,15.26969,17.3363,15.4099,0.556,1.3705,4.359596,0.313421,6.701988,3.566263,0.328416,158.2112,67.0962,162.8463,307.0933,261.9665,461.542,81881.2422,72553.3984,11.1172,1.798,6.8979,10.2498,0.7369,11.8168,12.5759,0.6317,0.2026,5.84,0.774288,1.1028,0.050313,0.452778,0.153608,0.167894,0.051721,1.838483,4.191818,6.083885,7.359353,8.020326,8.119342,8.1678,8.2206,8.2781
"17",89.2945,32.2905,84.349446,-4.945026,37.011736,47.3377,38.7233,2.5926,6.0217,10.859931,0.776447,16.066597,8.523628,0.785134,163.7716,68.1086,167.1986,301.6536,261.6658,463.4455,81859.5703,72561.5234,12.814,1.7705,6.7807,25.2976,1.8088,28.0747,29.7879,1.4966,0.4974,14.4111,1.929964,2.9721,0.399537,0.653783,0.494111,0.782082,0.109176,0.957828,3.292188,4.628841,6.327991,8.188767,8.445694,8.566755,8.659993,8.7347
"18",132.8638,49.0171,127.496827,-5.367018,59.097493,68.3993,53.6616,4.3815,10.3562,16.762858,1.247362,26.059056,13.760098,1.268111,174.9565,71.1695,179.6127,282.4997,260.2571,465.3586,81825.0781,72576.4375,13.3237,1.8406,7.1926,39.9473,2.973,46.5874,49.1991,2.4732,0.8176,22.7886,3.936174,6.0745,0.702077,1.659692,1.193132,1.083344,0.117213,1.571861,3.73834,4.732047,6.243566,8.448292,8.816607,8.997892,9.143199,9.2598
"19",161.2977,63.3201,167.28561,5.98787,82.038887,85.2467,66.213,5.7865,13.2473,21.783895,1.758073,37.137352,19.556028,1.803536,192.1243,75.567,197.1384,253.3773,257.7283,465.2249,81775.4844,72590.5,14.4922,1.9345,7.8028,51.7055,4.1725,66.1035,69.6185,3.5021,1.1474,29.5855,4.602968,8.6267,1.593161,1.47189,1.677634,1.453453,0.086835,2.019497,4.652364,5.443912,6.561884,8.950423,9.331779,9.516112,9.6733,9.8065
"20",144.4119,52.6873,157.962901,13.550945,72.215,85.7479,68.7477,5.5838,11.4164,17.655072,1.55088,33.618079,17.752506,1.638468,202.8073,78.7977,209.7639,236.4015,255.8259,462.5105,81731.0781,72604.5078,15.6607,2.038,8.4493,41.3916,3.6356,59.1033,62.4201,3.1424,0.9998,23.7652,4.147811,7.1103,1.737584,0.561363,2.177369,1.409083,0.003563,1.483329,4.271103,5.082453,6.234611,8.773479,9.173595,9.361202,9.5262,9.6713
"21",98.0102,30.0142,117.629097,19.618901,44.123524,73.5056,61.52,4.2681,7.7174,10.306597,0.934743,20.813799,11.048091,1.020314,201.6547,80.0087,214.2384,237.1419,255.242,460.2112,81704.0781,72615.6406,16.1596,1.7904,7.5312,23.2189,2.1059,35.155,37.3196,1.8799,0.5791,13.3495,1.91066,2.9483,1.514727,0.101333,0.971281,0.838039,0.03646,0.027023,2.970196,4.167482,5.506973,7.956534,8.382283,8.5893,8.7666,8.916897
"22",39.2695,7.9666,75.650119,36.380639,25.412493,50.2377,44.7442,2.2237,3.2697,5.999359,0.527554,11.937928,6.360082,0.58758,190.0845,79.0418,210.0235,247.2513,255.5889,459.071,81688.8438,72621.2656,15.5535,1.7635,7.4015,13.1102,1.1525,19.5623,20.8444,1.0504,0.3169,7.5276,0.46679,1.3409,1.399229,0.084498,0.014817,0.367485,0.003877,0.165685,1.58458,3.705142,5.433009,7.421901,7.796209,7.9789,8.1384,8.2773
"23",8.5158,0,42.518047,34.002259,17.83916,24.6789,22.2995,0.6375,1.7418,4.307693,0.362913,8.318538,4.439756,0.410269,175.6396,77.106,201.997,260.0943,256.3999,458.4053,81678.3359,72626.1484,14.445,1.9359,8.0266,9.9191,0.8356,14.364,15.3327,0.7728,0.2298,5.6853,0.678614,1.1377,0.232088,0.05626,0.360431,0.261911,0.004992,0.824452,2.411628,4.469142,6.043898,7.305505,7.594902,7.741,7.8681,7.977
