"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.462,0,14.295767,13.8337212,14.0247966,0.271,0.2215,0.0071,0.0424,3.8028016,0.290313,6.2894332,3.3363336,0.3059148,149.4501,85.0757,180.2367,295.5945,265.9538,464.2734,82151.7969,72477.2188,12.2911,1.91,7.587,8.7739,0.6698,10.8835,11.5467,0.5775,0.1842,5.0098,6.0332,4.3534,0,0,0,0,0.3841834,0.82,0.1513998,0.1219096,0.130278,0.1319954,0.0085914,1.8694924,4.0397646,6.0044392,7.1875168,7.7326076,7.838319,7.8992,7.9632,8.0288
"2",4.3426,0.0034,14.0487434,9.7061034,13.9626702,0.0861,0.0692,0.0025,0.0144,3.895698,0.2878442,6.1942102,3.2837994,0.3011176,138.0947,83.2138,172.9795,305.4895,266.8719,464.6192,82146.1719,72477.2188,11.3571,1.8623,7.2584,9.0029,0.6652,10.7358,11.383,0.5693,0.1829,5.1345,5.9477,4.2943,0.0017,0.0013,3e-04,0,0.4265586,0.8118,0.1186954,0.1641418,0.1268036,0.1356118,0.0096992,1.907819,4.111598,5.9869846,7.2715894,7.8501052,7.9489346,8.0037,8.0619,8.1218
"3",11.0207,0,14.2325516,3.211836,14.0338704,0.1987,0.1597,0.0058,0.0332,4.0061418,0.2882728,6.1712772,3.268445,0.2997294,127.6006,81.4102,166.081,313.9437,267.7425,465.1132,82140.5469,72477.2188,10.4941,1.8037,6.8985,9.2068,0.6625,10.6371,11.2673,0.5636,0.1822,5.2459,5.8873,4.2549,0,0,0,0,0.4541434,0.7662,0.149126,0.1058588,0.2109994,0.1372894,0.006286,1.9552818,4.1786454,5.9377838,7.2842214,7.9128798,8.0182898,8.0746886,8.1325,8.1914
"4",30.8986,1.4049,22.989062,-7.9095116,16.0761728,6.9129,5.7397,0.2782,0.8949,4.714142,0.3319734,6.9926666,3.6982164,0.3391696,118.5957,79.7559,159.9052,319.571,268.4881,465.9107,82133.5312,72478.5625,9.7073,1.7948,6.7378,11.0811,0.7803,12.3259,13.0375,0.6522,0.2146,6.3092,6.8123,4.9304,0.7024,0.5619,0.1405,0,0.7378314,1.1628,0.0470686,0.4636204,0.0854566,0.1887538,0.0559044,1.7137218,4.0671602,5.7486904,7.2368638,8.0129986,8.1361156,8.1987208,8.26,8.3219
"5",70.4178,54.4377,70.0623816,-0.3553894,35.852604,34.2098,27.6069,1.8825,4.7204,10.6779864,0.7553906,15.4996226,8.1701262,0.7494776,152.5085,80.0399,161.5272,311.908,268.2317,467.9053,82113.2578,72486.8516,10.2894,1.7624,6.5663,24.7806,1.753,26.976,28.4394,1.423,0.4821,14.1114,14.86,10.7904,10.2351,8.1881,2.047,33.9677,1.8205814,2.66,0.3796062,0.4950032,0.6326946,0.6928862,0.022965,1.033719,3.4230224,4.7082498,6.3587128,8.1437238,8.4108898,8.5435016,8.6447,8.7235
"6",110.9403,53.0439,111.5285272,0.588217,54.637404,56.8911,44.9031,3.4157,8.5724,15.784715,1.1604036,23.9661918,12.5722428,1.1538484,172.0247,82.3359,171.0578,295.0024,267.0109,469.9676,82081.0859,72501.8047,13.1815,1.7734,6.7459,37.0997,2.728,42.2603,44.3371,2.2195,0.7502,21.155,23.1673,16.9041,20.346,16.2768,4.0692,12.3519,2.7151182,4.7003,0.5865152,0.8745328,0.8899258,0.950661,0.1628382,1.4040668,3.5975198,4.6433452,6.1840932,8.3086886,8.67873,8.8662084,9.016,9.1351
"7",152.5251,61.5349,162.1918372,9.6667548,85.0522664,77.1396,59.2004,5.1025,12.8367,23.1104724,1.8431732,38.2641476,19.997803,1.8366654,188.5362,86.6029,188.2198,260.9873,264.1468,470.4323,82029.4531,72516.9062,14.256,1.8865,7.4525,56.0091,4.4678,69.5638,72.7117,3.6426,1.2286,32.0337,37.995,27.8255,30.7675,24.614,6.1535,0,6.4562678,9.9575,0.6400286,3.1388904,1.717403,1.599975,0.276923,2.2783242,4.904346,5.6810536,6.7297092,9.0334184,9.4046684,9.5880518,9.7439034,9.8749
"8",149.134,56.2197,161.748745,12.6146078,80.5329124,81.2159,64.1177,5.2411,11.8571,19.8687266,1.7579078,37.4690622,19.6325774,1.8046336,201.1943,90.2456,202.5765,236.5785,261.5574,467.2796,81978.7734,72531.3359,15.4517,1.9791,8.1314,48.2871,4.2709,68.2666,71.5369,3.5867,1.1745,27.7324,37.3825,27.3066,28.1099,22.4879,5.622,0,7.3840312,9.8511,0.5467244,3.1592776,2.4322358,1.7925154,0.0162088,1.8027912,4.7914378,5.560501,6.5751246,9.1173406,9.498503,9.6756082,9.8327866,9.9712
"9",97.5093,27.1127,122.1056444,24.5963602,49.7767168,72.3289,60.9318,4.1808,7.2163,11.5567884,1.0780084,23.5699884,12.428712,1.1432178,198.8024,91.1734,205.9408,233.7257,260.5967,464.3398,81947.9453,72543.6328,15.9482,1.7837,7.4807,26.5493,2.4764,40.5968,42.8135,2.148,0.681,15.2831,22.3734,16.2387,13.5563,10.8451,2.7113,0,2.9141988,3.6605,0.9511608,0.1815504,1.691689,1.0409576,0.0098318,0.5677192,3.5318572,4.4191902,5.6879522,8.2177182,8.6312868,8.8280008,9.0037736,9.1602
"10",56.1192,15.9938,88.8251336,32.7059104,32.3338874,56.4912,49.0862,2.8242,4.5809,7.5266952,0.692461,15.2756232,8.094251,0.7448618,191.2546,90.9485,204.6758,240.0605,260.5695,462.5595,81927.4297,72551.0625,15.5448,1.8243,7.6623,17.1457,1.5773,26.0983,27.6582,1.3883,0.4338,9.8639,14.4538,10.4393,7.9969,6.3975,1.5994,0,1.5521652,2.1457,0.6674028,0.1883296,0.69704,0.666797,0.006003,0.667512,3.2322834,4.1788632,5.5228316,7.6247922,8.0146994,8.2028864,8.3701,8.5175
"11",13.2368,0.0259,46.9375332,33.7007514,17.2554708,29.6821,26.6916,0.8972,2.0932,4.0724376,0.3605184,8.1142786,4.3113806,0.3968512,176.733,89.1478,197.2139,253.0087,261.2755,461.7198,81919.0703,72553.7109,14.5346,1.8032,7.4723,9.3295,0.8259,13.9416,14.8152,0.7438,0.2271,5.3583,7.7423,5.5766,0.013,0.0104,0.0026,0,0.9264166,1.0483,0.1636456,0.050049,0.5247624,0.3516052,0.0033264,0.8792866,3.7017476,4.9914554,6.1577912,7.3340102,7.6089982,7.7477,7.8805,8.0069
"12",3.0593,0,29.6700788,26.6107732,15.5936522,14.0764,11.8008,0.3588,1.9168,3.882914,0.3252416,7.2015376,3.8312716,0.3526916,161.1656,87.0584,188.7158,268.4318,262.3019,461.3238,81912.5078,72553.7109,15.5673,2.0895,8.4981,8.9514,0.7498,12.4521,13.2492,0.6653,0.2062,5.1295,6.924,4.9808,0,0,0,0,0.4155158,0.8791,0.147655,0.0627352,0.205116,0.1476626,0.0046524,1.762202,4.178039,5.9646634,6.9160978,7.4608366,7.5998348,7.6777,7.7614,7.848
