"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"23",8.5185,0,42.4837332,33.9652372,17.7985,24.6852,22.3056,0.6376,1.7421,4.2998792,0.3609222,8.3000368,4.4284386,0.409223,175.7364,77.1383,202.088,260.2852,255.6483,458.5536,81678.1016,72626.0703,14.4529,1.9367,8.0302,9.9265,0.8331,14.3687,15.3327,0.7728,0.7266236,1.138,0.1844128,0.099081,0.363304,0.2642376,0.0077958,0.8240878,2.405201,4.4683396,6.0440526,7.30573,7.5951374,7.7413,7.8683,7.9773
"24",0.9485,0,26.4735484,25.52502,16.8543284,9.6192,8.0807,0.2124,1.326,4.2910634,0.342335,7.718294,4.1217148,0.3809308,160.2568,74.8276,192.6569,275.585,256.8169,458.31,81671.5391,72626.0703,15.4796,2.3107,9.4311,9.9544,0.7942,13.4291,14.3428,0.723,0.479923,1.0517,0.1773402,0.1277176,0.2182896,0.133914,0.0079232,1.5185082,3.1989432,5.3688878,6.7929276,7.4787702,7.641417,7.727899,7.811,7.8904
"25",1.2877,0,14.171494,12.8837974,13.6970216,0.4745,0.3878,0.0106,0.076,3.6539416,0.2784642,6.1668458,3.2933718,0.304397,148.0786,72.8842,184.8525,287.3635,257.8206,458.4102,81665.9141,72626.0703,12.1783,1.9434,7.8044,8.4901,0.647,10.7467,11.4785,0.5787,0.3860456,0.8339,0.090041,0.185836,0.0809222,0.1192906,0.010055,1.677152,3.5805964,5.5777574,7.0602004,7.6740246,7.7846268,7.8425886,7.903,7.965
"26",2.8587,0,13.6546716,10.7959528,13.64562,0.009,0.0073,2e-04,0.0015,3.7609622,0.276854,6.0689696,3.239405,0.2994294,136.8257,71.0021,177.407,297.6977,258.7852,458.7184,81660.2891,72626.0703,11.2528,1.882,7.4455,8.6469,0.6365,10.465,11.1717,0.5633,0.3610588,0.7033,0.106296,0.080059,0.1561876,0.1248142,0.0054504,1.7765632,3.7889818,5.580054,7.149396,7.8058714,7.9046192,7.952,8.0028,8.0564
"27",8.4524,0.0012,13.6453328,5.1929086,13.4259454,0.2194,0.1758,0.0056,0.0381,3.79589,0.271489,5.9135088,3.1535494,0.2915118,126.4286,69.2233,170.4729,306.5836,259.6747,459.1788,81654.6641,72626.0703,10.3977,1.7789,6.9346,8.7114,0.623,10.1784,10.8559,0.5474,0.3516062,0.6878,0.1205218,0.0726834,0.1510588,0.1278612,0.0086522,1.8143652,3.876017,5.6016826,7.1849282,7.8829258,7.9881396,8.0363504,8.086,8.1373
"28",20.5847,0.4002,15.217761,-5.3669678,13.9055338,1.3122,1.0845,0.0526,0.1751,4.011958,0.2803746,6.0771816,3.236797,0.2992226,117.02,67.451,163.6718,314.0355,260.5584,459.7967,81649.0391,72626.0703,9.6086,1.8124,6.9612,9.3835,0.6557,10.6599,11.3552,0.5726,0.51392,0.9082,0.0477214,0.3244562,0.0585468,0.1309202,0.0309912,1.83118,3.8745646,5.5906482,7.2406622,7.9721282,8.0865336,8.1389078,8.1910072,8.2441
"29",59.7924,40.7419,47.690204,-12.102195,21.161832,26.5284,20.9543,1.4326,4.1414,6.3597124,0.4377486,9.0880372,4.8297912,0.4465448,139.5054,67.4143,163.8743,315.7822,261.0537,461.1688,81638.2266,72629.3438,9.5502,1.7779,6.7631,14.829,1.0207,15.8951,16.8948,0.852,1.1456042,1.5207,0.1571276,0.4632466,0.3634156,0.3189388,0.062965,1.2482272,3.8014388,5.371924,6.980976,8.099035,8.2421334,8.3055564,8.372,8.4452
"30",111.0714,64.3337,99.7297022,-11.3416372,47.7954476,51.9343,40.2413,3.1424,8.5506,14.2634732,1.0008336,20.6193722,10.9033326,1.0084322,170.784,69.7095,173.3297,301.7393,260.2133,464.0216,81610.2344,72640.625,12.5529,1.8052,6.9469,33.8092,2.3726,36.6578,38.7678,1.9558,2.8559934,4.4756,0.3891278,1.3212234,0.635398,0.899371,0.1943926,1.506362,3.5005898,4.6564662,6.3404304,8.359039,8.6597904,8.8018988,8.9173996,9.0147
"31",143.4387,54.9413,146.0740158,2.6353114,73.9988676,72.0751,55.9722,4.6373,11.4657,20.7635616,1.5618944,32.8248246,17.2519862,1.596595,184.1371,73.3037,187.7532,273.4972,258.0525,465.846,81565.5391,72654.1875,14.1176,1.9,7.5528,50.1972,3.7771,59.5346,62.5789,3.159,5.817519,8.4263,0.4584494,2.8587888,1.5123052,1.4464262,0.0604818,1.6772448,4.3792784,5.2481582,6.4894876,8.7925892,9.1674376,9.3535224,9.507698,9.6336
"32",141.2052,51.4991,143.187241,1.9820906,61.1604736,82.0268,65.4965,5.3638,11.1664,16.0681578,1.2946614,27.8334048,14.6111064,1.3531454,195.0174,76.558,200.6517,258.9166,256.6471,465.3222,81529.0234,72669.4609,14.8692,1.8955,7.7009,37.4316,3.0159,48.6264,51.0527,2.5789,3.1341654,5.0704,0.9647736,0.3262994,1.653273,1.154594,0.004773,1.5736726,4.0084868,4.868988,6.1488822,8.5391648,8.9427476,9.1405,9.3117,9.4601
