"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","QCt13_mean1","QCt14_mean1","QCt15_mean1","QCt16_mean1","QCt17_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4608,0,14.31561,13.854758,14.044215,0.2714,0.2226,0.006,0.0428,3.803959,0.28684,6.299176,3.347295,0.306939,148.8578,71.68,180.2411,294.6993,261.9012,463.4355,82145.3438,72476,12.2424,1.9058,7.5876,8.7476,0.6596,10.8644,11.5464,0.5775,0.1814,4.9926,6.0331,4.3458,11.5476,0.8708,18.9875,10.0897,0.9252,0,0,0,0,0.336401,0.8185,0.197831,0.076288,0.128675,0.131443,0.005897,1.867068,4.036768,5.996305,7.185554,7.731726,7.8374,7.898294,7.96223,8.0278
"2",4.3319,0.0033,14.061099,9.729212,13.97525,0.0858,0.0693,0.0022,0.0144,3.895147,0.284281,6.200834,3.292991,0.301979,137.5473,69.8297,172.9836,304.5749,262.8194,463.7804,82139.7188,72476,11.3121,1.8507,7.2589,8.9761,0.6551,10.7168,11.3825,0.5694,0.1802,5.117,5.9474,4.2867,11.9368,0.8712,18.9389,10.0576,0.9223,0.0017,0.0013,3e-04,0,0.386919,0.8103,0.158456,0.12503,0.126833,0.135053,0.006754,1.901088,4.109493,5.9755,7.268726,7.849183,7.948109,8.0029,8.0611,8.1209
"3",10.9936,0,14.243339,3.24977,14.048819,0.1945,0.157,0.0048,0.0327,4.006363,0.284771,6.17891,3.278145,0.300631,127.0948,68.0444,166.0845,313.0133,263.6846,464.2766,82134.0938,72476,10.4525,1.7853,6.899,9.1799,0.6525,10.6185,11.267,0.5636,0.1794,5.2284,5.8871,4.2474,12.1761,0.8655,18.7685,9.9574,0.9132,0,0,0,0,0.409738,0.7648,0.191163,0.063457,0.209649,0.136634,0.00406,1.95062,4.176645,5.931849,7.281572,7.911923,8.017508,8.073896,8.1317,8.1906
"4",30.8205,1.4499,23.213667,-7.606828,16.057305,7.1564,5.9883,0.2542,0.9138,4.703982,0.327202,6.985749,3.700927,0.33944,118.1505,66.4198,159.9262,318.6346,264.4199,465.0727,82127.0781,72477.3438,9.6691,1.7695,6.7382,11.0487,0.7685,12.304,13.0368,0.6522,0.2113,6.2882,6.8119,4.9216,12.6855,0.8829,19.1104,10.1251,0.9286,0.725,0.58,0.145,0,0.721231,1.1606,0.060895,0.448653,0.085535,0.187049,0.05543,1.721472,4.065367,5.752917,7.238386,8.012078,8.135244,8.19785,8.259102,8.321
"5",70.2,53.9225,70.137517,-0.062528,35.880649,34.2568,27.6807,1.8478,4.7283,10.676303,0.746011,15.514685,8.19211,0.751544,151.5089,66.7504,161.6179,310.9951,264.168,467.0678,82106.7812,72485.6094,10.2389,1.7349,6.5685,24.7088,1.7264,26.9281,28.4377,1.423,0.4748,14.0646,14.8592,10.7713,12.5758,0.8773,19.0232,10.0478,0.9218,10.3254,8.2604,2.0651,33.2717,1.721835,2.655,0.48574,0.404233,0.634375,0.683234,0.01151,1.031556,3.42992,4.71468,6.363089,8.142618,8.409283,8.541873,8.6431,8.7219
"6",110.4841,52.7032,111.231707,0.747567,54.660126,56.5716,44.6224,3.3928,8.5564,15.775737,1.145575,23.980792,12.601408,1.156593,170.7933,69.0641,171.1354,294.1,262.972,469.132,82074.5859,72500.5625,13.0852,1.7531,6.7495,36.9893,2.6868,42.1854,44.3341,2.2195,0.7389,21.083,23.1658,16.8742,11.9048,0.864,18.8784,9.9209,0.9106,20.3337,16.267,4.0667,12.0357,2.580483,4.6912,0.72783,0.750336,0.893138,0.937002,0.162649,1.406474,3.596973,4.643531,6.185503,8.306299,8.675971,8.863474,9.0133,9.1324
"7",151.9648,61.468,161.807683,9.842869,85.093453,76.7143,58.8352,5.0687,12.8103,23.096368,1.819843,38.290561,20.045521,1.841163,187.3662,73.3316,188.2675,260.1664,260.1699,469.6029,82022.9297,72515.6641,14.1611,1.8793,7.455,55.8348,4.4003,69.4401,72.7055,3.6425,1.2101,31.9192,37.9919,27.7761,11.1453,0.8766,19.3616,10.1364,0.931,30.734,24.5872,6.1468,0,6.231938,9.9374,0.868356,2.939374,1.714971,1.577596,0.276566,2.279686,4.904791,5.682273,6.729686,9.028695,9.399762,9.583298,9.7393,9.8704
"8",148.6814,56.1607,161.367046,12.685699,80.573217,80.7939,63.7522,5.2057,11.8359,19.853925,1.735792,37.495227,19.679241,1.809037,200.0849,76.9594,202.5992,235.8247,257.6533,466.4659,81972.2031,72530.0859,15.3616,1.9882,8.1328,48.1337,4.2068,68.1465,71.5308,3.5866,1.1569,27.6304,37.3794,27.2586,9.9144,0.868,19.3179,10.1397,0.9321,28.0803,22.4643,5.6161,0,7.171345,9.8315,0.761764,2.977204,2.424187,1.769946,0.004148,1.801587,4.792759,5.562507,6.575176,9.111906,9.492843,9.670178,9.8275,9.966
"9",97.2458,27.0896,121.805054,24.559258,49.822889,71.9822,60.6314,4.1507,7.2,11.552067,1.064954,23.596236,12.46318,1.146459,197.7662,77.8684,205.9541,232.977,256.7441,463.5384,81941.3203,72542.3516,15.8634,1.7999,7.4805,26.4617,2.4393,40.522,42.8054,2.1478,0.6708,15.2248,22.3692,16.2088,8.1893,0.7553,16.8072,8.8807,0.8169,13.5448,10.8358,2.709,0,2.759595,3.6526,1.110393,0.058841,1.677225,1.023522,0.006955,0.562796,3.534378,4.421727,5.688839,8.213722,8.626995,8.8238,8.9996,9.1562
"10",55.9706,15.9809,88.631224,32.660576,32.398101,56.2331,48.8618,2.8023,4.5691,7.531783,0.684935,15.308598,8.125051,0.747744,190.291,77.6248,204.6845,239.2927,256.7559,461.7646,81920.7891,72549.75,15.4657,1.8418,7.6618,17.0888,1.5539,26.0504,27.6528,1.3881,0.4273,9.8262,14.4511,10.4202,8.4578,0.7683,17.0343,9.0424,0.8322,7.9905,6.3924,1.5981,0,1.412105,2.1409,0.809484,0.072371,0.688967,0.650773,0.003379,0.669407,3.23756,4.18308,5.523953,7.622128,8.011626,8.1998,8.3671,8.5146
