"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"11",13.4874,0.025,48.74601,35.2586,18.65146,30.0946,26.4287,1.3668,2.299,4.43624,0.3845,8.77088,4.63296,0.42688,182.8415,168.1761,196.5127,256.375,259.1853,464.1414,81872.3672,72584.0625,15.037,1.9031,8.0583,10.2112,0.885,15.1413,15.9959,0.8039,0.2434,5.8596,0.0125,0.01,0.0025,0,1.07438,1.2547,0.20144,0.10768,0.58101,0.38571,0.00748,1.02084,3.72101,4.97097,6.15874,7.39261,7.67351,7.8122,7.944,8.0686
"12",3.1234,0,31.18453,28.06112,17.05995,14.1246,11.5525,0.6438,1.9283,4.28231,0.35111,7.87635,4.16625,0.38391,166.7361,165.9226,187.2689,272.1335,260.2877,463.7009,81865.7891,72584.0781,16.1054,2.2535,9.2438,9.9239,0.8137,13.6902,14.483,0.7279,0.2238,5.6819,0,0,0,0,0.52974,1.0779,0.19008,0.14618,0.22707,0.1565,0.0085,1.86823,4.30727,6.01343,6.95038,7.51126,7.65474,7.7338,7.8184,7.9056
"13",2.3443,0,14.62926,12.28491,13.55062,1.0786,0.8689,0.0515,0.1582,3.5631,0.27843,6.153,3.25606,0.30006,154.0655,164.0482,179.8227,284.3405,261.2403,463.6404,81860.1641,72584.0781,12.6707,1.8743,7.4463,8.1959,0.6405,10.6152,11.2348,0.5647,0.1761,4.6839,0,0,0,0,0.34398,0.7429,0.13012,0.0894,0.11774,0.13682,0.00559,1.90582,4.24498,6.24574,7.20676,7.67861,7.77051,7.8232,7.8836,7.9489
"14",4.4953,0,13.73871,9.24344,13.72562,0.0131,0.0105,7e-04,0.002,3.73472,0.28124,6.15372,3.25587,0.30007,142.3577,162.1554,172.5227,295.0618,262.2037,463.7966,81854.5391,72584.0781,11.7078,1.8926,7.3,8.5717,0.6455,10.5929,11.2092,0.5635,0.1775,4.892,0,0,0,0,0.30563,0.6802,0.09221,0.07384,0.09435,0.13745,0.00682,1.91405,4.24532,6.29315,7.32726,7.82194,7.90075,7.9437,7.994,8.0493
"15",30.2357,1.3913,18.71683,-11.51883,13.88075,4.8361,3.8721,0.3131,0.651,3.8857,0.28398,6.156,3.25508,0.3,132.2144,160.4115,166.0234,304.162,263.1431,464.1479,81848.9141,72584.0781,10.8392,1.883,7.0557,9.08,0.6635,10.7877,11.4082,0.5735,0.1825,5.1764,0.6957,0.5565,0.1391,0,0.52781,0.8897,0.03532,0.32198,0.06578,0.14005,0.03188,1.93047,4.24349,6.27616,7.40132,7.93958,8.02128,8.0634,8.1127,8.1674
"16",39.0854,47.916,31.4132,-7.6722,15.3742,16.039,13.6283,0.9248,1.4859,4.42951,0.31544,6.74069,3.5604,0.32817,167.229,158.7995,160.2301,312.4664,263.9827,464.7575,81842.2422,72585.0859,11.6551,1.8617,6.7898,10.4261,0.7425,11.8988,12.5697,0.632,0.2042,5.9385,1.2455,0.9964,0.2491,45.4249,0.83934,1.1172,0.03165,0.48345,0.17971,0.17615,0.05319,1.83387,4.27277,6.16795,7.37953,8.03466,8.1332,8.1819,8.23495,8.2927
"17",92.2069,34.0886,86.00611,-6.20084,37.38264,48.6234,39.0045,3.1699,6.4491,11.07283,0.78384,16.20581,8.53345,0.78674,173.2364,159.8542,165.1311,307.1253,263.7232,466.7221,81820.4766,72593.3203,13.5602,1.848,6.716,25.902,1.8337,28.4363,29.9469,1.506,0.5043,14.7504,14.5207,11.6165,2.9041,5.0472,2.15401,3.0939,0.2847,0.82021,0.49717,0.83665,0.10839,0.89825,3.20662,4.52731,6.26314,8.20274,8.46358,8.58481,8.6781,8.7531
"18",136.9343,50.2877,129.11248,-7.82187,59.01339,70.0991,54.6504,4.7383,10.7104,16.90688,1.24483,25.9871,13.6184,1.2562,184.3112,163.0029,178.1268,287.9065,262.3223,468.7072,81786.1172,72608.2266,14.0688,1.8799,7.1193,40.6933,2.9965,46.9196,49.1755,2.4742,0.824,23.2054,25.1438,20.115,5.0288,0,4.54546,6.3535,0.28879,2.20323,1.18984,1.1524,0.18992,1.52934,3.63592,4.62994,6.19624,8.46246,8.83674,9.0182,9.1634,9.28
"19",165.523,63.5351,169.72765,4.20461,81.94308,87.7846,68.4446,5.9829,13.3571,21.99331,1.75492,37.04862,19.3592,1.78702,200.8728,167.4342,195.7752,258.3016,259.7385,468.6371,81736.5234,72622.3906,15.206,1.9228,7.7654,52.8623,4.2178,66.7811,69.791,3.514,1.1599,30.2342,31.7676,25.414,6.3535,0,5.68587,9.1511,0.90968,2.41814,1.70803,1.55971,0.21716,2.01364,4.62547,5.41351,6.55447,8.98074,9.36589,9.5497,9.7062,9.8389
"20",147.5196,52.9689,160.96421,13.44464,72.2253,88.739,71.3551,5.8299,11.554,17.85468,1.55019,33.59294,17.60142,1.62602,211.0258,170.7608,208.5327,241.0023,257.7382,465.917,81692.0625,72636.3047,16.3314,1.9706,8.4297,42.3563,3.677,59.7573,62.6202,3.1553,1.0112,24.3071,26.4844,21.1876,5.2969,0,5.0728,7.5335,1.15965,1.35121,2.21328,1.50829,0.02017,1.48835,4.26455,5.06815,6.23482,8.80767,9.21084,9.3978,9.5619,9.7063
"21",99.9125,30.1683,121.46415,21.55167,45.42972,76.0344,63.7381,4.4764,7.8199,10.72327,0.96199,21.41962,11.28198,1.04287,209.322,172.0127,212.8093,241.2542,257.0319,463.4977,81664.2109,72648.0703,16.7879,1.7649,7.7906,24.591,2.2061,36.8301,38.7971,1.9562,0.6067,14.1317,15.0841,12.0673,3.0168,0,2.63571,3.2893,0.86741,0.14823,1.50764,0.97986,0.09101,0.16611,3.29388,4.20062,5.53572,8.02063,8.44823,8.6535,8.8287,8.9772
"22",40.0249,7.9783,77.66209,37.63718,25.72719,51.9349,45.8824,2.5635,3.489,6.13284,0.53379,12.08159,6.38821,0.59074,197.1743,171.0759,208.3748,251.4283,257.3013,462.2972,81648.0391,72653.6953,16.1369,1.7347,7.6257,13.8496,1.2052,20.4585,21.6354,1.0913,0.3314,7.9487,3.9891,3.1913,0.7978,0,1.07019,1.5501,0.60008,0.14099,0.3926,0.53662,0.00533,0.55755,2.99051,4.01909,5.47875,7.47979,7.85591,8.0379,8.1963,8.3339
"23",8.696,0,43.9281,35.23209,18.7885,25.1396,21.8543,1.1409,2.1444,4.57658,0.38196,8.76003,4.64069,0.42925,182.1905,169.1279,200.0244,264.4376,258.0736,461.5802,81637.0938,72658.8516,14.9837,1.9479,8.3503,10.6204,0.8863,15.2439,16.1511,0.8149,0.2437,6.0849,0,0,0,0,1.0543,1.365,0.15303,0.23532,0.43626,0.38269,0.01133,0.95033,3.24781,4.69735,6.0809,7.35451,7.64473,7.78901,7.9144,8.0232
"24",0.9702,0,26.73719,25.76699,17.21756,9.5196,7.7968,0.4363,1.2865,4.4221,0.35047,7.88005,4.17841,0.38653,166.1425,166.8468,190.5552,280.0246,259.1986,461.3365,81630.5312,72658.8516,16.0481,2.2811,9.4693,10.2636,0.8135,13.7176,14.5475,0.7341,0.2237,5.8687,0,0,0,0,0.55301,1.1043,0.18707,0.16158,0.23981,0.15161,0.00908,1.66912,3.61821,5.63333,6.85779,7.50251,7.66371,7.7508,7.8346,7.9147
"25",1.3175,0,14.36604,13.04851,13.86643,0.4996,0.4009,0.0237,0.075,3.73121,0.28243,6.23857,3.30817,0.30605,153.5169,164.916,182.7974,292.0222,260.1851,461.437,81624.9062,72658.8516,12.6256,1.9304,7.7578,8.6714,0.6564,10.8739,11.5323,0.582,0.1805,4.9498,0,0,0,0,0.42477,0.8531,0.0908,0.20277,0.09481,0.1272,0.01061,1.78298,3.85772,5.86977,7.13,7.69053,7.79737,7.8555,7.9162,7.9785
"26",2.9259,0,13.80402,10.87812,13.79433,0.0097,0.0077,5e-04,0.0015,3.83503,0.28032,6.12968,3.24869,0.30058,141.8508,163.0231,175.4124,302.545,261.1492,461.7517,81619.2812,72658.8516,11.6661,1.8933,7.385,8.8147,0.6443,10.5667,11.2006,0.5653,0.1772,5.0253,0,0,0,0,0.37956,0.7128,0.10856,0.08417,0.16442,0.13096,0.00585,1.84703,4.00366,5.88653,7.22803,7.82005,7.91301,7.9601,8.0111,8.0649
"27",8.6512,0.0012,13.93459,5.28334,13.72043,0.2141,0.1676,0.0119,0.0346,3.91268,0.27787,6.03731,3.19677,0.29579,131.0719,161.1869,168.4571,311.5723,262.0717,462.2245,81613.6562,72658.8516,10.7796,1.8365,6.9558,8.9844,0.6381,10.3972,11.0107,0.5557,0.1755,5.1169,6e-04,5e-04,1e-04,0,0.36816,0.7142,0.12445,0.08419,0.15105,0.13293,0.01097,1.89445,4.05349,5.806,7.2536,7.89993,7.99902,8.04679,8.0965,8.1479
"28",21.0823,0.3804,15.30498,-5.77734,13.99151,1.3135,1.0379,0.0901,0.1855,4.07129,0.28256,6.10839,3.23035,0.2989,121.3006,159.3549,161.7307,319.1621,263.0004,462.8524,81608.0312,72658.8516,9.9615,1.8706,6.8788,9.5364,0.6618,10.7306,11.3494,0.5728,0.182,5.427,0.1902,0.1522,0.038,0,0.55367,0.9276,0.03637,0.35414,0.06422,0.13529,0.03139,1.88923,3.99201,5.73221,7.28839,7.98548,8.09489,8.14673,8.1988,8.2519
"29",61.2162,42.2812,46.64387,-14.57225,21.31745,25.3264,19.319,1.9311,4.0764,6.4603,0.44168,9.14401,4.82497,0.44651,145.4245,159.1528,161.6584,320.9499,263.5522,464.25,81597.2188,72662.1406,9.9015,1.8532,6.6759,15.0742,1.0306,16.0042,16.8897,0.8526,0.2834,8.5742,8.2551,6.6041,1.651,25.771,1.2295,1.5622,0.14326,0.50688,0.37181,0.35078,0.07641,1.14353,3.7706,5.32669,6.95055,8.10958,8.25059,8.3136,8.38004,8.4532
"30",114.1575,68.8456,101.5128,-12.64473,48.01046,53.5023,40.5095,3.8127,9.1802,14.45184,1.00699,20.6861,10.86012,1.00539,179.5283,161.6029,172.049,306.8962,262.7436,467.1647,81569.2891,72673.4219,13.1674,1.8647,6.868,34.3745,2.3956,36.9041,38.7481,1.9566,0.6588,19.5648,21.5731,17.2584,4.3146,25.6994,3.09912,4.6342,0.29583,1.49608,0.64389,0.95919,0.19301,1.41404,3.34955,4.46761,6.23822,8.36537,8.67284,8.81497,8.9304,9.0278
"31",147.232,56.5439,147.52699,0.29505,74.39871,73.1283,56.2816,4.9749,11.8719,21.07214,1.57295,32.96249,17.19799,1.59311,192.983,165.3491,187.1494,278.4272,260.5512,469.0604,81524.8438,72686.9688,14.8173,1.9084,7.5172,51.0889,3.8146,59.9544,62.5607,3.161,1.049,29.1479,28.2719,22.6176,5.6544,0,6.07253,8.6425,0.36624,3.06212,1.52138,1.48904,0.08264,1.63629,4.26849,5.13104,6.4313,8.80439,9.18698,9.3732,9.527,9.6528
"32",144.5229,51.5489,146.52041,1.99762,62.86006,83.6604,66.9387,5.4859,11.2357,16.67646,1.33316,28.57845,14.89153,1.38044,203.2156,168.6003,199.9281,263.1163,259.0544,468.5529,81487.8594,72702.1875,15.5418,1.903,7.841,38.9783,3.1159,50.0945,52.206,2.6397,0.8569,22.2949,25.7745,20.6195,5.1549,0,3.34624,5.4898,1.05392,0.49712,1.66582,1.18329,0.01402,1.62379,4.01734,4.87209,6.17079,8.59424,9.00184,9.1987,9.3683,9.5154
"33",102.4492,44.6067,130.3636,27.91435,58.46149,71.9021,57.725,4.4747,9.7024,14.70769,1.23345,27.07461,14.13465,1.31107,209.137,171.0908,209.2702,253.6916,257.8271,466.6934,81452.1641,72716.0938,16.382,1.97,8.5005,34.601,2.9014,47.7543,49.8607,2.5227,0.7979,19.8284,22.3034,17.8427,4.4607,0,3.68978,5.5605,0.91758,0.80962,1.65015,1.23,0.01421,1.00438,3.68658,4.54953,5.86937,8.32322,8.74096,8.9449,9.1195,9.2678
"34",41.8181,11.6891,77.67311,35.85498,34.31216,43.361,37.465,2.2615,3.6344,8.40415,0.709,16.02544,8.39455,0.77905,198.7489,170.2638,205.2591,259.0341,257.8419,465.2298,81430.7109,72724.8203,16.2328,1.9949,8.6867,19.8768,1.6768,28.426,29.7806,1.5075,0.4611,11.3934,5.8445,4.6756,1.1689,0,2.86587,3.3126,0.20076,0.91151,1.04845,0.90592,0.03033,0.69144,3.13495,4.13564,5.61453,7.76409,8.16449,8.3614,8.531,8.675
"35",6.5236,0,37.28542,30.76187,18.0526,19.2328,16.82,0.866,1.5468,4.48545,0.36441,8.3897,4.4042,0.40884,183.6455,168.2864,196.8708,272.425,258.679,464.6017,81420.7578,72729.1484,15.1034,1.9776,8.3883,10.398,0.8447,14.5861,15.3141,0.7754,0.2323,5.9512,0,0,0,0,1.11048,1.3079,0.19583,0.21321,0.56419,0.33309,0.00909,1.18338,3.47592,4.92167,6.27014,7.46426,7.753,7.8995,8.0309,8.1471
"36",0.6091,0,21.38369,20.77462,16.25312,5.1306,4.1681,0.2303,0.7322,4.251,0.32779,7.41632,3.89627,0.36174,167.4693,166.016,187.5504,288.4333,259.8517,464.422,81414.1953,72729.1484,16.1762,2.2698,9.3204,9.8221,0.7574,12.8526,13.5045,0.6839,0.2083,5.6104,0,0,0,0,0.47281,0.9134,0.12949,0.11124,0.22434,0.13724,0.00382,1.75175,3.80374,5.74549,6.95701,7.57513,7.73212,7.8185,7.8999,7.9755
"37",0.5864,0,13.38939,12.80299,13.20893,0.1804,0.1453,0.0085,0.0266,3.60894,0.26576,5.92978,3.1152,0.28924,154.743,164.1167,179.9991,300.7176,260.8561,464.5465,81408.1641,72729.1484,12.7264,1.8993,7.5514,8.2767,0.6095,10.1995,10.7165,0.5428,0.1676,4.7198,0,0,0,0,0.28193,0.6082,0.05801,0.04564,0.10909,0.1272,0.00385,1.77538,3.90706,5.88109,7.16658,7.73056,7.84236,7.9035,7.9616,8.0165
"38",1.5201,0,13.33564,11.81557,13.32627,0.0093,0.0075,5e-04,0.0014,3.76543,0.26798,5.90477,3.10024,0.28788,142.9837,162.2411,172.7604,311.4019,261.8382,464.8846,81402.5391,72729.1484,11.7593,1.8753,7.2386,8.5992,0.612,10.1137,10.6202,0.5379,0.1683,4.8979,0,0,0,0,0.2636,0.5479,0.05467,0.03949,0.09972,0.1244,0.00336,1.576,3.926,5.79258,7.2528,7.85834,7.95788,8.0086,8.0581,8.1065
"39",9.5086,0.0014,14.16639,4.65779,13.94809,0.2183,0.172,0.0118,0.0345,4.05059,0.28038,6.11306,3.20634,0.29775,132.1187,160.3626,165.7226,320.3141,262.7932,465.4211,81396.9141,72729.1484,10.8657,1.8785,7.0382,9.2771,0.6421,10.5004,11.015,0.5579,0.1766,5.279,7e-04,5e-04,1e-04,0,0.3535,0.6263,0.07724,0.06411,0.16744,0.12194,0.00819,1.71528,3.94245,5.75483,7.28049,7.94686,8.0493,8.0981,8.1471,8.1969
"40",26.8798,0.0997,17.85735,-9.02244,14.31636,3.541,2.8142,0.2101,0.5167,4.24948,0.28785,6.21913,3.25741,0.30253,122.1268,158.5119,158.9956,327.519,263.7048,466.1348,81391.2891,72729.1484,10.0417,1.8608,6.7666,9.8885,0.6698,10.8526,11.3685,0.5759,0.1842,5.6229,0.0498,0.0399,0.01,0,0.48645,0.8519,0.04819,0.26582,0.09058,0.13004,0.03597,1.82413,3.93914,5.71423,7.31967,8.02205,8.1301,8.18043,8.2336,8.29
"41",73.0008,35.5747,52.99034,-20.01047,23.91824,29.0721,22.2115,2.2431,4.6175,7.40437,0.49635,10.19643,5.32635,0.49475,138.6971,158.539,159.9166,326.6402,264.1024,467.868,81378.7188,72733.8125,9.6599,1.8429,6.555,17.3785,1.1649,17.9521,18.7557,0.9502,0.3203,9.8785,9.3448,7.4758,1.869,16.8851,1.52214,1.8488,0.12531,0.67164,0.47396,0.37653,0.01437,1.17613,3.83018,5.36824,6.96563,8.1716,8.31232,8.3769,8.4506,8.5355
