"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","QCt11_sd1","QCt12_sd1","QCt13_sd1","QCt14_sd1","QCt15_sd1","QCt16_sd1","QCt17_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00287800716686483,0.00287843444401376,0.00288126936111727,0,0,0,0,0.000777332917511217,6.62029325848038e-05,0.00129414961744118,0.00068671300226131,6.99494767166147e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00824450695611902,0,0.00188070989176154,0.00197608326001337,0.00822248481699155,0.00165307915934801,0.000580709249386672,0.0252333133981747,0.0614866885815724,0.0876955315770756,0.0180384765812897,0.00156826353176069,0.00013512433481266,2.19042913559025e-05,0,0
"2",0,0,0.00273225015492557,0.00273149531697689,0.00273197970916939,0,0,0,0,0.000761243002654824,6.55897873302092e-05,0.00121317847829654,0.00064711558925632,6.40312423743442e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00904379976234625,0,0.00214402529006643,0.00230389985577814,0.00950153097711579,0.00136339260447583,0.00168255937803278,0.0342569716269624,0.0633123675903768,0.117378056124626,0.0245880490803105,0.00212402776332936,0.000180392389366581,4.22952584680665e-05,0,0
"3",0,0,0.00381998995186157,0.00381785756198895,0.00381605274935488,0,0,0,0,0.00109064479121577,8.29932454352716e-05,0.0016742856157873,0.000890204266651004,8.63338598322546e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099136064032819,0,0.00322859947120335,0.00270677339691047,0.0111092304418488,0.00176176678996462,0.000902689583881682,0.0369428471911121,0.0707270952251674,0.107767113380023,0.0264608904467012,0.00264658651889941,0.000243830956511862,5.27620922995422e-05,0,0
"4",0,0,0.00262793443486312,0.00262845040188164,0.00262753485113693,0,0,0,0,0.000771499261899242,6.13896316057448e-05,0.00115097674813506,0.000601932913473988,6.27323962188012e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00749242203021078,0,0.00116614317259499,0.0030308333020888,0.00827863130980214,0.00213047535834735,0.00300919734927251,0.0235585442262591,0.0583860445049097,0.0841365078640394,0.0233903107583832,0.00271011927129532,0.000279429433096742,4.76837223140851e-05,0,0
"5",0,0,0.00864341963752296,0.00864363980571316,0.00864384284863641,0,0,0,0,0.00258010962103655,0.000181160679837542,0.00374015866891868,0.00197136342092826,0.000182673744609633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203357072384731,0,0.00607628275520586,0.00485589291063919,0.0226950299146814,0.00625676006129742,0.00137817182374244,0.0238309555923476,0.0471521786936251,0.0386001843691625,0.0111208387518862,0.00203512687912606,0.000269971940180696,5.33617348618041e-05,0,0
"6",0,0,0.010016550495974,0.0100227208548045,0.0100200676926685,0,0,0,0,0.00291255918568203,0.000214549092590258,0.0043863989740556,0.00230471541221749,0.00021028119701528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258405565463723,0,0.00684514013255707,0.00478651894766579,0.0289217242978982,0.00696961254230814,0.0014834358153226,0.0232220100009635,0.0435951760258778,0.0280249659800296,0.00624751902273167,0.00113888612958516,0.000189254251517041,3.78593889724311e-05,0,0
"7",0,0,0.00740900789443415,0.00738954017787326,0.00739543703163564,0,0,0,0,0.00200951549515122,0.00015758275042766,0.00332444815804912,0.00174242922265427,0.00016136726415041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421175855207894,0,0.00320389661745718,0.0100295733919366,0.0464794999342873,0.00599956319958867,0.00114605119141046,0.012339864118565,0.0171489405391751,0.00880475789651038,0.00306497499454266,0.000599211603237505,0.000141745967110306,4.97569851955083e-05,4.09360180739378e-05,0
"8",0,0,0.00589464840325281,0.00589015022702897,0.00588876691316456,0,0,0,0,0.00144636465217837,0.000131114107139184,0.0027502394753399,0.00144719303369235,0.000136092660056331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417372668661299,0,0.00242376178947545,0.0113683738165282,0.0451018272715455,0.00486125425474671,0.000640347128083233,0.00980755527152615,0.00689279897993386,0.00210572356143246,0.000745932404119289,0.000267896783983432,6.830561152376e-05,9.99999999997669e-06,0,0
"9",0,0,0.0181391473244082,0.0181406039345748,0.0181395344788975,0,0,0,0,0.00418255685175739,0.000385571856552866,0.00860330562497725,0.00454196804671427,0.000418216511516478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323362886965506,0,0.015789107100476,0.00699935090785661,0.0336104417397242,0.00453544191158186,0.000735833204639819,0.014033296444204,0.0169754211801187,0.00824783258948931,0.000886124235994147,0.000112474463992791,5.53774924201704e-05,3.77525168067757e-05,0,0
"10",0,0,0.0159970558844336,0.0159985560901513,0.0160007701834835,0,0,0,0,0.00373072568562925,0.000339732515102966,0.00755964538743965,0.00400826217413046,0.000368913227869328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023662465610918,0,0.0130183000953941,0.0088402360108355,0.0220696898963536,0.00556546811629852,0.00124528849442345,0.0348750012635313,0.032729338320056,0.0189681522291946,0.00290194553339446,0.000181364079389805,9.99999999997669e-06,0,0,0
