"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","QCt13_mean1","QCt14_mean1","QCt15_mean1","QCt16_mean1","QCt17_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"60",5.440305,0.007489,38.710829,33.270518,27.383381,11.327444,9.20545,0.522727,1.599252,6.213851,0.289106,12.293771,8.209826,0.376824,157.000857,92.274983,172.489105,250.938207,265.293697,435.368608,80863.8618,72924.873363,18.42493,2.435874,13.472932,14.592214,0.651851,23.712177,27.881284,0.696671,0.179258,8.447718,14.25414,11.208117,12.619721,0.576628,23.972402,15.947115,0.722025,0.003744,0.002996,0.000748,0,1.740646,1.754616,0.511883,0.138468,0.844764,0.757416,0.005374,0.941766,2.72494,3.421772,4.459202,6.87346,7.364871,7.48244,7.541035,7.593511
"61",2.383454,6e-06,15.397932,13.014476,14.433093,0.964842,0.646414,0.050413,0.268011,3.442218,0.150228,6.36378,4.279175,0.197686,142.79351,90.468945,162.934759,266.990953,266.493874,435.18265,80854.369917,72927.776566,14.207345,1.806039,9.554352,7.979952,0.335068,12.135325,14.34537,0.361548,0.092141,4.613873,7.335383,5.742564,10.30753,0.439105,18.130344,12.095577,0.547869,2e-06,2e-06,0,0,0.636827,0.605194,0.28338,0.02543,0.360719,0.250681,0.009956,1.145605,3.479009,4.366988,5.19564,6.507508,6.840264,6.940361,7.010611,7.071127
"62",6.897183,0.017937,13.157784,6.260604,12.990803,0.166986,0.094554,0.006521,0.065908,3.290833,0.13535,5.61073,3.778979,0.174907,129.911925,88.791513,154.379966,281.143464,267.622636,435.366373,80846.003902,72929.722351,12.890559,1.679798,8.561386,7.551638,0.298978,10.587394,12.532329,0.316553,0.082221,4.361729,6.408615,5.011253,10.412656,0.417906,17.174939,11.467466,0.519571,0.008966,0.006603,0.002372,0,0.387774,0.455865,0.36163,0.032545,0.186822,0.168418,0.002365,0.909331,3.458866,4.614526,5.455053,6.422737,6.637949,6.714521,6.78186,6.838722
"63",23.369243,21.71598,20.253288,-3.115955,16.376269,3.877026,1.80607,0.149266,1.921683,4.378804,0.171787,6.940946,4.6688,0.215924,139.064415,87.014463,145.500675,292.521083,268.822403,436.001254,80835.367185,72933.423283,12.200115,1.866125,9.153609,10.255656,0.386558,13.366763,15.807177,0.398447,0.106299,5.919211,8.08289,6.325195,12.394134,0.475164,19.458296,12.98904,0.588665,0.371333,0.280591,0.090738,21.758484,0.387675,0.654473,0.195564,0.045483,0.126561,0.215634,0.004409,1.185199,3.493392,4.655719,5.541329,6.474003,6.643926,6.710953,6.775071,6.830333
"64",45.621044,33.884577,44.801165,-0.819885,26.956961,17.844197,12.369111,1.075654,4.399429,7.543095,0.284028,11.257581,7.527255,0.345006,152.809209,86.310859,141.29509,298.316665,269.787471,437.56459,80817.390782,72941.371958,14.227792,1.886068,8.935046,17.649262,0.638188,21.631991,25.453876,0.635362,0.175503,10.182333,13.012848,10.225326,13.157809,0.489708,20.026654,13.348099,0.604946,5.953192,4.762478,1.190715,22.600859,0.807543,1.25489,0.314904,0.027507,0.204977,0.57505,0.002497,0.584274,2.45492,3.315819,4.55877,6.563309,6.788376,6.873597,6.949099,7.016339
"65",97.138874,45.276413,85.561384,-11.577486,40.870504,44.690883,31.279502,3.317304,10.094081,11.589894,0.432643,17.039604,11.295932,0.512425,160.733878,89.273131,151.93369,293.870461,270.154067,440.010756,80790.518909,72953.236648,14.713521,1.565392,7.471964,26.866606,0.964005,32.380183,37.815433,0.934582,0.265101,15.498191,19.328278,15.280404,10.775268,0.402206,16.491035,10.950857,0.496743,22.638205,18.110565,4.527634,0,0.656319,1.740686,1.02885,0.01924,0.080477,0.556607,0.007517,0.012085,0.37955,2.629318,3.953412,6.661138,7.00628,7.119948,7.21429,7.298306
"66",117.670191,60.030015,116.915815,-0.754384,65.648747,51.267059,34.435143,3.968718,12.863202,17.996072,0.698819,27.84038,18.288798,0.824671,174.885036,93.541604,167.237443,275.745346,270.026903,442.603611,80745.75984,72972.806565,15.86386,1.73454,8.708243,42.957489,1.60156,54.431036,63.062345,1.547869,0.440429,24.796153,32.227712,25.664435,10.892112,0.425267,17.56312,11.608207,0.526849,30.01501,24.012006,6.003005,0,1.044823,4.392132,1.418498,0.028985,0.252544,0.763295,0.027122,0.692197,2.397134,3.230598,4.471023,7.427703,7.757138,7.835537,7.91256,7.979632
"67",135.968331,66.758392,155.083762,19.115415,95.706783,59.376971,40.73058,4.602004,14.044393,24.280503,1.043716,41.808222,27.343302,1.231033,190.930616,98.21333,183.377266,244.10237,269.264797,442.592765,80676.78945,73002.374134,17.333601,2.004115,10.563536,59.840782,2.46556,84.405897,97.458023,2.382461,0.678026,34.593825,49.801115,39.77925,10.752697,0.46488,19.320877,12.756417,0.579658,33.379203,26.703356,6.675838,0,3.664765,12.265716,3.689964,0.602578,0.988554,2.07363,0.329982,2.767437,4.516302,4.735884,5.787309,9.219199,9.35588,9.26321,9.221989,9.188779
"68",133.818161,67.784426,166.09759,32.279442,103.239613,62.857993,43.85754,4.844283,14.156175,23.171797,1.156063,46.688743,30.830288,1.392723,205.960496,102.759347,198.274621,214.807138,268.272601,437.339895,80593.948512,73037.312578,18.862324,2.23243,12.216398,60.708728,2.889722,100.043533,116.635661,2.849206,0.794673,35.190693,59.599974,47.194846,9.762667,0.489045,20.303762,13.553945,0.616425,33.89221,27.113773,6.77844,0,11.314245,21.349132,3.399794,4.253542,2.891309,4.169406,0.012262,2.477185,5.016251,5.289923,6.54515,11.05849,11.04714,10.746814,10.533275,10.364396
"69",102.755751,57.087932,137.439125,34.683373,83.877603,53.561528,37.571136,3.986606,12.003787,17.241221,0.949423,38.529046,25.980262,1.17765,214.434505,106.133119,207.99524,203.915737,267.91939,431.19585,80524.691327,73066.330464,20.069892,2.334987,13.114498,44.425989,2.33806,81.392537,96.755871,2.373396,0.642964,25.802443,49.445962,38.450758,8.827337,0.486771,19.992195,13.598534,0.619331,28.543965,22.835175,5.708793,0,9.23814,15.572467,2.641902,2.520146,3.502376,3.215615,0.217553,1.704615,3.973962,4.455524,5.864052,11.027766,11.229267,10.959407,10.71487,10.526243
