"","GLmax","GRmax","Gsmax","JV","Vcmx0","Entrpy","gddonset","Tau_Leaf","Tau_Root","Tau_F","Tau_C","Tau_Micro","Tau_SlowSOM","Tau_Passive","Q10","Rl0","Rs0","Rr0","Q10rh","f_F2M","f_C2M","f_M2S","f_M2P","r_me","Q10_pro","Omax","Tveg","f","bubprob","Vmaxfraction"
"1",22.69,19.89,21.51,1.17,17.16,658.45,150.24,0.96,0.66,0.26,10.74,0.33,101.8,1734.75,3.01,30.02,7.54,19.89,3.51,0.53,0.28,0.29,0.12,0.12,3.6,21.12,1.24,0.35,0.26,0.13
"2",32.73,20.44,19.22,1.12,16.81,655.25,147.59,0.48,0.52,0.22,8.83,0.28,418.61,2077.56,3.16,28.63,7.88,22.14,3.08,0.53,0.27,0.32,0.13,0.09,3.07,24.28,5.28,0.29,0.31,0.1
"3",29.68,20.69,19.23,1.19,16.09,657.56,130.84,0.38,0.62,0.34,9.24,0.35,27.3,2015.43,2.56,28.27,7.43,25.42,3.54,0.54,0.27,0.3,0.12,0.06,3.31,23.5,4.26,0.34,0.28,0.12
"4",26.53,19.35,20.44,2.17,10.62,645.68,146.39,0.58,0.5,0.29,11.15,0.36,37.7,2386.04,1.99,27.77,8.03,26.46,2.66,0.56,0.27,0.36,0.15,0.12,1.95,25.04,6.4,0.26,0.24,0.12
"5",30.78,20.07,19.28,1.08,14.97,647.31,135.54,0.33,0.71,0.32,10.88,0.36,25.19,2079.04,2.59,30.72,7.39,25.31,2.78,0.56,0.28,0.3,0.13,0.11,2.89,20.97,6.29,0.31,0.27,0.13
"6",28.27,20.63,19.52,1.1,15.52,649.21,128.53,0.33,0.49,0.33,10.01,0.36,33.83,1952.62,2.58,29.8,7.51,24.04,2.34,0.54,0.27,0.3,0.13,0.17,2.6,1.02,3.24,0.18,0.3,0.15
