"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","QCt11_sd1","QCt12_sd1","QCt13_sd1","QCt14_sd1","QCt15_sd1","QCt16_sd1","QCt17_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00329269331899117,0.00329224540366899,0.00329165995396332,0,0,0,0,0.000902882029722588,7.62505174680271e-05,0.00147135476635806,0.000778158276336023,8.39612705328905e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00797243198259927,0,0.00200980902655758,0.00209988359465736,0.00818181625140269,0.0019515057641408,0.00058558008880429,0.0326090412417641,0.0674167490728792,0.078221399555907,0.0163267545192335,0.00143064970760087,0.000128707639888529,4.96044963752108e-05,0,0
"2",0,0,0.00329335096915899,0.003287431068525,0.0032901473670596,0,0,0,0,0.000922716126717755,7.26065917924537e-05,0.00145785611239397,0.000767377141155312,7.69297199928854e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00939621135771156,0,0.00269636867664718,0.00280388240938463,0.00973934740518008,0.00142400913627758,0.00149209194885516,0.0251014044236653,0.0606753230920383,0.110524974626379,0.0232561445991412,0.0019639981896348,0.000179437955288183,0,0,0
"3",0,0,0.00323423152160661,0.00323467248119591,0.00323089317481562,0,0,0,0,0.000936796065687129,6.88359196813951e-05,0.00141859049408176,0.000752681402008342,7.33815268636995e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102400762998262,0,0.00266713992012706,0.00240534253844909,0.0109368713787607,0.00146045897033789,0.000773862802028652,0.0313895300533426,0.0610951487105121,0.0815533099242205,0.0216888488780886,0.00235838735348776,0.000224517439874897,5.13553671719076e-05,0,0
"4",0,0,0.00183066224149201,0.00182814030361375,0.0018306313422179,0,0,0,0,0.000539055477739338,5.02418393795636e-05,0.000796573469887868,0.000421037679160339,5.21845985251561e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00832213186556659,0,0.000984959620769022,0.00324429865107603,0.00909959683866613,0.00159724004381801,0.00292594040826659,0.0206745541155979,0.0451580614747978,0.0529955040879446,0.0158313031872319,0.00209691331593507,0.000237588898832397,3.26598632370329e-05,0,0
"5",0,0,0.00850324097451769,0.00850287556825883,0.0085000636361254,0,0,0,0,0.00255910022066229,0.000180336386015749,0.00367272928542801,0.00192163098865672,0.000183289250898524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211088561767545,0,0.00537154671779127,0.00530030254520504,0.0245362228823699,0.00631670064754592,0.00153364160274054,0.022008692933622,0.0572627258936184,0.0351980522159676,0.00817608059765765,0.00142799251617875,0.000203752672412037,3.89249472081375e-05,4.09360180739378e-05,0
"6",0,0,0.0100863008906416,0.0100904941265119,0.0100876607793878,0,0,0,0,0.00294215546629988,0.000206891373440347,0.00441873547888118,0.00230552673707194,0.000218867609076857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247091879815398,0,0.00605540705035215,0.00588403927432662,0.0280020796485987,0.0071018605472315,0.00148189715969739,0.0242801888731775,0.0439654209394592,0.032517459785615,0.00641011322171075,0.000869075324233714,0.000144707995771916,4.22952584680665e-05,4.22952584680665e-05,0
"7",0,0,0.00625389502872421,0.0062624953073633,0.00626702481246058,0,0,0,0,0.00172447005474061,0.000139102462054022,0.00280941328933677,0.00145653352140958,0.000134224295923494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382430169105974,0,0.00244376324300837,0.0110058678564086,0.0426006681315273,0.00574115490088531,0.00130923834747728,0.0102249153018151,0.016258650657792,0.0102081369801772,0.00337738692249532,0.00056019026349372,0.000101224822284025,3.26598632370329e-05,0,0
"8",0,0,0.00577895485290534,0.00579067135550574,0.00578937166214296,0,0,0,0,0.00143046894903092,0.00012615526748871,0.00270215028479478,0.00140415544910541,0.000126554974679615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392195634546811,0,0.00194261096819136,0.0119104688693128,0.0399188622917371,0.00507731844838027,0.000756055687115838,0.0111522366737925,0.00592853696159941,0.00194576566944844,0.000769444243882828,0.000270194467939222,6.74199862464864e-05,2.56432399975645e-05,0,0
"9",0,0,0.0162702019258237,0.0162784257981122,0.016281423882338,0,0,0,0,0.00379533618638401,0.000347706773014296,0.00771804464429379,0.00404643888830265,0.000374299345444296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368597491455206,0,0.0145342061178018,0.00285500428983031,0.0384470410914399,0.00520112614068463,0.000678605224342585,0.0177521726085353,0.0145650902690459,0.00822033319140881,0.000909440387371183,0.000118964386488142,4.72581562624159e-05,5.02418393803445e-05,1.40705294135962e-05,0
"10",0,0,0.0131938171929584,0.013197909958502,0.0131972879062635,0,0,0,0,0.00309917731019056,0.000279340854747958,0.0062284151720607,0.00327827544586932,0.000300657528585172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256759552456725,0,0.0104362748781993,0.00408181480731453,0.0274968498471216,0.00846733473861508,0.00164643354993253,0.0320138071696409,0.0286593132746362,0.0176092950661653,0.00273725217964105,0.000175188210479151,3.14466037734487e-05,1.40705294135962e-05,0,0
