"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00335169247160931,0.00335909725126177,0.0033513000643351,0,0,0,0,0.000916477115388215,7.75639195513124e-05,0.0015035311970844,0.00078938666895969,7.91367567103217e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081351500082399,0,0.00209040013568521,0.00220594673782052,0.00847364416615103,0.0019370525876374,0.000533715771972803,0.0296171963936869,0.0672882729212697,0.0783727735398157,0.0167091162138057,0.00149635077991945,0.000120604537831183,4.85236587097089e-05,0,0
"2",0,0,0.00314076021808004,0.00314244629021228,0.00314274858791931,0,0,0,0,0.000885554098068585,6.69388383586621e-05,0.00139698484840266,0.000735097052618021,7.43660072230939e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00971041984341324,0,0.00222981994109322,0.00237603693471956,0.0106639985299354,0.00158042667809946,0.00145625921768444,0.0361746336009311,0.0617197631773378,0.110896133750497,0.0230802521518709,0.00198202426877681,0.000177169096878976,0,0,0
"3",0,0,0.00343761956633196,0.00343843398698134,0.0034401791120859,0,0,0,0,0.000989196184236978,8.12217316792119e-05,0.00150840708006556,0.000794538809116282,7.82317200386242e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105779547774004,0,0.0026824766183661,0.00247989410005241,0.0109709366284311,0.0015533121991019,0.000745070669822872,0.034658139671,0.0635704498643796,0.0842399650829208,0.0222159197401096,0.00238361409662223,0.00023019315560801,4.39926531973751e-05,0,0
"4",0,0,0.00231126599616965,0.00231317067806467,0.00231990595420666,0,0,0,0,0.000683138183516164,5.63090318750587e-05,0.000999274484288215,0.00053474340112852,5.77350269189562e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00872078319854126,0,0.000945254495152528,0.00309547143975574,0.00910145820262563,0.00186803926807514,0.00286780879291617,0.0231601053712646,0.049586215205275,0.0546431281455898,0.0164939469766544,0.00216521536475189,0.000245926407650239,4.19114024647439e-05,0,0
"5",0,0,0.00867884342711184,0.00868217819339238,0.00868000721500433,0,0,0,0,0.00260918714847321,0.000189160826234785,0.00375261524967879,0.00196133432214713,0.000179997194141972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221902450130091,0,0.00506635924107203,0.00616976302280531,0.0250798341262055,0.00586072839958801,0.00164551763370323,0.0213307586277742,0.057302342319957,0.0359504431492334,0.00812462344115752,0.00145910585599189,0.00021122777212558,4.33333333332824e-05,4.85236587092779e-05,0
"6",0,0,0.00855576709039291,0.00855707038275095,0.00855646580491691,0,0,0,0,0.00250446066695469,0.00018227241240306,0.00374496780204914,0.00195344399314226,0.000184598937366281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266043984363792,0,0.00603626213861365,0.00664711040736325,0.0289337081912597,0.00647745203366917,0.00155598908100347,0.02013243415612,0.0541116847666272,0.0359194581070911,0.00680262063286993,0.000852011286499807,0.000149946118268399,4.7768380565051e-05,4.76095228568414e-05,0
"7",0,0,0.00604666566435957,0.00605157830652469,0.00605301360789596,0,0,0,0,0.00166323859571126,0.00012981727640234,0.00272161642403815,0.00141674687829942,0.000130805584781756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04014271605815,0,0.00200172122903962,0.0106227056227439,0.0436259057849296,0.00534985499661891,0.00130711185984269,0.012672206882494,0.0183944691676492,0.0127632177871737,0.00427937312505396,0.000584806797069718,0.000109595214818401,2.87623491263991e-05,1.40705294138461e-05,0
"8",0,0,0.00603713893037398,0.00603133995196438,0.00601902337794406,0,0,0,0,0.00149917519410705,0.000138811695720075,0.00281099770202806,0.0014618294888753,0.000138476559661747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375336812514151,0,0.00193707553186798,0.0115987867704107,0.0398447016996658,0.00527746916694743,0.000725074708794434,0.0118224475751287,0.00649349410229699,0.00240619654604144,0.00100596001687718,0.00030848440197619,6.74124947206465e-05,3.01511344577061e-05,0,0
"9",0,0,0.016514657676798,0.0165254464020757,0.0165233795489046,0,0,0,0,0.00384888597289183,0.000347307100736852,0.00783785652774371,0.0041108944933375,0.000385630796372825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324587034599817,0,0.0152184713324621,0.00295358214288133,0.0337910700504071,0.00585021548424681,0.00078449881060355,0.0181935987188746,0.0142607411582932,0.00711313332200134,0.00080177265726599,0.000139331013464561,4.76095228568414e-05,4.94311070431339e-05,9.99999999997669e-06,0
"10",0,0,0.0133627434732288,0.0133533795896263,0.0133574441092341,0,0,0,0,0.0031323691295306,0.000279328198405117,0.00631568066183067,0.0033195586599681,0.000307841950790758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270005785759184,0,0.0100393960842958,0.00479929540283117,0.0276136034401433,0.00844153625493809,0.00172138187383147,0.0324032704422491,0.0286125506649714,0.0155921786596208,0.00249823756057964,0.000160176670138175,2.38683256575386e-05,1.71446607997366e-05,0,0
"11",0,0,0.00846760648565798,0.00846748379497604,0.00847207271932986,0,0,0,0,0.00201024924330345,0.000179887731542747,0.00398823319784643,0.00210771813997414,0.000193886356384141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01703831270989,0,0.00587661647652127,0.00410094088735941,0.0196719047980575,0.00489053703853191,0.000302866774057972,0.0280244642583885,0.0609101747898436,0.0262471304636479,0.00494862943988869,0.000335291219718302,2.56432399977923e-05,1.40705294135962e-05,0,0
"12",0,0,0.00378627825579469,0.003787252808882,0.00378121299547809,0,0,0,0,0.000951113648160417,8.2944547619472e-05,0.00174938834909787,0.000924378579141604,9.37382989330904e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124211537956891,0,0.00268387176980713,0.00267733679675014,0.0137778289181195,0.00189490838242322,0.000405610899779828,0.038763180736468,0.153130323247813,0.0417263174952831,0.00811029374600359,0.000640999062385986,5.44856574583902e-05,0,0,0
"13",0,0,0.00384993768806986,0.00384837300004493,0.00385432657325941,0,0,0,0,0.00101434957017048,8.04281472414279e-05,0.00174741685254708,0.000932169729201923,9.37382989330894e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00683358462213491,0,0.00204538677777751,0.00172277524519438,0.00713219333853071,0.00216813470079884,0.000660525502455385,0.0361283428288035,0.0869791997136573,0.0466416194579108,0.0107541230524047,0.000942221745759369,8.49004170075395e-05,0,0,0
"14",0,0,0.00286184566426299,0.00285415592787179,0.00286177948454835,0,0,0,0,0.000779937189908268,6.58357306813138e-05,0.00129047599079887,0.000675244811572482,6.91287775010402e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00688668045409163,0,0.00188846471767385,0.00172497869991241,0.0075578426722568,0.00153990685799925,0.00010096003809889,0.0285354327144696,0.0527486996728044,0.0456175964963194,0.0107587492701794,0.00110861229116459,0.000101503843784624,1.40705294135962e-05,0,0
