"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"58",55.21401,27.099421,109.280252,54.066248,82.385085,26.895162,18.995028,3.731632,4.16851,10.383473,0.486107,35.095098,35.442124,0.978294,154.818847,113.556256,215.1816,221.85339,264.571536,638.681959,80266.817188,73050.654375,20.642947,1.930894,7.561836,25.288486,1.13745,66.47274,125.375454,1.892857,0.312799,14.588742,7.589625,9.883309,2.264658,0.133892,4.842551,2.613187,0.009628,0.721454,3.181286,3.806006,5.554987,12.418398,13.151867,13.10993,12.964282,12.849896
"59",19.773572,10.077831,80.359099,60.585535,64.967375,15.391724,11.611989,1.942288,1.837451,8.287608,0.375266,27.782873,27.75604,0.765579,140.615554,114.192972,209.092354,229.486029,265.562473,647.455128,80184.515001,73076.771019,19.242201,2.202488,8.28898,20.228503,0.881241,52.806664,98.520671,1.485888,0.242345,11.650729,5.593991,7.673226,1.366218,0.606748,2.872655,2.114585,0.05551,0.777106,2.874962,3.396092,4.896359,10.509485,11.36222,11.488764,11.479106,11.47366
"60",5.881695,0.191399,56.616203,50.734505,48.184689,8.431514,6.423495,0.468711,1.539303,6.324309,0.269558,20.598114,20.431013,0.561687,120.950637,111.709205,199.88001,243.928818,267.110741,653.736544,80125.768825,73095.502889,19.760623,2.544979,9.246808,14.945728,0.614902,37.954223,70.347448,1.057655,0.169097,8.585922,3.664196,4.287121,1.205962,0.228129,1.928427,1.507645,0.0113,1.040829,3.273721,3.882201,5.104435,8.7473,9.463344,9.649187,9.729842,9.797778
"61",2.408379,0.000738,26.489702,24.081322,25.996147,0.493558,0.297515,0.024864,0.171179,3.53271,0.141115,11.083321,10.939004,0.299994,106.238558,109.825547,193.237701,257.394045,268.395915,657.125629,80095.293591,73104.987973,14.712443,1.883924,6.64243,8.172386,0.315954,20.017897,36.94845,0.553967,0.086885,4.683959,1.560256,1.616682,0.713402,0.056793,0.933467,0.569992,0.023191,1.192412,4.45298,5.262805,6.076677,7.91524,8.391744,8.545664,8.642544,8.72428
"62",6.352199,0.027929,25.138541,18.78635,24.992538,0.146,0.078746,0.012368,0.054895,3.572997,0.135604,10.592361,10.406452,0.285124,93.332456,108.033472,187.03363,268.638852,269.629952,660.492672,80066.868284,73113.892657,12.920065,1.804296,6.205806,8.151991,0.2997,18.859868,34.652033,0.519612,0.082417,4.667375,0.783209,1.366587,1.06526,0.081017,0.36546,0.336744,0.014819,1.000793,4.50869,5.585147,6.372178,7.646052,7.952403,8.076136,8.173169,8.255991
"63",23.427753,33.15202,34.376667,10.948908,31.165756,3.21091,1.411837,0.276282,1.522797,4.772221,0.175102,13.086458,12.780648,0.351326,113.21999,106.460073,180.651784,277.098931,270.881643,665.06776,80030.93836,73125.330079,12.794939,1.936883,6.48783,11.112833,0.394522,23.777287,43.39565,0.652009,0.108495,6.362058,0.991123,1.889177,0.730813,0.064169,0.343575,0.58338,0.009008,1.027578,4.165174,5.155525,6.200383,7.737748,7.975676,8.086184,8.184092,8.268786
"64",43.388502,24.498791,62.111483,18.722983,49.254038,12.85745,8.90191,1.910156,2.045387,7.823192,0.282924,20.644472,19.951754,0.551684,116.916171,107.470668,176.534922,280.868234,271.937991,672.386271,79974.2118,73143.706402,15.398785,2.00022,6.50979,18.438488,0.643667,37.93898,68.452436,1.033529,0.177006,10.565351,1.911513,3.533531,0.814313,0.057424,0.571798,1.282303,0.006135,0.727136,2.85738,3.551369,4.944033,8.047196,8.399736,8.534231,8.649172,8.752293
"65",83.465239,44.320554,105.69698,22.231737,68.495424,37.20155,24.63201,7.449227,5.120318,10.992811,0.403026,28.853802,27.48238,0.763405,123.591178,118.70133,180.182185,276.461165,272.542726,681.907977,79897.232029,73168.892654,15.485258,1.778431,5.50389,25.663189,0.906863,52.446957,93.208604,1.414815,0.249385,14.727701,1.365875,4.41749,2.154537,0.070101,0.218555,1.077212,0.026186,0.028194,0.675173,3.35257,4.839359,8.57931,9.048995,9.198425,9.320099,9.427853
"66",96.94175,52.589362,145.669288,48.72753,105.05858,40.610699,26.137001,7.452664,7.021041,16.202297,0.627199,44.976459,42.078971,1.173657,133.257175,129.650713,187.317273,260.328681,272.848558,694.658731,79775.67437,73208.265236,16.628645,2.075922,6.134251,39.206729,1.458643,84.68931,147.755641,2.253015,0.401124,22.548387,2.638657,9.904478,2.584822,0.077748,0.827566,1.733338,0.012997,1.76005,3.893928,4.562392,6.030353,10.396115,10.809193,10.869282,10.922799,10.966585
"67",105.121242,58.304427,196.084781,90.963535,151.563682,44.521109,28.640277,5.714124,10.166693,21.303367,0.920296,66.597132,61.037021,1.705868,144.380809,136.609809,199.818558,232.442476,272.721468,708.160015,79593.389296,73267.447656,18.028582,2.45802,7.233798,53.517336,2.216397,130.104458,222.385761,3.406777,0.609507,30.879939,8.720041,24.654227,6.433497,1.572345,2.932038,4.215671,0.718228,3.522819,6.489861,6.749603,8.263968,13.912431,14.064304,13.847528,13.692517,13.556734
