"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","QCt13_mean1","QCt14_mean1","QCt15_mean1","QCt16_mean1","QCt17_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4624,0,14.282828,13.820411,14.012017,0.2708,0.2208,0.0081,0.0419,3.790276,0.293536,6.283269,3.338668,0.306259,149.6352,97.8096,178.8429,294.3309,268.6111,463.3339,82122.8516,72483.6406,12.3063,1.9024,7.5369,8.7456,0.6773,10.8736,11.5556,0.5782,0.1863,4.9963,6.038,4.3494,11.545,0.8941,19.0037,10.0978,0.9263,0,0,0,0,0.38561,0.8206,0.151286,0.123009,0.130396,0.132204,0.00874,1.870891,4.052396,6.026194,7.192197,7.732975,7.838392,7.899294,7.9632,8.0288
"2",4.346,0.0033,14.028693,9.682703,13.943896,0.0848,0.068,0.0028,0.014,3.881603,0.290887,6.18544,3.28464,0.301331,138.2657,95.95,171.6355,304.2194,269.5205,463.6816,82117.2266,72483.6406,11.3712,1.86,7.2086,8.9729,0.6724,10.7236,11.3891,0.5699,0.1849,5.12,5.951,4.2895,11.9326,0.8942,18.951,10.0635,0.9232,0.0017,0.0013,3e-04,0,0.430199,0.8136,0.116718,0.168145,0.126074,0.135968,0.009676,1.911307,4.131273,6.019625,7.278359,7.8507,7.949037,8.0038,8.062,8.1218
"3",11.0292,0,14.247027,3.217878,14.048643,0.1984,0.159,0.0067,0.0327,4.001662,0.291998,6.177268,3.277063,0.300654,127.7586,94.1391,164.7694,312.6644,270.3876,464.1797,82111.6016,72483.6406,10.5071,1.8107,6.8661,9.1981,0.6712,10.6494,11.299,0.5654,0.1846,5.2436,5.904,4.2597,12.2003,0.8903,18.8229,9.9856,0.9161,0,0,0,0,0.454384,0.7701,0.149568,0.108446,0.208265,0.137671,0.006762,1.958843,4.198761,5.971244,7.293051,7.914418,8.019159,8.075499,8.1333,8.1922
"4",30.9225,1.3652,22.792336,-8.130186,16.070743,6.7216,5.5394,0.3004,0.8818,4.70249,0.33578,6.989881,3.702862,0.339742,118.7221,92.4708,158.6185,318.29,271.1323,464.9778,82104.5859,72484.9844,9.7191,1.8047,6.6972,11.0548,0.7893,12.3222,13.0552,0.6534,0.2171,6.2972,6.8216,4.9289,12.6955,0.9071,19.1429,10.1416,0.9305,0.6826,0.5461,0.1365,0,0.745248,1.1653,0.046484,0.467385,0.087355,0.190505,0.055867,1.709943,4.080298,5.767069,7.241279,8.014357,8.136795,8.199305,8.2606,8.3224
"5",70.4879,54.6154,70.048534,-0.439374,35.882044,34.1665,27.4948,1.9425,4.7291,10.664249,0.764924,15.511472,8.189792,0.751613,152.86,92.7296,160.2243,310.624,270.8635,466.9795,82084.2109,72493.2812,10.3056,1.7761,6.5326,24.7657,1.7763,27.0153,28.5274,1.428,0.4885,14.1096,14.9063,10.8061,12.5982,0.9022,19.0748,10.0743,0.9245,10.1731,8.1385,2.0346,34.2691,1.846836,2.696,0.382625,0.519216,0.628889,0.698734,0.026429,1.033438,3.414087,4.699346,6.356283,8.146073,8.413435,8.545988,8.6472,8.726
"6",111.0942,53.0956,111.853349,0.759135,54.805909,57.0474,45.0366,3.4303,8.5805,15.796308,1.177706,24.040531,12.631552,1.159811,172.4248,95.0054,169.7462,293.6804,269.6111,469.049,82051.7734,72508.3594,13.214,1.7874,6.7317,37.159,2.7711,42.4279,44.5845,2.2329,0.762,21.1995,23.2971,16.9711,11.9585,0.891,18.9855,9.9762,0.916,20.317,16.2536,4.0634,12.4616,2.772841,4.7815,0.603536,0.91981,0.897869,0.955164,0.162459,1.403704,3.599447,4.64507,6.187938,8.314485,8.684594,8.871925,9.0216,9.1407
"7",152.7026,61.5229,162.246078,9.543485,84.916263,77.3298,59.3438,5.1218,12.8642,23.014984,1.861746,38.203776,19.998213,1.837524,188.9003,99.2744,186.9443,259.8144,266.6941,469.5122,82000.0312,72523.4766,14.2862,1.8833,7.4112,55.8502,4.5186,69.5422,72.8055,3.6489,1.2426,31.9602,38.0448,27.8169,11.1485,0.9001,19.3903,10.1505,0.9327,30.7615,24.6092,6.1523,0,6.568634,10.0355,0.603714,3.235679,1.724738,1.608197,0.276122,2.278285,4.906763,5.683696,6.731371,9.035714,9.407143,9.590588,9.7465,9.8775
"8",149.2716,56.2078,161.742181,12.470633,80.356611,81.3856,64.2607,5.2618,11.8632,19.774967,1.774177,37.384009,19.619242,1.804218,201.525,102.9325,201.3411,235.5636,264.048,466.3732,81949.2031,72537.9062,15.4791,1.9625,8.0863,48.1105,4.315,68.1838,71.5642,3.5897,1.1866,27.6474,37.3975,27.2735,9.9106,0.8904,19.3301,10.1453,0.933,28.1039,22.4831,5.6208,0,7.463142,9.9004,0.513372,3.231903,2.432941,1.798299,0.018421,1.809372,4.792617,5.561561,6.576044,9.116987,9.498317,9.6756,9.8328,9.9713
"9",97.5866,27.1,122.569103,24.982436,50.106481,72.4626,61.038,4.199,7.2257,11.601955,1.097522,23.723942,12.530008,1.153062,199.102,103.8602,204.6568,232.5846,263.033,463.4081,81918.2031,72550.2656,15.9731,1.7824,7.5243,26.7436,2.5298,41.0045,43.313,2.1741,0.6957,15.4047,22.6349,16.4018,8.2762,0.7833,17.0071,8.9859,0.8269,13.55,10.84,2.71,0,3.060335,3.7716,0.82398,0.124845,1.846795,1.088701,0.006037,0.754119,3.571916,4.435064,5.699468,8.230312,8.643463,8.839799,9.015,9.1709
"10",56.1615,15.9824,89.400872,33.23941,32.835905,56.5649,49.1466,2.8369,4.5814,7.620009,0.711088,15.512883,8.23387,0.758062,191.5259,103.6132,203.2476,238.7785,262.9728,461.5907,81897.4922,72557.8984,15.5673,1.8452,7.8025,17.4522,1.6286,26.6479,28.2884,1.4206,0.4479,10.0466,14.7834,10.6592,8.6539,0.8067,17.4552,9.2663,0.8531,7.9912,6.393,1.5982,0,1.732601,2.2796,0.556075,0.154999,0.86109,0.716517,0.008566,0.687903,3.274418,4.207221,5.544336,7.648503,8.038154,8.2258,8.392697,8.5398
"11",13.2472,0.0255,47.466212,34.218971,17.796856,29.6694,26.6306,0.9287,2.11,4.186601,0.376072,8.369262,4.454691,0.410232,176.9835,101.7698,195.5776,251.6758,263.6785,460.722,81888.4297,72561.0156,14.5552,1.8458,7.6802,9.6154,0.8637,14.4161,15.3465,0.7709,0.2375,5.526,8.0201,5.7665,9.1374,0.8192,17.6509,9.3957,0.8653,0.0128,0.0102,0.0026,0,0.97843,1.1336,0.174405,0.067609,0.547907,0.362907,0.004904,1.052773,3.758215,5.018704,6.175601,7.356903,7.632015,7.7702,7.9022,8.0271
"12",3.062,0,30.28575,27.223774,16.224465,14.0613,11.7369,0.4073,1.917,4.028116,0.342265,7.492813,3.993469,0.367798,161.394,99.6082,186.7839,267.0852,264.727,460.3055,81881.8672,72561.0156,15.5894,2.1616,8.7938,9.3012,0.7903,12.9766,13.8324,0.6949,0.2173,5.333,7.2289,5.1906,11.5615,0.9818,21.0533,11.221,1.0335,0,0,0,0,0.457947,0.9615,0.172353,0.093536,0.209861,0.154555,0.006124,1.829589,4.290419,6.012769,6.937275,7.481477,7.620754,7.6989,7.7831,7.8701
"13",2.2972,0,13.836985,11.53977,12.819838,1.0171,0.8311,0.0305,0.1556,3.334239,0.269984,5.824186,3.105398,0.286027,149.1293,97.8306,179.7132,279.0343,265.6188,460.2501,81876.2422,72561.0156,12.2647,1.7777,7.0706,7.6499,0.6194,10.0222,10.6874,0.5369,0.1703,4.3778,5.5853,4.0089,10.2098,0.8266,17.6514,9.4115,0.8669,0,0,0,0,0.293729,0.669,0.118224,0.059129,0.100034,0.13457,0.004472,1.858853,4.202686,6.221028,7.184639,7.649481,7.738921,7.790704,7.8507,7.9157
"14",4.4022,0,13.072445,8.670207,13.05963,0.0128,0.0104,4e-04,0.002,3.515248,0.274235,5.859015,3.12342,0.287705,137.7967,96.036,172.7225,289.5705,266.5172,460.3959,81870.6172,72561.0156,11.3327,1.7947,6.9907,8.0531,0.6282,10.0669,10.7333,0.5393,0.1728,4.602,5.6093,4.0268,10.9308,0.8527,18.1503,9.6758,0.8913,0,0,0,0,0.269728,0.6295,0.090956,0.051728,0.083182,0.134824,0.005127,1.866481,4.194741,6.260491,7.302383,7.793814,7.871255,7.913587,7.9635,8.0186
"15",29.621,1.3965,18.584854,-11.036144,13.745434,4.8394,3.9769,0.2225,0.64,3.807178,0.288129,6.100505,3.250211,0.299408,128.0023,94.3304,166.2422,298.5062,267.4119,460.7373,81864.9922,72561.0156,10.4926,1.8453,7.0387,8.8794,0.672,10.6698,11.3693,0.5713,0.1848,5.0685,5.9417,4.2679,11.8399,0.896,19.0181,10.1324,0.9334,0.6982,0.5586,0.1396,0,0.465834,0.8653,0.048047,0.287866,0.04024,0.137728,0.03075,1.891961,4.187476,6.24485,7.385732,7.923183,8.004295,8.0461,8.0953,8.1499
"16",38.186,44.5514,32.323935,-5.862018,15.250289,17.0736,14.9745,0.678,1.4212,4.34742,0.320579,6.692388,3.561767,0.32814,159.9471,92.7906,160.556,306.5568,268.2036,461.3334,81858.3203,72562.0234,11.2142,1.8185,6.8014,10.2311,0.7544,11.8113,12.5723,0.6318,0.2075,5.8346,6.5704,4.7245,12.2165,0.9015,19.0907,10.1607,0.9361,1.3937,1.1149,0.2787,41.7641,0.80624,1.1044,0.034496,0.471648,0.163856,0.170744,0.052082,1.844164,4.234281,6.143936,7.372944,8.025222,8.123669,8.1722,8.2252,8.2829
"17",89.8623,32.382,84.602102,-5.260144,36.98172,47.6204,38.9692,2.6299,6.0213,10.835735,0.794472,16.050325,8.516404,0.784776,165.5018,93.7682,164.9503,301.1548,267.876,463.2397,81836.6328,72570.1953,12.9564,1.7969,6.7021,25.323,1.8568,28.1367,29.8586,1.5008,0.5106,14.4383,15.6047,11.2547,12.2298,0.8959,18.9988,10.0835,0.9292,13.8708,11.0966,2.7742,4.6405,2.058492,3.0065,0.298619,0.769326,0.495541,0.793623,0.109198,0.958742,3.303755,4.655232,6.337446,8.193874,8.450176,8.571214,8.6645,8.7393
"18",133.5995,49.0355,127.690265,-5.909319,58.748682,68.9416,54.1339,4.4278,10.3799,16.641301,1.269576,25.898987,13.677786,1.261034,176.5642,96.8231,177.4635,282.1048,266.4032,465.1534,81802.1484,72585.1016,13.4555,1.8482,7.1011,39.8867,3.0434,46.5667,49.1852,2.4735,0.8369,22.7746,25.7057,18.6267,11.804,0.8987,19.2096,10.1467,0.9355,24.5177,19.6142,4.9035,0,4.278024,6.152,0.412393,1.965954,1.198308,1.113757,0.163245,1.568167,3.740377,4.741897,6.247053,8.45122,8.819233,9.000499,9.1458,9.2625
"19",162.0417,63.3781,167.417825,5.376098,81.510486,85.9073,66.7798,5.8481,13.2793,21.616999,1.788007,36.886344,19.42679,1.792338,193.6379,101.2436,195.0902,253.0372,263.7582,465.0282,81752.4844,72599.2266,14.6154,1.9173,7.7244,51.6954,4.2756,66.1515,69.6796,3.5066,1.1758,29.6083,36.4178,26.4606,10.7671,0.8891,19.1987,10.1114,0.9329,31.689,25.3512,6.3378,0,5.225415,8.7777,1.068941,2.031355,1.685161,1.508902,0.14476,2.023819,4.657645,5.448296,6.565069,8.955393,9.336615,9.520839,9.678,9.8111
"20",144.9588,52.7151,158.107288,13.148465,71.779304,86.3279,69.2454,5.6401,11.4425,17.526757,1.57749,33.404142,17.641989,1.628918,204.2192,104.5204,207.7952,236.0867,261.7269,462.319,81707.9688,72613.2188,15.7763,1.9948,8.381,41.4053,3.7262,59.1754,62.5047,3.1479,1.0247,23.7976,32.6689,23.6701,9.7621,0.8803,19.1258,10.1027,0.9328,26.3575,21.086,5.2715,0,4.710318,7.2276,1.247608,1.060781,2.187431,1.462111,0.015175,1.49285,4.276854,5.087084,6.238681,8.779485,9.179629,9.3671,9.53194,9.677
"21",98.3422,30.0223,118.420427,20.078237,44.429413,73.991,61.9421,4.3167,7.7322,10.361846,0.962885,20.953165,11.123803,1.027721,202.9632,105.7595,212.2281,236.6758,261.0399,459.9875,81680.5781,72624.6016,16.2672,1.763,7.5758,23.5179,2.1855,35.6533,37.8546,1.9076,0.601,13.5358,19.7857,14.2613,8.1308,0.7553,16.4006,8.7093,0.8047,15.0112,12.0089,3.0022,0,2.190788,3.0531,1.219149,0.252468,1.038969,0.899352,0.061371,0.0318,3.212581,4.192378,5.522097,7.975462,8.400963,8.607497,8.7842,8.9341
"22",39.4005,7.9507,75.838386,36.437889,25.296956,50.5414,45.0084,2.2544,3.2786,5.96122,0.537129,11.881852,6.331567,0.585193,191.2858,104.8246,207.9966,246.7654,261.3183,458.8334,81665.0781,72630.2266,15.6529,1.73,7.4117,13.2347,1.1922,19.7787,21.0795,1.0627,0.3279,7.6069,11.018,7.9115,8.2325,0.7413,16.0419,8.5487,0.7901,3.9754,3.1803,0.7951,0,0.733257,1.3984,0.992053,0.189491,0.108142,0.435618,0.002466,0.318474,2.473107,3.907023,5.469947,7.439137,7.812778,7.9952,8.1543,8.2929
"23",8.5468,0,42.733732,34.186938,17.966145,24.7676,22.1886,0.7361,1.8429,4.331135,0.373765,8.376252,4.471607,0.413382,176.7494,102.914,199.9574,259.6098,262.0771,458.1601,81654.3828,72635.2969,14.5362,1.9106,8.0391,10.0193,0.8646,14.5308,15.5143,0.7823,0.2378,5.7484,8.1092,5.8123,9.6696,0.8332,17.9587,9.5876,0.8863,0,0,0,0,0.847965,1.2082,0.146704,0.14163,0.37947,0.326868,0.009139,0.915629,2.904037,4.648012,6.083259,7.321245,7.608354,7.7537,7.8797,7.9884
"24",0.952,0,26.549834,25.597853,16.977243,9.5726,7.9833,0.2792,1.3101,4.314044,0.353663,7.772529,4.153021,0.383985,161.1806,100.6263,190.5535,274.9146,263.2014,457.9204,81647.8203,72635.2969,15.5688,2.2877,9.404,10.0084,0.8205,13.5243,14.4526,0.7289,0.2256,5.7303,7.5543,5.4097,12.4738,1.022,21.9264,11.7158,1.0832,0,0,0,0,0.511484,1.0738,0.183229,0.144094,0.223874,0.143515,0.008536,1.605298,3.429573,5.540225,6.836347,7.488467,7.647988,7.7344,7.8177,7.8975
"25",1.2924,0,14.204811,12.912372,13.726168,0.4786,0.3893,0.0143,0.075,3.655024,0.286127,6.178368,3.30138,0.305263,148.9321,98.6982,182.8142,286.6958,264.1759,458.0177,81642.1953,72635.2969,12.2485,1.9283,7.7393,8.4924,0.6648,10.7666,11.5061,0.5803,0.1828,4.8536,6.0142,4.3066,11.2827,0.8832,18.8704,10.0833,0.9324,0,0,0,0,0.4035,0.8402,0.090755,0.194469,0.085166,0.123862,0.0103,1.736783,3.737435,5.774774,7.105185,7.681182,7.788279,7.846001,7.9065,7.9687
