"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4727,0,14.4163608,13.9436944,14.1455698,0.2708,0.2178,0.0128,0.0402,3.8697012,0.2884734,6.3382198,3.3424256,0.3067502,154.776,164.2445,179.9394,300.1427,263.655,466.7827,82108.6719,72504.6484,12.7291,1.9125,7.5959,8.932,0.6659,10.9726,11.5727,0.5793,0.1831,5.0957,6.047,4.389,0,0,0,0,0.38875,0.8306,0.1521014,0.1256434,0.131993,0.1311126,0.0089042,1.8624676,4.0031546,5.954448,7.1765708,7.7348374,7.8431636,7.904549,7.9686,8.0343
"2",4.4378,0.0033,14.1538384,9.7160818,14.0709988,0.0828,0.0654,0.0043,0.0131,3.961373,0.285744,6.2358948,3.286359,0.301625,143.0157,162.3609,172.6776,310.2885,264.596,467.142,82103.0469,72504.6484,11.7618,1.8838,7.263,9.164,0.661,10.819,11.4034,0.5709,0.1818,5.222,5.9586,4.3276,0.0016,0.0013,3e-04,0,0.4424044,0.8261,0.1143034,0.1774386,0.1298062,0.135163,0.0101678,1.9026924,4.083801,5.92972,7.2610422,7.852928,7.9536044,8.0088,8.067,8.1269
"3",11.2603,0,14.438418,3.1781236,14.241553,0.1969,0.1551,0.0107,0.031,4.1027474,0.2881566,6.2551842,3.2931898,0.302272,132.1477,160.5043,165.7308,318.9479,265.5104,467.6589,82097.4219,72504.6484,10.8681,1.8559,6.9467,9.4367,0.6628,10.7908,11.3621,0.5689,0.1823,5.3725,5.9371,4.3163,0,0,0,0,0.457842,0.7869,0.1506832,0.1140652,0.2068158,0.1369598,0.007076,1.9560718,4.159886,5.8972492,7.2773458,7.9180318,8.0250888,8.0817754,8.1397,8.1987
"4",31.5927,1.1591,21.8956842,-9.6970274,16.2456542,5.65,4.5109,0.3702,0.769,4.8073386,0.330457,7.0572634,3.7100316,0.3405606,122.6755,158.7632,159.4419,324.7341,266.3126,468.4831,82090.4062,72505.9922,10.0516,1.8576,6.752,11.3018,0.7769,12.4417,13.0813,0.655,0.2136,6.4296,6.8354,4.9767,0.5795,0.4636,0.1159,0,0.7660704,1.1825,0.0464398,0.4754628,0.0938782,0.1967276,0.0556324,1.657578,4.0400118,5.706355,7.218034,8.0180392,8.1426754,8.2055196,8.2669,8.3288
"5",72.0956,57.708,70.6976802,-1.3979924,36.3528944,34.3448,26.8665,2.4954,4.9829,10.9257618,0.7546122,15.6948294,8.2227046,0.7549852,159.414,158.9814,161.0731,316.8997,266.1229,470.5529,82070,72514.4062,10.6866,1.838,6.5937,25.3968,1.754,27.3602,28.6688,1.4358,0.4824,14.4506,14.9805,10.9441,10.2816,8.2253,2.0563,37.1449,1.9429576,2.7983,0.381613,0.5741036,0.623553,0.7453044,0.033973,0.9347284,3.2301702,4.4794564,6.2381826,8.1524144,8.4269968,8.5599208,8.6611296,8.7401
"6",113.8627,55.8771,113.9544464,0.0916716,55.7027286,58.2517,45.0201,3.9606,9.271,16.2349706,1.1659234,24.408645,12.7243096,1.1688746,180.2571,161.3779,171.2068,299.5745,264.9478,472.7074,82037.2109,72529.8438,13.8133,1.8471,6.8419,38.2608,2.7484,43.1556,44.9934,2.2545,0.7558,21.7992,23.5112,17.2623,21.2201,16.9761,4.244,13.4368,2.9408944,4.9949,0.6146522,1.0271338,0.9162278,0.9975342,0.161795,1.319331,3.4364978,4.4578206,6.091682,8.329952,8.7104032,8.8980268,9.0474266,9.1664
"7",156.2705,62.7699,164.1211752,7.8506552,85.6003594,78.5208,59.7818,5.3707,13.3683,23.4692858,1.8286478,38.4821242,19.9832734,1.8370262,196.7341,165.7486,188.8203,265.1728,262.1184,473.2227,81985.5391,72545.0234,14.9079,1.906,7.4947,57.0894,4.4487,70.2127,72.9213,3.6565,1.2234,32.6226,38.106,28.0851,31.3849,25.108,6.277,0,6.797549,10.2929,0.5306766,3.44209,1.700035,1.6554246,0.2768354,2.2137754,4.8184438,5.5909238,6.6898496,9.0592314,9.4384852,9.62179,9.777099,9.9076
"8",152.203,56.3627,163.9237322,11.720742,80.9491564,82.9746,65.6639,5.3807,11.93,20.1674032,1.7419746,37.641261,19.5956202,1.8029,208.838,169.4317,203.1909,240.5473,259.532,470.0674,81934.8359,72559.4688,16.0775,1.9535,8.1745,49.1715,4.2458,68.8002,71.6312,3.5948,1.1676,28.2119,37.4333,27.5201,28.1814,22.5451,5.6363,0,7.6746796,10.1135,0.4464758,3.4089006,2.433969,1.8318112,0.02419,1.7966116,4.761156,5.5295146,6.5646396,9.1440612,9.5302464,9.7071118,9.8635,10.0013
"9",99.2849,27.2149,126.1092186,26.8243794,51.7009598,74.4082,62.7731,4.3455,7.2898,12.1172356,1.1041762,24.4749098,12.8239666,1.1806718,205.9139,170.3479,206.2692,237.1187,258.5123,466.9802,81903.5703,72572.1875,16.5315,1.8056,7.8077,28.0387,2.5549,42.468,44.5029,2.2349,0.7026,16.1239,23.2571,16.9872,13.6074,10.886,2.7215,0,3.2635886,4.0701,0.767612,0.0982008,1.9898806,1.1755092,0.0056694,0.8532652,3.617146,4.4430172,5.7152812,8.2829076,8.6988638,8.8936532,9.0669962,9.2207
"10",57.1184,16.0787,92.0515514,34.9331042,33.999344,58.0522,50.1903,3.0933,4.7685,7.9789246,0.718157,16.0630872,8.4599274,0.7792486,197.866,170.0767,204.5609,243.2055,258.4517,465.0653,81882.4219,72580.3828,16.0873,1.8791,8.1398,18.4211,1.658,27.8128,29.2964,1.4719,0.4559,10.5875,15.3106,11.1251,8.0393,6.4315,1.6079,0,2.0538218,2.5617,0.418446,0.172626,1.0603194,0.820878,0.0138398,0.6827028,3.277084,4.185294,5.5400834,7.7007964,8.0936086,8.2797956,8.4446006,8.5908
