"","GLmax","GRmax","Gsmax","JV","Vcmx0","Entrpy","gddonset","Tau_Leaf","Tau_Root","Tau_F","Tau_C","Tau_Micro","Tau_SlowSOM","Tau_Passive","Q10","Rl0","Rs0","Rr0","Q10rh","f_F2M","f_C2M","f_M2S","f_M2P","r_me","Q10_pro","Omax","Tveg","f","bubprob","Vmaxfraction"
"1",16.25,14.59,13.34,1.09,19.23,658.47,154.67,0.75,0.61,0.2,15.07,0.3,51.69,2153.35,2.7,41.8,9.25,12.34,2.91,0.54,0.26,0.23,0.12,0.11,2.39,29.51,0.51,0.33,0.13,0.16
"2",14.18,24.78,12.44,1.1,19.97,655.51,154.18,0.47,0.51,0.14,2.44,0.25,98.25,1279.2,2.69,36.98,5.75,17.01,2.73,0.49,0.25,0.35,0.17,0.07,2.49,11.18,1.7,0.3,0.23,0.16
"3",41.27,25,13.97,1.25,18.98,658.24,142.61,0.33,0.62,0.44,7.24,0.47,20.13,1238.5,2.63,24.23,7.85,32.77,2.9,0.58,0.29,0.33,0.12,0.06,2.17,5.37,1.1,0.34,0.25,0.14
"4",19.06,16.38,12.6,2.62,9.52,642.52,148.78,0.53,0.48,0.28,4.22,0.43,37.28,1604.47,2.69,35.94,8.49,20.34,2.82,0.59,0.26,0.38,0.18,0.12,1.27,20.74,3.1,0.26,0.17,0.17
"5",15.21,22.1,22.25,1.53,11.62,641.97,130.63,0.32,0.5,0.38,7.21,0.46,21.01,3126.69,1.72,21.21,9.11,37.52,2.55,0.62,0.26,0.23,0.17,0.14,1.22,0.7,2.15,0.26,0.05,0.17
"6",18.99,22.35,19.83,1.14,16.6,643.39,144.13,0.31,0.47,0.38,17.15,0.46,32.22,1892.11,1.5,25.8,7.62,34.19,2.45,0.6,0.27,0.24,0.09,0.17,1.5,2.53,1.86,0.15,0.4,0.18
