"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4624,0,14.28274,13.82033,14.01194,0.2708,0.2208,0.0081,0.0419,3.79024,0.29353,6.28325,3.33865,0.30627,149.6352,97.8096,178.8429,294.3309,268.6111,463.3339,82122.8516,72483.6406,12.3063,1.9024,7.5369,8.7456,0.6773,10.8736,11.5556,0.5782,0.1863,4.9963,0,0,0,0,0.38804,0.8206,0.15117,0.12294,0.13281,0.13226,0.00857,1.86999,4.04889,6.01346,7.18958,7.73273,7.83836,7.89928,7.9632,8.0288
"2",4.346,0.0033,14.02827,9.68229,13.94349,0.0848,0.068,0.0028,0.014,3.88149,0.29087,6.18526,3.28454,0.30133,138.2657,95.95,171.6355,304.2194,269.5205,463.6816,82117.2266,72483.6406,11.3712,1.86,7.2086,8.9729,0.6724,10.7236,11.3891,0.5699,0.1849,5.12,0.0017,0.0013,3e-04,0,0.43147,0.8136,0.11671,0.16778,0.12813,0.13555,0.00937,1.90783,4.11092,6,7.27474,7.85039,7.94901,8.0038,8.062,8.1218
"3",11.0292,0,14.24687,3.21771,14.04848,0.1984,0.159,0.0067,0.0327,4.00162,0.29199,6.1772,3.27703,0.30064,127.7586,94.1391,164.7694,312.6644,270.3876,464.1797,82111.6016,72483.6406,10.5071,1.8107,6.8661,9.1981,0.6712,10.6494,11.299,0.5654,0.1846,5.2436,0,0,0,0,0.45628,0.7701,0.14936,0.10823,0.21034,0.13771,0.0066,1.96901,4.18636,5.95039,7.28902,7.91404,8.01912,8.0755,8.1333,8.1922
"4",30.9225,1.3652,22.79238,-8.13014,16.07078,6.7216,5.5394,0.3004,0.8818,4.7025,0.33578,6.98991,3.70286,0.33974,118.7221,92.4708,158.6185,318.29,271.1323,464.9778,82104.5859,72484.9844,9.7191,1.8047,6.6972,11.0548,0.7893,12.3222,13.0552,0.6534,0.2171,6.2972,0.6826,0.5461,0.1365,0,0.74491,1.1653,0.04679,0.46695,0.08772,0.19024,0.0556,1.70728,4.07255,5.75522,7.23696,8.01391,8.13675,8.19931,8.2606,8.3224
"5",70.4879,54.6154,70.0449,-0.44297,35.87845,34.1665,27.4948,1.9425,4.7291,10.66318,0.76484,15.50992,8.18898,0.75153,152.86,92.7296,160.2243,310.624,270.8635,466.9795,82084.2109,72493.2812,10.3056,1.7761,6.5326,24.7657,1.7763,27.0153,28.5274,1.428,0.4885,14.1096,10.1731,8.1385,2.0346,34.2691,1.85588,2.696,0.38215,0.51826,0.642,0.69563,0.02593,1.01659,3.4178,4.68996,6.35375,8.14571,8.41337,8.54598,8.6472,8.726
"6",111.0942,53.0956,111.84739,0.75319,54.79997,57.0474,45.0366,3.4303,8.5805,15.79456,1.17757,24.03794,12.63019,1.15967,172.4248,95.0054,169.7462,293.6804,269.6111,469.049,82051.7734,72508.3594,13.214,1.7874,6.7317,37.159,2.7711,42.4279,44.5845,2.2329,0.762,21.1995,20.317,16.2536,4.0634,12.4616,2.77935,4.7815,0.59872,0.91934,0.90598,0.95402,0.16294,1.40991,3.60195,4.64627,6.18765,8.31427,8.68456,8.87193,9.0216,9.1407
"7",152.7026,61.5229,162.24528,9.54271,84.91545,77.3298,59.3438,5.1218,12.8642,23.01479,1.86173,38.20341,19.99803,1.83751,188.9003,99.2744,186.9443,259.8144,266.6941,469.5122,82000.0312,72523.4766,14.2862,1.8833,7.4112,55.8502,4.5186,69.5422,72.8055,3.6489,1.2426,31.9602,30.7615,24.6092,6.1523,0,6.55253,10.0355,0.60408,3.23633,1.70917,1.60703,0.27609,2.27281,4.90625,5.68344,6.73153,9.03567,9.40712,9.59056,9.7465,9.8775
"8",149.2716,56.2078,161.74411,12.47254,80.35851,81.3856,64.2607,5.2618,11.8632,19.77542,1.77422,37.38492,19.61971,1.80426,201.525,102.9325,201.3411,235.5636,264.048,466.3732,81949.2031,72537.9062,15.4791,1.9625,8.0863,48.1105,4.315,68.1838,71.5642,3.5897,1.1866,27.6474,28.1039,22.4831,5.6208,0,7.44976,9.9004,0.51374,3.2354,2.41452,1.79983,0.01849,1.81466,4.79446,5.56197,6.57611,9.11697,9.49831,9.6756,9.8328,9.9713
"9",97.5866,27.1,122.57895,24.99229,50.11633,72.4626,61.038,4.199,7.2257,11.60423,1.09775,23.7286,12.53247,1.15327,199.102,103.8602,204.6568,232.5846,263.033,463.4081,81918.2031,72550.2656,15.9731,1.7824,7.5243,26.7436,2.5298,41.0045,43.313,2.1741,0.6957,15.4047,13.55,10.84,2.71,0,3.06723,3.7716,0.83211,0.12548,1.85135,1.09041,0.00601,0.75726,3.57037,4.4346,5.69947,8.23031,8.64346,8.83979,9.015,9.1709
"10",56.1615,15.9824,89.39276,33.23134,32.82782,56.5649,49.1466,2.8369,4.5814,7.61814,0.71091,15.50907,8.23185,0.75786,191.5259,103.6132,203.2476,238.7785,262.9728,461.5907,81897.4922,72557.8984,15.5673,1.8452,7.8025,17.4522,1.6286,26.6479,28.2884,1.4206,0.4479,10.0466,7.9912,6.393,1.5982,0,1.75346,2.2796,0.54833,0.15219,0.88512,0.71618,0.00833,0.68999,3.26521,4.20207,5.54376,7.64846,8.03814,8.2258,8.3927,8.5398
"11",13.2472,0.0255,47.46672,34.21948,17.79737,29.6694,26.6306,0.9287,2.11,4.18672,0.3761,8.36949,4.45482,0.41024,176.9835,101.7698,195.5776,251.6758,263.6785,460.722,81888.4297,72561.0156,14.5552,1.8458,7.6802,9.6154,0.8637,14.4161,15.3465,0.7709,0.2375,5.526,0.0128,0.0102,0.0026,0,0.97873,1.1336,0.17447,0.06745,0.54795,0.36334,0.00498,1.06732,3.74161,5.0071,6.17395,7.35681,7.63202,7.7702,7.9022,8.0271
"12",3.062,0,30.28499,27.22303,16.2237,14.0613,11.7369,0.4073,1.917,4.02791,0.34223,7.49248,3.99329,0.36779,161.394,99.6082,186.7839,267.0852,264.727,460.3055,81881.8672,72561.0156,15.5894,2.1616,8.7938,9.3012,0.7903,12.9766,13.8324,0.6949,0.2173,5.333,0,0,0,0,0.45807,0.9615,0.17185,0.09323,0.21056,0.15431,0.00606,1.82263,4.25843,5.9943,6.93382,7.48122,7.62073,7.6989,7.7831,7.8701
"13",2.2972,0,13.83627,11.53907,12.81915,1.0171,0.8311,0.0305,0.1556,3.33405,0.26995,5.82387,3.10523,0.28603,149.1293,97.8306,179.7132,279.0343,265.6188,460.2501,81876.2422,72561.0156,12.2647,1.7777,7.0706,7.6499,0.6194,10.0222,10.6874,0.5369,0.1703,4.3778,0,0,0,0,0.29411,0.669,0.11825,0.0592,0.10108,0.13383,0.00435,1.84682,4.19078,6.20227,7.18038,7.6491,7.73889,7.79071,7.8507,7.9157
"14",4.4022,0,13.07117,8.66896,13.05837,0.0128,0.0104,4e-04,0.002,3.51493,0.27422,5.85846,3.12309,0.28766,137.7967,96.036,172.7225,289.5705,266.5172,460.3959,81870.6172,72561.0156,11.3327,1.7947,6.9907,8.0531,0.6282,10.0669,10.7333,0.5393,0.1728,4.602,0,0,0,0,0.26826,0.6295,0.08974,0.0509,0.08256,0.13479,0.00515,1.88041,4.19322,6.24097,7.29795,7.79336,7.87119,7.91359,7.9635,8.0186
"15",29.621,1.3965,18.58554,-11.03546,13.74612,4.8394,3.9769,0.2225,0.64,3.80737,0.28813,6.10081,3.25036,0.29943,128.0023,94.3304,166.2422,298.5062,267.4119,460.7373,81864.9922,72561.0156,10.4926,1.8453,7.0387,8.8794,0.672,10.6698,11.3693,0.5713,0.1848,5.0685,0.6982,0.5586,0.1396,0,0.46655,0.8653,0.04828,0.28873,0.03962,0.13819,0.03074,1.89483,4.18767,6.21762,7.38016,7.92267,8.00423,8.0461,8.0953,8.1499
"16",38.186,44.5514,32.32378,-5.8622,15.25014,17.0736,14.9745,0.678,1.4212,4.34739,0.32058,6.69231,3.56173,0.32813,159.9471,92.7906,160.556,306.5568,268.2036,461.3334,81858.3203,72562.0234,11.2142,1.8185,6.8014,10.2311,0.7544,11.8113,12.5723,0.6318,0.2075,5.8346,1.3937,1.1149,0.2787,41.7641,0.80538,1.1044,0.03486,0.47199,0.16318,0.17021,0.05197,1.83954,4.21462,6.09732,7.36428,8.02452,8.12361,8.1722,8.2252,8.2829
"17",89.8623,32.382,84.60276,-5.2595,36.98236,47.6204,38.9692,2.6299,6.0213,10.83593,0.79449,16.05062,8.51654,0.78479,165.5018,93.7682,164.9503,301.1548,267.876,463.2397,81836.6328,72570.1953,12.9564,1.7969,6.7021,25.323,1.8568,28.1367,29.8586,1.5008,0.5106,14.4383,13.8708,11.0966,2.7742,4.6405,2.04461,3.0065,0.30143,0.77044,0.4827,0.79145,0.10892,0.95774,3.29051,4.63429,6.33125,8.19304,8.4501,8.57121,8.6645,8.7393
"18",133.5995,49.0355,127.68846,-5.91111,58.74688,68.9416,54.1339,4.4278,10.3799,16.64078,1.26953,25.89819,13.67737,1.26101,176.5642,96.8231,177.4635,282.1048,266.4032,465.1534,81802.1484,72585.1016,13.4555,1.8482,7.1011,39.8867,3.0434,46.5667,49.1852,2.4735,0.8369,22.7746,24.5177,19.6142,4.9035,0,4.27992,6.152,0.4121,1.9645,1.20314,1.11224,0.1631,1.57561,3.72876,4.72849,6.24372,8.45067,8.81918,9.0005,9.1458,9.2625
"19",162.0417,63.3781,167.41803,5.37634,81.51074,85.9073,66.7798,5.8481,13.2793,21.61707,1.78802,36.88644,19.42685,1.79235,193.6379,101.2436,195.0902,253.0372,263.7582,465.0282,81752.4844,72599.2266,14.6154,1.9173,7.7244,51.6954,4.2756,66.1515,69.6796,3.5066,1.1758,29.6083,31.689,25.3512,6.3378,0,5.22277,8.7777,1.06866,2.03011,1.68326,1.50941,0.14445,2.02798,4.65521,5.44357,6.56363,8.95506,9.33656,9.52082,9.67799,9.8111
"20",144.9588,52.7151,158.11371,13.15488,71.78572,86.3279,69.2454,5.6401,11.4425,17.52831,1.57762,33.40713,17.64357,1.62907,204.2192,104.5204,207.7952,236.0867,261.7269,462.319,81707.9688,72613.2188,15.7763,1.9948,8.381,41.4053,3.7262,59.1754,62.5047,3.1479,1.0247,23.7976,26.3575,21.086,5.2715,0,4.69948,7.2276,1.25174,1.065,2.1701,1.46439,0.0157,1.49506,4.28148,5.08649,6.23837,8.77935,9.17961,9.3671,9.53192,9.677
"21",98.3422,30.0223,118.42656,20.08437,44.43555,73.991,61.9421,4.3167,7.7322,10.36326,0.96302,20.95606,11.12534,1.02786,202.9632,105.7595,212.2281,236.6758,261.0399,459.9875,81680.5781,72624.6016,16.2672,1.763,7.5758,23.5179,2.1855,35.6533,37.8546,1.9076,0.601,13.5358,15.0112,12.0089,3.0022,0,2.19389,3.0531,1.22568,0.24854,1.0464,0.89895,0.06462,0.03198,3.2144,4.18951,5.52168,7.97538,8.40093,8.6075,8.7842,8.9341
"22",39.4005,7.9507,75.83214,36.43167,25.29073,50.5414,45.0084,2.2544,3.2786,5.95972,0.53701,11.87894,6.33003,0.58504,191.2858,104.8246,207.9966,246.7654,261.3183,458.8334,81665.0781,72630.2266,15.6529,1.73,7.4117,13.2347,1.1922,19.7787,21.0795,1.0627,0.3279,7.6069,3.9754,3.1803,0.7951,0,0.72503,1.3984,0.98631,0.18541,0.10447,0.43512,0.00244,0.3192,2.4875,3.90902,5.46961,7.43906,7.81277,7.9952,8.1543,8.2929
"23",8.5468,0,42.73266,34.18586,17.96506,24.7676,22.1886,0.7361,1.8429,4.33088,0.37376,8.37575,4.47134,0.41336,176.7494,102.914,199.9574,259.6098,262.0771,458.1601,81654.3828,72635.2969,14.5362,1.9106,8.0391,10.0193,0.8646,14.5308,15.5143,0.7823,0.2378,5.7484,0,0,0,0,0.85229,1.2082,0.14548,0.14078,0.38448,0.32703,0.00922,0.91996,2.93176,4.65901,6.08468,7.32127,7.60834,7.7537,7.8797,7.9884
"24",0.952,0,26.54819,25.59621,16.97558,9.5726,7.9833,0.2792,1.3101,4.31363,0.35364,7.77177,4.15262,0.38396,161.1806,100.6263,190.5535,274.9146,263.2014,457.9204,81647.8203,72635.2969,15.5688,2.2877,9.404,10.0084,0.8205,13.5243,14.4526,0.7289,0.2256,5.7303,0,0,0,0,0.51647,1.0738,0.18166,0.14265,0.2304,0.14347,0.00872,1.5966,3.44268,5.55786,6.83986,7.48871,7.648,7.7344,7.8177,7.8975
"25",1.2924,0,14.20486,12.91243,13.72623,0.4786,0.3893,0.0143,0.075,3.65504,0.28614,6.1784,3.3014,0.30526,148.9321,98.6982,182.8142,286.6958,264.1759,458.0177,81642.1953,72635.2969,12.2485,1.9283,7.7393,8.4924,0.6648,10.7666,11.5061,0.5803,0.1828,4.8536,0,0,0,0,0.40349,0.8402,0.09086,0.19463,0.08504,0.12383,0.01023,1.72436,3.73534,5.79468,7.10959,7.68156,7.7883,7.846,7.9065,7.9687
"26",2.8693,0,13.66801,10.79871,13.65881,0.0092,0.0074,3e-04,0.0015,3.75822,0.2841,6.0731,3.24348,0.29992,137.6145,96.8205,175.4425,297.0318,265.1186,458.3219,81636.5703,72635.2969,11.3177,1.8776,7.3717,8.6371,0.6529,10.468,11.1813,0.564,0.1795,4.93,0,0,0,0,0.36927,0.7045,0.10913,0.08331,0.15771,0.12823,0.00569,1.8164,3.93613,5.80112,7.20475,7.81274,7.90674,7.9537,8.0046,8.0582
"27",8.4839,0.0012,13.70384,5.21989,13.48751,0.2163,0.1722,0.0074,0.0367,3.80709,0.27954,5.9389,3.1689,0.29304,127.1574,95.0266,168.5506,305.9117,266.0022,458.7807,81630.9453,72635.2969,10.4576,1.794,6.8924,8.7369,0.6415,10.2219,10.9085,0.5503,0.1764,4.9817,6e-04,5e-04,1e-04,0,0.35777,0.6946,0.12256,0.07669,0.15016,0.13094,0.0094,1.86587,3.99448,5.75304,7.23391,7.89078,7.99105,8.03878,8.0884,8.1398
"28",20.6635,0.3834,15.18359,-5.47995,13.89209,1.2915,1.0539,0.0628,0.1749,4.00177,0.28707,6.06951,3.23459,0.29915,117.6851,93.2341,161.8211,313.3699,266.8841,459.3969,81625.3203,72635.2969,9.664,1.8309,6.8827,9.3633,0.6717,10.6506,11.3519,0.5727,0.1847,5.3346,0.1917,0.1534,0.0383,0,0.52758,0.9118,0.04367,0.33291,0.06111,0.13356,0.03109,1.85796,3.96044,5.68377,7.27144,7.97801,8.08854,8.14043,8.1925,8.2455
"29",60.0166,40.9658,47.34486,-12.67184,21.1471,26.1977,20.5063,1.5703,4.1211,6.34553,0.44831,9.07899,4.82777,0.44654,140.4818,93.1423,161.9865,315.1241,267.3759,460.7705,81614.4922,72638.5703,9.6048,1.8047,6.6862,14.8007,1.0457,15.8844,16.8931,0.8523,0.2876,8.4279,8.5642,6.8514,1.7128,23.8374,1.17536,1.5306,0.15118,0.47798,0.36908,0.32831,0.06804,1.22427,3.82905,5.40623,6.98902,8.10297,8.24364,8.30668,8.3731,8.4462
"30",111.5786,64.7352,99.89175,-11.68687,47.70253,52.1892,40.412,3.2025,8.5748,14.21499,1.02357,20.57226,10.88459,1.00711,172.0811,95.4149,171.5027,301.1746,266.4944,463.6295,81586.5078,72649.8516,12.6527,1.8237,6.8695,33.7425,2.43,36.6264,38.7565,1.956,0.6682,19.2266,20.482,16.3856,4.0964,23.7712,2.93157,4.5154,0.35816,1.38251,0.64545,0.9036,0.19395,1.50389,3.49325,4.65722,6.34004,8.36053,8.66083,8.80273,8.9182,9.0155
"31",143.9895,54.9698,146.43046,2.44101,73.90271,72.5277,56.3554,4.6806,11.4917,20.70854,1.59809,32.76884,17.2318,1.5954,185.3493,99.0186,186.0105,273.0383,264.2342,465.47,81541.7812,72663.4141,14.2168,1.8931,7.4802,50.1191,3.8688,59.4983,62.5744,3.16,1.0639,28.6294,27.4849,21.9879,5.497,0,5.90575,8.4787,0.42292,2.93671,1.5144,1.45464,0.06641,1.67473,4.37553,5.24641,6.48788,8.79324,9.16814,9.35422,9.50832,9.6343
"32",141.6698,51.5198,144.06844,2.39862,61.56778,82.5007,65.8904,5.4145,11.1957,16.1524,1.33499,28.0076,14.70991,1.36287,196.1473,102.2872,198.9292,258.3055,262.7227,464.957,81504.9531,72678.6094,14.9615,1.8834,7.6897,37.6648,3.1129,48.9787,51.4484,2.6,0.856,21.5716,25.7599,20.6079,5.152,0,3.17423,5.1908,0.99576,0.3706,1.6425,1.16111,0.00655,1.59956,4.02578,4.88453,6.1618,8.55317,8.95651,9.1539,9.3247,9.4728
"33",100.7251,43.8492,127.82735,27.10219,57.90282,69.9246,56.3088,4.1725,9.4432,14.41505,1.24878,26.81886,14.11185,1.30829,202.2369,104.686,208.0813,249.1018,261.4885,463.1434,81469.5547,72692.3984,15.8351,1.986,8.3876,33.7243,2.9213,47.0463,49.5102,2.5036,0.8034,19.3518,21.9246,17.5397,4.3849,0,3.2907,5.2174,0.99947,0.50482,1.61354,1.17236,0.01007,1.02552,3.74575,4.61236,5.89518,8.2861,8.69979,8.90419,9.0797,9.2288
"34",41.1085,11.2392,76.51144,35.40293,34.00523,42.5063,37.5564,1.762,3.1878,8.24033,0.71813,15.88342,8.38552,0.77781,192.1614,103.7802,203.9576,254.2487,261.5178,461.7089,81448.0703,72701.0469,15.6952,2.0294,8.6194,19.4746,1.6972,28.1533,29.7268,1.504,0.4667,11.1777,5.6196,4.4957,1.1239,0,2.74497,3.2361,0.21208,0.87448,1.0057,0.86478,0.0284,0.75809,3.27649,4.28307,5.69309,7.74809,8.1409,8.33759,8.5076,8.652
"35",6.4,0,37.14603,30.74601,17.9134,19.2326,17.2976,0.5597,1.3752,4.40222,0.36963,8.32717,4.40561,0.40875,177.5586,101.779,195.6225,267.2907,262.3627,461.0883,81438.1094,72705.3828,14.6028,2.0012,8.3352,10.204,0.8568,14.4759,15.3174,0.7752,0.2356,5.8478,0,0,0,0,1.08132,1.2922,0.19815,0.20829,0.55001,0.32305,0.00912,1.25471,3.65364,5.07069,6.32661,7.46082,7.74133,7.8871,8.0186,8.135
"36",0.5966,0,21.40716,20.81056,16.11736,5.2898,4.3546,0.15,0.7853,4.16903,0.33236,7.35836,3.89609,0.36154,161.9186,99.5028,186.3682,282.8919,263.5273,460.9061,81431.5469,72705.3828,15.6401,2.2759,9.2543,9.6277,0.7676,12.7456,13.497,0.6831,0.2111,5.5063,0,0,0,0,0.47387,0.9043,0.13046,0.11081,0.2219,0.14119,0.00388,1.79015,3.93164,5.86618,6.98724,7.57436,7.72607,7.81173,7.893,7.9686
