"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00312535756030562,0.0031251666985599,0.00312534430007123,0,0,0,0,0.000847517274786868,6.98168230267933e-05,0.00140063346676294,0.000744287530364245,7.35299483653568e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785006649959707,0,0.0020578329360727,0.00213093797030006,0.00822311931218591,0.00174954789464917,0.00054166265966351,0.028580848513708,0.0610556629783302,0.0722051164394884,0.0155398876191055,0.001414337180208,0.000126918148555833,2.22249386005463e-05,0,0
"2",0,0,0.00279319855296979,0.00279735582993628,0.00279568981166473,0,0,0,0,0.000779628681978505,6.01171201595202e-05,0.00123913168576603,0.000658117312333881,6.78354132188718e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00852292167203567,0,0.00211603417772081,0.00219626984737417,0.00923410064865979,0.00142238529233105,0.0014314383645771,0.0315650890810939,0.0592255154838576,0.106667748807366,0.0213317106655758,0.00183008624696833,0.000160011397389588,4.16007360809506e-05,0,0
"3",0,0,0.00358724359267483,0.00358621530871767,0.00358982379927203,0,0,0,0,0.00102658394161333,7.90147242816624e-05,0.00157669880390532,0.000836295006966655,8.38595543137448e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100115714613767,0,0.00287268450626676,0.00241017020162511,0.010594086699002,0.0015808403310596,0.000803171943198143,0.0354435290497857,0.0627606618939183,0.0998674816796442,0.0242472958019532,0.00236762481286817,0.000212937843160936,4.79959083091269e-05,0,0
"4",0,0,0.00236256267743521,0.00236630440837738,0.0023674908798415,0,0,0,0,0.000689917191743284,5.576180375057e-05,0.00103191018856998,0.00054848813886627,5.77618634198268e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808486047980767,0,0.00114968700105759,0.00277903600592804,0.00839609724204023,0.00190773650096501,0.00290413329935815,0.0220292331956966,0.0526816964255761,0.074148537836471,0.0209101567021057,0.00244307191067338,0.000255279406044236,4.62089876655203e-05,0,0
"5",0,0,0.0091602444682136,0.00915816280330633,0.00916011489282197,0,0,0,0,0.00272927966595399,0.00019250182832333,0.00395953975483768,0.00209001338558007,0.000193896445721255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208363566517046,0,0.00651356538525991,0.00553374756962482,0.0232173983169781,0.00594379621343579,0.00140078527933356,0.0241275458033548,0.0524312442089504,0.0348338596569085,0.00986772723790456,0.00180785101448683,0.000240263299123849,5.03470918654377e-05,1.33084269715128e-05,0
"6",0,0,0.0099512354576838,0.00994903400311761,0.00995286032340619,0,0,0,0,0.00287949352594025,0.000210258358108064,0.00436237182457795,0.00229171986942556,0.000210588925137997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242869989912299,0,0.00765606731510813,0.00528916719145446,0.0275608608512456,0.00631751721862436,0.00153125454479715,0.0226176978065438,0.0464166760510839,0.0280207214164339,0.00580094457100149,0.00100079976035197,0.000172027401462132,2.98533489731885e-05,0,0
"7",0,0,0.00662759907500431,0.00662169343959805,0.00661935558621464,0,0,0,0,0.00180242912245757,0.000143444458328894,0.00297956726424586,0.00155712447584209,0.00014480599972068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040745765995169,0,0.00341079307181739,0.0100543537085679,0.0429349398289579,0.00513173482993124,0.00122728791701969,0.0120336460507424,0.0161993185969661,0.00940504336414044,0.00313708039214389,0.000554530222381975,0.00012801725209431,5.0048473497072e-05,3.86230952535785e-05,0
"8",0,0,0.00555648655588101,0.00555103588159158,0.0055566447215135,0,0,0,0,0.00135728722724219,0.00012429762588077,0.00259111681185265,0.00136205990116033,0.000127858106472675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391750015884992,0,0.00242662879208774,0.011341438454289,0.0419560033419875,0.00454395087331258,0.000597118632536823,0.010650491158808,0.00630008676340675,0.0019482019766656,0.000735481819635281,0.000263570671733356,6.41266282356918e-05,6.318214912392e-06,0,0
"9",0,0,0.0164596043509793,0.0164612569301204,0.0164626522832866,0,0,0,0,0.00379606826975192,0.00034549978321321,0.00780961992460158,0.00412615247761602,0.000379163672020846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343233266666699,0,0.0144745071402762,0.00705312466180699,0.0346132426474774,0.00459689908551458,0.000716551388096881,0.0140705746186927,0.0159644562352049,0.00836497757676132,0.000892738373549168,0.000112718280778291,5.28832040122933e-05,3.7600899660833e-05,0,0
"10",0,0,0.0152577100047543,0.0152557370804473,0.0152542731869112,0,0,0,0,0.00354793228331292,0.000325373224883285,0.00720878555502636,0.00382688292292977,0.000354024330312061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234364585365937,0,0.0122153822932047,0.00759568461757196,0.023756335954772,0.00524486579756517,0.00127002089200622,0.0308988384343682,0.0301515695886187,0.0185609443258832,0.00286077985219512,0.000180351360478502,1.17608092096543e-05,0,0,0
"11",0,0,0.00787071927359692,0.00786901082874126,0.00787239732478475,0,0,0,0,0.00185099654684521,0.000165510687193159,0.00370658156983865,0.00197008133866649,0.000182772568027169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157986753852295,0,0.00627945127033509,0.0022805389441427,0.0173753211806937,0.00388293867908974,0.000160276689616641,0.0208740020207128,0.062188695520497,0.0302372527778418,0.00558543150438533,0.000383925510477263,3.05533470183498e-05,0,0,0
"12",0,0,0.00463382511867466,0.00463007464112235,0.00463391818610464,0,0,0,0,0.00115315878801696,9.95531096615535e-05,0.00213741832925341,0.00113965327146388,0.000108942079810818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109327300255528,0,0.00371419079565564,0.00189606093101151,0.0117846887705547,0.00186595203421416,0.000255068382516374,0.0384812916359618,0.159364811852786,0.0470487496020695,0.00909857048826132,0.000716960294666486,6.0780164995968e-05,0,0,0
"13",0,0,0.00399903023815671,0.00399905036322566,0.00399909641096688,0,0,0,0,0.00103947209894687,8.49082966362773e-05,0.00182018713389716,0.000970787751115257,9.31703893030638e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629220690182632,0,0.00240493529800183,0.00114127166003717,0.00637087050739882,0.00217498221953896,0.000284660892374233,0.0329838635813561,0.0850511978958971,0.0519477995039887,0.0118555757174075,0.00105026733880755,9.06410038734613e-05,1.25600760754586e-05,0,0
"14",0,0,0.00318079857884755,0.00317997473553447,0.00317952751685858,0,0,0,0,0.000858890811950921,6.9335234545633e-05,0.00142855969620145,0.000762510225300206,7.71600112407263e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00646295420020814,0,0.00227687528911101,0.00119171212781912,0.00680001849284294,0.00152225993530055,6.61021860303876e-05,0.0279255495881388,0.0551387800838781,0.0550330746447052,0.0125234355556386,0.00125353048521152,0.000132177690567604,2.94886276098529e-05,0,0
