"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","QCt11_sd1","QCt12_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00317549217304693,0.00317447437146218,0.00317738917413773,0,0,0,0,0.000856695520257262,7.3834565659823e-05,0.00142528323662675,0.000758516112806297,7.46645135198617e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808260096979145,0,0.00202740123101053,0.00212005630053423,0.00836960722436724,0.00179607673089055,0.000568949776074647,0.0290514369865238,0.0612251423445485,0.0719497080788049,0.0153042865411317,0.0013894323605592,0.000123066204057587,2.68440161377066e-05,0,0
"2",0,0,0.00294989530740485,0.00294891606729384,0.00295057479539947,0,0,0,0,0.000818568940420075,6.94669079677826e-05,0.00130793024395265,0.000697835732403305,7.02868442950801e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00874061895287506,0,0.00222145706755859,0.00236363969021726,0.00935407424869507,0.00141465844536201,0.00143529653810793,0.0308482486519053,0.057822690070369,0.107706394288832,0.0215176143262348,0.0018213763431996,0.000156684588011198,0,0,0
"3",0,0,0.00345329246048396,0.00345478759907313,0.00345451634913088,0,0,0,0,0.000986808706308225,7.84713674598784e-05,0.00151822081030977,0.000806891757683294,7.81745644378813e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00976464992389755,0,0.00283882175875061,0.0024542242753235,0.0102787356407656,0.00153704872973995,0.000812563547692164,0.0338404821399301,0.0640505347440753,0.0991255743748822,0.0242840728946506,0.00237404511760852,0.00021269564846904,3.57994861193125e-05,0,0
"4",0,0,0.00234850909940328,0.00234891096584159,0.00234848018052459,0,0,0,0,0.000688007899474623,5.73621900007543e-05,0.0010280486408804,0.000542248380922609,5.69864449656137e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00815929458815851,0,0.00108548662009479,0.00310649930240321,0.00851759338982019,0.00189890856743946,0.00286068979307166,0.0228468833304639,0.0546094290532601,0.0727914538518619,0.0205659526513341,0.00243089706921584,0.000252464803396318,4.24519060665028e-05,0,0
"5",0,0,0.00911382866779771,0.00911228969507521,0.00911117544975139,0,0,0,0,0.00270806922323556,0.000197850067724514,0.00393884844773044,0.00207972499916315,0.000192947395408173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225870056813935,0,0.00612653663518668,0.00529072940863079,0.0256632471434909,0.00603175456449054,0.00141454470181287,0.0243566571337995,0.053760091991941,0.0375075309573562,0.00982993730880264,0.00178200198151527,0.000240655334410072,3.9667455350964e-05,8.91734478843235e-06,0
"6",0,0,0.00947590895170071,0.00947398524554824,0.00947411366934345,0,0,0,0,0.00273585195722718,0.000206274327526194,0.00415103305103457,0.00218063990167142,0.000202637024077653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233836131615492,0,0.00695171509236756,0.00566749697873832,0.0266420759901726,0.00623935670596003,0.00147143271285401,0.0232222686394229,0.0464314358109129,0.0304094003838189,0.00639363053223798,0.00101605301409669,0.000166551610252443,4.36895588796834e-05,0,0
"7",0,0,0.00657777151901121,0.00657673248508412,0.00657755755328205,0,0,0,0,0.00178573824570241,0.000147927702647061,0.00295655908841447,0.00154716025339953,0.000145390635440358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393711754316497,0,0.00294720532002723,0.00952348048357543,0.0424266872808525,0.00522542010469408,0.00139070253724303,0.0118833732905065,0.0156809504946873,0.00981660263709748,0.00329003136348965,0.000589300016136114,0.000116146545536501,3.51441349365029e-05,0,0
"8",0,0,0.00546759423635919,0.00546677542130773,0.00546621575400578,0,0,0,0,0.0013371162701276,0.000122815337863092,0.00254865726760882,0.00133818439497332,0.000126948303428929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374533283916827,0,0.00214933368059524,0.0111957368693667,0.0411211034781719,0.00464304973284191,0.00062353555887886,0.0107283110635623,0.00580940204015253,0.00185235098411092,0.000739866640206584,0.000280803028262566,6.89256228331945e-05,0,0,0
"9",0,0,0.0169771259242927,0.0169786853186665,0.0169768664702971,0,0,0,0,0.00390543596800671,0.000369170439806984,0.00805520580252557,0.00425607367961747,0.00039078852509082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370484316615043,0,0.0152871433677025,0.00422817159420714,0.0383850728434165,0.00490006575965035,0.000709228574114637,0.0172733325108985,0.0161295053652198,0.00889919293586894,0.000949821964121207,0.000119927165605012,5.22058512217826e-05,1.65137945615286e-05,0,0
"10",0,0,0.0156534020900885,0.0156499628969961,0.0156483272950903,0,0,0,0,0.00363367359673586,0.000341778678870794,0.00739393540149243,0.00392528556585974,0.000363621287718089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263398591187727,0,0.01189803578205,0.00593576421648193,0.0277630984768283,0.00678688726276154,0.00149344727712065,0.0307197541916466,0.0323762085259691,0.0193647172855971,0.00303851374384633,0.000186360135759772,5.00464713899544e-05,0,9.9598391951439e-06,0
