 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.0000,         0.0000,         0.9586,         0.9586,         0.9181,        -0.0405,         0.0273,         0.0039,         0.0093,         0.2317,         0.0199,         0.4151,         0.2303,         0.0211,       136.0000,        13.0948,         0.0000,         0.0658,       100.0085,       186.3931,       155.3492,       265.5040,       266.0605,       443.5868,     82097.4219,     72479.3750,         0.9318,         0.9480,         0.9484,       -53.5222,       150.0000,         0.2120,         0.0160,         0.0514,         0.0087,         0.0075,         0.0000,         0.0085,         0.0085,         1.7684,         3.8523,         5.8893,         7.1529,         7.7139,         7.8201,         7.8806,         7.9444,         8.0098,         0.0000
      2,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000
      3,         0.0000,         0.0000,         0.5740,         0.5740,         0.5733,        -0.0008,         0.0005,         0.0001,         0.0002,         0.1510,         0.0124,         0.2553,         0.1416,         0.0130,       136.0000,        13.0948,         0.0000,         0.0658,        89.9355,       184.4802,       148.8476,       273.9720,       266.9945,       443.9124,     82091.6094,     72479.3750,         0.9529,         0.9451,         0.9467,       -48.0192,       150.0000,         0.4940,         0.0135,         0.0333,         0.0045,         0.0079,         0.0000,         0.0056,         0.0063,         1.8490,         4.0061,         5.8883,         7.2434,         7.8370,         7.9369,         7.9914,         8.0491,         8.1086,         0.0000
      4,         0.0000,         0.0000,         0.5784,         0.5784,         0.5774,        -0.0010,         0.0006,         0.0001,         0.0003,         0.1554,         0.0125,         0.2551,         0.1413,         0.0130,       136.0000,        13.0948,         0.0000,         0.0658,        80.8763,       182.5968,       142.6524,       280.8839,       267.9019,       444.3722,     82085.7969,     72479.3750,         0.9195,         0.9418,         0.9445,       -57.8316,       150.0000,         0.5318,         0.0110,         0.0326,         0.0068,         0.0053,         0.0000,         0.0058,         0.0080,         1.8997,         4.1079,         5.7901,         7.2481,         7.9010,         8.0084,         8.0647,         8.1223,         8.1810,         0.0000
      5,         0.0000,         0.0000,         0.7318,         0.7318,         0.7037,        -0.0282,         0.0172,         0.0035,         0.0075,         0.1953,         0.0154,         0.3074,         0.1700,         0.0156,       136.0000,        13.0948,         0.0000,         0.0658,        72.8285,       180.8115,       136.6400,       284.6512,       268.6660,       445.1234,     82077.9922,     72481.2812,         0.9526,         0.9351,         0.9403,        14.3894,       150.0000,         0.0099,         0.0321,         0.0532,         0.0013,         0.0226,         0.0000,         0.0095,         0.0439,         1.4494,         3.9332,         5.5356,         7.1251,         8.0021,         8.1375,         8.2050,         8.2671,         8.3270,         0.0000
      6,         0.0000,         1.7300,         2.3178,         2.3178,         1.6156,        -0.7022,         0.4907,         0.0985,         0.1130,         0.4510,         0.0361,         0.7045,         0.3884,         0.0357,       129.0000,        13.0948,         0.0000,         0.0658,       109.0954,       182.6437,       134.2065,       275.1555,       268.2759,       446.9828,     82054.7109,     72490.2891,         0.9527,         0.9364,         0.9408,       -44.8892,       150.0000,         0.0000,         0.0635,         0.1249,         0.0197,         0.0227,         0.0093,         0.0315,         0.0310,         0.9860,         3.1372,         4.4564,         6.2056,         8.1149,         8.4058,         8.5488,         8.6579,         8.7425,         0.0000
      7,         0.0000,         1.1063,         3.8602,         3.8602,         2.4154,        -1.4449,         1.0507,         0.1541,         0.2401,         0.6481,         0.0544,         1.0710,         0.5878,         0.0540,       129.0000,        13.0948,         0.0000,         0.0658,       122.1998,       184.6980,       144.0604,       256.7887,       266.7698,       448.6845,     82017.7734,     72506.0000,         0.9525,         0.9315,         0.9378,        11.7005,       150.0000,         0.0000,         0.1273,         0.2341,         0.0191,         0.0644,         0.0204,         0.0426,         0.2375,         1.7483,         3.7442,         4.7123,         6.2374,         8.3461,         8.7238,         8.9151,         9.0691,         9.1930,         0.0000
      8,         0.0000,         1.4586,         5.3360,         5.3360,         3.5697,        -1.7663,         1.2488,         0.1810,         0.3365,         0.8878,         0.0817,         1.6272,         0.8911,         0.0819,       129.0000,        13.0948,         0.0000,         0.0658,       137.5003,       188.5842,       160.7951,       225.5091,       263.6440,       448.1189,     81961.5156,     72522.2656,         0.9525,         0.9323,         0.9382,        30.4570,       150.0000,         0.0000,         0.2342,         0.4284,         0.0272,         0.1395,         0.0258,         0.0689,         0.2820,         2.3553,         5.0343,         5.7942,         6.7596,         9.0047,         9.3751,         9.5605,         9.7195,         9.8538,         0.0000
      9,         0.0000,         0.9905,         4.7795,         4.7795,         3.1143,        -1.6651,         1.2445,         0.1618,         0.2588,         0.7044,         0.0716,         1.4609,         0.8035,         0.0739,       129.0000,        13.0948,         0.0000,         0.0658,       148.5317,       191.8968,       174.7088,       207.2062,       261.1390,       444.7441,     81910.6250,     72535.9844,         0.8091,         0.9351,         0.9401,       -77.0630,       150.0000,         0.0000,         0.2189,         0.3523,         0.0281,         0.0967,         0.0553,         0.0669,         0.0074,         1.7879,         4.7255,         5.5075,         6.4849,         8.8859,         9.2675,         9.4513,         9.6150,         9.7592,         0.0000
     10,         0.0000,         0.0000,         2.9702,         2.9702,         1.6477,        -1.3225,         1.0690,         0.1193,         0.1342,         0.3541,         0.0371,         0.7831,         0.4334,         0.0399,       129.0000,        13.0948,         0.0000,         0.0658,       144.2236,       192.4344,       177.2071,       209.7417,       260.5174,       442.3724,     81883.3438,     72546.7344,         0.6997,         0.8312,         0.9406,      -104.8647,       150.0000,         0.0000,         0.0549,         0.1118,         0.0292,         0.0032,         0.0157,         0.0361,         0.0599,         0.0399,         3.4837,         4.3797,         5.6303,         7.9128,         8.3086,         8.5052,         8.6835,         8.8438,         0.0019
