 year,LAI,gpp_yr,NPP_yr,Ra_yr,Rh_yr,    ET,rain_yr,transp_yr,evap_yr,runoff_yr,GL_yr,       GW_yr,GR_yr,Pool1,Pool2,Pool3,Pool4,Pool5,      Pool6,Pool7,Pool8,out1_yr,out2_yr,out3_yr,      out4_yr,out5_yr,out6_yr,out7_yr,out8_yr,        simuCH4_yr,Pro_sum_yr,Oxi_sum_yr,Fdifu1_yr,    Ebu_sum_unsat_yr,Ebu_sum_sat_yr,Pla_sum_yr
   2011,         0.9223,       595.6432,       290.2469,       381.5094,       355.2252,         0.0017,       647.3796,        51.3016,       361.4571,       396.6165,       175.1234,        27.8386,        87.2847,       142.1371,       208.6977,       191.0726,       172.7846,       299.3194,       363.9613,     86415.0703,     71149.9844,       177.6719,        24.7950,        93.9039,       172.2886,        24.7172,       273.1172,       386.1819,        18.0303,        13.6130,        32.5237,         3.1047,         7.2634,         0.0000,         0.0000,         6.3496,
   2012,         0.8698,       618.7833,       284.9262,       335.4191,       380.7678,         0.0000,       660.5292,        56.6383,       369.6196,       359.4656,       168.5432,        23.6331,        92.7499,       140.9452,       209.2868,       190.1133,       245.4409,       296.1684,       399.3636,     86114.0156,     71224.5469,       176.1824,        24.7489,        92.8763,       228.1865,        23.1913,       284.9552,       365.2725,        17.1305,        13.5928,        33.0758,         4.8130,         6.4962,         0.8336,         1.1630,         5.9335,
   2013,         0.8316,       499.9059,       252.0181,       252.4027,       377.8072,         0.0000,       586.8200,        41.7229,       285.9232,       373.1270,       152.1553,        22.8873,        76.9753,       126.1696,       207.3362,       180.3133,       277.1954,       295.2306,       431.8169,     85869.0391,     71298.6875,       157.7128,        25.1866,        90.7302,       239.5058,        21.6028,       287.3550,       339.8654,        16.0022,        20.4632,        33.0226,         3.6335,         7.3708,         0.0000,         6.5693,         6.5232,
   2011,         0.8110,       533.4437,       253.4582,       279.8435,       429.4974,         0.0010,       647.3796,        45.3051,       358.3060,       363.6667,       151.2629,        23.1175,        79.0777,       123.4101,       205.5883,       171.3457,       270.7735,       293.4143,       452.3670,     85616.3750,     71380.8672,       154.2630,        24.3804,        84.0300,       260.9991,        24.2155,       339.0260,       382.3777,        18.0766,        26.1593,        39.0872,         4.3260,         9.2837,         0.3833,         9.0339,         7.8417,
   2012,         0.8117,       578.6743,       273.1315,       305.1807,       409.9774,         0.0000,       660.5292,        52.5307,       366.2788,       362.0448,       160.3612,        22.8575,        89.9127,       128.2039,       204.4913,       174.0250,       262.7684,       290.2798,       458.2343,     85355.5469,     71458.8281,       160.2547,        24.1734,        84.9548,       242.2865,        22.7298,       325.4608,       362.0666,        17.1862,        22.3838,        35.5143,         5.6402,         7.6627,         1.3566,         7.4755,         7.2457,
   2013,         0.7928,       479.1429,       243.1349,       239.0271,       385.4592,         0.0000,       586.8200,        39.7809,       284.4445,       375.5638,       146.0453,        22.0288,        75.0609,       119.0312,       202.3309,       168.7887,       271.8822,       289.2910,       461.6610,     85122.9062,     71532.3281,       148.7896,        24.5827,        84.9442,       234.3274,        21.1689,       305.9734,       336.9402,        16.0551,        22.4617,        33.6600,         3.7695,         7.7511,         0.0000,         7.8303,         6.8803,
   2011,         0.7848,       517.9508,       247.1662,       270.1812,       428.2945,         0.0007,       647.3796,        43.8422,       357.3825,       364.3862,       147.0143,        22.5162,        77.6357,       118.5438,       200.4569,       162.9923,       260.7431,       287.4230,       462.9613,     84875.2969,     71610.6172,       148.1797,        23.7800,        79.9465,       251.1820,        23.7245,       346.2064,       379.1438,        18.1382,        26.2891,        38.9788,         4.3107,         9.2800,         0.3940,         9.1981,         7.8111,
   2012,         0.7932,       566.7175,       268.1411,       297.6093,       405.2496,         0.0000,       660.5292,        51.3169,       365.3900,       363.0575,       157.0312,        22.4976,        88.6125,       124.6496,       199.4733,       167.7432,       253.2739,       284.2713,       458.4060,     84628.2812,     71687.0938,       155.8119,        23.5889,        81.9071,       233.5263,        22.2631,       325.3443,       359.0221,        17.2453,        22.3504,        35.1024,         5.6607,         7.6104,         1.3440,         7.5525,         7.1875,
   2013,         0.7785,       471.8975,       239.4043,       235.3341,       379.9037,         0.0000,       586.8200,        39.1090,       283.8759,       376.1004,       143.6047,        21.5443,        74.2554,       116.5958,       197.4729,       164.1990,       263.7221,       283.2365,       457.4961,     84388.5234,     71760.1719,       145.7452,        23.9935,        82.6378,       227.3278,        20.7260,       303.0763,       334.0490,        16.1071,        22.3476,        33.1732,         3.7003,         7.5948,         0.0000,         7.9191,         6.8337,
   2011,         0.7725,       511.0518,       243.8028,       266.4312,       422.2509,         0.0006,       647.3796,        43.1941,       356.9971,       364.5973,       144.7237,        22.2145,        76.8646,       116.4726,       195.7831,       159.5539,       254.3754,       281.3483,       457.1659,     84152.4453,     71838.6562,       145.5910,        23.2288,        78.2677,       245.0858,        23.2244,       341.8367,       375.9107,        18.1977,        26.4315,        38.4222,         4.3143,         9.1663,         0.3722,         9.5300,         7.7351,
