 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.5045,         0.5045,         0.0000,         0.0515,       110.4516,       188.2079,       161.7119,       256.1041,       265.1724,       443.4347,         0.4530,     82102.8594,     72479.3750
      2,         0.0038,         0.4728,         0.4766,         0.0000,         0.0268,       110.0740,       188.1445,       161.4870,       256.4533,       265.2031,       443.4373,         0.4497,     82102.6719,     72479.3750
      3,         0.0004,         0.4567,         0.4571,         0.0000,         0.0123,       109.6976,       188.0812,       161.2624,       256.8044,       265.2343,       443.4399,         0.4449,     82102.4844,     72479.3750
      4,         0.0065,         0.4519,         0.4584,         0.0000,         0.0122,       109.3226,       188.0179,       161.0381,       257.1521,       265.2653,       443.4424,         0.4462,     82102.2969,     72479.3750
      5,         0.0104,         0.4592,         0.4696,         0.0000,         0.0180,       108.9488,       187.9549,       160.8141,       257.4951,       265.2960,       443.4455,         0.4516,     82102.1094,     72479.3750
      6,         0.0024,         0.4544,         0.4569,         0.0000,         0.0081,       108.5763,       187.8919,       160.5904,       257.8376,       265.3269,       443.4487,         0.4488,     82101.9219,     72479.3750
      7,         0.0011,         0.4573,         0.4584,         0.0000,         0.0066,       108.2051,       187.8289,       160.3671,       258.1766,       265.3576,       443.4526,         0.4518,     82101.7344,     72479.3750
      8,         0.0053,         0.4458,         0.4511,         0.0000,         0.0016,       107.8351,       187.7659,       160.1443,       258.5150,       265.3884,       443.4563,         0.4496,     82101.5469,     72479.3750
      9,         0.0099,         0.4376,         0.4474,         0.0000,         0.0000,       107.4664,       187.7029,       159.9218,       258.8539,       265.4195,       443.4600,         0.4474,     82101.3594,     72479.3750
     10,         0.0107,         0.4386,         0.4493,         0.0000,         0.0000,       107.0990,       187.6399,       159.6998,       259.1886,       265.4504,       443.4639,         0.4493,     82101.1719,     72479.3750
     11,         0.0280,         0.4244,         0.4525,         0.0000,         0.0000,       106.7328,       187.5770,       159.4783,       259.5192,       265.4811,       443.4684,         0.4525,     82100.9844,     72479.3750
     12,         0.0264,         0.4258,         0.4522,         0.0000,         0.0000,       106.3679,       187.5141,       159.2572,       259.8481,       265.5119,       443.4731,         0.4522,     82100.7969,     72479.3750
     13,         0.0187,         0.4338,         0.4525,         0.0000,         0.0000,       106.0042,       187.4515,       159.0365,       260.1748,       265.5427,       443.4781,         0.4525,     82100.6094,     72479.3750
     14,         0.0058,         0.4455,         0.4513,         0.0000,         0.0000,       105.6418,       187.3888,       158.8162,       260.5004,       265.5734,       443.4834,         0.4513,     82100.4219,     72479.3750
     15,         0.0045,         0.4439,         0.4484,         0.0000,         0.0000,       105.2806,       187.3262,       158.5963,       260.8256,       265.6042,       443.4886,         0.4484,     82100.2344,     72479.3750
     16,         0.0029,         0.4435,         0.4464,         0.0000,         0.0000,       104.9206,       187.2636,       158.3768,       261.1506,       265.6354,       443.4939,         0.4464,     82100.0469,     72479.3750
     17,         0.0000,         0.4506,         0.4506,         0.0000,         0.0000,       104.5619,       187.2010,       158.1577,       261.4707,       265.6661,       443.4994,         0.4506,     82099.8594,     72479.3750
     18,         0.0035,         0.4439,         0.4475,         0.0000,         0.0000,       104.2044,       187.1384,       157.9392,       261.7911,       265.6968,       443.5051,         0.4475,     82099.6719,     72479.3750
     19,         0.0061,         0.4403,         0.4464,         0.0000,         0.0000,       103.8481,       187.0760,       157.7210,       262.1101,       265.7272,       443.5109,         0.4464,     82099.4844,     72479.3750
     20,         0.0019,         0.4426,         0.4446,         0.0000,         0.0000,       103.4930,       187.0137,       157.5033,       262.4285,       265.7576,       443.5169,         0.4446,     82099.2969,     72479.3750
     21,         0.0000,         0.4382,         0.4382,         0.0000,         0.0000,       103.1392,       186.9515,       157.2860,       262.7496,       265.7886,       443.5229,         0.4382,     82099.1094,     72479.3750
     22,         0.0027,         0.4393,         0.4420,         0.0000,         0.0000,       102.7865,       186.8892,       157.0691,       263.0667,       265.8192,       443.5294,         0.4420,     82098.9219,     72479.3750
     23,         0.0000,         0.4406,         0.4406,         0.0000,         0.0000,       102.4351,       186.8270,       156.8527,       263.3828,       265.8498,       443.5356,         0.4406,     82098.7344,     72479.3750
     24,         0.0024,         0.4451,         0.4475,         0.0000,         0.0000,       102.0849,       186.7647,       156.6367,       263.6920,       265.8798,       443.5425,         0.4475,     82098.5469,     72479.3750
     25,         0.0163,         0.4319,         0.4482,         0.0000,         0.0000,       101.7358,       186.7026,       156.4212,       263.9988,       265.9098,       443.5493,         0.4482,     82098.3594,     72479.3750
     26,         0.0210,         0.4285,         0.4495,         0.0000,         0.0000,       101.3880,       186.6407,       156.2060,       264.3031,       265.9398,       443.5565,         0.4495,     82098.1719,     72479.3750
     27,         0.0371,         0.4132,         0.4503,         0.0000,         0.0000,       101.0414,       186.5788,       155.9912,       264.6050,       265.9699,       443.5638,         0.4503,     82097.9844,     72479.3750
     28,         0.0057,         0.4441,         0.4498,         0.0000,         0.0000,       100.6959,       186.5169,       155.7768,       264.9056,       265.9999,       443.5713,         0.4498,     82097.7969,     72479.3750
     29,         0.0112,         0.4375,         0.4487,         0.0000,         0.0000,       100.3516,       186.4550,       155.5628,       265.2044,       266.0299,       443.5789,         0.4487,     82097.6094,     72479.3750
     30,         0.0075,         0.4376,         0.4451,         0.0000,         0.0000,       100.0085,       186.3931,       155.3492,       265.5040,       266.0605,       443.5868,         0.4451,     82097.4219,     72479.3750
     31,         0.0027,         0.4407,         0.4434,         0.0000,         0.0000,        99.6666,       186.3313,       155.1360,       265.8026,       266.0912,       443.5948,         0.4434,     82097.2344,     72479.3750
     32,         0.0060,         0.4364,         0.4425,         0.0000,         0.0000,        99.3258,       186.2696,       154.9234,       266.1008,       266.1219,       443.6032,         0.4425,     82097.0469,     72479.3750
     33,         0.0110,         0.4290,         0.4400,         0.0000,         0.0000,        98.9862,       186.2080,       154.7111,       266.3988,       266.1524,       443.6114,         0.4400,     82096.8594,     72479.3750
     34,         0.0360,         0.4083,         0.4444,         0.0000,         0.0000,        98.6478,       186.1465,       154.4996,       266.6916,       266.1821,       443.6199,         0.4443,     82096.6719,     72479.3750
     35,         0.0604,         0.3863,         0.4467,         0.0000,         0.0000,        98.3105,       186.0850,       154.2885,       266.9807,       266.2117,       443.6285,         0.4467,     82096.4844,     72479.3750
     36,         0.0918,         0.3558,         0.4477,         0.0000,         0.0000,        97.9743,       186.0236,       154.0778,       267.2675,       266.2411,       443.6374,         0.4477,     82096.2969,     72479.3750
     37,         0.0450,         0.4015,         0.4465,         0.0000,         0.0000,        97.6394,       185.9624,       153.8676,       267.5533,       266.2709,       443.6464,         0.4465,     82096.1094,     72479.3750
     38,         0.0048,         0.4359,         0.4406,         0.0000,         0.0000,        97.3055,       185.9012,       153.6579,       267.8407,       266.3009,       443.6557,         0.4406,     82095.9219,     72479.3750
     39,         0.0160,         0.4228,         0.4389,         0.0000,         0.0000,        96.9728,       185.8401,       153.4489,       268.1286,       266.3311,       443.6647,         0.4389,     82095.7344,     72479.3750
     40,         0.0087,         0.4295,         0.4382,         0.0000,         0.0000,        96.6413,       185.7791,       153.2404,       268.4148,       266.3615,       443.6736,         0.4382,     82095.5469,     72479.3750
     41,         0.0134,         0.4196,         0.4330,         0.0000,         0.0000,        96.3109,       185.7183,       153.0325,       268.7018,       266.3919,       443.6828,         0.4330,     82095.3594,     72479.3750
     42,         0.0321,         0.4031,         0.4352,         0.0000,         0.0000,        95.9816,       185.6575,       152.8250,       268.9851,       266.4222,       443.6922,         0.4352,     82095.1719,     72479.3750
     43,         0.0758,         0.3623,         0.4381,         0.0000,         0.0000,        95.6534,       185.5967,       152.6181,       269.2650,       266.4518,       443.7017,         0.4381,     82094.9844,     72479.3750
     44,         0.2954,         0.1509,         0.4463,         0.0000,         0.0012,        95.3264,       185.5355,       152.4099,       269.5391,       266.4813,       443.7119,         0.4451,     82094.7969,     72479.3750
     45,         0.1260,         0.3180,         0.4440,         0.0000,         0.0000,        95.0005,       185.4732,       152.1979,       269.8095,       266.5113,       443.7231,         0.4440,     82094.6094,     72479.3750
     46,         0.2693,         0.1766,         0.4458,         0.0000,         0.0007,        94.6756,       185.4110,       151.9863,       270.0778,       266.5412,       443.7343,         0.4451,     82094.4219,     72479.3750
     47,         0.7294,        -0.2731,         0.4563,         0.0017,         0.0111,        94.3528,       185.3496,       151.7750,       270.3444,       266.5711,       443.7454,         0.4452,     82094.2344,     72479.3750
     48,         0.1958,         0.2553,         0.4512,         0.0000,         0.0050,        94.0302,       185.2873,       151.5641,       270.6086,       266.6011,       443.7569,         0.4462,     82094.0469,     72479.3750
     49,         0.0272,         0.4158,         0.4430,         0.0000,         0.0000,        93.7087,       185.2251,       151.3534,       270.8745,       266.6311,       443.7683,         0.4430,     82093.8594,     72479.3750
     50,         0.0101,         0.4349,         0.4451,         0.0000,         0.0000,        93.3883,       185.1628,       151.1429,       271.1411,       266.6614,       443.7796,         0.4451,     82093.6719,     72479.3750
     51,         0.0339,         0.4139,         0.4478,         0.0000,         0.0000,        93.0691,       185.1005,       150.9328,       271.4042,       266.6915,       443.7911,         0.4478,     82093.4844,     72479.3750
     52,         0.0678,         0.3816,         0.4494,         0.0000,         0.0000,        92.7509,       185.0383,       150.7230,       271.6655,       266.7214,       443.8028,         0.4494,     82093.2969,     72479.3750
     53,         0.0640,         0.3857,         0.4497,         0.0000,         0.0000,        92.4337,       184.9760,       150.5135,       271.9262,       266.7517,       443.8147,         0.4497,     82093.1094,     72479.3750
     54,         0.0205,         0.4312,         0.4517,         0.0000,         0.0000,        92.1177,       184.9138,       150.3043,       272.1840,       266.7817,       443.8269,         0.4517,     82092.9219,     72479.3750
     55,         0.0175,         0.4341,         0.4516,         0.0000,         0.0000,        91.8027,       184.8515,       150.0954,       272.4406,       266.8118,       443.8391,         0.4516,     82092.7344,     72479.3750
     56,         0.0044,         0.4433,         0.4477,         0.0000,         0.0000,        91.4889,       184.7896,       149.8866,       272.6997,       266.8423,       443.8511,         0.4477,     82092.5469,     72479.3750
     57,         0.0073,         0.4362,         0.4436,         0.0000,         0.0000,        91.1761,       184.7278,       149.6783,       272.9604,       266.8729,       443.8628,         0.4436,     82092.3594,     72479.3750
     58,         0.0456,         0.4028,         0.4484,         0.0000,         0.0000,        90.8643,       184.6659,       149.4702,       273.2157,       266.9034,       443.8750,         0.4484,     82092.1719,     72479.3750
     59,         0.1060,         0.3439,         0.4499,         0.0000,         0.0000,        90.5536,       184.6040,       149.2624,       273.4690,       266.9337,       443.8873,         0.4499,     82091.9844,     72479.3750
     60,         0.0510,         0.3997,         0.4508,         0.0000,         0.0000,        90.2440,       184.5421,       149.0549,       273.7194,       266.9640,       443.9000,         0.4508,     82091.7969,     72479.3750
     61,         0.0084,         0.4379,         0.4463,         0.0000,         0.0000,        89.9355,       184.4802,       148.8476,       273.9720,       266.9945,       443.9124,         0.4463,     82091.6094,     72479.3750
     62,         0.0426,         0.4074,         0.4500,         0.0000,         0.0000,        89.6280,       184.4183,       148.6407,       274.2195,       267.0246,       443.9252,         0.4500,     82091.4219,     72479.3750
     63,         0.0582,         0.3935,         0.4517,         0.0000,         0.0000,        89.3216,       184.3564,       148.4341,       274.4643,       267.0547,       443.9382,         0.4517,     82091.2344,     72479.3750
     64,         0.0639,         0.3877,         0.4517,         0.0000,         0.0000,        89.0162,       184.2945,       148.2277,       274.7088,       267.0849,       443.9513,         0.4517,     82091.0469,     72479.3750
     65,         0.0502,         0.4015,         0.4516,         0.0000,         0.0000,        88.7118,       184.2326,       148.0219,       274.9511,       267.1150,       443.9648,         0.4516,     82090.8594,     72479.3750
     66,         0.0715,         0.3804,         0.4519,         0.0000,         0.0000,        88.4085,       184.1709,       147.8167,       275.1915,       267.1451,       443.9783,         0.4519,     82090.6719,     72479.3750
     67,         0.1362,         0.3128,         0.4491,         0.0000,         0.0001,        88.1062,       184.1094,       147.6122,       275.4322,       267.1748,       443.9917,         0.4490,     82090.4844,     72479.3750
     68,         0.1973,         0.2545,         0.4518,         0.0000,         0.0001,        87.8050,       184.0480,       147.4085,       275.6682,       267.2041,       444.0054,         0.4517,     82090.2969,     72479.3750
     69,         0.2386,         0.2133,         0.4519,         0.0000,         0.0004,        87.5048,       183.9869,       147.2056,       275.9023,       267.2336,       444.0194,         0.4514,     82090.1094,     72479.3750
     70,         0.2584,         0.1928,         0.4512,         0.0000,         0.0007,        87.2056,       183.9258,       147.0034,       276.1348,       267.2632,       444.0334,         0.4506,     82089.9219,     72479.3750
     71,         0.0443,         0.4072,         0.4515,         0.0000,         0.0000,        86.9074,       183.8647,       146.8013,       276.3654,       267.2927,       444.0478,         0.4515,     82089.7344,     72479.3750
     72,         0.0966,         0.3532,         0.4498,         0.0000,         0.0000,        86.6103,       183.8035,       146.5993,       276.5958,       267.3224,       444.0623,         0.4497,     82089.5469,     72479.3750
     73,         0.4236,         0.0302,         0.4538,         0.0000,         0.0024,        86.3142,       183.7426,       146.3982,       276.8232,       267.3520,       444.0768,         0.4514,     82089.3594,     72479.3750
     74,         0.4719,        -0.0172,         0.4547,         0.0000,         0.0029,        86.0190,       183.6819,       146.1978,       277.0482,       267.3810,       444.0914,         0.4519,     82089.1719,     72479.3750
     75,         0.4072,         0.0446,         0.4518,         0.0000,         0.0027,        85.7249,       183.6213,       145.9982,       277.2729,       267.4099,       444.1060,         0.4491,     82088.9844,     72479.3750
     76,         0.5009,        -0.0435,         0.4574,         0.0000,         0.0040,        85.4318,       183.5605,       145.7978,       277.4946,       267.4390,       444.1213,         0.4534,     82088.7969,     72479.3750
     77,         0.1478,         0.3060,         0.4538,         0.0000,         0.0008,        85.1397,       183.4993,       145.5969,       277.7162,       267.4684,       444.1365,         0.4531,     82088.6094,     72479.3750
     78,         0.2767,         0.1743,         0.4510,         0.0000,         0.0006,        84.8486,       183.4385,       145.3968,       277.9373,       267.4980,       444.1517,         0.4505,     82088.4219,     72479.3750
     79,         0.0949,         0.3593,         0.4542,         0.0000,         0.0001,        84.5585,       183.3775,       145.1966,       278.1544,       267.5272,       444.1671,         0.4542,     82088.2344,     72479.3750
     80,         0.2620,         0.1959,         0.4579,         0.0000,         0.0006,        84.2694,       183.3160,       144.9955,       278.3702,       267.5565,       444.1831,         0.4573,     82088.0469,     72479.3750
     81,         0.1054,         0.3494,         0.4548,         0.0000,         0.0000,        83.9813,       183.2548,       144.7947,       278.5857,       267.5858,       444.1989,         0.4548,     82087.8594,     72479.3750
     82,         0.1044,         0.3484,         0.4527,         0.0000,         0.0000,        83.6942,       183.1937,       144.5950,       278.8002,       267.6151,       444.2146,         0.4527,     82087.6719,     72479.3750
