 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
   8115,         0.1632,         0.2712,         0.4343,       123.8374,       447.0264,        91.7714,     81128.1016,       164.7221,       279.6119,    154354.4219,       141.0000,       255.2417,         0.0000,         0.4342,         0.0001
   8116,         0.2418,         0.1676,         0.4094,       123.5116,       447.0333,        91.7140,     81127.8281,       164.5016,       279.9159,    154354.1562,       141.0000,       255.2713,         0.0000,         0.4089,         0.0005
   8117,         0.5467,        -0.1134,         0.4333,       123.1867,       447.0417,        91.6556,     81127.5781,       164.2776,       280.2088,    154353.9062,       141.0000,       255.3007,         0.0000,         0.4283,         0.0050
   8118,         0.4807,        -0.0234,         0.4573,       122.8625,       447.0521,        91.5962,     81127.3906,       164.0495,       280.4865,    154353.7500,       141.0000,       255.3297,         0.0000,         0.4531,         0.0043
   8119,         0.6295,        -0.1663,         0.4632,       122.5393,       447.0631,        91.5369,     81127.2031,       163.8217,       280.7611,    154353.5625,       141.0000,       255.3586,         0.0000,         0.4555,         0.0077
   8120,         1.1177,        -0.6263,         0.4914,       122.2173,       447.0754,        91.4776,     81127.0156,       163.5945,       281.0250,    154353.3906,       141.0000,       255.3867,         0.0008,         0.4684,         0.0230
   8121,         1.5643,        -0.9774,         0.5869,       121.9093,       447.0897,        91.4210,     81126.8281,       163.3781,       281.2754,    154353.2188,       141.0000,       255.4141,         0.0271,         0.4835,         0.1034
   8122,         1.0924,        -0.5275,         0.5649,       121.5903,       447.1032,        91.3621,     81126.6406,       163.1527,       281.5309,    154353.0312,       141.0000,       255.4416,         0.0035,         0.4774,         0.0875
   8123,         0.2265,         0.2504,         0.4769,       121.2704,       447.1127,        91.3030,     81126.4531,       162.9263,       281.8107,    154352.8594,       141.0000,       255.4710,         0.0000,         0.4445,         0.0323
   8124,         0.3859,         0.0917,         0.4776,       120.9513,       447.1233,        91.2438,     81126.2656,       162.7001,       282.0837,    154352.6875,       141.0000,       255.4999,         0.0000,         0.4518,         0.0258
   8125,         0.4085,         0.0593,         0.4678,       120.6331,       447.1337,        91.1848,     81126.0781,       162.4746,       282.3555,    154352.5000,       141.0000,       255.5289,         0.0000,         0.4506,         0.0172
   8126,         0.3996,         0.0692,         0.4689,       120.3157,       447.1453,        91.1263,     81125.8906,       162.2512,       282.6189,    154352.3438,       141.0000,       255.5570,         0.0000,         0.4577,         0.0112
   8127,         0.2394,         0.2133,         0.4527,       119.9991,       447.1566,        91.0682,     81125.7031,       162.0299,       282.8841,    154352.1562,       141.0000,       255.5851,         0.0000,         0.4512,         0.0015
   8128,         0.4982,        -0.0313,         0.4668,       119.6834,       447.1695,        91.0104,     81125.5156,       161.8095,       283.1384,    154351.9844,       141.0000,       255.6123,         0.0000,         0.4624,         0.0044
   8129,         0.7769,        -0.3016,         0.4753,       119.3685,       447.1826,        90.9527,     81125.3281,       161.5897,       283.3882,    154351.8125,       141.0000,       255.6393,         0.0000,         0.4663,         0.0090
   8130,         1.1295,        -0.6321,         0.4974,       119.0546,       447.1961,        90.8954,     81125.1406,       161.3718,       283.6337,    154351.6250,       141.0000,       255.6657,         0.0002,         0.4686,         0.0288
   8131,         2.1708,        -1.5241,         0.6467,       118.7787,       447.2122,        90.8462,     81124.9531,       161.1860,       283.8616,    154351.4688,       141.0000,       255.6906,         0.0749,         0.4875,         0.1593
   8132,         2.8029,        -1.9873,         0.8155,       118.5456,       447.2331,        90.8060,     81124.7344,       161.0363,       284.0579,    154351.2969,       141.0000,       255.7130,         0.1590,         0.5249,         0.2906
   8133,         1.3428,        -0.6479,         0.6948,       118.2451,       447.2489,        90.7527,     81124.5469,       160.8344,       284.2828,    154351.1250,       141.0000,       255.7372,         0.0228,         0.4822,         0.2127
   8134,         2.2587,        -1.4813,         0.7775,       118.0280,       447.2646,        90.7167,     81124.3594,       160.7015,       284.5063,    154350.9531,       141.0000,       255.7610,         0.1882,         0.4796,         0.2979
   8135,         2.7549,        -1.8006,         0.9543,       117.8824,       447.2835,        90.6955,     81124.1328,       160.6280,       284.7091,    154350.7812,       141.0000,       255.7830,         0.3302,         0.5014,         0.4530
   8136,         2.1803,        -1.1539,         1.0264,       117.7464,       447.3030,        90.6769,     81123.8984,       160.5645,       284.9051,    154350.6250,       141.0000,       255.8041,         0.3487,         0.5066,         0.5199
   8137,         2.6854,        -1.5394,         1.1460,       117.6993,       447.3239,        90.6766,     81123.6562,       160.5741,       285.0884,    154350.4375,       141.0000,       255.8240,         0.5258,         0.5208,         0.6251
   8138,         1.8344,        -0.7444,         1.0900,       117.5233,       447.3448,        90.6513,     81123.4219,       160.4835,       285.2672,    154350.2812,       141.0000,       255.8431,         0.2676,         0.5233,         0.5667
   8139,         0.3777,         0.6358,         1.0135,       117.2141,       447.3635,        90.5953,     81123.2344,       160.2713,       285.4602,    154350.1250,       141.0000,       255.8655,         0.0000,         0.5261,         0.4874
   8140,         0.1928,         0.6636,         0.8564,       116.9057,       447.3777,        90.5376,     81123.0469,       160.0526,       285.6804,    154349.9375,       141.0000,       255.8909,         0.0000,         0.4995,         0.3569
   8141,         0.2209,         0.5794,         0.8003,       116.5981,       447.3908,        90.4798,     81122.8594,       159.8338,       285.9109,    154349.7656,       141.0000,       255.9174,         0.0000,         0.4841,         0.3162
   8142,         0.4762,         0.3696,         0.8458,       116.2913,       447.4038,        90.4221,     81122.6719,       159.6154,       286.1392,    154349.5938,       141.0000,       255.9436,         0.0000,         0.4847,         0.3611
   8143,         0.7828,         0.0607,         0.8435,       115.9854,       447.4179,        90.3649,     81122.4844,       159.3991,       286.3627,    154349.4062,       141.0000,       255.9692,         0.0000,         0.4864,         0.3571
   8144,         0.3756,         0.5821,         0.9577,       115.6802,       447.4326,        90.3082,     81122.2969,       159.1848,       286.5800,    154349.2500,       141.0000,       255.9943,         0.0000,         0.4905,         0.4672
   8145,         1.4760,        -0.3957,         1.0803,       115.4547,       447.4534,        90.2676,     81122.0391,       159.0351,       286.7580,    154349.0781,       141.0000,       256.0163,         0.1579,         0.5401,         0.5402
