 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.6013,         0.6013,         0.0000,         0.2602,       120.7814,       119.8253,       199.7332,       119.4783,       300.0386,       350.0107,         0.3411,     86557.6250,     71120.0000
      2,         0.0041,         0.5214,         0.5254,         0.0000,         0.1722,       120.4636,       119.7475,       199.4551,       119.9630,       300.0788,       350.0222,         0.3532,     86557.2500,     71120.0000
      3,         0.0005,         0.4497,         0.4501,         0.0000,         0.1005,       120.1467,       119.6696,       199.1774,       120.4477,       300.1195,       350.0335,         0.3497,     86556.8750,     71120.0000
      4,         0.0069,         0.4728,         0.4797,         0.0000,         0.1288,       119.8306,       119.5918,       198.9001,       120.9301,       300.1600,       350.0453,         0.3509,     86556.5000,     71120.0000
      5,         0.0112,         0.5965,         0.6077,         0.0000,         0.2524,       119.5153,       119.5141,       198.6232,       121.4094,       300.2002,       350.0575,         0.3553,     86556.1250,     71120.0000
      6,         0.0026,         0.5249,         0.5275,         0.0000,         0.1742,       119.2008,       119.4365,       198.3467,       121.8877,       300.2405,       350.0699,         0.3533,     86555.7500,     71120.0000
      7,         0.0012,         0.6027,         0.6039,         0.0000,         0.2479,       118.8872,       119.3588,       198.0706,       122.3635,       300.2808,       350.0827,         0.3560,     86555.3750,     71120.0000
      8,         0.0058,         0.5245,         0.5303,         0.0000,         0.1761,       118.5744,       119.2813,       197.7950,       122.8383,       300.3210,       350.0959,         0.3542,     86555.0000,     71120.0000
      9,         0.0107,         0.4891,         0.4998,         0.0000,         0.1476,       118.2624,       119.2038,       197.5198,       123.3122,       300.3616,       350.1089,         0.3522,     86554.6250,     71120.0000
     10,         0.0116,         0.6057,         0.6173,         0.0000,         0.2624,       117.9513,       119.1264,       197.2449,       123.7833,       300.4019,       350.1223,         0.3549,     86554.2500,     71120.0000
     11,         0.0303,         0.7270,         0.7573,         0.0000,         0.3995,       117.6409,       119.0490,       196.9705,       124.2518,       300.4420,       350.1362,         0.3578,     86553.8750,     71120.0000
     12,         0.0286,         0.7115,         0.7401,         0.0000,         0.3822,       117.3314,       118.9717,       196.6965,       124.7186,       300.4823,       350.1503,         0.3579,     86553.5000,     71120.0000
     13,         0.0202,         0.7329,         0.7531,         0.0000,         0.3947,       117.0227,       118.8945,       196.4230,       125.1836,       300.5226,       350.1646,         0.3584,     86553.1250,     71120.0000
     14,         0.0063,         0.6872,         0.6936,         0.0000,         0.3358,       116.7148,       118.8173,       196.1499,       125.6472,       300.5628,       350.1793,         0.3577,     86552.7500,     71120.0000
     15,         0.0048,         0.5511,         0.5559,         0.0000,         0.2002,       116.4077,       118.7402,       195.8772,       126.1099,       300.6028,       350.1942,         0.3557,     86552.3750,     71120.0000
     16,         0.0031,         0.5132,         0.5164,         0.0000,         0.1620,       116.1015,       118.6631,       195.6048,       126.5716,       300.6425,       350.2094,         0.3544,     86552.0000,     71120.0000
     17,         0.0000,         0.6783,         0.6783,         0.0000,         0.3203,       115.7960,       118.5861,       195.3329,       127.0303,       300.6820,       350.2248,         0.3580,     86551.6250,     71120.0000
     18,         0.0038,         0.5213,         0.5251,         0.0000,         0.1693,       115.4913,       118.5092,       195.0614,       127.4882,       300.7216,       350.2404,         0.3558,     86551.2500,     71120.0000
     19,         0.0066,         0.5323,         0.5389,         0.0000,         0.1837,       115.1875,       118.4323,       194.7904,       127.9447,       300.7612,       350.2562,         0.3552,     86550.8750,     71120.0000
     20,         0.0021,         0.4818,         0.4839,         0.0000,         0.1298,       114.8844,       118.3555,       194.5199,       128.4000,       300.8010,       350.2720,         0.3541,     86550.5000,     71120.0000
     21,         0.0000,         0.4232,         0.4232,         0.0000,         0.0738,       114.5822,       118.2788,       194.2497,       128.8557,       300.8410,       350.2878,         0.3495,     86550.1250,     71120.0000
     22,         0.0029,         0.4498,         0.4527,         0.0000,         0.1001,       114.2807,       118.2020,       193.9800,       129.3088,       300.8810,       350.3036,         0.3527,     86549.7500,     71120.0000
     23,         0.0000,         0.4979,         0.4979,         0.0000,         0.1461,       113.9800,       118.1255,       193.7107,       129.7606,       300.9209,       350.3198,         0.3519,     86549.3750,     71120.0000
     24,         0.0026,         0.7010,         0.7037,         0.0000,         0.3463,       113.6801,       118.0489,       193.4418,       130.2081,       300.9604,       350.3370,         0.3573,     86549.0000,     71120.0000
     25,         0.0178,         0.7130,         0.7308,         0.0000,         0.3729,       113.3810,       117.9724,       193.1734,       130.6538,       301.0000,       350.3545,         0.3579,     86548.6250,     71120.0000
     26,         0.0230,         0.8145,         0.8375,         0.0000,         0.4783,       113.0827,       117.8960,       192.9053,       131.0974,       301.0396,       350.3721,         0.3592,     86548.2500,     71120.0000
     27,         0.0406,         0.8528,         0.8934,         0.0000,         0.5335,       112.7852,       117.8197,       192.6377,       131.5392,       301.0791,       350.3903,         0.3599,     86547.8750,     71120.0000
     28,         0.0062,         0.8123,         0.8185,         0.0000,         0.4588,       112.4884,       117.7433,       192.3705,       131.9795,       301.1187,       350.4086,         0.3597,     86547.5000,     71120.0000
     29,         0.0123,         0.7398,         0.7521,         0.0000,         0.3927,       112.1925,       117.6671,       192.1036,       132.4184,       301.1577,       350.4271,         0.3594,     86547.1250,     71120.0000
     30,         0.0083,         0.5693,         0.5776,         0.0000,         0.2208,       111.8973,       117.5910,       191.8372,       132.8568,       301.1966,       350.4456,         0.3568,     86546.7500,     71120.0000
     31,         0.0030,         0.5243,         0.5273,         0.0000,         0.1716,       111.6029,       117.5148,       191.5712,       133.2939,       301.2354,       350.4646,         0.3557,     86546.3750,     71120.0000
     32,         0.0066,         0.4959,         0.5025,         0.0000,         0.1472,       111.3093,       117.4388,       191.3057,       133.7299,       301.2746,       350.4830,         0.3553,     86546.0000,     71120.0000
     33,         0.0121,         0.4959,         0.5080,         0.0000,         0.1543,       111.0164,       117.3629,       191.0407,       134.1651,       301.3139,       350.5013,         0.3537,     86545.6250,     71120.0000
     34,         0.0396,         0.6999,         0.7395,         0.0000,         0.3823,       110.7243,       117.2871,       190.7764,       134.5968,       301.3528,       350.5209,         0.3572,     86545.2500,     71120.0000
     35,         0.0665,         0.9057,         0.9721,         0.0000,         0.6128,       110.4330,       117.2113,       190.5126,       135.0260,       301.3916,       350.5407,         0.3593,     86544.8750,     71120.0000
     36,         0.1010,         0.9024,         1.0033,         0.0000,         0.6430,       110.1424,       117.1357,       190.2491,       135.4531,       301.4305,       350.5609,         0.3603,     86544.5000,     71120.0000
     37,         0.0495,         0.7712,         0.8207,         0.0000,         0.4611,       109.8527,       117.0601,       189.9863,       135.8788,       301.4693,       350.5814,         0.3595,     86544.1250,     71120.0000
     38,         0.0052,         0.5089,         0.5142,         0.0000,         0.1591,       109.5636,       116.9847,       189.7239,       136.3048,       301.5085,       350.6013,         0.3551,     86543.7500,     71120.0000
     39,         0.0175,         0.4780,         0.4955,         0.0000,         0.1417,       109.2754,       116.9093,       189.4622,       136.7301,       301.5471,       350.6208,         0.3538,     86543.3750,     71120.0000
     40,         0.0095,         0.4642,         0.4737,         0.0000,         0.1206,       108.9879,       116.8341,       189.2011,       137.1541,       301.5858,       350.6406,         0.3532,     86543.0000,     71120.0000
     41,         0.0146,         0.4396,         0.4542,         0.0000,         0.1041,       108.7011,       116.7590,       188.9406,       137.5777,       301.6248,       350.6604,         0.3501,     86542.6250,     71120.0000
     42,         0.0353,         0.5751,         0.6104,         0.0000,         0.2584,       108.4151,       116.6840,       188.6806,       137.9987,       301.6637,       350.6805,         0.3520,     86542.2500,     71120.0000
     43,         0.0837,         0.6028,         0.6864,         0.0000,         0.3321,       108.1299,       116.6091,       188.4211,       138.4171,       301.7023,       350.7008,         0.3543,     86541.8750,     71120.0000
     44,         0.3258,         0.7507,         1.0765,         0.0000,         0.7190,       107.8454,       116.5340,       188.1610,       138.8324,       301.7408,       350.7224,         0.3575,     86541.5000,     71120.0000
     45,         0.1396,         0.8847,         1.0243,         0.0000,         0.6702,       107.5616,       116.4584,       187.8993,       139.2464,       301.7796,       350.7447,         0.3542,     86541.1250,     71120.0000
     46,         0.2961,         0.7937,         1.0898,         0.0000,         0.7346,       107.2786,       116.3827,       187.6379,       139.6586,       301.8182,       350.7672,         0.3552,     86540.7500,     71120.0000
     47,         0.8047,         0.3054,         1.1101,         0.1739,         0.7548,       107.0833,       116.3941,       187.3770,       140.0694,       301.8569,       350.7899,         0.3553,     86540.3750,     71120.0000
     48,         0.2170,         0.9787,         1.1957,         0.0000,         0.8395,       106.8015,       116.3185,       187.1164,       140.4784,       301.8955,       350.8129,         0.3561,     86540.0000,     71120.0000
     49,         0.0297,         0.5588,         0.5886,         0.0000,         0.2363,       106.5205,       116.2430,       186.8561,       140.8876,       301.9342,       350.8361,         0.3522,     86539.6250,     71120.0000
     50,         0.0113,         0.5178,         0.5291,         0.0000,         0.1773,       106.2403,       116.1675,       186.5963,       141.2966,       301.9732,       350.8587,         0.3518,     86539.2500,     71120.0000
     51,         0.0375,         0.5759,         0.6134,         0.0000,         0.2614,       105.9608,       116.0921,       186.3368,       141.7030,       302.0120,       350.8823,         0.3520,     86538.8750,     71120.0000
     52,         0.0748,         0.5784,         0.6532,         0.0000,         0.3008,       105.6820,       116.0167,       186.0776,       142.1078,       302.0500,       350.9061,         0.3524,     86538.5000,     71120.0000
     53,         0.0708,         0.5728,         0.6436,         0.0000,         0.2906,       105.4039,       115.9414,       185.8189,       142.5117,       302.0882,       350.9295,         0.3530,     86538.1250,     71120.0000
     54,         0.0229,         0.7619,         0.7848,         0.0000,         0.4313,       105.1266,       115.8662,       185.5605,       142.9132,       302.1263,       350.9538,         0.3536,     86537.7500,     71120.0000
     55,         0.0196,         0.5706,         0.5902,         0.0000,         0.2328,       104.8500,       115.7909,       185.3024,       143.3138,       302.1644,       350.9776,         0.3574,     86537.3750,     71120.0000
     56,         0.0049,         0.4518,         0.4568,         0.0000,         0.0999,       104.5742,       115.7157,       185.0447,       143.7149,       302.2030,       351.0010,         0.3569,     86537.0000,     71120.0000
     57,         0.0081,         0.4214,         0.4294,         0.0000,         0.0751,       104.2990,       115.6407,       184.7874,       144.1163,       302.2416,       351.0243,         0.3543,     86536.6250,     71120.0000
     58,         0.0507,         0.5201,         0.5708,         0.0000,         0.2131,       104.0246,       115.5656,       184.5304,       144.5142,       302.2801,       351.0482,         0.3577,     86536.2500,     71120.0000
     59,         0.1169,         0.5144,         0.6313,         0.0000,         0.2721,       103.7509,       115.4905,       184.2738,       144.9104,       302.3184,       351.0723,         0.3592,     86535.8750,     71120.0000
     60,         0.0566,         0.5465,         0.6031,         0.0000,         0.2430,       103.4780,       115.4155,       184.0175,       145.3044,       302.3567,       351.0970,         0.3601,     86535.5000,     71120.0000
