 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.3350,         0.0000,        14.0358,        13.7008,        13.8136,         0.2222,         0.1656,         0.0092,         0.0475,         3.6628,         0.2883,         6.2036,         3.3513,         0.3075,       136.0000,        14.6696,         0.0000,         0.0737,       144.2252,        94.0701,       171.9073,       283.2925,       262.7616,       455.6295,     82103.6641,     72480.2422,         0.9269,         0.9477,         0.9483,       -54.5588,       150.0000,         0.2120,         0.3782,         0.8148,         0.1488,         0.1257,         0.1198,         0.1327,         0.0089,         1.8986,         4.0171,         5.9983,         7.1833,         7.7273,         7.8322,         7.8928,         7.9566,         8.0222,         0.0000
      2,         3.3045,         0.0026,        13.7671,        10.4627,        13.7255,         0.0417,         0.0303,         0.0019,         0.0094,         3.7460,         0.2853,         6.0992,         3.2928,         0.3021,       136.0000,        14.6696,         0.0000,         0.0737,       133.2664,        92.2753,       164.9557,       292.8028,       263.6279,       455.9643,     82098.0391,     72480.2422,         0.9529,         0.9446,         0.9465,       -47.6801,       150.0000,         0.4940,         0.4371,         0.8112,         0.1127,         0.1871,         0.1144,         0.1357,         0.0113,         1.8613,         4.0849,         5.9882,         7.2695,         7.8459,         7.9441,         7.9987,         8.0567,         8.1165,         0.0000
      3,         8.2686,         0.0000,        13.9093,         5.6407,        13.8537,         0.0556,         0.0405,         0.0026,         0.0126,         3.8698,         0.2870,         6.1031,         3.2918,         0.3021,       136.0000,        14.6696,         0.0000,         0.0737,       123.1391,        90.5247,       158.3224,       300.9257,       264.4561,       456.4453,     82092.4141,     72480.2422,         0.8694,         0.9404,         0.9437,       -67.1500,       150.0000,         0.5330,         0.4293,         0.7656,         0.1457,         0.1096,         0.1844,         0.1353,         0.0066,         1.9174,         4.1735,         5.9722,         7.2874,         7.9102,         8.0150,         8.0712,         8.1289,         8.1876,         0.0000
      4,        24.9465,         0.8656,        19.3028,        -5.6437,        15.7949,         3.5079,         2.6388,         0.2067,         0.6624,         4.5332,         0.3289,         6.8845,         3.7080,         0.3403,       136.0000,        14.6696,         0.0000,         0.0737,       114.2074,        88.8726,       152.2220,       306.3418,       265.1604,       457.2147,     82085.3984,     72481.5859,         0.9525,         0.9362,         0.9408,        17.0112,       150.0000,         0.0000,         0.7482,         1.1490,         0.0454,         0.4719,         0.0886,         0.1877,         0.0605,         1.7065,         4.0517,         5.7365,         7.2364,         8.0086,         8.1308,         8.1932,         8.2543,         8.3160,         0.0000
      5,        60.8874,        50.8646,        62.9580,         2.0706,        35.2480,        27.7099,        21.2631,         1.9300,         4.5168,        10.2761,         0.7490,        15.2718,         8.1986,         0.7526,       129.0000,        14.6696,         0.0000,         0.0737,       146.2345,        88.9558,       153.1220,       298.8752,       264.8753,       459.1440,     82064.8672,     72489.7734,         0.9527,         0.9378,         0.9414,       -44.1719,       150.0000,         0.0000,         1.8382,         2.6719,         0.3827,         0.5328,         0.6188,         0.6866,         0.0257,         1.0645,         3.3465,         4.7175,         6.3723,         8.1341,         8.4005,         8.5331,         8.6342,         8.7129,         0.0000
      6,       100.5824,        50.8128,       103.3455,         2.7631,        53.8079,        49.5376,        37.6460,         3.4945,         8.3972,        15.2054,         1.1524,        23.6522,        12.6373,         1.1606,       129.0000,        14.6696,         0.0000,         0.0737,       164.9904,        91.1219,       162.2133,       282.4233,       263.6196,       461.1298,     82032.1328,     72504.9141,         0.9523,         0.9312,         0.9382,        42.5561,       150.0000,         0.0000,         2.7431,         4.7182,         0.5916,         0.9283,         0.8926,         0.9221,         0.1658,         1.4442,         3.6745,         4.7194,         6.2261,         8.2937,         8.6606,         8.8483,         8.9983,         9.1176,         0.0000
      7,       139.4715,        59.9076,       151.0875,        11.6159,        83.3184,        67.7689,        49.9072,         5.2167,        12.6451,        22.1240,         1.8199,        37.5485,        19.9890,         1.8370,       129.0000,        14.6696,         0.0000,         0.0737,       181.2534,        95.3053,       179.0845,       249.7767,       260.7389,       461.5509,     81980.0391,     72519.9453,         0.9526,         0.9329,         0.9386,         3.7618,       150.0000,         0.0000,         6.4046,         9.8472,         0.6007,         3.2051,         1.6460,         1.5535,         0.2756,         2.3768,         4.9988,         5.7689,         6.7689,         8.9947,         9.3621,         9.5469,         9.7040,         9.8358,         0.0000
      8,       138.5812,        54.8346,       150.3763,        11.7952,        78.9088,        71.4675,        54.1785,         5.4748,        11.8143,        19.0084,         1.7344,        36.7489,        19.6131,         1.8040,       129.0000,        14.6696,         0.0000,         0.0737,       193.8014,        98.9042,       193.2664,       226.4418,       258.1242,       458.5067,     81928.7500,     72534.3359,         0.8913,         0.9344,         0.9394,       -65.5164,       150.0000,         0.0000,         7.2887,         9.7039,         0.5189,         3.1856,         2.3571,         1.7460,         0.0177,         1.8703,         4.8749,         5.6438,         6.6128,         9.0701,         9.4459,         9.6248,         9.7838,         9.9235,         0.0000
      9,        90.3786,        26.5631,       112.5568,        22.1783,        49.1292,        63.4276,        50.6211,         4.6307,         8.1758,        11.1307,         1.0706,        23.2766,        12.5008,         1.1506,       129.0000,        14.6696,         0.0000,         0.0737,       191.7104,        99.8519,       196.6829,       223.6375,       257.1101,       455.6495,     81897.3906,     72546.5078,         0.7411,         0.8910,         0.9418,       -91.2512,       150.0000,         0.0000,         2.9361,         3.6757,         0.8258,         0.1509,         1.7274,         1.0578,         0.0059,         0.7424,         3.6144,         4.5156,         5.7338,         8.1948,         8.6015,         8.7985,         8.9751,         9.1320,         0.1736
     10,        50.2035,        15.7445,        82.2807,        32.0771,        32.2525,        50.0282,        40.9787,         3.2235,         5.8260,         7.3244,         0.6948,        15.2473,         8.2283,         0.7577,       129.0000,        14.6696,         0.0000,         0.0737,       184.5833,        99.6534,       195.4841,       229.6324,       257.0262,       453.8958,     81876.4844,     72553.9375,         0.9160,         0.9412,         0.9442,       -60.7003,       150.0000,         0.0000,         1.6865,         2.2335,         0.5701,         0.1631,         0.8331,         0.6903,         0.0090,         0.7085,         3.3244,         4.2945,         5.5776,         7.6263,         8.0095,         8.1971,         8.3645,         8.5122,         0.2231
