 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.5440,         0.5440,         0.0000,         0.0770,       155.3117,        83.5085,       180.1753,       273.7290,       259.1457,       456.3037,         0.4670,     82140.5156,     72474.4219
      2,         0.0050,         0.4998,         0.5048,         0.0000,         0.0408,       154.9031,        83.4459,       179.9247,       274.1167,       259.1771,       456.3058,         0.4640,     82140.3281,     72474.4219
      3,         0.0006,         0.4778,         0.4784,         0.0000,         0.0191,       154.4955,        83.3834,       179.6744,       274.5068,       259.2086,       456.3079,         0.4592,     82140.1406,     72474.4219
      4,         0.0083,         0.4711,         0.4793,         0.0000,         0.0196,       154.0891,        83.3210,       179.4246,       274.8938,       259.2395,       456.3102,         0.4598,     82139.9531,     72474.4219
      5,         0.0137,         0.4814,         0.4951,         0.0000,         0.0300,       153.6836,        83.2586,       179.1753,       275.2755,       259.2701,       456.3127,         0.4651,     82139.7656,     72474.4219
      6,         0.0032,         0.4734,         0.4766,         0.0000,         0.0147,       153.2793,        83.1963,       178.9264,       275.6576,       259.3008,       456.3154,         0.4620,     82139.5781,     72474.4219
      7,         0.0014,         0.4775,         0.4789,         0.0000,         0.0140,       152.8760,        83.1341,       178.6780,       276.0356,       259.3316,       456.3184,         0.4649,     82139.3906,     72474.4219
      8,         0.0070,         0.4606,         0.4676,         0.0000,         0.0055,       152.4738,        83.0720,       178.4302,       276.4136,       259.3623,       456.3218,         0.4622,     82139.2031,     72474.4219
      9,         0.0130,         0.4468,         0.4598,         0.0000,         0.0008,       152.0726,        83.0099,       178.1828,       276.7922,       259.3932,       456.3255,         0.4591,     82139.0156,     72474.4219
     10,         0.0141,         0.4480,         0.4621,         0.0000,         0.0000,       151.6725,        82.9481,       177.9360,       277.1667,       259.4239,       456.3293,         0.4621,     82138.8281,     72474.4219
     11,         0.0367,         0.4288,         0.4655,         0.0000,         0.0000,       151.2735,        82.8862,       177.6897,       277.5370,       259.4545,       456.3330,         0.4655,     82138.6406,     72474.4219
     12,         0.0348,         0.4307,         0.4655,         0.0000,         0.0000,       150.8754,        82.8244,       177.4438,       277.9058,       259.4852,       456.3372,         0.4655,     82138.4531,     72474.4219
     13,         0.0246,         0.4412,         0.4658,         0.0000,         0.0000,       150.4785,        82.7627,       177.1984,       278.2725,       259.5160,       456.3416,         0.4658,     82138.2656,     72474.4219
