 sdoy, GPP_d, NEE_d, Reco_d, QC1, GL_yr, QC2, GW_yr, QC3, GR_yr, QC678, pheno, LAI,NPP_d,Rh_d, Ra_d
      1,         0.0000,         0.5440,         0.5440,       155.3117,       456.3037,        83.5085,     82140.5156,       180.1753,       273.7290,    155071.2500,       136.0000,       259.1457,         0.0000,         0.4670,         0.0770
      2,         0.0050,         0.4998,         0.5048,       154.9031,       456.3058,        83.4459,     82140.3281,       179.9247,       274.1167,    155071.0625,       136.0000,       259.1771,         0.0000,         0.4640,         0.0408
      3,         0.0006,         0.4778,         0.4784,       154.4955,       456.3079,        83.3834,     82140.1406,       179.6744,       274.5068,    155070.8750,       136.0000,       259.2086,         0.0000,         0.4592,         0.0191
      4,         0.0083,         0.4711,         0.4793,       154.0891,       456.3102,        83.3210,     82139.9531,       179.4246,       274.8938,    155070.6875,       136.0000,       259.2395,         0.0000,         0.4598,         0.0196
      5,         0.0137,         0.4814,         0.4951,       153.6836,       456.3127,        83.2586,     82139.7656,       179.1753,       275.2755,    155070.5000,       136.0000,       259.2701,         0.0000,         0.4651,         0.0300
      6,         0.0032,         0.4734,         0.4766,       153.2793,       456.3154,        83.1963,     82139.5781,       178.9264,       275.6576,    155070.3125,       136.0000,       259.3008,         0.0000,         0.4620,         0.0147
      7,         0.0014,         0.4775,         0.4789,       152.8760,       456.3184,        83.1341,     82139.3906,       178.6780,       276.0356,    155070.1250,       136.0000,       259.3316,         0.0000,         0.4649,         0.0140
      8,         0.0070,         0.4606,         0.4676,       152.4738,       456.3218,        83.0720,     82139.2031,       178.4302,       276.4136,    155069.9375,       136.0000,       259.3623,         0.0000,         0.4622,         0.0055
      9,         0.0130,         0.4468,         0.4598,       152.0726,       456.3255,        83.0099,     82139.0156,       178.1828,       276.7922,    155069.7656,       136.0000,       259.3932,         0.0000,         0.4591,         0.0008
     10,         0.0141,         0.4480,         0.4621,       151.6725,       456.3293,        82.9481,     82138.8281,       177.9360,       277.1667,    155069.5781,       136.0000,       259.4239,         0.0000,         0.4621,         0.0000
     11,         0.0367,         0.4288,         0.4655,       151.2735,       456.3330,        82.8862,     82138.6406,       177.6897,       277.5370,    155069.4062,       136.0000,       259.4545,         0.0000,         0.4655,         0.0000
     12,         0.0348,         0.4307,         0.4655,       150.8754,       456.3372,        82.8244,     82138.4531,       177.4438,       277.9058,    155069.2188,       136.0000,       259.4852,         0.0000,         0.4655,         0.0000
     13,         0.0246,         0.4412,         0.4658,       150.4785,       456.3416,        82.7627,     82138.2656,       177.1984,       278.2725,    155069.0312,       136.0000,       259.5160,         0.0000,         0.4658,         0.0000
     14,         0.0078,         0.4564,         0.4642,       150.0826,       456.3464,        82.7011,     82138.0781,       176.9536,       278.6381,    155068.8438,       136.0000,       259.5463,         0.0000,         0.4642,         0.0000
     15,         0.0059,         0.4556,         0.4615,       149.6877,       456.3514,        82.6396,     82137.8906,       176.7091,       279.0040,    155068.6562,       136.0000,       259.5764,         0.0000,         0.4615,         0.0000
     16,         0.0038,         0.4559,         0.4597,       149.2939,       456.3568,        82.5781,     82137.7031,       176.4652,       279.3694,    155068.4844,       136.0000,       259.6065,         0.0000,         0.4597,         0.0000
     17,         0.0000,         0.4634,         0.4634,       148.9011,       456.3622,        82.5168,     82137.5156,       176.2218,       279.7302,    155068.2969,       136.0000,       259.6365,         0.0000,         0.4634,         0.0000
     18,         0.0047,         0.4553,         0.4600,       148.5093,       456.3679,        82.4555,     82137.3281,       175.9789,       280.0914,    155068.1250,       136.0000,       259.6665,         0.0000,         0.4600,         0.0000
     19,         0.0081,         0.4509,         0.4590,       148.1186,       456.3739,        82.3944,     82137.1406,       175.7365,       280.4513,    155067.9375,       136.0000,       259.6966,         0.0000,         0.4590,         0.0000
     20,         0.0026,         0.4544,         0.4570,       147.7289,       456.3801,        82.3333,     82136.9531,       175.4946,       280.8110,    155067.7500,       136.0000,       259.7268,         0.0000,         0.4570,         0.0000
     21,         0.0000,         0.4504,         0.4504,       147.3402,       456.3862,        82.2723,     82136.7656,       175.2533,       281.1729,    155067.5625,       136.0000,       259.7573,         0.0000,         0.4504,         0.0000
     22,         0.0036,         0.4508,         0.4544,       146.9526,       456.3926,        82.2114,     82136.5781,       175.0124,       281.5311,    155067.3906,       136.0000,       259.7878,         0.0000,         0.4544,         0.0000
     23,         0.0000,         0.4529,         0.4529,       146.5659,       456.3993,        82.1506,     82136.3906,       174.7720,       281.8879,    155067.2188,       136.0000,       259.8183,         0.0000,         0.4529,         0.0000
     24,         0.0033,         0.4569,         0.4602,       146.1803,       456.4061,        82.0898,     82136.2031,       174.5322,       282.2378,    155067.0312,       136.0000,       259.8477,         0.0000,         0.4602,         0.0000
     25,         0.0218,         0.4387,         0.4605,       145.7957,       456.4131,        82.0292,     82136.0156,       174.2928,       282.5858,    155066.8438,       136.0000,       259.8770,         0.0000,         0.4605,         0.0000
     26,         0.0282,         0.4338,         0.4620,       145.4121,       456.4207,        81.9686,     82135.8281,       174.0539,       282.9307,    155066.6719,       136.0000,       259.9063,         0.0000,         0.4620,         0.0000
     27,         0.0496,         0.4129,         0.4626,       145.0295,       456.4281,        81.9082,     82135.6406,       173.8154,       283.2738,    155066.5000,       136.0000,       259.9356,         0.0000,         0.4626,         0.0000
