"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"21",92.4522,32.5294,105.3405,12.88824,45.62374,59.7168,46.3357,5.0681,8.313,11.0676,0.94612,21.46242,11.12048,1.02704,179.0419,282.7988,220.6446,253.6401,256.7277,471.5535,81718.3047,72633.2188,18.7817,1.8143,7.8686,25.1265,2.1481,36.5309,37.855,1.907,0.5907,14.4103,2.2617,3.133,1.22004,0.25392,1.06854,0.93926,0.06232,0.0314,3.04894,4.01854,5.42378,8.01294,8.45202,8.6585,8.834,8.9828
"22",36.7173,8.6234,67.2582,30.5409,26.0168,41.2414,33.3306,3.3887,4.5221,6.3961,0.52808,12.17592,6.3317,0.585,165.5412,281.8792,216.3817,265.2236,257.0695,470.4342,81702.7891,72638.8438,17.8125,1.7823,7.7124,14.2069,1.1727,20.2778,21.0899,1.0628,0.3225,8.1363,0.7768,1.4385,0.9819,0.18966,0.11272,0.4744,0.00242,0.31312,2.2869,3.67316,5.33164,7.45844,7.8469,8.0303,8.1889,8.327
"23",7.7815,0,37.7032,29.92164,18.5198,19.1834,14.9393,1.5492,2.6949,4.66246,0.36812,8.5972,4.47818,0.41382,149.3768,279.8905,208.0152,279.2716,257.9066,469.8079,81692.0938,72643.9141,16.1642,1.988,8.3665,10.7796,0.851,14.9054,15.528,0.7827,0.234,6.1628,0.89984,1.2469,0.14566,0.14504,0.3997,0.3551,0.0096,0.81326,2.57952,4.37074,5.96248,7.32852,7.63158,7.7784,7.90442,8.013
"24",0.8453,0,24.64666,23.8014,17.49226,7.1544,5.3374,0.6109,1.2061,4.63828,0.34802,7.96836,4.15368,0.38392,132.5023,277.4803,198.2272,295.5237,259.1486,469.6398,81685.5312,72643.9141,16.8744,2.4108,9.788,10.7695,0.8081,13.8766,14.4669,0.7293,0.2222,6.1455,0.52068,1.1084,0.18346,0.1453,0.23522,0.14016,0.00876,1.55618,3.25314,5.32616,6.7804,7.49366,7.66408,7.75204,7.8357,7.9155
"25",1.1273,0,14.54402,13.41676,14.14982,0.3942,0.2881,0.0356,0.0705,3.92522,0.28172,6.33548,3.30216,0.30522,119.5642,275.4232,190.1714,307.6976,260.2444,469.8081,81679.9062,72643.9141,12.9382,2.0585,8.0556,9.1278,0.6552,11.0496,11.5184,0.5807,0.1802,5.2004,0.40912,0.8686,0.09026,0.1996,0.08842,0.12112,0.01054,1.72932,3.6242,5.51968,7.05382,7.68704,7.80198,7.861,7.9219,7.9842
"26",2.4452,0,14.10386,11.65866,14.09906,0.0048,0.0034,5e-04,9e-04,4.03356,0.28024,6.23656,3.24842,0.30028,107.8894,273.3918,182.49,318.0848,261.3267,470.1878,81674.2812,72643.9141,11.6748,2.0307,7.6814,9.2763,0.6445,10.757,11.206,0.565,0.1772,5.2792,0.37184,0.7291,0.11028,0.08596,0.1592,0.1267,0.00562,1.826,3.84564,5.56132,7.14704,7.818,7.9196,7.9678,8.019,8.0728
"27",7.1078,7e-04,14.07278,6.96498,13.97148,0.1013,0.0699,0.0113,0.02,4.09148,0.277,6.12272,3.1858,0.29452,97.355,271.4226,175.281,326.7248,262.3653,470.72,81668.6562,72643.9141,10.5348,1.9706,7.209,9.397,0.6362,10.5467,10.9754,0.5534,0.1749,5.3433,0.36368,0.7245,0.12586,0.08268,0.15078,0.1302,0.01032,1.8524,3.9345,5.63234,7.19634,7.89784,8.00468,8.0535,8.1035,8.155
"28",16.9497,0.2464,15.18148,-1.76824,14.30146,0.88,0.5955,0.1549,0.1297,4.26408,0.283,6.2223,3.2332,0.2989,87.971,269.5243,168.1238,333.711,263.4201,471.4012,81663.0312,72643.9141,9.5071,2.0235,7.1575,9.9864,0.6628,10.929,11.3578,0.5728,0.1823,5.6748,0.55348,0.944,0.04034,0.35132,0.06892,0.13322,0.03192,1.88038,3.93388,5.64166,7.25846,7.98642,8.1013,8.1541,8.2064,8.2597
"29",49.5421,37.9091,37.1901,-12.35206,21.80014,15.39,10.7127,3.2196,1.4576,6.75086,0.44304,9.32502,4.83422,0.44698,111.7589,271.1956,162.2753,334.5622,264.1017,472.8707,81652.2578,72647.2422,9.4172,2.0156,6.861,15.734,1.0327,16.3024,16.9029,0.8525,0.284,8.9377,1.24112,1.5854,0.14986,0.49794,0.37364,0.36954,0.07198,1.05032,3.72462,5.22678,6.8926,8.11484,8.26038,8.32418,8.3909,8.4642
"30",100.5574,69.6456,96.01874,-4.5386,49.15006,46.8687,32.8902,4.7121,9.2663,15.09912,1.01226,21.13204,10.89856,1.00806,147.0624,273.2815,171.8644,319.6948,263.4247,475.9036,81624.5156,72658.6484,13.7704,2.0314,6.8681,35.8131,2.4013,37.5935,38.7757,1.9563,0.6604,20.3576,3.06346,4.6653,0.34818,1.40952,0.64798,1.00592,0.19384,1.30436,3.17642,4.25264,6.1141,8.37778,8.69466,8.83722,8.9526,9.05
