"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.3336,0,14.076842,13.74321,13.856875,0.22,0.1652,0.0068,0.048,3.679356,0.28149875,6.22517525,3.36246825,0.30837775,143.4448,68.8998,173.2437,283.6976,255.804,455.8375,82129.7109,72473.5312,0.3327525,0.8139,0.19732975,0.0803385,0.1208235,0.1315855,0.00613975,1.861091,4.04858375,6.027177,7.19139125,7.7278195,7.83168775,7.89213625,7.956,8.0215
"2",3.2914,0.0027,13.7964315,10.50504075,13.754246,0.0422,0.031,0.0015,0.0097,3.758685,0.2783325,6.11409075,3.30042575,0.3027095,132.5454,67.1144,166.2414,293.1922,256.6792,456.1736,82124.0859,72473.5312,0.40404375,0.8094,0.1461565,0.14397725,0.12501425,0.135053,0.0069895,1.893071,4.1106685,6.01069875,7.27527325,7.8462575,7.94371825,7.99819925,8.0562,8.1159
"3",8.2365,0,13.92818675,5.6917045,13.869335,0.0589,0.0432,0.002,0.0136,3.87873825,0.2796945,6.1122975,3.29626075,0.302348,122.473,65.3887,159.5732,301.304,257.506,456.6572,82118.4609,72473.5312,0.40734275,0.7613,0.191333,0.06702425,0.20398625,0.1363315,0.004353,1.940465,4.17572875,5.94890325,7.28675025,7.9095625,8.013876,8.06999175,8.1276,8.1864
"4",24.8467,0.9427,19.57779225,-5.26888075,15.79466625,3.7831,2.9093,0.1775,0.6963,4.5382905,0.320261,6.88701875,3.7088685,0.34022175,113.6301,63.778,153.4593,306.7082,258.2026,457.4211,82111.4453,72474.875,0.7180095,1.146,0.05970675,0.4476145,0.08555,0.184851,0.05524675,1.7204105,4.0631705,5.7547715,7.23917475,8.0076415,8.12987225,8.19219425,8.2533,8.315
"5",60.5902,50.2339,63.05378875,2.46357925,35.26042175,27.7934,21.5405,1.7667,4.4861,10.2913885,0.7295885,15.28309525,8.2036345,0.75271525,144.9512,63.9303,154.4342,299.2409,257.9281,459.3408,82091,72483.0391,1.70406125,2.6349,0.4845355,0.415971,0.624005,0.664084,0.01274,1.06808575,3.4762835,4.778869,6.39827775,8.13274375,8.39723875,8.52971725,8.6308,8.7095
"6",99.9501,50.6305,102.82618725,2.8761375,53.7282485,49.0979,37.281,3.4422,8.3747,15.2024205,1.1204775,23.6250135,12.6216905,1.158639,163.5665,66.1456,163.5632,282.8255,256.73,461.3123,82058.5859,72498.0391,2.5457855,4.6368,0.7304405,0.755024,0.879184,0.9115785,0.16129825,1.45756075,3.67749375,4.737744,6.232178,8.28816,8.6534815,8.8412055,8.9913,9.1106
"7",138.7211,59.8352,150.60481,11.8836665,83.496444,67.1084,49.3726,5.1412,12.5945,22.202056,1.77611975,37.64082425,20.036793,1.84066,179.9027,70.3279,180.3622,250.1213,253.9659,461.7278,82006.6016,72513.0469,6.1423875,9.7569,0.85879925,2.91504,1.70569975,1.521651,0.27506525,2.366424,4.98997175,5.772933,6.76949075,8.98917875,9.35558925,9.5404515,9.6977325,9.8296
"8",137.9567,54.7795,149.95622125,11.99953225,79.1209175,70.8353,53.6644,5.3973,11.7736,19.08375025,1.6940615,36.86195225,19.67244725,1.80870875,192.5267,73.8984,194.4767,226.7068,251.4816,458.6746,81955.4219,72527.4297,7.0413585,9.6393,0.76295725,2.92897875,2.3981515,1.71422375,0.00404175,1.862114,4.87324625,5.645686,6.61256375,9.0657405,9.4409565,9.6199,9.779,9.9188
"9",90.012,26.5482,111.80570175,21.793711,48.88426925,62.9214,50.2105,4.5613,8.1497,11.090531,1.037866,23.16896175,12.44218725,1.144722,190.5255,74.8289,197.9308,224.0381,250.5736,455.8489,81924.375,72539.5391,2.66321175,3.562,1.14966975,0.07872475,1.58939725,0.99509075,0.0074695,0.531281,3.5839035,4.48536975,5.72180325,8.178512,8.58512,8.7827,8.959899,9.1174
"10",50.0059,15.7483,81.5650435,31.55912625,31.86077225,49.7043,40.7567,3.1781,5.7695,7.24831575,0.66890175,15.06605,8.129252,0.74825825,183.4903,74.6325,196.8609,230.1469,250.5624,454.1331,81903.7266,72546.8203,1.36465975,2.1034,0.82308925,0.07072675,0.662863,0.63106775,0.0033195,0.67815525,3.2790475,4.2349685,5.5525195,7.60081975,7.984102,8.1722,8.34018525,8.4881
"11",10.2188,0.0239,40.76729825,30.54849125,17.011829,23.7555,19.6609,0.9507,3.1439,3.92458775,0.34846825,8.00758425,4.33231725,0.39887225,169.5576,72.8822,189.6546,242.5887,251.2545,453.3197,81895.3516,72549.4844,0.8771935,1.0386,0.18703725,0.0196625,0.51118675,0.34634525,0.00208525,0.9669625,3.7535895,5.034655,6.175539,7.32298675,7.59282275,7.7309,7.8639,7.9903
"12",2.243,0,26.63864,24.39562,15.54396275,11.0947,8.4631,0.3322,2.2994,3.785428,0.31798325,7.18814775,3.89386575,0.3585375,154.6224,70.8386,181.3648,257.4127,252.2609,452.9325,81888.7891,72549.4844,0.37752075,0.8888,0.1901315,0.0363465,0.1918305,0.14934375,0.003341,1.779712,4.2390625,5.9979905,6.9257955,7.45854225,7.59469725,7.6721,7.7558,7.8425
"13",1.6746,0,13.27599325,11.601362,12.36479525,0.9112,0.6829,0.0282,0.2002,3.155219,0.25260725,5.6268885,3.04929125,0.280794,142.8723,69.1557,174.6401,268.9208,253.1129,452.8737,81882.6094,72549.4844,0.24269725,0.6326,0.13506925,0.025226,0.0855755,0.1318935,0.0028645,1.81362475,4.146233,6.1958835,7.17055025,7.63156425,7.71895875,7.77000025,7.8295,7.8942
"14",3.1899,0,12.66328025,9.4733355,12.6587225,0.0046,0.0034,1e-04,0.001,3.34383925,0.25792325,5.69003,3.083012,0.28392,132.015,67.4574,167.9477,279.0843,253.9672,453.0059,81876.9844,72549.4844,0.23028775,0.6045,0.1093305,0.02504475,0.072844,0.13240125,0.003227,1.821582,4.14017825,6.23104775,7.28725975,7.7783935,7.8548365,7.8966,7.9462,8.001
"15",24.7397,1.1256,16.95760775,-7.78207275,13.489262,3.4683,2.6334,0.1655,0.6694,3.66744425,0.2744225,5.99941325,3.248774,0.29920425,122.5287,65.8121,161.5697,287.6853,254.8217,453.3336,81871.3594,72549.4844,0.422291,0.8456,0.06522975,0.26056475,0.0262095,0.135515,0.03008425,1.852828,4.13536375,6.21482525,7.37330475,7.9121355,7.9927665,8.0342,8.0832,8.1377
"16",31.1126,41.2951,27.89872875,-3.21392275,14.98253875,12.9162,10.6446,0.5322,1.7394,4.19306,0.305735,6.59030975,3.56507,0.32835925,151.9807,64.3179,155.8823,295.3907,255.5681,453.9031,81864.6875,72550.4922,0.77268525,1.0846,0.0469995,0.44920475,0.15721025,0.16627025,0.051413,1.83190325,4.19627275,6.11104025,7.363454,8.0160745,8.11435125,8.162694,8.2154,8.273
"17",79.7799,30.8668,77.0818095,-2.69811325,36.33892975,40.7429,31.9883,2.6513,6.1032,10.453264,0.75807325,15.8129185,8.5289265,0.785742,157.2489,65.2778,160.0206,290.0738,255.2464,455.7285,81842.8906,72558.5469,1.92567725,2.9445,0.384721,0.67676675,0.48841225,0.760495,0.1082005,0.9887345,3.34608675,4.71343925,6.371144,8.178971,8.43309825,8.5540575,8.6472,8.7219
"18",120.9797,47.6614,117.60806475,-3.371599,57.92245175,59.6856,44.871,4.4847,10.3299,16.1011495,1.215405,25.5963705,13.74279575,1.2667265,168.2759,68.2788,172.1954,271.6184,253.8465,457.5504,81808.1719,72573.4609,3.92364425,5.9895,0.665833,1.68945975,1.18165925,1.0525265,0.121382,1.6232195,3.81364675,4.82618325,6.29027125,8.425639,8.78932025,8.97099875,9.1167,9.2336
"19",147.8284,61.5926,155.0089505,7.18052425,80.50714475,74.5018,55.5033,5.9256,13.0728,20.939227,1.71424475,36.50367525,19.54699525,1.80300725,185.1201,72.5806,189.3431,243.617,251.3552,457.3984,81758.1953,72587.5234,4.54708325,8.4906,1.56657225,1.47756875,1.6598025,1.40971275,0.0883945,2.090159,4.73548325,5.53336225,6.6028355,8.911978,9.28813875,9.47369825,9.6320835,9.7661
"20",134.6104,51.482,146.67493875,12.064566,70.9289905,75.7459,58.1456,5.9353,11.665,16.97599775,1.512447,33.05352825,17.74863275,1.6383875,195.7584,75.7703,201.8136,227.335,249.474,454.7693,81713.4453,72601.5312,4.085825,6.9872,1.7164825,0.5532985,2.1571635,1.3753665,0.00350775,1.52501725,4.34422125,5.15935275,6.27111575,8.73394675,9.12791275,9.3166,9.483,9.6292
"21",90.3199,29.4371,107.93083775,17.61093,43.44932025,64.4815,51.2795,4.6847,8.5173,9.93309425,0.91343225,20.51062675,11.0696835,1.02248675,194.8672,76.9863,206.3163,228.0869,248.8833,452.5428,81686.1719,72612.5938,1.8965955,2.9151,1.48406675,0.0914765,0.98168275,0.82343875,0.03635725,0.02623975,3.10288,4.238154,5.54478925,7.93307175,8.35218475,8.5595,8.7376,8.88849975
"22",34.6524,7.8311,68.80610525,34.153721,25.00224525,43.8039,36.1722,2.5226,5.109,5.77826625,0.5150445,11.75398225,6.36665875,0.588294,183.748,76.067,202.2968,237.877,249.2034,451.4405,81670.8828,72618.2188,0.46952875,1.336,1.33274725,0.07993425,0.01730625,0.3722865,0.003192,0.2151885,1.93520675,3.819092,5.47014225,7.41054,7.77891925,7.9613,8.121,8.2601
"23",6.4735,0,38.10166825,31.6281555,17.59131725,20.5104,16.3695,0.6978,3.443,4.15983975,0.35510775,8.2098625,4.4547765,0.4117275,169.7845,74.1953,194.5299,250.2986,249.9757,450.7975,81660.25,72623.2266,0.70804775,1.1489,0.2094395,0.07137075,0.353007,0.2836715,0.00551925,0.873802,2.6135065,4.5776535,6.07545275,7.30131875,7.58556025,7.73099975,7.8578,7.9667
"24",0.6939,0,24.339351,23.6454295,16.69429775,7.6451,5.8274,0.2313,1.5863,4.16270675,0.33761475,7.65336475,4.156404,0.3842045,154.8292,71.9606,185.402,265.0901,251.0945,450.5675,81653.6875,72623.2266,0.432578,1.0488,0.231612,0.0839875,0.21203725,0.13655475,0.005655,1.5435375,3.29306825,5.46047025,6.8148005,7.47654275,7.635419,7.7213,7.8044,7.8839
"25",0.9398,0,13.9515005,13.01168,13.50973275,0.4418,0.3303,0.0137,0.0977,3.5314245,0.273515,6.0909785,3.30801375,0.30580625,143.0634,70.0865,177.871,276.4818,252.0531,450.6702,81648.0625,72623.2266,0.362269,0.8272,0.11663175,0.1640005,0.07778525,0.120483,0.00722075,1.687746,3.64174175,5.687,7.081897,7.67193575,7.77947425,7.8369,7.8971,7.9591
"26",2.0844,0,13.47917925,11.39475275,13.47592325,0.0033,0.0024,1e-04,7e-04,3.64102,0.27229975,6.00290625,3.258457,0.30124275,132.1917,68.27,170.6805,286.4653,252.9722,450.9742,81642.4375,72623.2266,0.3276765,0.6958,0.13660175,0.051386,0.150809,0.1254765,0.00385475,1.779593,3.83793275,5.67456825,7.17312925,7.80444025,7.900126,7.947,7.9977,8.0512
"27",6.3358,7e-04,13.4434775,7.1076475,13.35561775,0.0879,0.0639,0.0031,0.0209,3.7026195,0.268992,5.89278175,3.19575875,0.2954695,122.1465,66.5402,163.9338,295.0406,253.8268,451.4273,81636.8125,72623.2266,0.319934,0.6912,0.1541015,0.04700375,0.1446645,0.1282625,0.00723975,1.820174,3.90722425,5.65242175,7.2023565,7.8839175,7.9865045,8.034279,8.0838,8.135
