"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00308622432775105,0.00309023593213082,0.00308813279642192,0,0,0,0,0.000838008039907671,7.19816832635208e-05,0.00138750061474288,0.000737030710715013,7.5392360461992e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078293907271458,0,0.00197044267327352,0.00202603198672243,0.00825359952082121,0.00173788634204765,0.000526225223618123,0.0287124556849972,0.0601501575551371,0.0700677397616808,0.0150817781519438,0.00138371952340021,0.000124389329971756,0,0,0
"2",0,0,0.00299603039976439,0.0029971875861971,0.00299796464689763,0,0,0,0,0.000837311735188137,6.82574403000275e-05,0.00132931303547833,0.000702827128064849,7.27485030043978e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084827482100077,0,0.00235189269280657,0.00243869195202546,0.00926874824061458,0.00141443827410832,0.00159771303238965,0.0328522083151554,0.0553397212542401,0.104862338336711,0.0209833751008088,0.00179066029401925,0.000159697108091116,0,0,0
"3",0,0,0.00368130091038288,0.00368149666241201,0.00368080955197572,0,0,0,0,0.00105106118720009,7.96072523659567e-05,0.00161687765359453,0.000857613106523546,8.45999663629836e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105956342656295,0,0.00292285129272064,0.00243573427181328,0.0115630803168025,0.00161464553397977,0.000899638649346946,0.035946938405955,0.0632364256271035,0.0989039795767199,0.0239999633800656,0.00232717586249729,0.000209914573711472,2.65263509474239e-05,0,0
"4",0,0,0.00242915738708346,0.00242731123667307,0.00242772658112585,0,0,0,0,0.000709923928296511,5.82754842462088e-05,0.00105736578571924,0.000558631702248902,5.95965056607614e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00846517918755148,0,0.00114962982628103,0.00277512670277104,0.00845580021491456,0.00190205369443479,0.00289923361444058,0.0216932682363342,0.0521057509928901,0.0719176901207527,0.0206091091510526,0.00241859737586338,0.000252285028233923,4.89812037073619e-05,0,0
"5",0,0,0.00899011542477076,0.0089926567125349,0.00899241903829652,0,0,0,0,0.00267861909208474,0.000191198204769337,0.00388526376827859,0.0020472704737737,0.000189324185709587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216079652898633,0,0.00636707632133961,0.00560494655208267,0.0251854067552393,0.00591275885476053,0.00135961057727707,0.0258823439327838,0.0515156311862043,0.0340180709320778,0.00943716513214976,0.00176278496182697,0.000233334287620712,3.78140159146385e-05,0,0
"6",0,0,0.0103064313617676,0.0103059188317166,0.0103069025648333,0,0,0,0,0.00298484116722937,0.000217574532872601,0.0045156302853254,0.00236935441009598,0.000219696547870668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230016914068325,0,0.00769319475192081,0.00550309142122687,0.0258342920253081,0.00632709584593812,0.00145566958747368,0.0228273786008726,0.0447689289310708,0.0269456881749649,0.00557197116695435,0.000956737525859015,0.000170099581820718,3.41510261222246e-05,0,0
"7",0,0,0.00642953044346527,0.00642915739187801,0.00643357169303774,0,0,0,0,0.00174853245078929,0.000144329143985553,0.00289178506146003,0.00151297019058372,0.000142532912909688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407422704330537,0,0.00322012048094844,0.0103782241116399,0.0446443444146785,0.00514436775505002,0.0012942329147705,0.0122618410498531,0.0160645360741777,0.00893186998129314,0.00295534281298882,0.000520203598187372,0.000112630062869844,5.00500751259916e-05,1.70758064621062e-05,0
"8",0,0,0.00536472968650014,0.00536541823772681,0.00536955156489055,0,0,0,0,0.00131066230255655,0.000120508441899873,0.00250606877827442,0.00131408126809504,0.000122984105397232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374135503064474,0,0.00243846440558697,0.0111574989098744,0.0410346691858285,0.00439770572358617,0.000608749037602166,0.0108565385375835,0.00603213205045679,0.00189993565970589,0.000705989576810541,0.000244383810621087,6.19974787772179e-05,2.77665619757228e-05,3.49399714252992e-05,0
"9",0,0,0.0167765572722123,0.0167743674529591,0.0167770851106389,0,0,0,0,0.00387565454553325,0.000362627408333352,0.00795673997703356,0.00419824841326466,0.000386971127226031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345477197342701,0,0.0145270522355124,0.00725563027595831,0.0353947070593278,0.00464270108306505,0.000721249305803648,0.0149505303369048,0.0160578580642383,0.00790976602417,0.000840026982103164,0.000107423086154462,3.46866881189272e-05,1.33084269715128e-05,4.45435546011292e-05,4.47213595498916e-06
"10",0,0,0.0154895879580517,0.0154840375483139,0.0154883872342553,0,0,0,0,0.00360978062939909,0.000333568727839377,0.00731215700324333,0.00387277938958583,0.00035900865508906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241053532533946,0,0.01257098736961,0.00774579029503053,0.0238470089930757,0.00514678727737577,0.00125673011468745,0.0309208637594628,0.0317033925717915,0.0174984082997869,0.00274068267463531,0.000163258404418386,7.73042812771696e-06,3.1069125851202e-05,0,0
